2947: 2947-2015-08-16_100_Basellandschaftliche_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Nyffeler Christoph;;10.0
1;1b;Huber Cédric;**;10.0
1;1c;Huber Jan (1997);*;10.0
1;1d;Treier Tobias (1998);;10.0
1;1e;Mahrer Jürg;**;10.0
1;1f;Kaspar Jan (1999);;10.0
1;1g;Studinger Stephan;**;10.0
1;1h;Lehmann Robin (1999);;10.0
1;1i;Suter Beat;;10.0
1;1j;Mangold Michael (1997);;10.0
1;1k;Kocher Remo;**;10.0
1;1l;Vieira Tiago;**;10.0
1;1m;Hasler Jimmy;*;10.0
1;1n;Büttler Adrian (1999);;10.0
1;1o;Stoll Simon;;10.0
1;1p;Kropf Marcel;**;10.0
1;1q;Schär Simon;*;10.0
1;1r;Widmer David;;10.0
1;2a;Furrer Mathias;;9.75
1;2b;Waldner Patrick;**;9.75
1;2c;Hermann Oliver;;9.75
1;2d;Leu Dominik (1999);;9.75
1;2e;Bieri Christoph;***;9.75
1;2f;Seiler Thomas;;9.75
1;2g;Hiltbrand Ron;;9.75
1;2h;Burren Patrick (1999);;9.75
1;2i;Schmid David;**;9.75
1;2j;Küng Marco;;9.75
1;2k;Gisler Bruno;***;9.75
1;2l;Roth Christian;;9.75
1;2m;Hasler Manuel;;9.75
1;2n;Stoffel Marc;**;9.75
1;2o;Andermatt Adrian;;9.75
1;2p;Klausner Yanick;**;9.75
1;2q;Stegmüller Klemens;*;9.75
1;2r;Reimann Marco (1998);;9.75
1;2s;Lehmann Nicola;*;9.75
1;2t;Brun Samuel (1999);;9.75
1;2u;Steger Robert (1998);;9.75
1;2v;Brügger Cyrill (1998);;9.75
1;2w;Alpiger Nick;**;9.75
1;3a;Studer Remo;;9.0
1;3b;Steinmann Yves;*;9.0
1;3c;Gisin Yanic;;9.0
1;3d;Dobler Florian;;9.0
1;3e;Bader Andreas;*;9.0
1;4a;Wüthrich Martin;;8.75
1;4b;Strebel Joel (1997);**;8.75
1;4c;Henzer Andreas;**;8.75
1;4d;Widmer Sandro;;8.75
1;4e;von Arx Christian;*;8.75
1;4f;Kohler Adrian;;8.75
1;4g;Fritz Andreas;;8.75
1;4h;Müller Bruno;***;8.75
1;4i;Regenass Beat;;8.75
1;4j;Bär Leo;;8.75
1;4k;Müller Simon;;8.75
1;4l;Widmer Tobias;**;8.75
1;4m;Bächli Michael (1998);**;8.75
1;4n;Inderwildi Daniel;;8.75
1;4o;Fehlmann Armin;;8.75
1;4p;Grossmann Andreas;;8.75
1;4q;Hügli Kaj (1997);*;8.75
1;4r;Widmer Dino;;8.75
1;4s;Stüdeli Thomas;**;8.75
1;4t;Schläpfer Matthias;*;8.75
1;5a;Scherrer Johann;**;8.5
1;5b;Aeschlimann Fabian (1999);;8.5
1;5c;Löw Christophe;**;8.5
1;5d;Stich Yannick (1997);;8.5
1;5e;Schaub Adrian (1999);;8.5
1;5f;Siegrist Christian (1997);;8.5
1;5g;Hauri Urs;**;8.5
1;5h;Schneider Markus;*;8.5
1;5i;Studinger Mathias;**;8.5
1;5j;Strebel Sandro;**;8.5
1;5k;Probst Gabriel;**;8.5
1;5l;Reinhard Adrian (1997);;8.5
1;5m;Haymoz Kevin;;8.5
1;5n;Fritz Christian;;8.5
1;5o;Büchi Christian;;8.5
1;5p;Haymoz Jan (1999);;8.5
1;5q;Schaub Florent;;8.5
1;5r;Stalder Remo;***;8.5
1;5s;Räbmatter Patrick;**;8.5
1;5t;Odermatt Christian;**;8.5
1;5u;Brand Christian;**;8.5
1;5v;Winiger Fabian;**;8.5
1;5w;Döbeli Andreas (1998);*;8.5
1;5x;Lang Martin;**;8.5
1;5y;Kramer Franz;*;8.5
1;5z;Blatter Lorenz;**;8.5
1;5z1;Burkhardt Roy;;8.5
1;5z2;Körkel Yannik (1997);;8.5
1;5z3;Kaech Frank;*;8.5
1;5z4;Wittlin Philipp;;8.5
