3003: 3003-2019-08-11_Bernisch-Kantonales_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Käser Remo;***;10.0
1;1b;Tschumi Lukas (2001);*;10.0
1;1c;Weyermann Florian;**;10.0
1;1d;Graber Willy;***;10.0
1;1e;Gobeli Patrick;**;10.0
1;1f;Tschanz Richard;*;10.0
1;1g;Eggimann Marco;;10.0
1;1h;Marti Stefan;**;10.0
1;1i;Kobel Marcel;;10.0
1;1j;Anderegg Simon;***;10.0
1;1k;Pirkheim Elias (2002);;10.0
1;1l;Moser Michael;**;10.0
1;1m;Zenger Niklaus;***;10.0
1;1n;Klossner Adrian;*;10.0
1;1o;Aeschbacher Matthias;**;10.0
1;1p;Ledermann Patrik;;10.0
1;1q;Glarner Matthias;***;10.0
1;1r;Schwab David;;10.0
1;1s;Gehrig Kilian;;10.0
1;1t;Siegrist Lukas;;10.0
1;1u;Orlik Curdin;**;10.0
1;1v;Habegger Heinz;**;10.0
1;1w;Kämpf Bernhard;***;10.0
1;1x;Stucki Christian;***;10.0
1;1y;Gerber Christian;**;10.0
1;1z;Rüegsegger Christian (2001);;10.0
1;2a;Mathys Simon;**;9.75
1;2b;Thöni Reto (2001);;9.75
1;2c;Wüthrich Bruno;;9.75
1;2d;Camenzind Ivan;*;9.75
1;2e;Wicki Cédric;;9.75
1;2f;Aellen Florian;*;9.75
1;2g;Stalder Kurt;;9.75
1;2h;Schwab Marc;;9.75
1;2i;Schenkel Remo;*;9.75
1;2j;Walther Marcel;*;9.75
1;2k;Staub Severin (2002);;9.75
1;2l;Gäggeler Adrian;*;9.75
1;2m;Blaser Roman;*;9.75
1;2n;Zürcher Remo;*;9.75
1;2o;Schlüchter Colin;*;9.75
1;2p;Staudenmann Fabian;**;9.75
1;2q;Leuenberger Lukas (2001);;9.75
1;2r;Iseli Marco;**;9.75
1;2s;Rüegsegger Ueli;*;9.75
1;2t;Kropf Thomas;*;9.75
1;2u;Fankhauser Thomas;*;9.75
1;2v;Zehnder Jürg;*;9.75
1;2w;Bernhard Marco;;9.75
1;2x;Steffen Konrad;*;9.75
1;2y;Schenk Patrick;***;9.75
1;2z;Zaugg Lars (2002);;9.75
1;3a;Berger Lorenz;**;9.0
1;3b;Binggeli Dominik;*;9.0
1;3c;Waber Lorenz;*;9.0
1;3d;Sommer Martin (2001);;9.0
1;3e;Ramseier Fritz;**;9.0
1;3f;Fankhauser Reto;*;9.0
1;3g;Neukomm Thierry;;9.0
1;3h;Gehrig Philipp;**;9.0
1;4a;Aellen Philipp;*;8.75
1;4b;Gnägi Florian;***;8.75
1;4c;Walther Adrian (2001);*;8.75
1;4d;Niederhäuser Martin;;8.75
1;4e;Röthlisberger Simon;*;8.75
1;4f;Kämpf Alexander;**;8.75
1;4g;Hadorn Christian;*;8.75
1;4h;De Fusco Dario;*;8.75
1;4i;Sommer Roman;*;8.75
1;4j;Gasser Dominik;*;8.75
1;4k;Kämpf Andreas;;8.75
1;4l;Hügli Kaj;**;8.75
1;4m;Rolli Martin;**;8.75
1;4n;Staub Maël;*;8.75
1;4o;Dummermuth Ueli;;8.75
1;4p;Steffen Valentin;*;8.75
1;4q;Bremgartner Marcel;*;8.75
1;4r;Tschan Matthias;*;8.75
1;4s;Pulfer Thomas;*;8.75
1;4t;Graber Alfred;*;8.75
1;4u;Wüthrich Niklaus;**;8.75
1;4v;Urfer Simon;*;8.75
1;4w;Sempach Thomas;***;8.75
1;4x;Graber Bänz;;8.75
1;4y;Walther Patrick;*;8.75
1;4z;Waeber Marco;;8.75
1;4z1;Wiget Michael;**;8.75
1;4z2;Reust Markus;*;8.75
1;4z3;Aebi Roger;;8.75
1;4z4;Rentsch Christian;*;8.75
1;4z5;Heeb Thierry;;8.75
1;4z6;Kappeler Ruedi;;8.75
1;4z7;Luginbühl Hanspeter;**;8.75
1;4z8;Graf Simon (2001);;8.75
1;4z9;Mösching Andy;*;8.75
1;4z10;Gerber Thomas;*;8.75
1;4z11;Kämpf Marcel;*;8.75
1;4z12;Steudler Kevin (2001);*;8.75
1;4z13;Kämpf Lorenz;*;8.75
1;4z14;Thomet Adrian;**;8.75
1;4z15;Schütz Urs;**;8.75
1;4z16;Ramseier Thomas;*;8.75
1;4z17;von Weissenfluh Kilian;**;8.75
1;5a;Galli Markus;;8.5
1;5b;Nufer Sämi;;8.5
1;5c;Wüthrich Tim (2002);;8.5
1;5d;Kyburz Silas;;8.5
1;5e;Schwander Severin;**;8.5
1;5f;Lengacher Jonas;**;8.5
1;5g;Roschi Adrian;;8.5
1;5h;Burger Noel;;8.5
1;5i;Roth Robin;*;8.5
1;5j;Roschi Ruedi;**;8.5
1;5k;Lüthi David (2002);;8.5
1;5l;Zingrich Jan;;8.5
1;5m;Zangger Dominik;*;8.5
1;5n;Klopfenstein Jan;;8.5
1;5o;Burger Matthieu (2001);*;8.5
1;5p;Willimann Stefan;;8.5
1;5q;Steffen Gustav;**;8.5
1;5r;Vögeli Luca;;8.5
1;5s;Zimmermann Nicolas (2001);;8.5
1;5t;Zingg Michael;;8.5
