3027: 3027-2015-06-28_Solothurner_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Erb Roger;**;10.0
1;1b;Gisler Bruno;***;10.0
1;1c;Bucher Pascal;;10.0
1;1d;Voggensperger Janic (1998);*;10.0
1;1e;Sigg David;*;10.0
1;1f;Bieri Christoph;***;10.0
1;1g;Huber Jan (1997);*;10.0
1;1h;Fehlmann Armin;;10.0
1;1i;Grossmann Andreas;;10.0
1;1j;Steinmann Yves;*;10.0
1;1k;Wittmer Lukas;;10.0
1;1l;Stoll Simon;;10.0
1;1m;Leuthard Reto;*;10.0
1;1n;Steger Robert (1998);;10.0
1;1o;Reinhard Adrian (1997);;10.0
1;1p;Kropf Marcel;**;10.0
1;1q;Haymoz Jan (1999);;10.0
1;1r;Stalder Remo;***;10.0
1;2a;Studer Remo;;9.75
1;2b;Odermatt Christian;;9.75
1;2c;Rolli Ueli;;9.75
1;2d;Brand Christian;**;9.75
1;2e;Roth Christian;;9.75
1;2f;Hasler Manuel;;9.75
1;2g;Lang Martin;**;9.75
1;2h;Stoffel Marc;**;9.75
1;2i;Elsener Marcel;;9.75
1;2j;Vieira Tiago;**;9.75
1;2k;Krebs Clemens;;9.75
1;2l;Hauri Urs;**;9.75
1;2m;Wyss Patrick;;9.75
1;2n;Kohler Adrian;;9.75
1;2o;Küng Marco;;9.75
1;2p;Widmer David;;9.75
1;2q;Schläpfer Matthias;*;9.75
1;3a;Steinmann Kevin;**;9.0
1;4a;Leimgruber Daniel;;8.75
1;4b;Furrer Mathias;;8.75
1;4c;Nyffeler Christoph;;8.75
1;4d;Strebel Joel (1997);*;8.75
1;4e;Henzer Andreas;**;8.75
1;4f;Winiger Fabian;**;8.75
1;4g;Döbeli Andreas (1998);*;8.75
1;4h;Vögtlin Roman;;8.75
1;4i;Stich Yannick (1997);;8.75
1;4j;Lisser Beat;;8.75
1;4k;Moos Christoph;;8.75
1;4l;Mangold Michael (1997);;8.75
1;4m;Kocher Remo;**;8.75
1;4n;Bächli Michael (1998);*;8.75
1;4o;Gabathuler Björn (1998);;8.75
1;4p;Klausner Yanick;**;8.75
1;4q;Gerber Valentin (1999);;8.75
1;4r;von Arx Christian;*;8.75
1;4s;Bucher Thomas;;8.75
1;4t;Aerni Lars (1997);;8.75
1;4u;Moser Matthias;;8.75
1;4v;Bader Andreas;*;8.75
1;4w;Hügli Kaj (1997);*;8.75
1;4x;Widmer Dino;;8.75
1;4y;Lisser Daniel;*;8.75
1;4z;Schär Simon;*;8.75
1;4z1;Mangold Martin;;8.75
1;5a;Scherrer Johann;**;8.5
1;5b;Bachmann Marco (1999);;8.5
1;5c;Waldner Patrick;**;8.5
1;5d;Wüthrich Martin;;8.5
1;5e;Hermann Oliver;;8.5
1;5f;Bucher Roland;*;8.5
1;5g;Räber Lukas;;8.5
1;5h;Niggli Andreas;;8.5
1;5i;Uebersax Remo;**;8.5
1;5j;Kramer Franz;*;8.5
1;5k;Blatter Lorenz;*;8.5
1;5l;Vetter Mike;;8.5
1;5m;Burkhardt Roy;;8.5
1;5n;Nussbaumer Gabriel;;8.5
1;5o;Betschart Rainer;**;8.5
1;5p;Abt Robin (1997);;8.5
1;5q;Wyss Cyrill;;8.5
1;5r;Stegmüller Klemens;*;8.5
1;5s;Schneider Markus;*;8.5
1;5t;Studinger Mathias;**;8.5
1;5u;Weber Roger;;8.5
1;5v;Probst Raphael;;8.5
1;5w;Betschart Remo;**;8.5
1;5x;Regenass Beat;;8.5
1;5y;Bieli Andreas;;8.5
1;5z;Mühlberg Lukas (1997);;8.5
1;5z1;Probst Gabriel;**;8.5
1;5z2;Studinger Stephan;**;8.5
1;5z3;Stüdeli Thomas;**;8.5
1;5z4;Büchi Christian;;8.5
1;5z5;Alpiger Nick;**;8.5
1;5z6;Räbmatter Patrick;**;8.5
2;1a;Gisler Bruno;***;20.0
2;1b;Bieri Christoph;***;20.0
2;1c;Kropf Marcel;**;20.0
2;2a;Erb Roger;**;19.75
2;2b;Stoffel Marc;**;19.75
2;2c;Widmer David;;19.75
2;3a;Odermatt Christian;;19.5
2;3b;Rolli Ueli;;19.5
2;3c;Vieira Tiago;**;19.5
2;3d;Hauri Urs;**;19.5
2;4a;Steinmann Kevin;**;19.0
2;4b;Reinhard Adrian (1997);;19.0
2;5a;Leimgruber Daniel;;18.75
2;5b;Winiger Fabian;**;18.75
2;5c;Vögtlin Roman;;18.75
2;5d;Kocher Remo;**;18.75
2;5e;Bächli Michael (1998);*;18.75
2;5f;von Arx Christian;*;18.75
2;5g;Aerni Lars (1997);;18.75
2;5h;Moser Matthias;;18.75
2;5i;Mangold Martin;;18.75
2;6a;Scherrer Johann;**;18.5
2;6b;Strebel Joel (1997);*;18.5
2;6c;Hermann Oliver;;18.5
2;6d;Henzer Andreas;**;18.5
2;6e;Bucher Pascal;;18.5
2;6f;Hasler Manuel;;18.5
2;6g;Kramer Franz;*;18.5
2;6h;Vetter Mike;;18.5
2;6i;Voggensperger Janic (1998);*;18.5
2;6j;Sigg David;*;18.5
2;6k;Mangold Michael (1997);;18.5
2;6l;Nussbaumer Gabriel;;18.5
2;6m;Huber Jan (1997);*;18.5
2;6n;Fehlmann Armin;;18.5
2;6o;Krebs Clemens;;18.5
2;6p;Stegmüller Klemens;*;18.5
2;6q;Wyss Patrick;;18.5
2;6r;Grossmann Andreas;;18.5
2;6s;Kohler Adrian;;18.5
2;6t;Steinmann Yves;*;18.5
2;6u;Wittmer Lukas;;18.5
2;6v;Stoll Simon;;18.5
2;6w;Leuthard Reto;*;18.5
2;6x;Betschart Remo;**;18.5
2;6y;Steger Robert (1998);;18.5
2;6z;Studinger Stephan;**;18.5
2;6z1;Bader Andreas;*;18.5
2;6z2;Hügli Kaj (1997);*;18.5
2;6z3;Haymoz Jan (1999);;18.5
2;6z4;Stalder Remo;***;18.5
2;6z5;Alpiger Nick;**;18.5
2;7a;Bachmann Marco (1999);;18.25
2;7b;Studer Remo;;18.25
2;7c;Räber Lukas;;18.25
2;7d;Brand Christian;**;18.25
2;7e;Roth Christian;;18.25
2;7f;Lang Martin;**;18.25
2;7g;Uebersax Remo;**;18.25
2;7h;Blatter Lorenz;*;18.25
2;7i;Elsener Marcel;;18.25
2;7j;Betschart Rainer;**;18.25
2;7k;Küng Marco;;18.25
2;7l;Stüdeli Thomas;**;18.25
2;7m;Räbmatter Patrick;**;18.25
2;7n;Schläpfer Matthias;*;18.25
2;8a;Lisser Beat;;17.75
2;9a;Nyffeler Christoph;;17.5
2;9b;Gabathuler Björn (1998);;17.5
2;9c;Schneider Markus;*;17.5
2;9d;Probst Gabriel;**;17.5
2;9e;Widmer Dino;;17.5
2;10a;Furrer Mathias;;17.25
