3052: 3052-2017-07-16_Fete_Romande2-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Ruch Florian;;10.0
1;1b;Jeannin Jess (2000);;10.0
1;1c;Kyburz Silas;;10.0
1;1d;Fankhauser Hans (2001);;10.0
1;1e;Niederberger Nicola (2000);;10.0
1;1f;Duplan Steve;**;10.0
1;1g;Loup Grégoire (2000);;10.0
1;1h;Balimann Fabian;;10.0
1;1i;Aeschbacher Ivo (2001);;10.0
1;1j;Parvex Yannick;;10.0
1;1k;Berset Julien;*;10.0
1;1l;Ambresin Cyril (1999);;10.0
1;1m;Zosso Remo;**;10.0
1;1n;Dousse Michel;**;10.0
1;1o;Ducry Antoine;*;10.0
1;1p;Riedo Fredy;*;10.0
1;1q;Cotting Florian;;10.0
1;1r;Ulrich Andreas;***;10.0
1;1s;Hayoz Quentin;;10.0
1;1t;Ducrest Etienne;*;10.0
1;1u;Zosso Fabian;;10.0
1;1v;Cressier Gaetan;;10.0
1;1w;Derron Cédric;*;10.0
1;1x;Kämpf Bernhard;***;10.0
1;1y;Quiot Didier;;10.0
1;1z;Matthey Mickaël;**;10.0
1;2a;Monney Branighan;;9.75
1;2b;Erb Vincent (1999);;9.75
1;2c;Bieri Christoph;***;9.75
1;2d;Vaucher Rémy (1999);;9.75
1;2e;Steiner Pirmin;;9.75
1;2f;Pürro Tobias;;9.75
1;2g;Rapin Florent;;9.75
1;2h;Mosimann Vincent;*;9.75
1;2i;Dubey Gaël;;9.75
1;2j;Golliard Steve;;9.75
1;2k;Von Niederhäusern Martin;;9.75
1;2l;Wieland Micha;;9.75
1;2m;Burri Flemming;;9.75
1;2n;Minder Florian;*;9.75
1;2o;Brodard Augustin;**;9.75
1;2p;Pellet Adrian;;9.75
1;2q;Torche Bastian;;9.75
1;2r;Kramer Dorian (1999);;9.75
1;2s;Fuchs Yannick;;9.75
1;2t;Cotting Alexandre;;9.75
1;2u;Balimann Sandro (2001);;9.75
1;3a;Roth Simon (2000);;9.0
1;3b;Ganière William;;9.0
1;4a;Cropt Harald;**;8.75
1;4b;Kramer Lario;**;8.75
1;4c;Brodard Simon;**;8.75
1;4d;Mollet Adrian;;8.75
1;4e;Mollet Ivan;*;8.75
1;4f;Piemontesi Pascal;**;8.75
1;4g;Bersier Jean-Jacques;*;8.75
1;4h;Schmid David;***;8.75
1;4i;Berger Dilan;;8.75
1;4j;Hofer Sven;*;8.75
1;4k;Haenni Stéphane;**;8.75
1;4l;Foulk Xavier;;8.75
1;4m;Z'Rotz Roman;;8.75
1;4n;Borcard Johann;**;8.75
1;4o;Zenger Niklaus;***;8.75
1;4p;Vonlanthen Alexandre;;8.75
1;4q;Moser Steven;**;8.75
1;4r;Zwyssig Raphael;***;8.75
1;4s;Barras André;*;8.75
1;4t;Rychen Roger;***;8.75
1;4u;Nötzli Reto;***;8.75
1;4v;Cochrane Benjamin (1999);;8.75
1;4w;Buchs Julien (1999);;8.75
1;5a;Colò Kilian (1999);;8.5
1;5b;Osmodin Emmanuel;;8.5
1;5c;Beliakov Alexandre;;8.5
1;5d;Crettaz Olivier;*;8.5
1;5e;Emonet Fabien;**;8.5
1;5f;Barras David;*;8.5
1;5g;Von Niederhäusern Marcel;;8.5
1;5h;Loup Alexandre;*;8.5
1;5i;Zingrich Jan (1999);;8.5
1;5j;Crausaz Simon;;8.5
1;5k;Hochuli Samuel;;8.5
1;5l;Derron Julien;*;8.5
1;5m;Gauch Thierry;;8.5
1;5n;Lerch Jimmy;*;8.5
1;5o;Dind Samuel;**;8.5
1;5p;Maridor Loïc;;8.5
1;5q;Turin Antoine (2001);;8.5
1;5r;Grossenbacher Marc (2000);;8.5
1;5s;Cottier Marco (2000);;8.5
1;5t;Gottofrey Luc;*;8.5
1;5u;Gottofrey Marc;**;8.5
1;5v;Vionnet Julien (2000);;8.5
1;5w;Quartenoud Samuel;;8.5
1;5x;Schöpfer Dio;**;8.5
1;5y;Curty Alexandre;;8.5
1;5z;Gétaz Antoine (1999);;8.5
1;5z1;Sturny Nicolas;;8.5
1;5z2;Tchedre Abdourahaman;;8.5
1;5z3;Roch Vincent;**;8.5
1;5z4;Emonet Frédéric;*;8.5
1;5z5;Goy Sébastien;;8.5
1;5z6;Fercher Alain;;8.5
1;5z7;Stübe Mario;;8.5
1;5z8;Wieland Janis;*;8.5
1;5z9;Perrier Jonathan (2001);;8.5
1;5z10;Dind Clément;;8.5
1;5z11;Remy André (2001);;8.5
1;5z12;Haldi Sami;*;8.5
1;5z13;Chassot Samuel (2001);;8.5
1;5z14;Ledermann Michael (2000);;8.5
1;5z15;Schneiter Jérémy;;8.5
1;5z16;Buchs Remo (1999);;8.5
1;5z17;Pürro David (2001);;8.5
1;5z18;Schafer Damien;*;8.5
2;1a;Cotting Florian;;20.0
2;2a;Parvex Yannick;;19.75
2;2b;Minder Florian;*;19.75
2;2c;Torche Bastian;;19.75
2;3a;Erb Vincent (1999);;19.5
2;3b;Pellet Adrian;;19.5
2;3c;Kramer Dorian (1999);;19.5
2;3d;Fuchs Yannick;;19.5
2;3e;Balimann Sandro (2001);;19.5
2;4a;Ulrich Andreas;***;19.0
2;4b;Matthey Mickaël;**;19.0
2;5a;Kramer Lario;**;18.75
2;5b;Mollet Adrian;;18.75
2;5c;Piemontesi Pascal;**;18.75
2;5d;Loup Grégoire (2000);;18.75
2;5e;Hofer Sven;*;18.75
2;5f;Z'Rotz Roman;;18.75
2;5g;Borcard Johann;**;18.75
2;5h;Moser Steven;**;18.75
2;5i;Barras André;*;18.75
2;5j;Rychen Roger;***;18.75
2;5k;Nötzli Reto;***;18.75
2;5l;Kämpf Bernhard;***;18.75
2;5m;Buchs Julien (1999);;18.75
2;6a;Colò Kilian (1999);;18.5
2;6b;Ruch Florian;;18.5
2;6c;Jeannin Jess (2000);;18.5
2;6d;Crettaz Olivier;*;18.5
2;6e;Kyburz Silas;;18.5
2;6f;Brodard Simon;**;18.5
2;6g;Emonet Fabien;**;18.5
2;6h;Mollet Ivan;*;18.5
2;6i;Fankhauser Hans (2001);;18.5
2;6j;Bieri Christoph;***;18.5
2;6k;Niederberger Nicola (2000);;18.5
2;6l;Vaucher Rémy (1999);;18.5
2;6m;Loup Alexandre;*;18.5
2;6n;Duplan Steve;**;18.5
2;6o;Crausaz Simon;;18.5
2;6p;Hochuli Samuel;;18.5
2;6q;Derron Julien;*;18.5
2;6r;Bersier Jean-Jacques;*;18.5
2;6s;Lerch Jimmy;*;18.5
2;6t;Dind Samuel;**;18.5
2;6u;Schmid David;***;18.5
2;6v;Grossenbacher Marc (2000);;18.5
2;6w;Haenni Stéphane;**;18.5
2;6x;Balimann Fabian;;18.5
2;6y;Dubey Gaël;;18.5
2;6z;Curty Alexandre;;18.5
2;6z1;Aeschbacher Ivo (2001);;18.5
2;6z2;Zenger Niklaus;***;18.5
