3080: 3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Moos Christoph;;10.0
1;1b;Suter Pirmin (1997);;10.0
1;1c;Gwerder Dario (1997);;10.0
1;1d;Elsener Kilian (1997);;10.0
1;1e;Betschart Fabian (1999);;10.0
1;1f;Schürpf Bruno;;10.0
1;1g;Laimbacher Alex;;10.0
1;1h;Schmid Köbi;;10.0
1;1i;Heinzer Ronny;;10.0
1;1j;Corvi Dominik;;10.0
1;1k;Laimbacher Adrian;***;10.0
1;1l;Zurfluh Roman;;10.0
1;1m;Hess Dominik;;10.0
1;1n;Schelbert Ralf;;10.0
1;1o;Ulrich Pascal (1999);;10.0
1;1p;Grab Martin (1999);;10.0
1;1q;Betschart Daniel;;10.0
1;1r;Nötzli Bruno;***;10.0
1;1s;Bürgler Lukas;;10.0
1;1t;Inderbitzin Patrick;;10.0
1;1u;Kennel Stefan;*;10.0
1;1v;Weber Ivo;;10.0
1;1w;Diethelm Albert;*;10.0
1;1x;Elsener Manuel;;10.0
1;1y;Stutzer Michael (1999);;10.0
1;1z;Suter Samuel (1999);;10.0
1;1z1;Bieri Marcel;**;10.0
1;1z2;Schelbert Roman;;10.0
1;1z3;Elsener Marcel;;10.0
1;1z4;Laimbacher Philipp;***;10.0
1;1z5;Küttel Samuel (1997);;10.0
1;1z6;Bucher Thomas;;10.0
1;1z7;Fassbind René;;10.0
1;1z8;Märchy Sepp;;10.0
1;1z9;Arnold Marcel;;10.0
1;1z10;Grab Daniel;;10.0
1;1z11;Gwerder Andreas;;10.0
1;1z12;Effinger Peter;;10.0
1;1z13;Steinauer Adrian;**;10.0
1;1z14;Schuler Christian;***;10.0
1;1z15;Diener Pirmin;;10.0
1;1z16;Müllestein Mike;**;10.0
1;1z17;Suter Paul;;10.0
1;1z18;Bürgi Tobias;;10.0
1;2a;Schuler Daniel;;9.75
1;2b;Bernhard Lukas;*;9.75
1;2c;Gyr Roland;;9.75
1;2d;Heinzer Josef;;9.75
1;2e;Kennel Beat;*;9.75
1;2f;Bruhin Fredi (1997);;9.75
1;2g;Streiff Dominik;;9.75
1;2h;Betschart Marcel;;9.75
1;2i;Schindler Thomas;;9.75
1;2j;Gwerder Marco;;9.75
1;2k;Bienz Romeo (1997);;9.75
1;2l;Nötzli Reto;***;9.75
1;2m;Schlachter Lukas;*;9.75
1;2n;Zimmermann Armin;;9.75
1;2o;Bucher Roland;;9.75
1;2p;Arnold Raphael;*;9.75
1;2q;Grab Martin;***;9.75
1;2r;Betschart Michael;;9.75
1;2s;Schelbert Michael;;9.75
1;2t;Staub Devin (1998);;9.75
1;2u;Reichmuth Armin;*;9.75
1;2v;Blaser Theo;;9.75
1;2w;Betschart Silvan;;9.75
1;2x;Rogenmoser Ryan (1999);;9.75
1;2y;Ulrich Roman;;9.75
1;2z;Heinzer Florian;;9.75
1;2z1;Linggi Bruno;**;9.75
1;2z2;Marty Lukas (1998);;9.75
1;2z3;Ulrich Florian;*;9.75
1;2z4;Reichmuth Marco (1997);;9.75
1;2z5;Gwerder Beni;;9.75
1;3a;Schuler Alex;**;9.0
1;3b;Gwerder Guido;**;9.0
1;3c;Betschart Remo;**;9.0
1;3d;Elsener Peter;**;9.0
1;3e;Schuler Philipp;**;9.0
1;3f;Forster Christian (1997);;9.0
1;3g;Wattenhofer Charly (1998);;9.0
1;4a;Zimmermann Martin;*;8.75
1;4b;Flück Bruno;;8.75
1;4c;Schuler Koni;;8.75
1;4d;Rolli Ueli;;8.75
1;4e;Neyer Sven;;8.75
1;4f;Inderbitzin Michael;;8.75
1;4g;Inderbitzin Daniel;*;8.75
1;4h;Zemp Thomas;*;8.75
1;4i;Schmid David;**;8.75
1;4j;Lagler Christian;;8.75
1;4k;Kennel Roger (1999);;8.75
1;4l;Bieri Christian;*;8.75
1;4m;Hurschler Adrian;;8.75
1;4n;Ulrich Marco (1997);;8.75
1;4o;Suter David;**;8.75
1;4p;Hurschler Michael;;8.75
1;4q;Bircher Vital;*;8.75
1;4r;Hösli Fritz;*;8.75
1;4s;Elsener Adrian;*;8.75
1;4t;Keller Janik;;8.75
1;4u;Betschart Patrick (1999);;8.75
1;4v;Villiger Cyrill;*;8.75
1;4w;Suter Kari;;8.75
1;4x;Schindler Roland;;8.75
1;4y;Supper Frederik;;8.75
1;4z;Gwerder Christian;**;8.75
1;4z1;Scheuber Lutz;**;8.75
1;4z2;Kempf Elias;**;8.75
1;4z3;Lüönd Andreas;**;8.75
1;4z4;Bürli Roger (1997);;8.75
1;4z5;Stettler Philipp;*;8.75
1;4z6;Wetzstein Adrian;;8.75
1;4z7;Klauser Nico;;8.75
1;4z8;Kenel Franz-Toni;*;8.75
1;4z9;Ulrich Andreas;***;8.75
1;4z10;Theiler Beat;*;8.75
1;4z11;Waser Dominik;*;8.75
1;4z12;Föhn Pirmin;*;8.75
1;4z13;Kälin Remo;*;8.75
1;4z14;Heinzer Stefan;*;8.75
1;4z15;Forster Adrian;**;8.75
1;4z16;Kempf Damian;;8.75
1;4z17;Wyrsch Marco;*;8.75
1;5a;Keller Markus;*;8.5
1;5b;Zimmermann Reto (1998);;8.5
1;5c;Meier Andreas;;8.5
1;5d;Gwerder Carlo;**;8.5
1;5e;Inderbitzin Karl;;8.5
1;5f;Odermatt Sepp;**;8.5
1;5g;Föhn Michael (1999);;8.5
1;5h;Mahrer Jürg;**;8.5
1;5i;Schelbert Eugen;;8.5
1;5j;Diethelm Samuel;;8.5
1;5k;Rogenmoser Manuel (1999);;8.5
1;5l;Beffa Mario (1997);;8.5
1;5m;Müller Bruno;***;8.5
1;5n;Müller Dominik;;8.5
1;5o;Kälin Dominik (1999);;8.5
1;5p;Wild Kilian (1998);;8.5
1;5q;Keiser Martin;;8.5
1;5r;Stalder Florian (1999);;8.5
1;5s;Kessler Joel (1997);;8.5
1;5t;Schilter Daniel;;8.5
1;5u;Hegglin Marc;;8.5
1;5v;Effinger Markus;*;8.5
1;5w;Suter Beat;;8.5
1;5x;Durrer Fabian (1999);;8.5
1;5y;Betschart Rainer;**;8.5
1;5z;Walker Roger;;8.5
1;5z1;Reimann Marco (1998);;8.5
1;5z2;Zweifel Frowin;;8.5
1;5z3;Schuler Thomas;;8.5
1;5z4;Waser Reto;*;8.5
1;5z5;Ulrich Marcel;;8.5
1;5z6;Forster Pirmin (1999);;8.5
1;5z7;Mangold Martin;;8.5
1;5z8;Dober Adrian (1998);;8.5
1;5z9;Stocker Thomas;**;8.5
1;5z10;Hess Michael;*;8.5
1;5z11;Suppiger René;**;8.5
1;5z12;Widmer Thomas;;8.5
1;5z13;Reichmuth Roland (1997);;8.5
1;5z14;Andermatt Erwin (1999);;8.5
1;5z15;Höfliger Andreas;*;8.5
1;5z16;Würsch Lars;;8.5
1;5z17;Bellmont Ruedi;;8.5
1;5z18;Baumann Lukas;;8.5
1;5z19;Herger Fabian;;8.5
1;5z20;Meier Marcel;;8.5
1;5z21;Ulrich Damian (1999);;8.5
1;5z22;Baumann Marco;;8.5
1;5z23;Schmid Pius (1999);;8.5
1;5z24;Langenegger Simon;;8.5
1;5z25;Bingisser Roman;;8.5
1;5z26;Ulrich Martin;;8.5
1;5z27;Strebel Sandro;**;8.5
1;5z28;Bär Leo;;8.5
1;5z29;Blaser Urs (1997);;8.5
1;5z30;Kälin Roland;**;8.5
1;5z31;Gloggner Philipp;***;8.5
1;5z32;Zimmermann Daniel;*;8.5
1;5z33;Betschart Ernst;;8.5
1;5z34;Andermatt Adrian;;8.5
1;5z35;Wicki Joel (1997);**;8.5
1;5z36;Flühler Markus;;8.5
1;5z37;Brunner Timon (1998);;8.5
1;5z38;Knobel Guido;;8.5
1;5z39;Horat Ramon;;8.5
1;5z40;Bösch Dario (1999);;8.5
1;5z41;Dettling Thomas (1998);;8.5
1;5z42;Moos Thomas;;8.5
1;5z43;Weber Manuel (1999);;8.5
1;5z44;Kälin Benedikt;;8.5
1;5z45;Zimmermann Fabian;;8.5
1;5z46;Wiget Ueli (1999);;8.5
2;1a;Gwerder Dario (1997);;20.0
2;1b;Laimbacher Adrian;***;20.0
2;1c;Schelbert Ralf;;20.0
2;1d;Bürgler Lukas;;20.0
2;1e;Laimbacher Philipp;***;20.0
2;1f;Grab Daniel;;20.0
2;1g;Schuler Christian;***;20.0
2;2a;Moos Christoph;;19.75
2;2b;Gyr Roland;;19.75
2;2c;Bienz Romeo (1997);;19.75
2;2d;Schelbert Roman;;19.75
2;2e;Blaser Theo;;19.75
2;2f;Diener Pirmin;;19.75
2;3a;Grab Martin;***;19.5
2;3b;Betschart Silvan;;19.5
2;4a;Zurfluh Roman;;19.0
2;4b;Betschart Remo;**;19.0
2;4c;Elsener Peter;**;19.0
2;4d;Gwerder Andreas;;19.0
2;4e;Müllestein Mike;**;19.0
2;4f;Suter Paul;;19.0
2;5a;Schuler Alex;**;18.75
2;5b;Laimbacher Alex;;18.75
2;5c;Gwerder Guido;**;18.75
2;5d;Corvi Dominik;;18.75
2;5e;Hurschler Adrian;;18.75
2;5f;Streiff Dominik;;18.75
2;5g;Betschart Daniel;;18.75
2;5h;Nötzli Bruno;***;18.75
2;5i;Hurschler Michael;;18.75
2;5j;Hösli Fritz;*;18.75
2;5k;Nötzli Reto;***;18.75
2;5l;Weber Ivo;;18.75
2;5m;Elsener Manuel;;18.75
2;5n;Elsener Marcel;;18.75
2;5o;Gwerder Christian;**;18.75
2;5p;Kempf Elias;**;18.75
2;5q;Bucher Thomas;;18.75
2;5r;Fassbind René;;18.75
2;5s;Lüönd Andreas;**;18.75
2;5t;Arnold Marcel;;18.75
2;5u;Steinauer Adrian;**;18.75
2;5v;Klauser Nico;;18.75
2;5w;Theiler Beat;*;18.75
2;5x;Ulrich Florian;*;18.75
2;5y;Heinzer Stefan;*;18.75
2;6a;Flück Bruno;;18.5
2;6b;Neyer Sven;;18.5
2;6c;Suter Pirmin (1997);;18.5
2;6d;Elsener Kilian (1997);;18.5
2;6e;Betschart Fabian (1999);;18.5
2;6f;Zemp Thomas;*;18.5
2;6g;Schürpf Bruno;;18.5
2;6h;Mahrer Jürg;**;18.5
2;6i;Schmid Köbi;;18.5
2;6j;Heinzer Ronny;;18.5
2;6k;Müller Bruno;***;18.5
2;6l;Bieri Christian;*;18.5
2;6m;Keiser Martin;;18.5
2;6n;Hess Dominik;;18.5
2;6o;Suter Beat;;18.5
2;6p;Ulrich Pascal (1999);;18.5
2;6q;Grab Martin (1999);;18.5
2;6r;Ulrich Marco (1997);;18.5
2;6s;Schindler Thomas;;18.5
2;6t;Suter David;**;18.5
2;6u;Inderbitzin Patrick;;18.5
2;6v;Kennel Stefan;*;18.5
2;6w;Elsener Adrian;*;18.5
2;6x;Keller Janik;;18.5
2;6y;Diethelm Albert;*;18.5
2;6z;Bucher Roland;;18.5
2;6z1;Widmer Thomas;;18.5
2;6z2;Reichmuth Roland (1997);;18.5
2;6z3;Villiger Cyrill;*;18.5
2;6z4;Stutzer Michael (1999);;18.5
2;6z5;Suter Samuel (1999);;18.5
2;6z6;Bieri Marcel;**;18.5
2;6z7;Höfliger Andreas;*;18.5
2;6z8;Baumann Lukas;;18.5
2;6z9;Scheuber Lutz;**;18.5
2;6z10;Küttel Samuel (1997);;18.5
2;6z11;Märchy Sepp;;18.5
2;6z12;Ulrich Martin;;18.5
