3215: 3215-2021-09-12_125_Nordostschweizer_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Niederer Andreas;;10.0
1;1b;Kolb This (2003);*;10.0
1;1c;Ackermann Rico (2003);*;10.0
1;1d;Baumann Elia;;10.0
1;1e;Fuster Arjuna (2003);;10.0
1;1f;Egli Martin;;10.0
1;1g;Kindlimann Fabian;***;10.0
1;1h;Schneider Mario;**;10.0
1;1i;Giger Samuel;***;10.0
1;1j;Notz Beni;***;10.0
1;1k;Lacher Tobias (2005);;10.0
1;1l;Hinrichs Silvio (2004);;10.0
1;1m;Elmer Daniel;*;10.0
1;1n;Schlegel Reto;*;10.0
1;1o;Keller Lukas;;10.0
1;1p;Odermatt Gian Maria (2004);*;10.0
1;1q;Rüegg Patrick;;10.0
1;1r;Kiser Aron;;10.0
1;1s;Inauen Maurus (2003);;10.0
1;1t;Naef Sandro;;10.0
1;1u;Wittenwiler Roman;*;10.0
1;1v;Schwyn Patrick;;10.0
1;1w;Tschudi Mario;;10.0
1;2a;Kuster Thomas;*;9.75
1;2b;Flütsch Marco;;9.75
1;2c;Poltera Andrin;*;9.75
1;2d;Raschle Urban (2003);;9.75
1;2e;Trümpi Simon;;9.75
1;2f;Elmer Adrian;*;9.75
1;2g;Burkhard Tobias;*;9.75
1;2h;Burkhalter Thomas (2003);*;9.75
1;2i;Ziegler Andreas;;9.75
1;2j;Schiegg Raphael (2005);;9.75
1;2k;Bollhalder Manuel;*;9.75
1;2l;Lenherr Cédric (2003);*;9.75
1;2m;Baumgartner Ramon;*;9.75
1;2n;Bucher Roman (2003);;9.75
1;2o;Vollenweider Jeremy;**;9.75
1;2p;Signer Andy (2003);*;9.75
1;2q;Zumbach Michael;;9.75
1;2r;Heierli Pascal;*;9.75
1;2s;Imhof Gregor;;9.75
1;2t;Rotach Lars;*;9.75
1;2u;Hugelshofer Lars;*;9.75
1;2v;Nüesch Remo;;9.75
1;2w;Good Marco;*;9.75
1;2x;Wey Nicola;*;9.75
1;2y;Oettli Reto (2005);;9.75
1;2z;Hug Jan;;9.75
1;2z1;Schneider Domenic;***;9.75
1;2z2;Krähenbühl Lukas;*;9.75
1;2z3;Graf Nicola (2003);;9.75
1;2z4;Büchler Livio;;9.75
1;2z5;Mathis Patrick;;9.75
1;2z6;Galli Cedric;;9.75
1;2z7;Ulmann Fabian;*;9.75
1;2z8;Fuster Sepp;*;9.75
