3338: 3338-2018-06-24_Fete_Alpestre_Lac_Noir-Bergschwinget_Schwarzsee2-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Gnägi Florian;***;10.0
1;1b;Kramer Lario;**;10.0
1;1c;Schwander Severin;*;10.0
1;1d;Rolli Martin;**;10.0
1;1e;von Büren Stephan;*;10.0
1;1f;Marti Stefan;**;10.0
1;1g;Inniger Thomas;*;10.0
1;1h;Aellen Florian;*;10.0
1;1i;Leuenberger Michael;*;10.0
1;1j;Lerch Jimmy;*;10.0
1;1k;Grossen John;*;10.0
1;1l;Rapin Florent;*;10.0
1;1m;Gerber Christian;**;10.0
1;1n;Renfer Lukas;*;10.0
1;2a;Hermann Oliver;*;9.75
1;2b;Locher Alfred;*;9.75
1;2c;Moser Michael;**;9.75
1;2d;Kämpf Alexander;**;9.75
1;2e;Brand Christian;**;9.75
1;2f;Gobeli Patrick;*;9.75
1;2g;Mathys Simon;**;9.75
1;2h;Wittwer Jan;*;9.75
1;2i;Widmer Tobias;**;9.75
1;2j;Kramer Franz;*;9.75
1;2k;Roch Vincent;**;9.75
1;2l;Hügli Kaj;**;9.75
1;2m;Wüthrich Niklaus;**;9.75
1;2n;Schmid Samuel;**;9.75
1;2o;Steffen Gustav;*;9.75
1;2p;Gehrig Philipp;**;9.75
1;3a;Borcard Johann;**;9.0
1;3b;Stoffel Marc;**;9.0
1;3c;Luginbühl Hanspeter;**;9.0
1;3d;Dind Samuel;**;9.0
1;3e;Thomet Adrian;**;9.0
1;3f;Staudenmann Fabian (2000);**;9.0
1;4a;Ramseier Fritz;**;8.75
1;4b;Thürig Mario;***;8.75
1;4c;Wittwer Josias;*;8.75
1;4d;Dousse Michel;**;8.75
1;4e;Brodard Augustin;**;8.75
1;4f;Minder Florian;**;8.75
1;4g;Bieri Christoph;***;8.75
1;4h;Gehrig Damian;***;8.75
1;4i;Mösching Andy;*;8.75
1;4j;Berger René;**;8.75
1;4k;Hauri Urs;**;8.75
