3343: 3343-2021-06-13_Stoos-Schwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Suppiger René;***;10.0
1;1b;Schwander Severin;**;10.0
1;1c;Bieri Marcel;***;10.0
1;1d;Reichmuth Roland;*;10.0
1;1e;Wittwer Jan;*;10.0
1;1f;Heiniger Marco;*;10.0
1;1g;Schurtenberger Sven;***;10.0
1;1h;Riedo Fredy;*;10.0
1;1i;Ettlin Martin;*;10.0
1;1j;Zangger Dominik;*;10.0
1;1k;Studer Stefan;**;10.0
1;1l;Ducrest Etienne;*;10.0
1;1m;Nötzli Reto;***;10.0
1;1n;Betschart Patrick;*;10.0
1;1o;Zurfluh Roman;**;10.0
1;2a;Ulrich Marco;*;9.75
1;2b;Berger Lorenz;**;9.75
1;2c;Ledermann Michael;*;9.75
1;2d;Wicki Joel;***;9.75
1;2e;Reichmuth Lukas;*;9.75
1;2f;Bucher Christian;*;9.75
1;2g;Egli Damian;**;9.75
1;2h;Gwerder Michael;***;9.75
1;2i;Scherer Niklaus;*;9.75
1;2j;Loup Alexandre;*;9.75
1;2k;Schuler Christian;***;9.75
1;2l;Rohrer Ueli;*;9.75
1;2m;Collaud Romain;*;9.75
1;2n;Hofer Sven;*;9.75
1;2o;Haenni Stéphane;**;9.75
1;3a;Van Messel Noe;**;9.0
1;4a;Borcard Johann;**;8.75
1;4b;Schuler Alex;***;8.75
1;4c;Fellmann Roman;**;8.75
1;4d;Kessler Joel;*;8.75
1;4e;Kennel Beat;*;8.75
1;4f;Hess Dominik;*;8.75
1;4g;Weyermann Florian;**;8.75
1;4h;Klossner Adrian;*;8.75
1;4i;Gobeli Patrick;**;8.75
1;4j;Mathys Simon;**;8.75
1;4k;Gasser Dominik;*;8.75
1;4l;Odermatt Andreas;*;8.75
1;4m;Stöckli Stefan;***;8.75
1;4n;Fankhauser Erich;***;8.75
1;4o;Arnold Raphael;**;8.75
1;4p;Fankhauser Marco;**;8.75
1;4q;Inniger Thomas;***;8.75
1;4r;Betschart Marcel;*;8.75
1;4s;Cardinaux Victor;**;8.75
1;4t;Bürli Roger;**;8.75
1;4u;Kramer Dorian;*;8.75
1;4v;Müllestein Mike;***;8.75
1;4w;Ambühl Joel;**;8.75
1;4x;Arnold Stefan;**;8.75
1;4y;Gottofrey Marc;**;8.75
1;4z;Staudenmann Fabian;***;8.75
1;4z1;von Ah Benji;***;8.75
1;4z2;Gerber Christian;***;8.75
1;4z3;von Weissenfluh Kilian;***;8.75
1;4z4;Matthey Mickaël;**;8.75
1;4z5;Renfer Lukas;**;8.75
1;5a;Lang Sven;**;8.5
1;5b;Durrer Jonas (2003);*;8.5
1;5c;Briker Michael;**;8.5
1;5d;Ramseier Fritz;**;8.5
1;5e;Kramer Lario;***;8.5
1;5f;Steinauer Adrian;**;8.5
1;5g;Durrer Nando;*;8.5
1;5h;Colò Kilian;**;8.5
1;5i;Balimann Sandro;*;8.5
1;5j;Aeschbacher Matthias;***;8.5
1;5k;Dousse Michel;**;8.5
1;5l;Felder Martin;*;8.5
1;5m;Mollet Ivan;**;8.5
1;5n;Müller Roger;*;8.5
1;5o;Schmid Simon;*;8.5
1;5p;Duplan Steve;***;8.5
1;5q;Dufey Gil;*;8.5
1;5r;Piemontesi Pascal;**;8.5
1;5s;Schürpf Bruno;*;8.5
1;5t;Leuenberger Michael;*;8.5
1;5u;Waser Dominik;**;8.5
1;5v;Troxler Jonas;*;8.5
1;5w;Orlik Curdin;***;8.5
