3346: 3346-2018-08-05_111_Nordwestschweizer_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Burren Patrick;;10.0
1;1b;Brügger Joël (2000);;10.0
1;1c;Schillig Willi;**;10.0
1;1d;Leuthard Mario;;10.0
1;1e;Reinhard Pirmin (2001);;10.0
1;1f;Kohler Adrian;;10.0
1;1g;Bieli Andreas;;10.0
1;1h;Schwegler Dominik;;10.0
1;1i;Dobler Florian;;10.0
1;1j;Döbeli Andreas;*;10.0
1;1k;Stoll Simon;*;10.0
1;1l;Rüegger Aaron;*;10.0
1;1m;Schmid Samuel;**;10.0
1;1n;Bruder Adrian;;10.0
1;1o;Müllestein Mike;***;10.0
1;1p;Hitz Florian;;10.0
1;1q;Kropf Marcel;**;10.0
1;1r;Grieder Nonda;;10.0
1;2a;Späti Jan (2002);;9.75
1;2b;Räber Lukas;*;9.75
1;2c;Gerber Manuel;*;9.75
1;2d;Bachmann Sämi (2001);;9.75
1;2e;Nussbaumer Gabriel;;9.75
1;2f;Gapany Benjamin;**;9.75
1;2g;Giger Samuel;***;9.75
1;2h;Bearda Samuel;**;9.75
1;2i;Studinger Stephan;**;9.75
1;2j;Fritz Christian;;9.75
1;2k;Ris Jörn;;9.75
1;2l;Schaub Florent;;9.75
1;2m;Voggensperger Lars (2001);;9.75
1;2n;Brunner Patrick (2002);;9.75
1;2o;Müller Simon;;9.75
1;2p;Streich Sascha (2001);;9.75
1;2q;Gerber Andrj (2000);*;9.75
1;2r;Järmann Florian (2002);;9.75
1;2s;Burkhardt Roy;;9.75
1;2t;Rychen Roger;***;9.75
1;2u;Widmer Dino;;9.75
1;2v;Stark Urban (2000);;9.75
1;2w;Widmer David;;9.75
1;3a;Meyer Markus;;9.0
1;3b;Lisser Beat;*;9.0
1;3c;Stegmüller Klemens;*;9.0
1;3d;Vogel Remo (2001);*;9.0
1;3e;Leuthard Reto;*;9.0
1;4a;Scherrer Johann;**;8.75
1;4b;Waldner Patrick;**;8.75
1;4c;Schaffner Samuel;**;8.75
1;4d;Arnold Kornel;*;8.75
1;4e;Bieri Christoph;***;8.75
1;4f;Hügli Kaj;**;8.75
1;4g;Schmid David;***;8.75
1;4h;Schmutz Simon (2000);;8.75
