3361: 3361-2016-05-22_Fete_Cantonale_Neuchateloise2-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Spring Dominic;;10.0
1;1b;Emonet Fabien;;10.0
1;1c;Barras David;*;10.0
1;1d;Piemontesi Pascal;**;10.0
1;1e;Loup Grégoire (2000);;10.0
1;1f;Haenni Stéphane;**;10.0
1;1g;Gottofrey Luc;;10.0
1;1h;Schöpfer Dio;;10.0
1;1i;Golliard Steve;;10.0
1;1j;Kramer Lario (1998);*;10.0
1;1k;Chèvre Bernard;;10.0
1;1l;Berset Julien;*;10.0
1;1m;Gassmann Simon;;10.0
1;1n;Paupe Alexandre (2000);;10.0
1;1o;Dousse Michel;*;10.0
1;1p;Brodard Augustin;**;10.0
1;1q;Minder Florian;;10.0
1;1r;Roch Vincent;*;10.0
1;1s;Ducry Antoine;;10.0
1;1t;Riedo Fredy;;10.0
1;1u;Torche Bastian;;10.0
1;1v;Hayoz Quentin;;10.0
1;1w;Hayoz Paul (1998);;10.0
1;1x;Schneiter Jérémy;;10.0
1;1y;Schafer Damien;;10.0
1;2a;Wenger Marcel (1999);;9.75
1;2b;Kyburz Silas;;9.75
1;2c;Pouye Diey;*;9.75
1;2d;Niederberger Nicola (2000);;9.75
1;2e;Gapany Benjamin;**;9.75
1;2f;Loup Alexandre;;9.75
1;2g;Maridor Loic;;9.75
1;2h;Derron Julien;;9.75
1;2i;Dubey Gaël;;9.75
1;2j;Kilchoer Alain;;9.75
1;2k;Nydegger Michael;***;9.75
1;2l;Wieland Micha;;9.75
1;2m;Pharisa Loic;;9.75
1;2n;Wampfler Beat;***;9.75
1;2o;Taillard Virgile (1998);;9.75
1;2p;Blanchard Benjamin;;9.75
1;2q;Derron Cédric;*;9.75
1;2r;Rüegg Patrick (1999);;9.75
1;3a;Liaudat Rudy;**;8.75
1;3b;Cropt Harald;**;8.75
1;3c;Schafer Claudio;*;8.75
1;3d;Guisolan Marc;**;8.75
1;3e;Brodard Simon;**;8.75
1;3f;Faivre Cedric;;8.75
1;3g;Lützelschwab Luc (1999);;8.75
1;3h;Duplan Steve;**;8.75
1;3i;Burgy Frank;;8.75
1;3j;Roschi Ruedi;**;8.75
1;3k;Lerch Jimmy;*;8.75
1;3l;Zimmermann Mario;*;8.75
1;3m;Mauron Olivier;*;8.75
1;3n;Gottofrey Marc;**;8.75
1;3o;Parvex Yannick;;8.75
1;3p;Burri Flemming;;8.75
1;3q;Zosso Remo;**;8.75
1;3r;Vonlanthen Alexandre;;8.75
1;3s;Dufey Gil;;8.75
1;3t;Kramer Dorian (1999);;8.75
1;3u;Moser Steven;**;8.75
1;3v;Cardinaux Victor;*;8.75
1;3w;Remy Guillaume;**;8.75
1;3x;Reichenbach Ryan (1999);;8.75
1;4a;Jeannin Jess (2000);;8.5
1;4b;Beer Peter (1999);;8.5
1;4c;Schwander Severin;;8.5
1;4d;Aladenise Jonathan;;8.5
1;4e;Burgy Matt (1999);;8.5
1;4f;Mollet Adrian;;8.5
1;4g;Morger Adrian;;8.5
1;4h;Pellet Michael;**;8.5
1;4i;Zingrich Jan (1999);;8.5
1;4j;Blanchette Nicolas;;8.5
1;4k;Bersier Jean-Jacques;;8.5
1;4l;Gauch Thierry;;8.5
1;4m;Dind Samuel;**;8.5
1;4n;Pürro Tobias;;8.5
1;4o;Barras François (1998);;8.5
1;4p;Cottier Marco (2000);;8.5
1;4q;Borcard Clovis (1999);;8.5
1;4r;Mosimann Vincent;*;8.5
1;4s;Overney Olivier;*;8.5
1;4t;Buchs Carlo;;8.5
1;4u;Glauser Thomas;**;8.5
1;4v;Wittwer Oliver (2000);;8.5
1;4w;Curty Alexandre;;8.5
1;4x;Joliat Léo (1999);;8.5
1;4y;Borcard Johann;**;8.5
1;4z;Thiébaud Adrian;;8.5
1;4z1;Droxler Jonathan;*;8.5
1;4z2;Emonet Frédéric;*;8.5
1;4z3;Goy Sébastien;;8.5
1;4z4;Roux Dimitri;;8.5
1;4z5;Skryapnik Oleg;*;8.5
1;4z6;Berset Cyril;*;8.5
1;4z7;Z'Rotz Elias (2000);;8.5
1;4z8;Jacquier Pascal;;8.5
1;4z9;Giroud Jonathan;**;8.5
1;4z10;Kropf Rolf;**;8.5
1;4z11;Heiniger Mickaël;;8.5
1;4z12;Chavagnat Benoît (1999);;8.5
1;4z13;Mollier Etienne;;8.5
1;4z14;Portmann Fabio (1998);;8.5
1;4z15;Parvex Bryan;;8.5
2;1a;Dousse Michel;*;20.0
2;1b;Minder Florian;;20.0
2;1c;Ducry Antoine;;20.0
2;1d;Riedo Fredy;;20.0
2;1e;Hayoz Quentin;;20.0
2;2a;Gapany Benjamin;**;19.75
2;2b;Brodard Augustin;**;19.75
2;2c;Taillard Virgile (1998);;19.75
2;3a;Liaudat Rudy;**;18.75
2;3b;Barras David;*;18.75
2;3c;Duplan Steve;**;18.75
2;3d;Roschi Ruedi;**;18.75
2;3e;Piemontesi Pascal;**;18.75
2;3f;Haenni Stéphane;**;18.75
2;3g;Gottofrey Luc;;18.75
2;3h;Gottofrey Marc;**;18.75
2;3i;Parvex Yannick;;18.75
2;3j;Gassmann Simon;;18.75
2;3k;Zosso Remo;**;18.75
2;3l;Dufey Gil;;18.75
2;3m;Cardinaux Victor;*;18.75
2;3n;Hayoz Paul (1998);;18.75
2;3o;Derron Cédric;*;18.75
2;4a;Wenger Marcel (1999);;18.5
2;4b;Spring Dominic;;18.5
2;4c;Guisolan Marc;**;18.5
2;4d;Schwander Severin;;18.5
2;4e;Brodard Simon;**;18.5
2;4f;Aladenise Jonathan;;18.5
2;4g;Burgy Matt (1999);;18.5
2;4h;Emonet Fabien;;18.5
2;4i;Lützelschwab Luc (1999);;18.5
2;4j;Pellet Michael;**;18.5
2;4k;Burgy Frank;;18.5
2;4l;Loup Grégoire (2000);;18.5
2;4m;Lerch Jimmy;*;18.5
2;4n;Dind Samuel;**;18.5
2;4o;Zimmermann Mario;*;18.5
2;4p;Mauron Olivier;*;18.5
2;4q;Overney Olivier;*;18.5
2;4r;Buchs Carlo;;18.5
2;4s;Glauser Thomas;**;18.5
2;4t;Schöpfer Dio;;18.5
2;4u;Golliard Steve;;18.5
2;4v;Nydegger Michael;***;18.5
2;4w;Kramer Lario (1998);*;18.5
2;4x;Chèvre Bernard;;18.5
2;4y;Berset Julien;*;18.5
2;4z;Droxler Jonathan;*;18.5
2;4z1;Burri Flemming;;18.5
2;4z2;Wampfler Beat;***;18.5
2;4z3;Roch Vincent;*;18.5
2;4z4;Torche Bastian;;18.5
2;4z5;Moser Steven;**;18.5
2;4z6;Giroud Jonathan;**;18.5
2;4z7;Kropf Rolf;**;18.5
2;4z8;Heiniger Mickaël;;18.5
2;4z9;Chavagnat Benoît (1999);;18.5
2;4z10;Schneiter Jérémy;;18.5
2;4z11;Schafer Damien;;18.5
2;4z12;Rüegg Patrick (1999);;18.5
2;5a;Kyburz Silas;;18.25
2;5b;Pouye Diey;*;18.25
2;5c;Niederberger Nicola (2000);;18.25
2;5d;Loup Alexandre;;18.25
2;5e;Maridor Loic;;18.25
2;5f;Derron Julien;;18.25
2;5g;Gauch Thierry;;18.25
2;5h;Pürro Tobias;;18.25
2;5i;Barras François (1998);;18.25
2;5j;Mosimann Vincent;*;18.25
2;5k;Dubey Gaël;;18.25
2;5l;Wittwer Oliver (2000);;18.25
2;5m;Joliat Léo (1999);;18.25
2;5n;Kilchoer Alain;;18.25
2;5o;Borcard Johann;**;18.25
2;5p;Wieland Micha;;18.25
2;5q;Pharisa Loic;;18.25
2;5r;Blanchard Benjamin;;18.25
2;5s;Jacquier Pascal;;18.25
2;6a;Cropt Harald;**;17.5
2;6b;Beer Peter (1999);;17.5
2;6c;Schafer Claudio;*;17.5
2;6d;Bersier Jean-Jacques;;17.5
2;7a;Faivre Cedric;;17.25
2;7b;Vonlanthen Alexandre;;17.25
2;7c;Emonet Frédéric;*;17.25
2;7d;Kramer Dorian (1999);;17.25
2;7e;Remy Guillaume;**;17.25
2;7f;Reichenbach Ryan (1999);;17.25
2;8a;Jeannin Jess (2000);;17.0
2;8b;Mollet Adrian;;17.0
2;8c;Morger Adrian;;17.0
2;8d;Zingrich Jan (1999);;17.0
2;8e;Blanchette Nicolas;;17.0
2;8f;Cottier Marco (2000);;17.0
2;8g;Borcard Clovis (1999);;17.0
2;8h;Curty Alexandre;;17.0
2;8i;Thiébaud Adrian;;17.0
2;8j;Goy Sébastien;;17.0
2;8k;Roux Dimitri;;17.0
2;8l;Skryapnik Oleg;*;17.0
2;8m;Berset Cyril;*;17.0
2;8n;Z'Rotz Elias (2000);;17.0
2;8o;Mollier Etienne;;17.0
2;8p;Portmann Fabio (1998);;17.0
2;8q;Parvex Bryan;;17.0
2;9a;Paupe Alexandre (2000);;10.0
3;1a;Ducry Antoine;;30.0
3;2a;Duplan Steve;**;28.75
3;2b;Roschi Ruedi;**;28.75
3;2c;Zosso Remo;**;28.75
3;2d;Minder Florian;;28.75
3;2e;Hayoz Quentin;;28.75
3;2f;Derron Cédric;*;28.75
3;3a;Guisolan Marc;**;28.5
3;3b;Schwander Severin;;28.5
3;3c;Piemontesi Pascal;**;28.5
3;3d;Dind Samuel;**;28.5
3;3e;Glauser Thomas;**;28.5
3;3f;Nydegger Michael;***;28.5
3;3g;Kramer Lario (1998);*;28.5
3;3h;Chèvre Bernard;;28.5
3;3i;Berset Julien;*;28.5
3;3j;Burri Flemming;;28.5
3;3k;Dousse Michel;*;28.5
3;3l;Brodard Augustin;**;28.5
3;3m;Riedo Fredy;;28.5
3;3n;Moser Steven;**;28.5
3;3o;Hayoz Paul (1998);;28.5
3;4a;Wenger Marcel (1999);;28.25
3;4b;Burgy Matt (1999);;28.25
3;4c;Pouye Diey;*;28.25
3;4d;Gapany Benjamin;**;28.25
3;4e;Barras François (1998);;28.25
3;4f;Overney Olivier;*;28.25
3;4g;Schöpfer Dio;;28.25
3;4h;Kilchoer Alain;;28.25
3;4i;Golliard Steve;;28.25
3;4j;Borcard Johann;**;28.25
3;4k;Roch Vincent;*;28.25
3;4l;Taillard Virgile (1998);;28.25
3;4m;Giroud Jonathan;**;28.25
3;5a;Derron Julien;;28.0
3;5b;Pürro Tobias;;28.0
3;5c;Pharisa Loic;;28.0
3;5d;Blanchard Benjamin;;28.0
3;6a;Barras David;*;27.75
3;7a;Beer Peter (1999);;27.5
3;7b;Lützelschwab Luc (1999);;27.5
3;7c;Haenni Stéphane;**;27.5
3;7d;Gottofrey Marc;**;27.5
3;7e;Gassmann Simon;;27.5
3;7f;Cardinaux Victor;*;27.5
3;8a;Liaudat Rudy;**;27.25
3;8b;Kyburz Silas;;27.25
3;8c;Aladenise Jonathan;;27.25
3;8d;Loup Grégoire (2000);;27.25
3;8e;Bersier Jean-Jacques;;27.25
3;8f;Zimmermann Mario;*;27.25
3;8g;Gottofrey Luc;;27.25
3;8h;Dubey Gaël;;27.25
3;8i;Buchs Carlo;;27.25
3;8j;Parvex Yannick;;27.25
3;8k;Torche Bastian;;27.25
3;8l;Dufey Gil;;27.25
3;9a;Spring Dominic;;27.0
3;9b;Brodard Simon;**;27.0
3;9c;Emonet Fabien;;27.0
3;9d;Mollet Adrian;;27.0
3;9e;Pellet Michael;**;27.0
3;9f;Burgy Frank;;27.0
3;9g;Lerch Jimmy;*;27.0
3;9h;Cottier Marco (2000);;27.0
3;9i;Mauron Olivier;*;27.0
3;9j;Mosimann Vincent;*;27.0
3;9k;Curty Alexandre;;27.0
3;9l;Droxler Jonathan;*;27.0
