3363: 3363-2016-05-29_Fete_Cantonale_Vaudoise2-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Nydegger Michael;***;10.0
1;1b;Liaudat Rudy;**;10.0
1;1c;Mariéthoz Grégory (1999);;10.0
1;1d;Chèvre Bernard;;10.0
1;1e;Berset Julien;*;10.0
1;1f;Schwander Severin;;10.0
1;1g;Emonet Fabien;;10.0
1;1h;Mollet Adrian;;10.0
1;1i;Minder Florian;;10.0
1;1j;Roch Vincent;*;10.0
1;1k;Ducry Antoine;*;10.0
1;1l;Riedo Fredy;;10.0
1;1m;Torche Bastian;;10.0
1;1n;Hayoz Quentin;;10.0
1;1o;Moser Steven;**;10.0
1;1p;Cottier Marco (2000);;10.0
1;1q;Pittet Guillaume;;10.0
1;1r;Haenni Stéphane;**;10.0
1;1s;Buchs Carlo;;10.0
1;1t;Gottofrey Marc;**;10.0
1;1u;Schöpfer Dio;;10.0
1;1v;Quiot Didier;;10.0
1;1w;Rappo Yann (1998);;10.0
1;1x;Curty Alexandre;;10.0
1;2a;Berset Frédéric;**;9.75
1;2b;Schafer Claudio;*;9.75
1;2c;Dousse Michel;*;9.75
1;2d;Lützelschwab Luc (1999);;9.75
1;2e;Maridor Loic;;9.75
1;2f;Burgy Frank;;9.75
1;2g;Bersier Jean-Jacques;;9.75
1;2h;Barras François (1998);;9.75
1;2i;Mosimann Vincent;*;9.75
1;2j;Hayoz Paul (1998);*;9.75
1;2k;Chavagnat Benoît (1999);;9.75
1;2l;Portmann Fabio (1998);;9.75
1;3a;Kramer Dorian (1999);;9.0
1;3b;Cardinaux Victor;*;9.0
1;3c;Mauron Olivier;*;9.0
1;3d;Rüegg Patrick (1999);;9.0
1;4a;Colò Kilian (1999);;8.75
1;4b;Borcard Johann;**;8.75
1;4c;Parvex Yannick;;8.75
1;4d;Droxler Jonathan;*;8.75
1;4e;Guisolan Marc;**;8.75
1;4f;Zosso Remo;**;8.75
1;4g;Morger Adrian;*;8.75
1;4h;Brodard Augustin;**;8.75
1;4i;Gapany Benjamin;**;8.75
1;4j;Loup Alexandre;;8.75
1;4k;Pellet Michael;**;8.75
1;4l;Remy Guillaume;**;8.75
1;4m;Overney Olivier;*;8.75
1;4n;Kropf Rolf;**;8.75
1;4o;Schafer Damien;;8.75
1;5a;Golliard Steve;;8.5
1;5b;Kramer Lario (1998);*;8.5
1;5c;Cropt Harald;**;8.5
1;5d;Thiébaud Adrian;;8.5
1;5e;Crettaz Olivier;;8.5
1;5f;Gassmann Simon;;8.5
1;5g;Brodard Simon;**;8.5
1;5h;Aladenise Jonathan;;8.5
1;5i;Burgy Matt (1999);;8.5
1;5j;Bugnon Cédric;;8.5
1;5k;Pürro Fabrice (1999);;8.5
1;5l;Emonet Frédéric;*;8.5
1;5m;Vaucher Rémy (1999);;8.5
1;5n;Goy Sébastien;;8.5
1;5o;Dufey Gil;;8.5
1;5p;Zingrich Jan (1999);;8.5
1;5q;Piemontesi Pascal;**;8.5
1;5r;Loup Grégoire (2000);;8.5
1;5s;Taillard Virgile (1998);;8.5
1;5t;Blanchette Nicolas;;8.5
1;5u;Gauch Thierry;;8.5
1;5v;Roux Dimitri;;8.5
1;5w;Lerch Jimmy;*;8.5
1;5x;Pürro Tobias;;8.5
1;5y;Berset Cyril;*;8.5
1;5z;Paradiso Yannick;;8.5
1;5z1;Zimmermann Mario;*;8.5
1;5z2;Dubey Gaël;;8.5
1;5z3;Jacquier Pascal;;8.5
1;5z4;Giroud Jonathan;**;8.5
1;5z5;Heiniger Mickaël;;8.5
1;5z6;Schneiter Jérémy;;8.5
1;5z7;Hochuli Samuel (1998);;8.5
1;5z8;Buchs Remo (1999);;8.5
1;5z9;Derron Cédric;*;8.5
1;5z10;Glauser Thomas;**;8.5
2;1a;Nydegger Michael;***;20.0
2;1b;Schwander Severin;;20.0
2;1c;Moser Steven;**;20.0
2;1d;Haenni Stéphane;**;20.0
2;1e;Buchs Carlo;;20.0
2;1f;Schöpfer Dio;;20.0
2;2a;Chèvre Bernard;;19.75
2;2b;Ducry Antoine;*;19.75
2;2c;Gottofrey Marc;**;19.75
2;3a;Chavagnat Benoît (1999);;19.5
2;3b;Portmann Fabio (1998);;19.5
2;4a;Cardinaux Victor;*;19.0
2;4b;Mauron Olivier;*;19.0
2;5a;Liaudat Rudy;**;18.75
2;5b;Mariéthoz Grégory (1999);;18.75
2;5c;Droxler Jonathan;*;18.75
2;5d;Guisolan Marc;**;18.75
2;5e;Brodard Augustin;**;18.75
2;5f;Minder Florian;;18.75
2;5g;Gapany Benjamin;**;18.75
2;5h;Hayoz Quentin;;18.75
2;5i;Remy Guillaume;**;18.75
2;5j;Schafer Damien;;18.75
2;5k;Rüegg Patrick (1999);;18.75
2;6a;Colò Kilian (1999);;18.5
2;6b;Kramer Lario (1998);*;18.5
2;6c;Cropt Harald;**;18.5
2;6d;Berset Julien;*;18.5
2;6e;Gassmann Simon;;18.5
2;6f;Aladenise Jonathan;;18.5
2;6g;Burgy Matt (1999);;18.5
2;6h;Emonet Fabien;;18.5
2;6i;Morger Adrian;*;18.5
2;6j;Mollet Adrian;;18.5
2;6k;Roch Vincent;*;18.5
2;6l;Riedo Fredy;;18.5
2;6m;Torche Bastian;;18.5
2;6n;Dufey Gil;;18.5
2;6o;Zingrich Jan (1999);;18.5
2;6p;Piemontesi Pascal;**;18.5
2;6q;Taillard Virgile (1998);;18.5
2;6r;Lerch Jimmy;*;18.5
2;6s;Cottier Marco (2000);;18.5
2;6t;Pittet Guillaume;;18.5
2;6u;Jacquier Pascal;;18.5
2;6v;Overney Olivier;*;18.5
2;6w;Schneiter Jérémy;;18.5
2;6x;Quiot Didier;;18.5
2;6y;Rappo Yann (1998);;18.5
2;6z;Curty Alexandre;;18.5
2;7a;Golliard Steve;;18.25
2;7b;Berset Frédéric;**;18.25
2;7c;Schafer Claudio;*;18.25
2;7d;Crettaz Olivier;;18.25
2;7e;Dousse Michel;*;18.25
2;7f;Lützelschwab Luc (1999);;18.25
2;7g;Maridor Loic;;18.25
2;7h;Burgy Frank;;18.25
2;7i;Bersier Jean-Jacques;;18.25
2;7j;Pürro Tobias;;18.25
2;7k;Barras François (1998);;18.25
2;7l;Zimmermann Mario;*;18.25
2;7m;Mosimann Vincent;*;18.25
2;7n;Hayoz Paul (1998);*;18.25
2;7o;Dubey Gaël;;18.25
2;7p;Giroud Jonathan;**;18.25
2;8a;Kramer Dorian (1999);;17.75
2;9a;Borcard Johann;**;17.5
2;9b;Zosso Remo;**;17.5
2;9c;Pellet Michael;**;17.5
2;9d;Kropf Rolf;**;17.5
2;10a;Parvex Yannick;;17.25
2;10b;Brodard Simon;**;17.25
2;10c;Loup Alexandre;;17.25
2;10d;Derron Cédric;*;17.25
2;11a;Thiébaud Adrian;;17.0
2;11b;Bugnon Cédric;;17.0
2;11c;Pürro Fabrice (1999);;17.0
2;11d;Emonet Frédéric;*;17.0
2;11e;Vaucher Rémy (1999);;17.0
2;11f;Goy Sébastien;;17.0
2;11g;Loup Grégoire (2000);;17.0
2;11h;Blanchette Nicolas;;17.0
2;11i;Gauch Thierry;;17.0
2;11j;Roux Dimitri;;17.0
2;11k;Berset Cyril;*;17.0
2;11l;Paradiso Yannick;;17.0
2;11m;Heiniger Mickaël;;17.0
2;11n;Hochuli Samuel (1998);;17.0
2;11o;Buchs Remo (1999);;17.0
2;11p;Glauser Thomas;**;17.0
3;1a;Moser Steven;**;30.0
3;2a;Nydegger Michael;***;29.75
3;2b;Chèvre Bernard;;29.75
3;3a;Cardinaux Victor;*;29.0
3;4a;Liaudat Rudy;**;28.75
3;4b;Guisolan Marc;**;28.75
3;4c;Hayoz Quentin;;28.75
3;4d;Remy Guillaume;**;28.75
3;5a;Schwander Severin;;28.5
3;5b;Gassmann Simon;;28.5
3;5c;Burgy Matt (1999);;28.5
3;5d;Brodard Augustin;**;28.5
3;5e;Gapany Benjamin;**;28.5
3;5f;Torche Bastian;;28.5
3;5g;Piemontesi Pascal;**;28.5
3;5h;Haenni Stéphane;**;28.5
3;5i;Buchs Carlo;;28.5
