3377: 3377-2016-05-01_111_Thurgauer_Kantonales_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Dumelin David;*;10.0
1;1b;Huber Pascal;*;10.0
1;1c;Odermatt Christoph;*;10.0
1;1d;Büsser André;;10.0
1;1e;Orlik Armon;**;10.0
1;1f;Marty Jaime (2000);;10.0
1;1g;Steiner Michael;**;10.0
1;1h;Oettli Marco;;10.0
1;1i;Gwerder Andreas;**;10.0
1;1j;Kuster Marcel;**;10.0
1;1k;Salnajs Leo (1998);;10.0
1;1l;Weber Erwin (2000);;10.0
1;1m;Hochholdinger Roman;**;10.0
1;1n;Truniger Manuel;;10.0
1;1o;Vogel Thomas;;10.0
1;1p;Tritten Robin (1998);;10.0
1;1q;Siegenthaler Tobias;*;10.0
1;1r;Raymann David;;10.0
1;1s;Keller Dominic;;10.0
1;1t;Blaser Andre (2000);;10.0
1;1u;Gartmann Mauro;;10.0
1;1v;Beck Dominik;;10.0
1;1w;Koch Thomas;;10.0
1;1x;Inauen Aurel;;10.0
1;1y;Koch Reto;;10.0
1;1z;Schläpfer Matthias;*;10.0
1;2a;Thiemann Fabrice;;9.75
1;2b;Tanner Adrian;;9.75
1;2c;Hungerbühler Marcel;;9.75
1;2d;Schmid Patrick;*;9.75
1;2e;Coray Beda;*;9.75
1;2f;Landolt Reto;*;9.75
1;2g;Aerne Christian;;9.75
1;2h;Giger Samuel (1998);**;9.75
1;2i;Egli Martin;;9.75
1;2j;Burkhard Roger;;9.75
1;2k;Raschle Adrian;;9.75
1;2l;Schneider Mario;**;9.75
1;2m;Fejzaj Naim;*;9.75
1;2n;Tremp Remo (1999);;9.75
1;2o;Bösch Daniel;***;9.75
1;2p;Zbinden Marc;*;9.75
1;2q;Schönenberger Philipp;;9.75
1;2r;Wittenwiler Roman (1998);;9.75
1;2s;Götti Samuel (1998);;9.75
1;2t;Fässler Patrick;;9.75
1;2u;Straub Robin;*;9.75
1;2v;Keller Lukas;;9.75
1;2w;Wetter Dominik;;9.75
1;2x;Oertig Dominik;*;9.75
1;2y;Nägeli Marco;*;9.75
1;2z;Koller Fabian;;9.75
1;2z1;Pfleghart Remo;;9.75
1;2z2;Odermatt Leon (1999);;9.75
1;2z3;Fuster Sepp;;9.75
1;2z4;Frauchiger Remo;;9.75
1;2z5;Bickel Roman (1998);;9.75
1;2z6;Keller Andreas;;9.75
1;3a;Bühler Ernst;**;9.0
1;3b;Freuler Franz;**;9.0
1;3c;Hengartner Ivo;;9.0
1;4a;Kuster Thomas;*;8.75
1;4b;Lötscher Abraham (2000);;8.75
1;4c;Buchmann Michael;;8.75
1;4d;Bernold Michael (1999);;8.75
1;4e;Poltera Andrin (1999);;8.75
1;4f;Hersche Martin;**;8.75
1;4g;Rüegg Fabian;*;8.75
1;4h;Notz Armin;*;8.75
1;4i;Blaser Jan;*;8.75
1;4j;Alder Armin;;8.75
1;4k;Koller Martin;*;8.75
1;4l;Oertle Daniel;;8.75
1;4m;Brügger Stefan;*;8.75
1;4n;Keller Werner;;8.75
1;4o;Hälg Joel (1998);;8.75
1;4p;Notz Beni;***;8.75
1;4q;Glaus Martin;***;8.75
1;4r;Bernold Christian;*;8.75
1;4s;Sprecher Sandro;*;8.75
1;4t;Schweingruber Thomas;;8.75
1;4u;Roth Lukas;*;8.75
