3378: 3378-2016-07-10_Appenzeller_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Koller Martin;*;17.5
1;2a;Kammermann Dominik;;10.0
1;2b;Ackermann Roman;;10.0
1;2c;Hersche Martin;**;10.0
1;2d;Wirth Adrian;;10.0
1;2e;Dobler Lorenz (2000);;10.0
1;2f;Alder Armin;;10.0
1;2g;Oertle Daniel;;10.0
1;2h;Fehr Michael;;10.0
1;2i;Roth Martin;*;10.0
1;2j;Giger Lorenz (2000);;10.0
1;2k;Harder Benj;;10.0
1;2l;Funk Nicola (1999);;10.0
1;2m;Marty Jaime (2000);;10.0
1;2n;Keller Stefan (1998);;10.0
1;2o;Güntensperger Marcel;*;10.0
1;2p;Horner Sämi;;10.0
1;2q;Wittenwiler Roman (1998);;10.0
1;2r;Kuster Marcel;**;10.0
1;2s;Pianta Christian;;10.0
1;2t;Elmer Daniel;*;10.0
1;2u;Oettli Silvio (2000);;10.0
1;2v;Dobler Mathias;;10.0
1;2w;Langenegger Remo;;10.0
1;2x;Frei Hanspeter (1999);;10.0
1;2y;Vollmeier Sandro;;10.0
1;2z;Koller Fabian;;10.0
1;2z1;Fuster Sepp;;10.0
1;2z2;Zwyssig Raphael;***;10.0
1;2z3;Koch Thomas;;10.0
1;2z4;Bickel Roman (1998);*;10.0
1;2z5;Thoma Christoph;;10.0
1;2z6;Koch Reto;;10.0
1;3a;Kuster Thomas;*;9.75
1;3b;Schmid Patrick;*;9.75
1;3c;Elmer Adrian;;9.75
1;3d;Frick Andreas;*;9.75
1;3e;Coray Beda;*;9.75
1;3f;Landolt Reto;*;9.75
1;3g;Pﬁffner Ivo;;9.75
1;3h;Raschle Simon (1999);;9.75
1;3i;Oertig Adrian;**;9.75
1;3j;Keller Werner;;9.75
1;3k;Raschle Adrian;;9.75
1;3l;Junker Nik;;9.75
1;3m;Hersche Stefan;;9.75
1;3n;Bösch Daniel;***;9.75
1;3o;Steiner Michael;**;9.75
1;3p;Dändliker Shane;;9.75
1;3q;Götti Samuel (1998);;9.75
1;3r;Hersche Daniel;;9.75
1;3s;Thoma Nils (1999);;9.75
1;3t;Schneider Domenic;**;9.75
1;3u;Krähenbühl Lukas;*;9.75
1;3v;Schlegel Reto;*;9.75
1;3w;Bänziger Peter;;9.75
1;3x;Breitenmoser Manuel;;9.75
1;3y;Fässler Andreas;**;9.75
1;3z;Scherer Christian;*;9.75
1;4a;Fejzaj Naim;**;9.0
1;4b;Jöhl Christian;*;9.0
1;4c;Bernold Christian;**;9.0
1;4d;Good Marco;*;9.0
1;4e;Korrodi Paul;*;9.0
1;4f;Raymann David;*;9.0
1;4g;Dörig Erich;*;9.0
1;5a;Tanner Adrian;;8.75
1;5b;Lehmann Philipp (1999);;8.75
1;5c;Poltera Andrin (1999);;8.75
1;5d;Rüegg Fabian;*;8.75
1;5e;Koller Andreas (1998);;8.75
1;5f;Rieser Fabian;;8.75
1;5g;Signer Patrick (1999);;8.75
1;5h;Bleiker Daniel;;8.75
1;5i;Rüegg Roman;*;8.75
1;5j;Hengartner Ivo;;8.75
1;5k;Schnyder Christian;;8.75
1;5l;Candrian Gian-Luca (1998);;8.75
1;5m;Roth Andreas;;8.75
1;5n;Inauen Marco (1999);;8.75
1;5o;Salnajs Leo (1998);;8.75
1;5p;Breitenmoser Simon;;8.75
1;5q;Fässler Patrick;;8.75
1;5r;Speck Christof (1999);;8.75
1;5s;Odermatt Martin;*;8.75
1;5t;Lanter Christian (1998);;8.75
1;5u;Streule Marco;;8.75
1;5v;Oertig Dominik;**;8.75
1;5w;Burkhalter Stefan;***;8.75
1;5x;Bischof Martin;;8.75
1;5y;Schiesser Patrik (1998);;8.75
1;5z;Kammermann Thomas;*;8.75
1;5z1;Bleiker Reto;*;8.75
1;5z2;Giger Urs;*;8.75
1;5z3;Leuppi Samir;**;8.75
1;5z4;Inauen Aurel;;8.75
1;5z5;Schläpfer Matthias;*;8.75
1;6a;Vestner Bruno;*;8.5
1;6b;Bürki Patrik (1999);;8.5
1;6c;Bucher Roland;;8.5
1;6d;Bürgler Patrick;;8.5
1;6e;Langenegger Beat;;8.5
1;6f;Notz Armin;*;8.5
1;6g;Schönenberger Björn;;8.5
1;6h;Dumelin David;*;8.5
1;6i;Grob Krischan (1999);;8.5
1;6j;Riedi Thomas;;8.5
1;6k;Fässler Michael (1999);;8.5
1;6l;Bless Michael;***;8.5
1;6m;Klee Sandro (1999);;8.5
1;6n;Schoch René (1999);;8.5
1;6o;Ackermann Remo;*;8.5
1;6p;Schneider Mario;**;8.5
1;6q;Rusch Andreas (1998);;8.5
1;6r;Kiser Michael (1998);;8.5
1;6s;Burkhard Patrick;*;8.5
1;6t;Schoch Cornel (1998);;8.5
1;6u;Gwerder Andreas;**;8.5
1;6v;Mösli Reto;;8.5
