3393: 3393-2016-06-05_Schaffhauser_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Bucher Roland;;10.0
1;1b;Schiess Christian;;10.0
1;1c;Notz Hans;*;10.0
1;1d;Hersche Stefan;;10.0
1;1e;Sieber Marc (2000);;10.0
1;1f;Blaser Niklas;;10.0
1;1g;Oettli Marco;*;10.0
1;1h;Dändliker Shane;;10.0
1;1i;Wittenwiler Roman (1998);;10.0
1;1j;Schuler Martin;;10.0
1;1k;Surbeck Peter;*;10.0
1;1l;Wey Nicola;*;10.0
1;1m;Rhyner Michael;**;10.0
1;1n;Straub Robin;*;10.0
1;1o;Keller Lukas;;10.0
1;1p;Schnurrenberger Roman;**;10.0
1;1q;Schwyn Patrick (1999);;10.0
1;1r;Hodler Mathias;;10.0
1;1s;Rentsch Christian (1998);;10.0
1;1t;Brand Andreas;*;10.0
1;2a;Kammermann Dominik;;9.75
1;2b;Hari Michi;;9.75
1;2c;Forrer Arnold;***;9.75
1;2d;Ulmann Fabian (1999);;9.75
1;2e;Pfiffner Ivo;;9.75
1;2f;Oertig Simon;;9.75
1;2g;Schudel Simon;*;9.75
1;2h;Baumann Rico;*;9.75
1;2i;Büsser André;;9.75
1;2j;Knup Stephan;;9.75
1;2k;Straub Paul;;9.75
1;2l;Fejzaj Naim;*;9.75
1;2m;Good Marco;*;9.75
1;2n;Furrer Damian (1998);;9.75
1;2o;Akeret Benno;*;9.75
1;2p;Schwyn Adrian;;9.75
1;2q;Frei Hanspeter (1999);;9.75
1;2r;Vollmeier Sandro;;9.75
1;2s;Pfleghart Remo;;9.75
1;2t;Reichmuth Beat;;9.75
1;2u;Ammann Rico;*;9.75
1;2v;Keller Dominic;;9.75
1;2w;Vollenweider Jeremy (1998);*;9.75
1;2x;Pfister Florian;*;9.75
1;3a;Notz Armin;*;8.75
1;3b;Dumelin David;*;8.75
1;3c;Streuli Martin;*;8.75
1;3d;Frick Andreas;*;8.75
1;3e;Odermatt Christoph;*;8.75
1;3f;Aerne Christian;;8.75
1;3g;Oertig Adrian;**;8.75
1;3h;Winzeler Simon (2000);;8.75
1;3i;Jöhl Christian;*;8.75
1;3j;Näf Pius;*;8.75
1;3k;Eugster Ruedi;**;8.75
1;3l;Steiner Michael;**;8.75
1;3m;Zbinden Marc;*;8.75
1;3n;Schönenberger Philipp;;8.75
1;3o;Burkhard Patrick;*;8.75
1;3p;Stahel Felix;*;8.75
1;3q;Danner Daniel;;8.75
1;3r;Vestner Roman;*;8.75
1;3s;Holenstein Christian;*;8.75
1;3t;Rüegger Remo (1999);;8.75
1;3u;Oertig Dominik;*;8.75
1;3v;Ott Dominik;*;8.75
1;3w;Wickli Beat;**;8.75
1;3x;Schönenberger Christian;;8.75
1;3y;Bühler Hannes;*;8.75
1;3z;Leuppi Samir;**;8.75
1;3z1;Wolfer Lukas;;8.75
1;3z2;Rütsche Stefan;*;8.75
1;3z3;Kamer Hanspeter;*;8.75
1;4a;Knechtle Martin;**;8.5
1;4b;Hungerbühler Marcel;;8.5
1;4c;Poltera Andrin (1999);;8.5
1;4d;Gysel Hansruedi;;8.5
1;4e;Bürgler Patrick;;8.5
1;4f;Odermatt Michi;;8.5
1;4g;Arztmann Beda;;8.5
1;4h;Riedi Thomas;;8.5
1;4i;Rüegg Roman;*;8.5
1;4j;Schoch René (1999);;8.5
1;4k;Kindlimann Fabian;***;8.5
1;4l;Junker Nik;;8.5
1;4m;Bill Ruedi;;8.5
1;4n;Braun Mathias;*;8.5
1;4o;Schnyder Christian;;8.5
1;4p;Ueltschi Patric;*;8.5
1;4q;Inauen Marco (1999);;8.5
1;4r;Meier Daniel;;8.5
1;4s;Blaser Gian (1998);;8.5
1;4t;Winzeler Dominik (2000);;8.5
1;4u;Ott Matthias (1999);;8.5
1;4v;Bernold Edi;**;8.5
1;4w;Pianta Christian;;8.5
1;4x;Elmer Daniel;*;8.5
1;4y;Horner Peter;**;8.5
1;4z;Hauser Simon (1998);;8.5
1;4z1;Vogel Thomas;;8.5
1;4z2;Räbsamen Marcel (2000);;8.5
1;4z3;Schegg Michael;;8.5
1;4z4;Leuppi Karim;*;8.5
1;4z5;Läng Dominick;;8.5
1;4z6;Schnurrenberger Roger;;8.5
1;4z7;Frauchiger Remo;;8.5
1;4z8;Bäbler Dominik;*;8.5
1;4z9;Schmucki Ivo;;8.5
1;4z10;Ochsner Reto (2000);;8.5
1;4z11;Bickel Roman (1998);*;8.5
1;4z12;Keller Andreas;*;8.5
1;4z13;Schäfli Severin;;8.5
1;4z14;Dörig Erich;*;8.5
2;1a;Hodler Mathias;;20.0
2;2a;Forrer Arnold;***;19.75
2;2b;Oertig Simon;;19.75
2;2c;Notz Hans;*;19.75
2;2d;Baumann Rico;*;19.75
2;2e;Dändliker Shane;;19.75
2;2f;Wey Nicola;*;19.75
2;2g;Rhyner Michael;**;19.75
2;2h;Schwyn Patrick (1999);;19.75
2;2i;Rentsch Christian (1998);;19.75
2;3a;Büsser André;;19.5
2;3b;Schwyn Adrian;;19.5
2;3c;Keller Dominic;;19.5
2;4a;Dumelin David;*;18.75
2;4b;Oertig Adrian;**;18.75
2;4c;Näf Pius;*;18.75
2;4d;Eugster Ruedi;**;18.75
2;4e;Zbinden Marc;*;18.75
2;4f;Good Marco;*;18.75
2;4g;Vestner Roman;*;18.75
2;4h;Holenstein Christian;*;18.75
2;4i;Pfleghart Remo;;18.75
2;4j;Ammann Rico;*;18.75
2;4k;Wickli Beat;**;18.75
2;4l;Bühler Hannes;*;18.75
2;4m;Pfister Florian;*;18.75
2;4n;Leuppi Samir;**;18.75
2;4o;Rütsche Stefan;*;18.75
2;5a;Kammermann Dominik;;18.5
2;5b;Hungerbühler Marcel;;18.5
2;5c;Bucher Roland;;18.5
2;5d;Schiess Christian;;18.5
2;5e;Poltera Andrin (1999);;18.5
2;5f;Pfiffner Ivo;;18.5
