3395: 3395-2016-07-31_Bruenigschwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Cropt Harald;**;10.0
1;1b;Kämpf Alexander;**;10.0
1;1c;Sommer Roman;*;10.0
1;1d;Stöckli Stefan;**;10.0
1;1e;Roschi Ruedi;**;10.0
1;1f;Gloggner Reto;**;10.0
1;1g;Sempach Thomas;***;10.0
1;1h;Baumann Roger;*;10.0
1;1i;Graber Michael;*;10.0
1;1j;Gloggner Philipp;***;10.0
1;1k;Reichmuth Marco;**;10.0
1;1l;Bloch Dominic;**;10.0
1;1m;Egli Damian;**;10.0
1;1n;Kenel Franz-Toni;*;10.0
1;1o;Nötzli Bruno;***;10.0
1;1p;Müllestein Mike;**;10.0
1;1q;Kropf Rolf;**;10.0
1;2a;Bernhard Lukas;*;9.75
1;2b;Bucher Roland;*;9.75
1;2c;Binggeli Dominik;*;9.75
1;2d;Odermatt Andreas;*;9.75
1;2e;Gwerder Christian;**;9.75
1;2f;Gasser Stefan;**;9.75
1;2g;Kälin Roland;**;9.75
1;2h;Hurschler Thomas;**;9.75
1;2i;Odermatt Christian;**;9.75
1;2j;Steinauer Adrian;**;9.75
1;2k;Zenger Niklaus;***;9.75
1;2l;Bürgi Reto;*;9.75
1;2m;Dousse Michel;**;9.75
1;2n;Brodard Augustin;**;9.75
1;2o;Küttel Pirmin;**;9.75
1;2p;Brun Jonas;**;9.75
1;2q;Gassmann Fabian;**;9.75
1;2r;Kämpf Bernhard;***;9.75
1;3a;Suppiger Werner;**;9.0
1;3b;Piemontesi Pascal;**;9.0
1;3c;Gwerder Guido;**;9.0
1;3d;Vogel Remo;**;9.0
1;3e;Borcard Johann;**;9.0
1;3f;Aeschbacher Matthias;**;9.0
1;3g;Sempach Matthias;***;9.0
1;3h;Schuler Christian;***;9.0
1;3i;Schenkel Adrian;**;9.0
1;3j;Mathis Marcel;***;9.0
1;3k;Gehrig Philipp;**;9.0
1;4a;Zimmermann Martin;**;8.75
