3417: 3417-2016-06-12_Stoos-Schwinget2-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Hess Dominik;*;10.0
1;1b;Bieri Marcel;**;10.0
1;1c;Gassmann Michael;*;10.0
1;1d;Effinger Markus;*;10.0
1;1e;Höfliger Andreas;**;10.0
1;1f;Schuler Philipp;**;10.0
1;1g;Betschart Rainer;**;10.0
1;1h;Bürgler André;*;10.0
1;1i;Ulrich Andreas;***;10.0
1;1j;Heinzer Stefan;*;10.0
1;1k;Müllestein Mike;**;10.0
1;1l;Bader Andreas;*;10.0
1;1m;Kennel Stefan;*;10.0
1;1n;Stalder Remo;***;10.0
1;1o;Alpiger Nick;**;10.0
1;1p;Mathis Marcel;***;10.0
1;1q;Gloggner Philipp;***;10.0
1;2a;Zimmermann Martin;**;9.75
1;2b;Bernhard Lukas;*;9.75
1;2c;Suppiger René;**;9.75
1;2d;Kennel Beat;*;9.75
1;2e;Schelbert Ralf;**;9.75
1;2f;Voggensperger Janic (1998);*;9.75
1;2g;Küttel Pirmin;**;9.75
1;2h;Britschgi Melk;**;9.75
1;2i;Arnold Andreas;*;9.75
1;2j;Arnold Stefan;**;9.75
1;2k;Nötzli Reto;***;9.75
1;2l;von Ah Benji;***;9.75
1;2m;Egli David;*;9.75
1;2n;Muff Armin;**;9.75
1;2o;Kälin Roland;**;9.75
1;3a;Briker Michael;*;9.0
1;3b;Widmer Tobias;**;9.0
1;3c;Müller Michael;**;9.0
1;4a;Schuler Alex;**;8.75
1;4b;Nietlispach Pascal;**;8.75
1;4c;Fankhauser Reto;**;8.75
1;4d;Gwerder Dario;*;8.75
1;4e;Gerber Manuel;*;8.75
1;4f;Winiger Fabian;**;8.75
1;4g;Stöckli Stefan;**;8.75
1;4h;Imboden Roger;**;8.75
1;4i;Fankhauser Erich;***;8.75
1;4j;Kocher Remo;**;8.75
1;4k;Hügli Kaj;*;8.75
1;4l;Kenel Franz-Toni;*;8.75
1;4m;Bürgler Lukas;*;8.75
1;4n;Inderbitzin Daniel;*;8.75
1;4o;Diener Pirmin;*;8.75
1;4p;Egli Manuel;*;8.75
1;4q;Thalmann Thomas;*;8.75
1;4r;Hasler Florian;**;8.75
1;4s;Leuthard Reto;*;8.75
1;4t;Brun Samuel (1999);*;8.75
1;4u;Schnider Markus;*;8.75
1;4v;Betschart Remo;**;8.75
1;4w;Moser Matthias;*;8.75
1;4x;Gassmann Fabian;**;8.75
1;4y;Scherer Adrian;*;8.75
1;4z;Gasser Stefan;**;8.75
1;4z1;Koch Roger;*;8.75
1;5a;Müller Toni;*;8.5
1;5b;Scherrer Johann;**;8.5
1;5c;Waldner Patrick;**;8.5
1;5d;Odermatt Christian;**;8.5
1;5e;Hermann Oliver;*;8.5
1;5f;Schnell Mathias;*;8.5
1;5g;Bernet Christoph;*;8.5
1;5h;Egli Damian;**;8.5
1;5i;Heiniger Marco;*;8.5
1;5j;Laimbacher Philipp;***;8.5
1;5k;Schurtenberger Sven;**;8.5
1;5l;Bisig Thomas;**;8.5
1;5m;Schuler Christian;***;8.5
1;5n;Nötzli Bruno;***;8.5
1;5o;Klausner Yanick;**;8.5
1;5p;Hauri Urs;**;8.5
1;5q;Imhof Andi;***;8.5
1;5r;Kempf Elias;**;8.5
1;5s;Schmid David;**;8.5
1;5t;Strebel Joel;**;8.5
1;5u;Fink Bruno;*;8.5
1;5v;Schmid Samuel;**;8.5
1;5w;Döbeli Lukas (2000);*;8.5
1;5x;Brun Jonas;**;8.5
1;5y;Probst Gabriel;**;8.5
1;5z;Stüdeli Thomas;**;8.5
1;5z1;Bättig Martin;*;8.5
1;5z2;Räbmatter Patrick;**;8.5
2;1a;Höfliger Andreas;**;20.0
2;1b;Betschart Rainer;**;20.0
2;1c;Bürgler André;*;20.0
2;1d;Gloggner Philipp;***;20.0
2;2a;Arnold Stefan;**;19.75
2;2b;Alpiger Nick;**;19.75
2;3a;Suppiger René;**;19.5
2;3b;Schelbert Ralf;**;19.5
2;3c;Voggensperger Janic (1998);*;19.5
2;4a;Müller Michael;**;19.0
2;5a;Bieri Marcel;**;18.75
2;5b;Gwerder Dario;*;18.75
2;5c;Kocher Remo;**;18.75
2;5d;Egli Manuel;*;18.75
2;5e;Ulrich Andreas;***;18.75
2;5f;Thalmann Thomas;*;18.75
2;5g;Hasler Florian;**;18.75
2;5h;Müllestein Mike;**;18.75
2;5i;Nötzli Reto;***;18.75
2;5j;Kennel Stefan;*;18.75
2;5k;Mathis Marcel;***;18.75
2;6a;Zimmermann Martin;**;18.5
2;6b;Schuler Alex;**;18.5
2;6c;Hess Dominik;*;18.5
2;6d;Nietlispach Pascal;**;18.5
2;6e;Gerber Manuel;*;18.5
2;6f;Gassmann Michael;*;18.5
2;6g;Effinger Markus;*;18.5
2;6h;Schuler Philipp;**;18.5
2;6i;Heiniger Marco;*;18.5
2;6j;Laimbacher Philipp;***;18.5
2;6k;Bisig Thomas;**;18.5
2;6l;Schuler Christian;***;18.5
2;6m;Bürgler Lukas;*;18.5
2;6n;Nötzli Bruno;***;18.5
2;6o;Inderbitzin Daniel;*;18.5
2;6p;Küttel Pirmin;**;18.5
2;6q;Heinzer Stefan;*;18.5
2;6r;Bader Andreas;*;18.5
2;6s;von Ah Benji;***;18.5
2;6t;Stalder Remo;***;18.5
2;6u;Räbmatter Patrick;**;18.5
2;7a;Bernhard Lukas;*;18.25
2;7b;Odermatt Christian;**;18.25
