3430: 3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Zimmermann Martin;*;17.5
1;2a;Heinzer Stefan;*;17.25
1;3a;Ulrich Marco;;10.0
1;3b;Briker Michael;*;10.0
1;3c;Doppmann Urs;;10.0
1;3d;Schmid Köbi;;10.0
1;3e;Vogel Remo;*;10.0
1;3f;Wicki Patrick;;10.0
1;3g;Niederberger Markus;*;10.0
1;3h;Ambühl Joel (1998);*;10.0
1;3i;Hurschler Thomas;**;10.0
1;3j;Bieri Elias;;10.0
1;3k;Binggeli Stefan;*;10.0
1;3l;Scherer Niklaus;;10.0
1;3m;Betschart Rainer;**;10.0
1;3n;Bisig Thomas;**;10.0
1;3o;Nötzli Bruno;***;10.0
1;3p;Betschart Marcel;;10.0
1;3q;Jund Matthias (1999);;10.0
1;3r;Brun Jonas;**;10.0
1;3s;Arnold Stefan;**;10.0
1;3t;Kennel Stefan;*;10.0
1;3u;Lang Sven (1998);*;10.0
1;3v;Betschart Patrick (1999);;10.0
1;3w;Elsener Manuel;;10.0
1;3x;Villiger Cyrill;*;10.0
1;3y;Gwerder Dario;*;10.0
1;3z;Fässler Dominic;*;10.0
1;3z1;Müller Michael;**;10.0
1;3z2;Imhof Andi;***;10.0
1;3z3;Zimmermann Simon;*;10.0
1;3z4;Betschart Silvan;*;10.0
1;3z5;Käslin Benno;*;10.0
1;3z6;Schuler Christian;***;10.0
1;3z7;Rohrer Ivan;*;10.0
1;3z8;Schöpfer Ronny (1999);;10.0
1;3z9;Fink Bruno;*;10.0
1;3z10;Müllestein Mike;**;10.0
1;3z11;Bürgi Tobias;;10.0
1;4a;Schuler Alex;**;9.75
1;4b;Eﬃnger Peter;;9.75
1;4c;Zemp Thomas;*;9.75
1;4d;Bürli Roger;*;9.75
1;4e;Achermann Christoph;*;9.75
1;4f;Heinzer Josef;;9.75
1;4g;Thierstein Marco;;9.75
1;4h;Schelbert Ralf;**;9.75
1;4i;Müller Roger;;9.75
1;4j;Bürgler Lukas;*;9.75
1;4k;Egli Manuel;*;9.75
1;4l;Hirsiger Alexander;;9.75
1;4m;Bircher Vital;*;9.75
1;4n;Fellmann Roman;*;9.75
1;4o;Suppiger René;**;9.75
1;4p;Bucher Christian (1998);;9.75
