3448: 3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Odermatt Andreas;*;19.75
1;2a;Doppmann Ueli (1998);;10.0
1;2b;Bernet Christoph;*;10.0
1;2c;Vogel Manuel (1998);;10.0
1;2d;Stöckli Stefan;**;10.0
1;2e;Doppmann Urs;;10.0
1;2f;Schärli Reto;;10.0
1;2g;Wicki Patrick;;10.0
1;2h;Rohrer Ueli (1999);;10.0
1;2i;Emmenegger Lukas;;10.0
1;2j;Thierstein Marco;;10.0
1;2k;Bieri Elias;;10.0
1;2l;Krummenacher Roman (1998);;10.0
1;2m;Zgraggen Peter;;10.0
1;2n;Lang Julian (1998);;10.0
1;2o;Hasler Florian;**;10.0
1;2p;Jund Matthias (1999);;10.0
1;2q;Wyrsch Silvio (1998);;10.0
1;2r;Tanner Manuel;;10.0
1;2s;Hirsiger Alexander;;10.0
1;2t;Vogel Marcel;;10.0
1;2u;Senn Pirmin;;10.0
1;2v;Portmann Roger (1998);;10.0
1;2w;Lang Sven (1998);*;10.0
1;2x;Kurmann Toni (1998);;10.0
1;2y;Suppiger René;**;10.0
1;2z;Elmiger Matthias;;10.0
1;2z1;Bühler Patrice;;10.0
1;2z2;Wigger Florian (1998);;10.0
1;2z3;Schmidiger Marco;;10.0
1;2z4;Hodel Martin;;10.0
1;2z5;Ziegler Dominik;;10.0
1;2z6;Reber Sandro;;10.0
1;2z7;Suppiger Thomas;;10.0
1;2z8;Bühlmann Daniel (2000);;10.0
1;2z9;Ziegler Elias (1999);;10.0
1;2z10;Schuler Christian;***;10.0
1;2z11;Egli Christian (2000);;10.0
1;2z12;Zgraggen Fabian;;10.0
1;2z13;Fellmann Simon;;10.0
1;3a;Heiniger Luca (1998);;9.75
1;3b;Kurmann Jvo;;9.75
1;3c;Fischer Markus (2000);;9.75
1;3d;Achermann Simon;;9.75
1;3e;Bürli Roger;;9.75
1;3f;Bussmann Martin;;9.75
1;3g;Lustenberger David (2000);;9.75
1;3h;Ambühl Joel (1998);;9.75
1;3i;Gerber Peter;;9.75
1;3j;Stampﬂi Simon;;9.75
1;3k;Müller Roger;;9.75
1;3l;Fahrni Lukas;;9.75
1;3m;Gisler Stefan;;9.75
1;3n;Widmer Dominik;;9.75
1;3o;Betschart Remo;**;9.75
1;3p;Kammermann Dominik;;9.75
1;3q;Fellmann Roman;;9.75
1;3r;Felder Seppi;;9.75
1;3s;Reusser Philipp;**;9.75
1;3t;Stöckli Damian;;9.75
1;3u;Fankhauser Reto;**;9.75
1;3v;Egli Damian;**;9.75
1;3w;Felder Martin;;9.75
1;3x;Rohrer Ivan;*;9.75
1;3y;Bättig Peter;;9.75
1;3z;Schöpfer Ronny (1999);;9.75
1;3z1;Affentranger Martin (1999);;9.75
1;3z2;Stadelmann Pascal (1998);;9.75
1;3z3;Marti Christoph (1999);;9.75
1;3z4;Marti Lukas;;9.75
1;3z5;Scheuber Stefan;;9.75
1;3z6;Barmet Sven;;9.75
1;3z7;Troxler Jonas (2000);;9.75
1;4a;Muff André;*;9.0
1;4b;Dober Adrian;*;9.0
1;4c;Reichmuth Marco;*;9.0
1;4d;Scherer Niklaus;;9.0
1;4e;Wicki David (1998);;9.0
1;4f;Müller Michael;**;9.0
1;4g;Wigger Simon (1999);;9.0
1;4h;Herger Fabian;*;9.0
1;4i;Ramseier Fritz;*;9.0
1;5a;Müller Toni;*;8.75
1;5b;Schuler Alex;**;8.75
1;5c;Bernhard Lukas;*;8.75
1;5d;Bachmann Adrian;;8.75
1;5e;Lemmenmeier Lukas;;8.75
1;5f;Schärli Pius;*;8.75
1;5g;Dissler Philipp;;8.75
1;5h;Schärli Lukas;**;8.75
1;5i;Murpf Dario (1999);;8.75
1;5j;Ottiger Lukas;;8.75
1;5k;Vogel Remo;*;8.75
1;5l;Achermann Christoph;*;8.75
1;5m;Zurﬂuh Markus;**;8.75
1;5n;Gubbi Pablo (2000);;8.75
1;5o;Sidler Kuno;;8.75
1;5p;Scherer Adrian;*;8.75
1;5q;Bieri Christian;*;8.75
1;5r;Schaller Noah (2000);;8.75
1;5s;Imboden Roger;**;8.75
1;5t;Egli Manuel;*;8.75
1;5u;Vonlaufen Alexander;**;8.75
1;5v;Fankhauser Kurt;**;8.75
1;5w;Schnider Markus;*;8.75
1;5x;Brun Jonas;**;8.75
1;5y;Arnold Stefan;**;8.75
1;5z;Stucki Christian;;8.75
1;5z1;Mathis Marcel;***;8.75
1;5z2;Egli Pirmin;**;8.75
1;5z3;Scherrer Patrick;;8.75
1;5z4;Wicki Joel;**;8.75
1;5z5;Wicki Kevin;;8.75
1;5z6;Achermann Daniel;;8.75
1;5z7;Fässler Dominic;*;8.75
1;5z8;Scheidegger Philipp;**;8.75
1;5z9;Suppiger Werner;**;8.75
1;5z10;von Flüe Marco;;8.75
1;5z11;Suppiger Martin;***;8.75
1;5z12;Achermann Severin (2000);;8.75
1;5z13;Scheuber Lutz;**;8.75
1;5z14;Thalmann Thomas;*;8.75
1;5z15;Bucher Thomas;;8.75
1;5z16;Graber Michael;*;8.75
1;5z17;Bättig Martin;*;8.75
1;5z18;Schöpfer Thomas;*;8.75
1;5z19;Gloggner Philipp;***;8.75
1;5z20;Huser Christian (2000);;8.75
1;5z21;Schmid Simon (2000);;8.75
1;5z22;Andermatt Adrian;;8.75
1;5z23;Lustenberger Josef;;8.75
1;5z24;Schurtenberger Sven;**;8.75
1;5z25;Pedrazzini Diego (1998);;8.75
1;5z26;Zaugg Thomas;***;8.75
1;5z27;Kammermann Thomas;*;8.75
1;5z28;Portmann Josef;*;8.75
1;5z29;Stadelmann Pius;*;8.75
1;5z30;Koch Roger;*;8.75
1;6a;Grüter Marcel (1999);;8.5
1;6b;Heller Basil (2000);;8.5
1;6c;Rust Sandro (1999);;8.5
1;6d;Zihlmann Silvan (2000);;8.5
1;6e;Wyss Fabian;;8.5
1;6f;Kottmann Jonas (2000);;8.5
1;6g;Weber Roman (1999);;8.5
1;6h;Bärtschi Basil;;8.5
1;6i;Ambühl Patrick;;8.5
1;6j;Gloggner Reto;**;8.5
1;6k;Lampart Maurus (2000);;8.5
1;6l;Wüest David (2000);;8.5
1;6m;Elmiger Andreas;;8.5
1;6n;Vogel Sven (2000);;8.5
1;6o;Kaufmann Fabian;;8.5
1;6p;Kottmann Michael (1999);;8.5
1;6q;Schmid Joel (1999);;8.5
1;6r;Bühlmann Robin (1999);;8.5
1;6s;Egli Jonas (2000);;8.5
1;6t;Mignola Michele (2000);;8.5
1;6u;Durrer Robin;;8.5
1;6v;Egli Samuel (1999);;8.5
1;6w;Suter Beat;;8.5
1;6x;Gisler Ruedi;;8.5
1;6y;Schenk Thomas;*;8.5
1;6z;Bühlmann Lukas (1999);;8.5
1;6z1;Duss Fabian;;8.5
1;6z2;Hodel Dominik (2000);;8.5
1;6z3;Wigger Fabian (1998);;8.5
1;6z4;Fischer Tobias;;8.5
1;6z5;Müller Severin (1999);;8.5
1;6z6;Hodler Mathias;;8.5
1;6z7;Wobmann Linus (1999);;8.5
1;6z8;Gerber Christian;**;8.5
1;6z9;Fallegger Franco (1999);;8.5
1;6z10;Di Pietro Loris (1998);;8.5
1;6z11;Zürcher Ueli (2000);;8.5
1;6z12;Nauer Robin;;8.5
1;6z13;Baumann Reto;;8.5
1;6z14;Widmer Simon;;8.5
1;6z15;Burri Ueli;;8.5
1;6z16;Arnold Fabian;;8.5
1;6z17;Benz Simon (2000);;8.5
1;6z18;Hodel Michael (2000);;8.5
1;6z19;Kempf Elias;**;8.5
1;6z20;Schumacher Daniel (2000);;8.5
1;6z21;Bruhin Fredi;;8.5
1;6z22;Ambühl Remo (2000);;8.5
1;6z23;Stäger Franz (2000);;8.5
1;6z24;Fallegger Andreas (1998);;8.5
1;6z25;Stadelmann Simon;*;8.5
1;6z26;Staffelbach Beat (2000);;8.5
1;6z27;Stocker Janosch (1999);;8.5
1;6z28;Amrein Lukas (1999);;8.5
1;6z29;Kottmann Marco (1999);;8.5
1;6z30;Heiniger Marco;*;8.5
1;6z31;Michel Silvan;;8.5
1;6z32;Fankhauser Erich;***;8.5
1;6z33;Fankhauser Ueli;;8.5
1;6z34;Mignola Lorenzo;;8.5
1;6z35;Schöpfer Luca (2000);;8.5
1;6z36;Weber Marc (1999);;8.5
1;6z37;Fink Bruno;*;8.5
1;6z38;Arnold David;;8.5
1;6z39;Zürcher Christian (1998);;8.5
1;6z40;Ziegler Manuel;;8.5
1;6z41;Lampart Valentin (2000);;8.5
1;6z42;Egli David;*;8.5
1;6z43;Muff Armin;**;8.5
2;1a;Odermatt Andreas;*;37.0
2;2a;Doppmann Urs;;20.0
2;2b;Schärli Reto;;20.0
2;2c;Wicki Patrick;;20.0
2;2d;Emmenegger Lukas;;20.0
2;2e;Kurmann Toni (1998);;20.0
2;2f;Schmidiger Marco;;20.0
2;2g;Suppiger Thomas;;20.0
2;3a;Heiniger Luca (1998);;19.75
2;3b;Achermann Simon;;19.75
2;3c;Bürli Roger;;19.75
2;3d;Ambühl Joel (1998);;19.75
2;3e;Bieri Elias;;19.75
2;3f;Fellmann Roman;;19.75
2;3g;Suppiger René;**;19.75
2;3h;Felder Seppi;;19.75
2;3i;Stöckli Damian;;19.75
2;3j;Egli Damian;**;19.75
2;3k;Schuler Christian;***;19.75
2;3l;Zgraggen Fabian;;19.75
2;4a;Bussmann Martin;;19.5
2;4b;Reusser Philipp;**;19.5
2;4c;Felder Martin;;19.5
2;4d;Scheuber Stefan;;19.5
2;4e;Barmet Sven;;19.5
2;5a;Thierstein Marco;;19.0
2;5b;Wicki David (1998);;19.0
2;5c;Hirsiger Alexander;;19.0
2;5d;Senn Pirmin;;19.0
2;5e;Portmann Roger (1998);;19.0
2;5f;Elmiger Matthias;;19.0
2;5g;Ramseier Fritz;*;19.0
2;5h;Fellmann Simon;;19.0
2;6a;Bachmann Adrian;;18.75
2;6b;Bernet Christoph;*;18.75
2;6c;Stöckli Stefan;**;18.75
2;6d;Muff André;*;18.75
2;6e;Lemmenmeier Lukas;;18.75
2;6f;Dissler Philipp;;18.75
2;6g;Ottiger Lukas;;18.75
2;6h;Vogel Remo;*;18.75
2;6i;Rohrer Ueli (1999);;18.75
2;6j;Gubbi Pablo (2000);;18.75
2;6k;Gerber Peter;;18.75
2;6l;Scherer Niklaus;;18.75
2;6m;Müller Roger;;18.75
2;6n;Zgraggen Peter;;18.75
2;6o;Egli Manuel;*;18.75
2;6p;Hasler Florian;**;18.75
2;6q;Wyrsch Silvio (1998);;18.75
