3486: 3486-2016-07-10_Rigi_Schwing-_und_Aelplerfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Sempach Matthias;***;10.0
1;1b;Aellen Florian;*;10.0
1;1c;Sempach Thomas;***;10.0
1;1d;Thomet Adrian;**;10.0
1;1e;Reichmuth Armin;*;10.0
1;1f;Anderegg Simon;***;10.0
1;1g;Kälin Remo;*;10.0
1;1h;Kennel Stefan;**;10.0
1;1i;Stucki Christian;***;10.0
1;2a;Borcard Johann;**;9.75
1;2b;Gnägi Florian;***;9.75
1;2c;Käser Remo;**;9.75
1;2d;Moser Michael;**;9.75
1;2e;Kennel Beat;*;9.75
1;2f;Betschart Rainer;**;9.75
1;2g;Gapany Benjamin;**;9.75
1;2h;Emonet Frédéric;*;9.75
1;2i;Roschi Ruedi;**;9.75
1;2j;Bürgler Lukas;*;9.75
1;2k;Linggi Bruno;**;9.75
1;2l;Wüthrich Niklaus;**;9.75
1;2m;Dind Samuel;**;9.75
1;2n;Bürli Roger;**;9.75
1;2o;Waser Reto;*;9.75
1;2p;Gottofrey Marc;**;9.75
1;2q;Lang Sven (1998);*;9.75
1;2r;Wyrsch Marco;*;9.75
1;3a;Zimmermann Martin;**;9.0
1;3b;Schelbert Ralf;**;9.0
1;3c;Roch Vincent;**;9.0
1;3d;Reusser Philipp;**;9.0
1;3e;Heinzer Stefan;*;9.0
1;3f;Kämpf Bernhard;***;9.0
1;4a;Wenger Kilian;***;8.75
1;4b;Kämpf Alexander;**;8.75
1;4c;Weyermann Florian;*;8.75
1;4d;Bloch Dominic;**;8.75
1;4e;Guisolan Marc;**;8.75
1;4f;Gwerder Dario;**;8.75
1;4g;Odermatt Andreas;*;8.75
1;4h;Gwerder Carlo;**;8.75
1;4i;Aeschbacher Matthias;**;8.75
1;4j;Brodard Augustin;**;8.75
1;4k;Felder Seppi;*;8.75
1;4l;Müller Michael;**;8.75
1;4m;Höfliger Andreas;**;8.75
1;4n;Dober Adrian;**;8.75
1;4o;Heiniger Marco;*;8.75
1;4p;Murer Andy;*;8.75
1;4q;Fankhauser Erich;***;8.75
1;4r;Imfeld Peter;***;8.75
1;4s;Wampfler Beat;***;8.75
1;4t;Schurtenberger Sven;**;8.75
1;4u;Arnold Raphael;*;8.75
1;4v;Rolli Martin;**;8.75
1;4w;Rohrer Ivan;**;8.75
1;4x;Kempf Elias;**;8.75
1;4y;Waser Dominik;**;8.75
1;4z;Küttel Pirmin;**;8.75
1;4z1;Vogel Remo;**;8.75
1;4z2;Haenni Stéphane;**;8.75
1;4z3;Studer Stefan;**;8.75
1;4z4;Brun Jonas;**;8.75
1;4z5;Overney Olivier;*;8.75
