3578: 3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Heinzer Stefan;*;20.0
1;2a;Zimmermann Martin;*;10.0
1;2b;Elsener Manuel;;10.0
1;2c;Villiger Cyrill;*;10.0
1;2d;Gwerder Dario;;10.0
1;2e;Gabriel Christian (2000);;10.0
1;2f;Moos Christoph;;10.0
1;2g;Grab Martin;***;10.0
1;2h;Inderbitzin Daniel;*;10.0
1;2i;Zemp Thomas;*;10.0
1;2j;Schmid Köbi;;10.0
1;2k;Reichmuth Armin;*;10.0
1;2l;Corvi Dominik;;10.0
1;2m;Blaser Theo;*;10.0
1;2n;Bieri Christian;*;10.0
1;2o;Kessler Joel;;10.0
1;2p;Hurschler Adrian;;10.0
1;2q;Reichmuth Roland;;10.0
1;2r;Schelbert Ralf;**;10.0
1;2s;Schuler Philipp;**;10.0
1;2t;Andermatt Adrian;;10.0
1;2u;Suter Beat;;10.0
1;2v;Blattmann Philipp (2000);;10.0
1;2w;Schilliger Sven (2000);;10.0
1;2x;Betschart Marcel;;10.0
1;2y;Ulrich Andreas;***;10.0
1;2z;Linggi Bruno;**;10.0
1;2z1;Schindler Thomas;;10.0
1;2z2;Gwerder Marco;;10.0
1;2z3;Hurschler Michael;;10.0
1;2z4;Amgarten Martin;;10.0
1;2z5;Hasler Florian;**;10.0
1;2z6;Nötzli Reto;***;10.0
1;2z7;Kennel Stefan;*;10.0
1;2z8;Ulrich Marcel;;10.0
1;2z9;Suter Paul;;10.0
1;2z10;Gwerder Beni;;10.0
1;2z11;Egli David;*;10.0
1;3a;Ulrich Marco;;9.75
1;3b;Schuler Daniel;;9.75
1;3c;Briker Michael;*;9.75
1;3d;Andermatt Erwin (1999);;9.75
1;3e;Zimmermann Reto (1998);;9.75
1;3f;Lengacher Jonas;**;9.75
1;3g;Nauer Robin;;9.75
1;3h;Bucher Christian (1998);;9.75
1;3i;Elsener Marcel;;9.75
1;3j;Eﬃnger Peter;;9.75
1;3k;Küttel Samuel;;9.75
1;3l;Supper Frederik;;9.75
1;3m;Schürpf Bruno;;9.75
1;3n;Gwerder Dominik;;9.75
1;3o;Bucher Thomas;;9.75
1;3p;Lagler Christian;;9.75
1;3q;Staub Devin (1998);;9.75
1;3r;Gwerder Guido;**;9.75
1;3s;Arnold Marcel;;9.75
1;3t;Ambühl Joel (1998);;9.75
1;3u;Schöpfer Thomas;*;9.75
1;3v;Burkhalter Daniel (1999);;9.75
1;3w;Höﬂiger Andreas;**;9.75
1;3x;Gwerder Michael (2000);;9.75
1;3y;Birchler Fabian (2000);;9.75
1;3z;Schuler Christian;***;9.75
1;3z1;Bürgler Lukas;;9.75
1;3z2;Kempf Damian;;9.75
1;4a;Gwerder Christian;**;9.0
1;4b;Strebel Sandro;**;9.0
1;4c;Fässler Cornel;*;9.0
1;4d;Theiler Beat;*;9.0
1;5a;Elsener Peter;**;8.75
1;5b;Schuler Alex;**;8.75
1;5c;Bucher Roland;*;8.75
1;5d;Bieri Marcel;**;8.75
1;5e;Schelbert Roman;;8.75
1;5f;Gwerder Carlo;**;8.75
1;5g;Imfeld Beat;;8.75
1;5h;Laimbacher Philipp;***;8.75
1;5i;Neyer Sven;;8.75
1;5j;Schmid Pirmin (2000);;8.75
1;5k;Baumann Lukas;;8.75
1;5l;Reichmuth Pirmin;**;8.75
1;5m;Baumann Marco;;8.75
1;5n;Schärli Lukas;**;8.75
1;5o;Bingisser Roman;;8.75
1;5p;Lüönd Andreas;**;8.75
1;5q;Bär Leo;;8.75
1;5r;Grab Daniel;**;8.75
1;5s;Bruhin Fredi;;8.75
1;5t;Kälin Roland;**;8.75
1;5u;Gut Koni;;8.75
1;5v;Elsener Kilian;;8.75
1;5w;Reichmuth Marco;*;8.75
1;5x;Beffa Mario;;8.75
1;5y;Nietlispach Pascal;**;8.75
1;5z;Wittwer Jan;*;8.75
1;5z1;Rogenmoser Ryan (1999);;8.75
1;5z2;Luginbühl Hanspeter;**;8.75
1;5z3;Betschart Rainer;**;8.75
1;5z4;Bürgler André;*;8.75
1;5z5;Kenel Franz-Toni;*;8.75
1;5z6;Betschart Daniel;;8.75
1;5z7;Brunner Timon (1998);;8.75
1;5z8;Nötzli Bruno;***;8.75
1;5z9;Heinzer Florian;;8.75
1;5z10;Föhn Pirmin;*;8.75
1;5z11;Fink Bruno;*;8.75
1;5z12;Schnider Markus;*;8.75
1;5z13;Schuler Thomas;;8.75
1;5z14;Hirsiger Alexander;;8.75
1;5z15;Kälin Remo;*;8.75
