3581: 3581-2018-05-10_Baselstaedtischer_Schwingertag-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Erb Roger;**;10.0
1;1b;Furrer Mathias;;10.0
1;1c;Schillig Willi;**;10.0
1;1d;Huber Fabian;;10.0
1;1e;Jakober Daniel;;10.0
1;1f;Reinhard Pirmin (2001);;10.0
1;1g;Kohler Adrian;;10.0
1;1h;Sempach Thomas;***;10.0
1;1i;Läuchli Janik (2000);;10.0
1;1j;Probst Gabriel;**;10.0
1;1k;Schwenkfelder Lukas;;10.0
1;1l;Büttler Gian (2000);;10.0
1;1m;Nyffenegger Florian (2001);;10.0
1;1n;Schwegler Dominik;;10.0
1;1o;Widmer Tobias;**;10.0
1;1p;Jusufi Azret;;10.0
1;1q;Vieira Tiago;**;10.0
1;1r;Oertig Dominik;**;10.0
1;1s;Kaspar Jan;;10.0
1;1t;Klausner Yanick;**;10.0
1;1u;Stegmüller Klemens;*;10.0
1;1v;Anderegg David;*;10.0
1;1w;Stark Urban (2000);;10.0
1;1x;Kropf Marcel;**;10.0
1;1y;Mangold Martin;;10.0
1;2a;Waldner Patrick;**;9.75
1;2b;Hermann Oliver;*;9.75
1;2c;Räber Lukas;;9.75
1;2d;Brügger Joël (2000);;9.75
1;2e;Huber Pascal;;9.75
1;2f;Kehr Damian (2001);;9.75
1;2g;Loosli Adrian;;9.75
1;2h;Hasler Luis (2002);;9.75
1;2i;Buser Thomas;;9.75
1;2j;Graber Colin;;9.75
1;2k;Stalder Remo;***;9.75
1;2l;Stoll Thomas;;9.75
1;2m;Reimann Marco;;9.75
1;2n;Freund Romeo;**;9.75
1;2o;Bieri Florian (2001);;9.75
1;2p;Schwander Kilian;;9.75
1;2q;Schmid Dominik;**;9.75
1;2r;Döbeli Andreas;*;9.75
1;2s;Vogt Patrick;;9.75
1;2t;Leuthard Reto;*;9.75
1;2u;Rüegger Aaron;;9.75
1;2v;Reinhard Adrian;;9.75
1;2w;Wilhelm Manuel;;9.75
1;2x;Lehmann Robin;;9.75
1;2y;Alpiger Nick;***;9.75
1;3a;Burren Patrick;;8.75
1;3b;Thürig Mario;***;8.75
1;3c;Bieri Marcel;**;8.75
1;3d;Arnold Kornel;*;8.75
1;3e;Bachmann Sämi (2001);;8.75
1;3f;Bieri Christoph;***;8.75
1;3g;Hauri Urs;**;8.75
1;3h;Schmid David;***;8.75
1;3i;Schmutz Simon (2000);;8.75
1;3j;Mangold Michael;**;8.75
1;3k;Schaub Florent;;8.75
1;3l;Aerni Lars;;8.75
1;3m;Stadler Kevin (2002);;8.75
1;3n;Gisin Yanic;;8.75
1;3o;Müller Simon;;8.75
1;3p;Meyer Lukas (2001);;8.75
1;3q;Hasler Manuel;*;8.75
1;3r;Kramer Franz;*;8.75
1;3s;Fankhauser Erich;***;8.75
1;3t;Kocher Remo;**;8.75
1;3u;Eggen Markus;;8.75
1;3v;Jusufi Ilber;;8.75
1;3w;Krebs Clemens;;8.75
1;3x;Lazic Marco (2000);;8.75
1;3y;Schmutz Adrian;*;8.75
1;3z;Stoll Simon;*;8.75
1;3z1;Schmid Samuel;**;8.75
1;3z2;Bruder Adrian;;8.75
1;3z3;Bader Andreas;**;8.75
1;3z4;Widmer Dino;;8.75
1;3z5;Stüdeli Thomas;**;8.75
1;3z6;Voggensperger Janic;**;8.75
1;3z7;von Weissenfluh Kilian;**;8.75
1;4a;Rüegg Benjamin;;8.5
1;4b;Scherrer Johann;**;8.5
1;4c;Dettwiler Patrick;;8.5
1;4d;Saladin Pascal (2002);;8.5
1;4e;Burkart Simon;;8.5
1;4f;Hermann Lukas 1 (2000);;8.5
1;4g;Brun Samuel;**;8.5
1;4h;Schaffner Samuel;**;8.5
1;4i;Geissberger Marc (2002);;8.5
1;4j;Lisser Beat;;8.5
1;4k;Peterhans Alex (2000);;8.5
1;4l;Büttler Adrian;;8.5
1;4m;Müller Christian;;8.5
1;4n;Abt Robin;;8.5
1;4o;Steinmann Yves;*;8.5
1;4p;Bearda Samuel;**;8.5
1;4q;Fritz Andreas;;8.5
1;4r;Küng Marco;*;8.5
1;4s;Bieli Andreas;;8.5
1;4t;Studinger Stephan;**;8.5
1;4u;Lisser Daniel;*;8.5
1;4v;Hermann Lukas (2002);;8.5
1;4w;Fritz Christian;;8.5
1;4x;Büchi Christian;;8.5
1;4y;Ris Jörn;;8.5
1;4z;Bader Stefan;;8.5
1;4z1;Räbmatter Patrick;***;8.5
1;4z2;Lazic Serge (2000);;8.5
1;4z3;Gisler Bruno;***;8.5
1;4z4;Kramer Lukas (2001);;8.5
1;4z5;Brunner Patrick (2002);;8.5
