3754: 3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Schuler Alex;***;19.75
1;2a;Heinzer Stefan;*;18.5
1;3a;Bienz Romeo;;10.0
1;3b;Della Torre Simon;;10.0
1;3c;Moos Christoph;;10.0
1;3d;Schürpf Bruno;;10.0
1;3e;Herger Andreas;;10.0
1;3f;Lagler Christian;;10.0
1;3g;Elmiger Andreas;;10.0
1;3h;Niederberger Markus;*;10.0
1;3i;Schöpfer Dio;**;10.0
1;3j;Heinzer Josef;;10.0
1;3k;Thierstein Marco;;10.0
1;3l;Hurschler Adrian;;10.0
1;3m;Betschart Daniel;;10.0
1;3n;Rüttimann Daniel;;10.0
1;3o;Bissig Fabian;;10.0
1;3p;Kennel Stefan;**;10.0
1;3q;Weber Ivo;;10.0
1;3r;Wyrsch Silvio;;10.0
1;3s;Betschart Patrick (1999);;10.0
1;3t;Hermann Oliver;*;10.0
1;3u;Gwerder Dario;**;10.0
1;3v;Nauer Robin;;10.0
1;3w;Bucher Thomas;;10.0
1;3x;Durrer Markus (1999);;10.0
1;3y;Fallegger Joel;;10.0
1;3z;Reichmuth Roland;;10.0
1;3z1;Schmid Simon (2000);;10.0
1;3z2;Bürgler André;*;10.0
1;3z3;Fessler Linus;;10.0
1;3z4;Rohrer Ivan;**;10.0
1;3z5;Hürlimann Mathias (2000);;10.0
1;3z6;Krieg Silvan (2000);;10.0
1;3z7;Lüthy Ralph;;10.0
1;3z8;Müllestein Mike;***;10.0
1;3z9;Kempf Damian;;10.0
1;3z10;Wiget Ueli (1999);;10.0
1;4a;Briker Michael;*;9.75
1;4b;Annen David (2000);;9.75
1;4c;Gisler Mario (2000);;9.75
1;4d;Bucher Christian;*;9.75
1;4e;Fischer Markus (2000);;9.75
1;4f;Inderbitzin Daniel;*;9.75
1;4g;Huber Alex;;9.75
1;4h;Bühler Kilian (2000);;9.75
1;4i;Arnold Andreas;*;9.75
1;4j;Wyss Sven (2001);;9.75
1;4k;Bieri Elias;;9.75
1;4l;Höﬂiger Andreas;**;9.75
1;4m;Scherer Niklaus;;9.75
1;4n;Streiff Dominik;;9.75
1;4o;Gemsch Stefan;;9.75
1;4p;Betschart Marcel;;9.75
1;4q;Betschart Remo;**;9.75
1;4r;Kälin Marco (2000);;9.75
1;4s;Fellmann Roman;*;9.75
1;4t;Bucher Roland;*;9.75
1;4u;Suter Ruedi;;9.75
1;4v;Andermatt Erwin (1999);;9.75
1;4w;Elmiger Matthias;;9.75
1;4x;Schelbert Roman;;9.75
1;4y;Zanini David (2000);;9.75
1;4z;Eﬃnger Markus;*;9.75
1;4z1;Stöckli Damian;;9.75
1;4z2;Kälin Roland;**;9.75
1;4z3;Heiniger Luca;;9.75
1;4z4;Steinauer Adrian;**;9.75
1;4z5;Beffa Mario;;9.75
1;4z6;Durrer Lukas (1999);;9.75
1;4z7;Amrein Lukas (1999);;9.75
1;4z8;Gander Martin;;9.75
1;4z9;Schuler Philipp;**;9.75
1;4z10;Birchler Fabian (2000);;9.75
1;4z11;Ulrich Andreas;***;9.75
1;4z12;Inderbitzin Dominic (1999);;9.75
1;4z13;Amgarten Martin;*;9.75
1;4z14;Arnold David;;9.75
1;4z15;Suter Pirmin;;9.75
1;4z16;Fellmann Simon;;9.75
1;4z17;Ming Christian 2;;9.75
1;4z18;Scheuber Stefan;;9.75
1;4z19;Troxler Jonas (2000);;9.75
1;5a;Zimmermann Armin;;9.0
1;5b;Reichmuth Lukas (2000);;9.0
1;5c;Odermatt Andreas;*;9.0
1;5d;Herger Lukas;;9.0
1;6a;Schuler Daniel;;8.75
1;6b;Ulrich Marco;*;8.75
1;6c;Keller Markus;*;8.75
1;6d;Bernet Christoph;*;8.75
1;6e;Gwerder Carlo;**;8.75
1;6f;Imfeld Beat;;8.75
1;6g;Dober Adrian;**;8.75
1;6h;Vonlaufen Lukas;*;8.75
1;6i;Betschart Fabian (1999);;8.75
1;6j;Gloggner Reto;**;8.75
1;6k;Murpf Dario (1999);;8.75
1;6l;Heinzer Ronny;*;8.75
1;6m;Kennel Roger (1999);;8.75
1;6n;Zurﬂuh Michael (1999);*;8.75
1;6o;Durrer Ive (2000);;8.75
1;6p;Bieri Christian;**;8.75
1;6q;Hurschler Thomas;**;8.75
1;6r;Gander Benjamin (2000);;8.75
1;6s;Schilter Daniel;*;8.75
1;6t;Durrer Robin;;8.75
1;6u;Bürgi Reto;*;8.75
1;6v;Imboden Roger;**;8.75
1;6w;Zgraggen Peter;;8.75
1;6x;Nötzli Bruno;***;8.75
1;6y;Bürgler Lukas;*;8.75
1;6z;Vonlaufen Alexander;**;8.75
1;6z1;Suter David;**;8.75
1;6z2;Bucher André (2001);;8.75
1;6z3;Hasler Florian;**;8.75
1;6z4;Hegner Ueli (1999);*;8.75
1;6z5;Suter Raphael (2000);;8.75
1;6z6;Nötzli Reto;***;8.75
1;6z7;Keller Janik;*;8.75
1;6z8;Diethelm Albert;*;8.75
1;6z9;Grab Martin jun. (1999);;8.75
1;6z10;Suter Samuel (1999);;8.75
1;6z11;Bieri Marcel;**;8.75
1;6z12;Omlin Toni;*;8.75
1;6z13;Felder Seppi;*;8.75
1;6z14;Laimbacher Philipp;***;8.75
1;6z15;Grab Martin;***;8.75
1;6z16;Arnold Fabian;;8.75
1;6z17;Schindler Roland;;8.75
1;6z18;von Flüe Michael;;8.75
1;6z19;Ulrich Roman (2000);;8.75
1;6z20;Gwerder Christian;**;8.75
1;6z21;Fassbind René;*;8.75
1;6z22;Bingisser Roman;;8.75
1;6z23;Arnold Marcel;*;8.75
1;6z24;Blaser Theo;*;8.75
1;6z25;Gloggner Philipp;***;8.75
1;6z26;Zimmermann Daniel;*;8.75
1;6z27;Bacher Andreas;;8.75
1;6z28;Marty Lukas;;8.75
1;6z29;Käslin Benno;*;8.75
1;6z30;Herger Simon;;8.75
1;6z31;Egli Damian;**;8.75
1;6z32;Martin Robin;*;8.75
1;6z33;Gmür Pirmin;*;8.75
1;6z34;Linggi Bruno;**;8.75
1;6z35;Zimmermann Reto;;8.75
1;6z36;Langenstein Philip;*;8.75
1;6z37;Fink Bruno;*;8.75
1;6z38;Suter Paul;*;8.75
1;6z39;Staub Ivan (1999);;8.75
1;6z40;von Ah Benji;***;8.75
1;6z41;Gwerder Beni;;8.75
1;6z42;Portmann Josef;*;8.75
1;6z43;Wyrsch Marco;*;8.75
1;6z44;Albert Thomas;;8.75
1;7a;Grüter Marcel (1999);;8.5
1;7b;Bernhard Lukas;*;8.5
1;7c;Gisler Lukas (2001);;8.5
1;7d;Schuler Koni;;8.5
1;7e;Hauser Roman (2000);;8.5
1;7f;Inderbitzin Karl;;8.5
1;7g;Eﬃnger Peter;;8.5
1;7h;Hügli Kaj;*;8.5
1;7i;Gisler Jonas (2001);;8.5
1;7j;Küttel Samuel;;8.5
1;7k;Burren Patrick (1999);;8.5
1;7l;Diethelm Samuel;;8.5
1;7m;Kempf Marco (2000);;8.5
1;7n;Forster Christian;;8.5
1;7o;Gasser Dominik 2;;8.5
1;7p;Annen Michael;;8.5
1;7q;Schnider Simon (2001);;8.5
1;7r;Gerig Dario;;8.5
1;7s;Hediger Kilian (2001);;8.5
1;7t;Bünter Rosche (2000);;8.5
1;7u;Brunner Timon;;8.5
1;7v;Spichtig Aldo;;8.5
1;7w;Amgarten Roman;*;8.5
1;7x;Zumstein Patrick;;8.5
1;7y;Kessler Joel;*;8.5
1;7z;Kennel Beat;*;8.5
1;7z1;Widmer Tobias;**;8.5
1;7z2;Müller Patrick (1999);;8.5
1;7z3;Von Euw Adi;;8.5
1;7z4;Bachmann Roger;*;8.5
1;7z5;Ulrich Pascal (1999);;8.5
1;7z6;Durrer Fabian (1999);;8.5
1;7z7;Lagler Reto;;8.5
1;7z8;Grätzer Luca (2001);;8.5
1;7z9;Walker Roger;;8.5
1;7z10;von Ah Markus;;8.5
1;7z11;Gwerder Marco;;8.5
1;7z12;Fischer Tobias;;8.5
1;7z13;Berchtold Kilian (2001);;8.5
1;7z14;Hirsiger Alexander;;8.5
1;7z15;Bienz Manuel (1999);;8.5
1;7z16;Arnold Stefan;**;8.5
1;7z17;Ulrich Marcel;;8.5
1;7z18;Mathis Marcel;***;8.5
1;7z19;Annen Adrian;;8.5
1;7z20;Egli Pirmin;**;8.5
1;7z21;Stutzer Michael (1999);;8.5
1;7z22;Zürcher Ueli (2000);;8.5
1;7z23;Bissig Joris (2001);;8.5
1;7z24;Diethelm Patrick (2001);;8.5
1;7z25;Widmer Simon;;8.5
1;7z26;Zimmermann Lukas (2001);;8.5
1;7z27;Wallimann Remo;;8.5
1;7z28;Ulrich Damian (1999);;8.5
1;7z29;Studinger Stephan;**;8.5
1;7z30;Grab Daniel;**;8.5
1;7z31;Reichmuth Jonas (2001);;8.5
1;7z32;Staub Devin;;8.5
1;7z33;Gwerder Andreas;*;8.5
1;7z34;Kälin Markus (2001);;8.5
1;7z35;Betschart Silvan;*;8.5
1;7z36;Fankhauser Reto;**;8.5
1;7z37;Fässler Cornel;*;8.5
