3771: 3771-2018-08-19_103_Basellandschaftliches_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Burren Patrick;;10.0
1;1b;Waldner Patrick;**;10.0
1;1c;Brun Samuel;**;10.0
1;1d;Brügger Joël (2000);;10.0
1;1e;Büttler Adrian;;10.0
1;1f;Kohler Adrian;;10.0
1;1g;Schmutz Simon (2000);;10.0
1;1h;Fritz Christian;;10.0
1;1i;Odermatt Adrian (2001);*;10.0
1;1j;Ris Jörn;;10.0
1;1k;Sempach Beat;;10.0
1;1l;Räbmatter Patrick;***;10.0
1;1m;Stoll Thomas;;10.0
1;1n;Nyffenegger Florian (2001);;10.0
1;1o;Roth Christian;;10.0
1;1p;Streich Sascha (2001);;10.0
1;1q;Burkhardt Roy;;10.0
1;1r;Vieira Tiago;**;10.0
1;1s;Kocher Remo;**;10.0
1;1t;Grossmann Andreas;;10.0
1;1u;Leuthard Reto;**;10.0
1;1v;Schmid Samuel;**;10.0
1;1w;Widmer Dino;;10.0
1;1x;Hitz Florian;;10.0
1;1y;Nussbaumer Dominik;;10.0
1;2a;Furrer Mathias;;9.75
1;2b;Räber Lukas;*;9.75
1;2c;Bieri Christoph;***;9.75
1;2d;Nussbaumer Gabriel;;9.75
1;2e;Eggimann Marco;;9.75
1;2f;Regenass Reto (2000);;9.75
1;2g;Voggensperger Lars (2001);;9.75
1;2h;Gisin Yanic;;9.75
1;2i;Hasler Manuel;*;9.75
1;2j;Jusufi Azret;;9.75
1;2k;Dobler Florian;;9.75
1;2l;Döbeli Andreas;*;9.75
1;2m;Rüegger Aaron;*;9.75
1;2n;Voggensperger Janic;**;9.75
1;2o;Kropf Marcel;**;9.75
1;2p;Grieder Nonda;;9.75
1;2q;Alpiger Nick;***;9.75
1;3a;Mangold Michael;**;9.0
1;3b;Lisser Daniel;*;9.0
1;3c;Gerber Andrj (2000);*;9.0
1;3d;Bader Andreas;**;9.0
1;3e;Widmer David;**;9.0
1;4a;Scherrer Johann;**;8.75
1;4b;Gschwind Andreas;;8.75
1;4c;Studer Remo;*;8.75
1;4d;Schaffner Samuel;**;8.75
1;4e;Arnold Kornel;*;8.75
1;4f;Schillig Willi;**;8.75
1;4g;Meyer Markus;;8.75
1;4h;Hügli Kaj;**;8.75
1;4i;Hauri Urs;**;8.75
1;4j;Schmid David;***;8.75
1;4k;Regenass Beat;;8.75
1;4l;Schwob Marco;;8.75
1;4m;Studinger Stephan;**;8.75
1;4n;Schwenkfelder Lukas;*;8.75
1;4o;Meyer Lukas (2001);;8.75
1;4p;Stegmüller Klemens;*;8.75
1;4q;Döbeli Lukas (2000);**;8.75
1;4r;Stüdeli Thomas;**;8.75
1;4s;Mangold Martin;*;8.75
1;5a;Erb Roger;**;8.5
1;5b;Dettwiler Patrick;;8.5
1;5c;Hermann Lukas 1 (2000);;8.5
1;5d;Geissberger Marc (2002);;8.5
1;5e;Lisser Beat;*;8.5
1;5f;Loosli Adrian;;8.5
1;5g;Buser Thomas;;8.5
1;5h;Schmitt Sebastian (2002);;8.5
1;5i;Müller Christian;;8.5
1;5j;Brack Simon;;8.5
1;5k;Bearda Samuel;**;8.5
1;5l;Blatter Remo (2000);;8.5
1;5m;Küng Marco;*;8.5
1;5n;Bieli Andreas;;8.5
1;5o;Burger Sandro (2001);;8.5
1;5p;Hermann Lukas (2002);;8.5
1;5q;Schaub Florent;;8.5
1;5r;Stalder Remo;***;8.5
1;5s;Fricker Ivo;;8.5
1;5t;Lazic Serge (2000);;8.5
1;5u;Büttler Gian (2000);;8.5
1;5v;Brand Christian;**;8.5
1;5w;Schwegler Dominik;;8.5
1;5x;Winiger Fabian;**;8.5
1;5y;Widmer Tobias;**;8.5
1;5z;Kramer Franz;*;8.5
1;5z1;Stoffel Marc;**;8.5
1;5z2;Bieri Florian (2001);;8.5
1;5z3;von Büren Stephan;**;8.5
1;5z4;Senn Marco;;8.5
1;5z5;Schmid Justin (2002);;8.5
1;5z6;Jusufi Ilber;;8.5
1;5z7;Krebs Clemens;*;8.5
1;5z8;Lazic Marco (2000);;8.5
1;5z9;Burtschi Michael;;8.5
1;5z10;Stoll Simon;**;8.5
1;5z11;Herrmann Adrian (2000);;8.5
1;5z12;Vogel Remo (2001);*;8.5
1;5z13;Bruder Adrian;;8.5
1;5z14;Anderegg David;*;8.5
1;5z15;Stark Urban (2000);;8.5
2;1a;Waldner Patrick;**;20.0
2;1b;Kohler Adrian;;20.0
2;1c;Schmutz Simon (2000);;20.0
2;1d;Ris Jörn;;20.0
2;1e;Räbmatter Patrick;***;20.0
2;1f;Stoll Thomas;;20.0
2;1g;Streich Sascha (2001);;20.0
2;1h;Hitz Florian;;20.0
2;2a;Büttler Adrian;;19.75
2;2b;Roth Christian;;19.75
2;2c;Vieira Tiago;**;19.75
2;2d;Döbeli Andreas;*;19.75
2;2e;Alpiger Nick;***;19.75
2;3a;Bieri Christoph;***;19.5
2;3b;Nussbaumer Gabriel;;19.5
2;3c;Voggensperger Lars (2001);;19.5
2;3d;Jusufi Azret;;19.5
2;4a;Mangold Michael;**;19.0
2;4b;Lisser Daniel;*;19.0
2;5a;Gschwind Andreas;;18.75
2;5b;Regenass Beat;;18.75
2;5c;Schwob Marco;;18.75
2;5d;Dobler Florian;;18.75
2;5e;Leuthard Reto;**;18.75
2;5f;Bader Andreas;**;18.75
2;5g;Widmer Dino;;18.75
2;6a;Erb Roger;**;18.5
2;6b;Burren Patrick;;18.5
2;6c;Studer Remo;*;18.5
2;6d;Brun Samuel;**;18.5
2;6e;Brügger Joël (2000);;18.5
2;6f;Schmid David;***;18.5
2;6g;Studinger Stephan;**;18.5
2;6h;Burger Sandro (2001);;18.5
2;6i;Fritz Christian;;18.5
2;6j;Regenass Reto (2000);;18.5
2;6k;Odermatt Adrian (2001);*;18.5
2;6l;Sempach Beat;;18.5
2;6m;Nyffenegger Florian (2001);;18.5
2;6n;Meyer Lukas (2001);;18.5
2;6o;Schwegler Dominik;;18.5
2;6p;Winiger Fabian;**;18.5
2;6q;Stoffel Marc;**;18.5
