3774: 3774-2018-05-27_104_StGaller_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Flück Bruno;;10.0
1;1b;Bucher Roland;;10.0
1;1c;Schiess Christian;;10.0
1;1d;Schlegel Werner (2002);;10.0
1;1e;Pfiffner Ivo;;10.0
1;1f;Wetter Silvan (2000);;10.0
1;1g;Steiner Joel (2000);;10.0
1;1h;Rüegg Fabian;*;10.0
1;1i;Alder Armin;;10.0
1;1j;Bosshard Dario;;10.0
1;1k;Geisser Lars;**;10.0
1;1l;Wicki Cédric;;10.0
1;1m;Giger Samuel;***;10.0
1;1n;Riget Florian;;10.0
1;1o;Roth Peter;;10.0
1;1p;Arnold Christian;;10.0
1;1q;Dändliker Shane;*;10.0
1;1r;Weber Erwin (2000);;10.0
1;1s;Baumann Elia (2000);;10.0
1;1t;Baumgartner Ramon (2002);;10.0
1;1u;Elmer Daniel;*;10.0
1;1v;Bollhalder Manuel (2001);;10.0
1;1w;Neff Florian;;10.0
1;1x;Jud Reto (2001);;10.0
1;1y;Bischof Martin;;10.0
1;1z;Kunz Daniel;*;10.0
1;1z1;Scherrer Willi;;10.0
1;1z2;Breitenmoser Manuel;;10.0
1;1z3;Fausch Kjetil;*;10.0
1;1z4;Wittenwiler Roman;*;10.0
1;1z5;Ott Damian (2000);*;10.0
1;2a;Gemperli Julian (2002);;9.75
1;2b;Kolb Pirmin (2001);;9.75
1;2c;Oertig Simon;;9.75
1;2d;Eisenring Leandro (2000);;9.75
1;2e;Langenegger Beat;;9.75
1;2f;Schönenberger Björn;;9.75
1;2g;Arztmann Beda;*;9.75
1;2h;Baumann Rico;*;9.75
1;2i;Kobler Janosch (2000);;9.75
1;2j;Roth Michael;;9.75
1;2k;Martin Dominik;;9.75
1;2l;Streule Reto (2002);;9.75
1;2m;Bless Michael;***;9.75
1;2n;Aerne Christian;;9.75
1;2o;Niederer Andreas (2002);;9.75
1;2p;Weibel Lucien;;9.75
1;2q;Oertle Daniel;*;9.75
1;2r;Bleiker Daniel;;9.75
1;2s;Egli Martin;;9.75
1;2t;Rüegg Roman;*;9.75
1;2u;Roth Martin;*;9.75
1;2v;Gerig Marcel;;9.75
1;2w;Zumbach Michael;;9.75
1;2x;Knellwolf Sebastian (2001);;9.75
1;2y;Heierli Pascal;;9.75
1;2z;Hugelshofer Lars (2001);;9.75
1;2z1;Baumgartner Joël;;9.75
1;2z2;Frey Marco (2002);;9.75
1;2z3;Rotach Lars (2000);;9.75
1;2z4;Lanter Christian;;9.75
1;2z5;Lieberherr Michael;;9.75
1;2z6;Räbsamen Marcel (2000);;9.75
1;2z7;Vollmeier Sandro;;9.75
1;2z8;Müller Loris;;9.75
1;2z9;Reichmuth Beat;;9.75
1;2z10;Fuster Sepp;;9.75
1;2z11;Müller Fabian (2001);;9.75
1;2z12;Städler Lars;;9.75
1;2z13;Mettler Valentin;;9.75
1;2z14;Rychen Roger;***;9.75
1;2z15;Blaser Gian;;9.75
1;2z16;Scherrer Pascal;;9.75
1;2z17;Hobi Ignaz;;9.75
1;2z18;Wettstein Daniel;;9.75
1;2z19;Kamer Hanspeter;*;9.75
1;3a;Ziegler Andreas (2002);;9.0
1;3b;Schuler Martin;;9.0
1;3c;Breitenmoser Simon;;9.0
1;3d;Roth Sämi (2000);;9.0
1;3e;Schlegel Reto;*;9.0
1;4a;Götti Samuel;;8.75
1;4b;Vestner Bruno;*;8.75
1;4c;Thoma Nils;;8.75
1;4d;Wildhaber Jannik;;8.75
1;4e;Nüesch Remo (2001);;8.75
1;4f;Bürgler Patrick;;8.75
1;4g;Bernold Michael;*;8.75
1;4h;Krucker Silvan (2001);;8.75
1;4i;Lehmann Philipp;;8.75
1;4j;Elmer Adrian;*;8.75
1;4k;Schäppi Urs;*;8.75
1;4l;Büsser André;*;8.75
1;4m;Lauchenauer Paul (2002);;8.75
1;4n;Roth David;;8.75
1;4o;Jöhl Christian;*;8.75
1;4p;Notz Beni;***;8.75
1;4q;Marty Jaime (2000);;8.75
1;4r;Eugster Ruedi;**;8.75
1;4s;Bernold Christian;**;8.75
1;4t;Gwerder Andreas;**;8.75
1;4u;Akeret Benno;*;8.75
1;4v;Martin Tobias (2001);;8.75
1;4w;Rhyner Michael;**;8.75
1;4x;Holenstein Christian;*;8.75
1;4y;Steiner Lukas (2002);;8.75
1;4z;Scheiwiller Andreas;*;8.75
1;4z1;Kiener Raphael (2000);;8.75
1;4z2;Oertig Dominik;**;8.75
1;4z3;Dudli Gallus;;8.75
1;4z4;Schmid Dominik;**;8.75
1;4z5;Riget Tobias;**;8.75
1;4z6;Schrepfer Roy;;8.75
1;4z7;Zwyssig Raphael;***;8.75
1;4z8;Schnurrenberger Roman;**;8.75
1;4z9;Wickli Beat;**;8.75
1;4z10;Blaser Andre (2000);;8.75
1;4z11;Lozza Roman;;8.75
1;4z12;Pfister Florian;*;8.75
1;4z13;Leuppi Samir;**;8.75
1;4z14;Schläpfer Markus;**;8.75
1;4z15;Wolfer Lukas;*;8.75
1;4z16;Dörig Erich;*;8.75
1;4z17;Schläpfer Matthias;*;8.75
1;5a;Schegg Daniel (2000);;8.5
1;5b;Kirchmeier Christof;;8.5
1;5c;Hari Michi;;8.5
1;5d;Höpli Remo;;8.5
1;5e;Schwager Mike (2000);;8.5
1;5f;Odermatt Michi;;8.5
1;5g;Streuli Martin;*;8.5
1;5h;Spangaro Luciano (2001);*;8.5
1;5i;Riedi Thomas;;8.5
1;5j;Frick Andreas;*;8.5
1;5k;Burkhard Tobias;;8.5
1;5l;Mock Marco;;8.5
1;5m;Signer Walter;;8.5
1;5n;Galli Cedric (2001);;8.5
1;5o;Gabathuler Rino;;8.5
1;5p;Schneider Mario;**;8.5
1;5q;Hengartner Ivo;*;8.5
1;5r;Koller Silvan (2002);;8.5
1;5s;Lusti Remo (2001);;8.5
1;5t;Bader Sandro (2002);;8.5
1;5u;Schmid Remo (2002);;8.5
1;5v;Dünner Zyan (2001);;8.5
1;5w;Biser Niklaus;;8.5
1;5x;Bösch Daniel;***;8.5
1;5y;Sieber Marc (2000);;8.5
1;5z;Ueltschi Patric;*;8.5
1;5z1;Blaser Niklas;*;8.5
1;5z2;Zbinden Marc;*;8.5
1;5z3;Burch Dean (2001);;8.5
1;5z4;Müller Elias;;8.5
1;5z5;Horner Sämi;;8.5
1;5z6;Schönenberger Philipp;;8.5
1;5z7;Bärtsch Fabian (2000);;8.5
1;5z8;Gaccioli Benjamin;;8.5
1;5z9;Glättli Tobias (2002);;8.5
1;5z10;Knabe Robert;;8.5
1;5z11;Birk Till (2002);;8.5
1;5z12;Schneider Domenic;***;8.5
1;5z13;Maglia Leo;;8.5
1;5z14;Fässler Tobias (2002);;8.5
1;5z15;Vestner Roman;*;8.5
1;5z16;Büchler Livio (2001);;8.5
1;5z17;Furrer Matthias;;8.5
1;5z18;Egli Patrick;;8.5
1;5z19;Oberhänsli Kilian;;8.5
1;5z20;Kressbach Pascal;;8.5
1;5z21;Knecht Remo (2002);;8.5
1;5z22;Rickenmann Ramon (2001);;8.5
1;5z23;Leuppi Karim;*;8.5
1;5z24;Gmür Pirmin;**;8.5
1;5z25;Müggler Silvan (2002);;8.5
1;5z26;Bischof Raphael (2002);;8.5
1;5z27;Wenger Dominic;;8.5
1;5z28;Ebert Claudio;;8.5
1;5z29;Rhyner Beni;;8.5
1;5z30;Stüble Lukas;;8.5
1;5z31;Keller Dominic;;8.5
1;5z32;Büchler Remo;**;8.5
1;5z33;Tschudi Mario (2001);;8.5
1;5z34;Grob Rachen (2002);;8.5
1;5z35;Lusti Adrian (2001);;8.5
1;5z36;Ochsner Reto (2000);;8.5
1;5z37;Roth Markus;;8.5
1;5z38;Käppeli Remo (2001);;8.5
1;5z39;Keller Cedric (2002);;8.5
1;5z40;Rütsche Stefan;*;8.5
1;5z41;Meier Adrian (2000);;8.5
2;1a;Schiess Christian;;20.0
2;1b;Bollhalder Manuel (2001);;20.0
2;1c;Scherrer Willi;;20.0
2;1d;Fausch Kjetil;*;20.0
2;2a;Schlegel Werner (2002);;19.75
2;2b;Wetter Silvan (2000);;19.75
2;2c;Roth Michael;;19.75
2;2d;Giger Samuel;***;19.75
2;2e;Heierli Pascal;;19.75
2;2f;Riget Florian;;19.75
2;2g;Baumgartner Ramon (2002);;19.75
2;2h;Vollmeier Sandro;;19.75
2;3a;Oertig Simon;;19.5
2;3b;Martin Dominik;;19.5
2;3c;Aerne Christian;;19.5
2;3d;Weibel Lucien;;19.5
2;3e;Roth Martin;*;19.5
2;3f;Hugelshofer Lars (2001);;19.5
2;3g;Mettler Valentin;;19.5
2;3h;Wettstein Daniel;;19.5
2;4a;Breitenmoser Simon;;19.0
2;4b;Breitenmoser Manuel;;19.0
2;5a;Götti Samuel;;18.75
2;5b;Flück Bruno;;18.75
2;5c;Rüegg Fabian;*;18.75
2;5d;Nüesch Remo (2001);;18.75
2;5e;Bürgler Patrick;;18.75
2;5f;Lehmann Philipp;;18.75
2;5g;Bless Michael;***;18.75
2;5h;Geisser Lars;**;18.75
2;5i;Ziegler Andreas (2002);;18.75
2;5j;Marty Jaime (2000);;18.75
2;5k;Elmer Daniel;*;18.75
2;5l;Martin Tobias (2001);;18.75
2;5m;Rhyner Michael;**;18.75
2;5n;Holenstein Christian;*;18.75
2;5o;Oertig Dominik;**;18.75
2;5p;Jud Reto (2001);;18.75
2;5q;Bischof Martin;;18.75
2;5r;Zwyssig Raphael;***;18.75
2;5s;Wickli Beat;**;18.75
2;5t;Lozza Roman;;18.75
2;5u;Pfister Florian;*;18.75
2;5v;Leuppi Samir;**;18.75
2;5w;Schläpfer Markus;**;18.75
2;5x;Wittenwiler Roman;*;18.75
2;5y;Wolfer Lukas;*;18.75
2;5z;Schläpfer Matthias;*;18.75
2;6a;Kolb Pirmin (2001);;18.5
2;6b;Bucher Roland;;18.5
2;6c;Pfiffner Ivo;;18.5
2;6d;Eisenring Leandro (2000);;18.5
2;6e;Höpli Remo;;18.5
2;6f;Schwager Mike (2000);;18.5
2;6g;Steiner Joel (2000);;18.5
2;6h;Bernold Michael;*;18.5
2;6i;Schönenberger Björn;;18.5
2;6j;Arztmann Beda;*;18.5
2;6k;Baumann Rico;*;18.5
2;6l;Kobler Janosch (2000);;18.5
2;6m;Alder Armin;;18.5
2;6n;Bosshard Dario;;18.5
2;6o;Niederer Andreas (2002);;18.5
2;6p;Wicki Cédric;;18.5
2;6q;Oertle Daniel;*;18.5
2;6r;Bleiker Daniel;;18.5
2;6s;Egli Martin;;18.5
2;6t;Galli Cedric (2001);;18.5
2;6u;Gabathuler Rino;;18.5
2;6v;Schneider Mario;**;18.5
2;6w;Gerig Marcel;;18.5
2;6x;Koller Silvan (2002);;18.5
2;6y;Eugster Ruedi;**;18.5
2;6z;Ueltschi Patric;*;18.5
2;6z1;Roth Peter;;18.5
2;6z2;Arnold Christian;;18.5
2;6z3;Schönenberger Philipp;;18.5
2;6z4;Bärtsch Fabian (2000);;18.5
2;6z5;Dändliker Shane;*;18.5
2;6z6;Baumgartner Joël;;18.5
2;6z7;Weber Erwin (2000);;18.5
2;6z8;Baumann Elia (2000);;18.5
2;6z9;Schneider Domenic;***;18.5
2;6z10;Büchler Livio (2001);;18.5
2;6z11;Schmid Dominik;**;18.5
2;6z12;Neff Florian;;18.5
2;6z13;Riget Tobias;**;18.5
2;6z14;Fuster Sepp;;18.5
2;6z15;Schnurrenberger Roman;**;18.5
2;6z16;Keller Dominic;;18.5
2;6z17;Büchler Remo;**;18.5
2;6z18;Tschudi Mario (2001);;18.5
2;6z19;Blaser Andre (2000);;18.5
2;6z20;Rychen Roger;***;18.5
2;6z21;Kunz Daniel;*;18.5
2;6z22;Ochsner Reto (2000);;18.5
2;6z23;Blaser Gian;;18.5
2;6z24;Scherrer Pascal;;18.5
2;6z25;Ott Damian (2000);*;18.5
2;6z26;Dörig Erich;*;18.5
2;7a;Gemperli Julian (2002);;18.25
2;7b;Hari Michi;;18.25
2;7c;Langenegger Beat;;18.25
2;7d;Streuli Martin;*;18.25
2;7e;Streule Reto (2002);;18.25
2;7f;Burkhard Tobias;;18.25
2;7g;Mock Marco;;18.25
2;7h;Rüegg Roman;*;18.25
2;7i;Schmid Remo (2002);;18.25
2;7j;Dünner Zyan (2001);;18.25
2;7k;Biser Niklaus;;18.25
2;7l;Zumbach Michael;;18.25
2;7m;Knellwolf Sebastian (2001);;18.25
2;7n;Bösch Daniel;***;18.25
2;7o;Burch Dean (2001);;18.25
2;7p;Horner Sämi;;18.25
2;7q;Knabe Robert;;18.25
2;7r;Rotach Lars (2000);;18.25
2;7s;Lanter Christian;;18.25
2;7t;Furrer Matthias;;18.25
2;7u;Lieberherr Michael;;18.25
2;7v;Räbsamen Marcel (2000);;18.25
2;7w;Egli Patrick;;18.25
2;7x;Müller Loris;;18.25
2;7y;Gmür Pirmin;**;18.25
2;7z;Reichmuth Beat;;18.25
2;7z1;Bischof Raphael (2002);;18.25
2;7z2;Rhyner Beni;;18.25
2;7z3;Müller Fabian (2001);;18.25
2;7z4;Städler Lars;;18.25
2;7z5;Hobi Ignaz;;18.25
2;7z6;Kamer Hanspeter;*;18.25
2;8a;Bernold Christian;**;17.75
2;8b;Gwerder Andreas;**;17.75
2;8c;Akeret Benno;*;17.75
2;8d;Schlegel Reto;*;17.75
2;9a;Schegg Daniel (2000);;17.5
2;9b;Elmer Adrian;*;17.5
2;9c;Schäppi Urs;*;17.5
2;9d;Notz Beni;***;17.5
2;9e;Schuler Martin;;17.5
2;9f;Roth Sämi (2000);;17.5
2;9g;Scheiwiller Andreas;*;17.5
2;9h;Schrepfer Roy;;17.5
2;10a;Vestner Bruno;*;17.25
2;10b;Thoma Nils;;17.25
2;10c;Wildhaber Jannik;;17.25
2;10d;Krucker Silvan (2001);;17.25
2;10e;Riedi Thomas;;17.25
2;10f;Büsser André;*;17.25
2;10g;Lauchenauer Paul (2002);;17.25
2;10h;Roth David;;17.25
2;10i;Jöhl Christian;*;17.25
2;10j;Lusti Remo (2001);;17.25
2;10k;Blaser Niklas;*;17.25
2;10l;Zbinden Marc;*;17.25
2;10m;Gaccioli Benjamin;;17.25
2;10n;Steiner Lukas (2002);;17.25
2;10o;Kiener Raphael (2000);;17.25
2;10p;Dudli Gallus;;17.25
2;10q;Knecht Remo (2002);;17.25
2;10r;Müggler Silvan (2002);;17.25
2;10s;Lusti Adrian (2001);;17.25
2;11a;Kirchmeier Christof;;17.0
2;11b;Odermatt Michi;;17.0
2;11c;Spangaro Luciano (2001);*;17.0
2;11d;Frick Andreas;*;17.0
2;11e;Signer Walter;;17.0
2;11f;Hengartner Ivo;*;17.0
2;11g;Bader Sandro (2002);;17.0
2;11h;Sieber Marc (2000);;17.0
2;11i;Müller Elias;;17.0
2;11j;Glättli Tobias (2002);;17.0
2;11k;Birk Till (2002);;17.0
2;11l;Maglia Leo;;17.0
2;11m;Fässler Tobias (2002);;17.0
2;11n;Oberhänsli Kilian;;17.0
2;11o;Kressbach Pascal;;17.0
2;11p;Rickenmann Ramon (2001);;17.0
2;11q;Leuppi Karim;*;17.0
2;11r;Wenger Dominic;;17.0
2;11s;Ebert Claudio;;17.0
2;11t;Stüble Lukas;;17.0
2;11u;Grob Rachen (2002);;17.0
2;11v;Roth Markus;;17.0
2;11w;Käppeli Remo (2001);;17.0
2;11x;Keller Cedric (2002);;17.0
2;11y;Rütsche Stefan;*;17.0
2;11z;Meier Adrian (2000);;17.0
2;12a;Frey Marco (2002);;9.75
2;13a;Vestner Roman;*;8.5
3;1a;Heierli Pascal;;29.75
