3789: 3789-2017-04-30_98_Zuger_Kant_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Bucher Thomas;;18.5
1;2a;Herger Andreas;;10.0
1;2b;Ottiger Lukas;;10.0
1;2c;Gut Koni;;10.0
1;2d;Reichmuth Marco;**;10.0
1;2e;Bieri Elias;;10.0
1;2f;Binggeli Stefan;*;10.0
1;2g;Streiff Dominik;;10.0
1;2h;Elsener Adrian;**;10.0
1;2i;Burch Jonas (1999);;10.0
1;2j;Stutzer Michael (1999);;10.0
1;2k;Gwerder Dario;**;10.0
1;2l;Nussbaumer Gabriel;;10.0
1;2m;Meier Marcel;;10.0
1;2n;Arnold Marcel;;10.0
1;2o;Gassmann Michael;*;10.0
1;2p;Felder Martin;;10.0
1;2q;Gwerder Michael (2000);;10.0
1;2r;Lustenberger Josef;;10.0
1;2s;Birchler Fabian (2000);;10.0
1;2t;Hürlimann Mathias (2000);;10.0
1;2u;Rohrer Marco (1999);;10.0
1;2v;Facchini Oscar;;10.0
1;3a;Müller Mathias;;9.75
1;3b;Hauser Roman (2000);;9.75
1;3c;Della Torre Simon;;9.75
1;3d;Gwerder Carlo;**;9.75
1;3e;Bucher Christian;;9.75
1;3f;Imfeld Beat;;9.75
1;3g;Gisler Jonas (2001);;9.75
1;3h;Odermatt Sepp;;9.75
1;3i;Lagler Christian;;9.75
1;3j;Heinzer Ronny;;9.75
1;3k;Rohrer Ueli (1999);;9.75
1;3l;Niederberger Markus;*;9.75
1;3m;Gerber Peter;;9.75
1;3n;Hurschler Adrian;;9.75
1;3o;Blattmann Philipp (2000);;9.75
1;3p;Oertig Dominik;**;9.75
1;3q;Ettlin Martin;;9.75
1;3r;von Ah Markus;;9.75
1;3s;Widmer Dominik;;9.75
1;3t;Hegner Ueli (1999);;9.75
1;3u;Hirsiger Alexander;;9.75
1;3v;Suter Raphael (2000);;9.75
1;3w;Suppiger René;***;9.75
1;3x;Suppiger Werner;**;9.75
1;3y;Eﬃnger Markus;*;9.75
1;3z;Baumann Lukas;;9.75
1;3z1;Stadelmann Ron;;9.75
1;3z2;Baumann Roger;*;9.75
1;3z3;Bingisser Roman;;9.75
1;3z4;Staub Devin;;9.75
1;3z5;Odermatt Christian;**;9.75
1;3z6;Gander Martin;;9.75
1;3z7;Wetzstein Adrian;;9.75
1;3z8;Klauser Nico;;9.75
1;3z9;Bucher Sandro (2000);;9.75
1;3z10;Herger Lukas;;9.75
1;3z11;Spichtig Clemens;;9.75
1;4a;Höﬂiger Andreas;**;9.0
1;4b;Elmer Daniel;*;9.0
1;4c;Durrer Fabian (1999);;9.0
1;4d;Betschart Marcel;;9.0
1;4e;Bucher André (2001);;9.0
1;4f;Mathis Marcel;***;9.0
1;4g;Elsener Manuel;;9.0
1;4h;Vogel Manuel;;9.0
1;4i;Bieri Marcel;**;9.0
1;4j;Arnold Raphael;*;9.0
1;4k;Grab Martin;***;9.0
1;4l;Gasser Stefan;**;9.0
1;4m;Zimmermann Daniel;*;9.0
1;4n;Egli Damian;**;9.0
1;4o;Linggi Bruno;**;9.0
1;4p;Wyrsch Hansi (1999);;9.0
1;5a;Zimmermann Martin;**;8.75
1;5b;Lussi Marco;*;8.75
1;5c;Bernhard Lukas;*;8.75
1;5d;Rust Sandro (1999);;8.75
1;5e;Ming Hannes;;8.75
1;5f;Muff André;*;8.75
1;5g;Moos Christoph;;8.75
1;5h;Rüegg Roman;*;8.75
1;5i;Zemp Thomas;*;8.75
1;5j;Schärli Reto;;8.75
1;5k;Kennel Roger (1999);;8.75
1;5l;Arnold Andreas;*;8.75
1;5m;Zemp Christian (2000);;8.75
1;5n;Bieri Christian;**;8.75
1;5o;Müller Dominik;;8.75
1;5p;Mignola Michele (2000);;8.75
1;5q;Amgarten Roman;*;8.75
1;5r;Arnold Marco (2001);;8.75
1;5s;Nötzli Bruno;***;8.75
1;5t;Bürgler Lukas;*;8.75
1;5u;Graber Sandro;;8.75
1;5v;Vonlaufen Alexander;**;8.75
1;5w;Suter David;**;8.75
1;5x;Hasler Florian;**;8.75
1;5y;Betschart Remo;**;8.75
1;5z;Hösli Fritz;*;8.75
1;5z1;Inderbitzin Urs;;8.75
1;5z2;Brun Jonas;**;8.75
1;5z3;Kennel Stefan;**;8.75
1;5z4;Vogel Marcel;;8.75
1;5z5;Elsener Peter;**;8.75
1;5z6;Ziegler Moritz;;8.75
1;5z7;Bucher Roland;*;8.75
1;5z8;Wicki Joel;**;8.75
1;5z9;Suter Samuel (1999);;8.75
1;5z10;Wicki Kevin;;8.75
1;5z11;Reichmuth Lukas (2000);;8.75
1;5z12;Müller Michael;**;8.75
1;5z13;Zanini David (2000);;8.75
1;5z14;Laimbacher Philipp;***;8.75
1;5z15;Büsser André;;8.75
1;5z16;Arnold Fabian;;8.75
1;5z17;Murer Remo;;8.75
1;5z18;Supper Frederik;;8.75
1;5z19;Imhof Andi;***;8.75
1;5z20;Hurschler Mauri (1999);;8.75
1;5z21;Thalmann Thomas;*;8.75
1;5z22;Schmid Pius (1999);;8.75
1;5z23;Baumann Marco;;8.75
1;5z24;Reber Sandro;;8.75
1;5z25;Suppiger Thomas;;8.75
1;5z26;Bär Leo;;8.75
1;5z27;Ambühl Joel;*;8.75
1;5z28;von Wyl Simon (1999);;8.75
1;5z29;Käslin Ruedi;*;8.75
1;5z30;Beffa Mario;;8.75
1;5z31;Käslin Valentin (2000);;8.75
1;5z32;Schmid Simon (2000);;8.75
1;5z33;Fankhauser Erich;***;8.75
1;5z34;Schurtenberger Sven;***;8.75
1;5z35;Schuler Christian;***;8.75
1;5z36;Waser Dominik;**;8.75
1;5z37;Röthlin Pascal;;8.75
1;5z38;Meier Daniel (2000);;8.75
1;5z39;Heinzer Stefan;*;8.75
1;5z40;Herger Matthias;**;8.75
1;5z41;Steiner Severin (2001);;8.75
1;5z42;Staub Ivan (1999);;8.75
1;5z43;Barmet Sven;;8.75
1;5z44;Muff Armin;**;8.75
1;6a;Lang Sven;*;8.5
1;6b;Gabriel Christian (2000);;8.5
1;6c;Di Pietro Loris;;8.5
1;6d;Meier Andreas;;8.5
1;6e;Dober Adrian;**;8.5
1;6f;Egli Christian;;8.5
1;6g;Barmettler Peter;*;8.5
1;6h;Gwerder Dominik;;8.5
1;6i;Murpf Dario (1999);;8.5
1;6j;Forster Christian;;8.5
1;6k;Bürli Roger;**;8.5
1;6l;Gubbi Pablo (2000);;8.5
1;6m;Kaufmann Jens;;8.5
1;6n;Vogler Daniel;*;8.5
1;6o;Muff Reto;;8.5
1;6p;Pedrazzini Diego;;8.5
1;6q;Bürgi Reto;*;8.5
1;6r;Schaller Noah (2000);;8.5
1;6s;Zgraggen Sandro (2001);;8.5
1;6t;Suter Beat;;8.5
1;6u;Ulrich Pascal (1999);;8.5
1;6v;Bernet Raffael;;8.5
1;6w;Walker Roger;;8.5
