3860: 3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Kurmann Jvo;;10.0
1;1b;Kottmann Jonas (2000);;10.0
1;1c;Dissler Philipp;;10.0
1;1d;Thalmann Adrian (1999);;10.0
1;1e;Gloggner Reto;**;10.0
1;1f;Wüest David (2000);;10.0
1;1g;Elmiger Andreas;;10.0
1;1h;Schärli Reto;;10.0
1;1i;Zurfluh Roman;*;10.0
1;1j;Gut Koni;;10.0
1;1k;Thierstein Marco;;10.0
1;1l;Hurschler Thomas;**;10.0
1;1m;Zgraggen Peter;;10.0
1;1n;Nötzli Bruno;***;10.0
1;1o;Walker Roger;;10.0
1;1p;Gisler Stefan;;10.0
1;1q;Stucki Christian;;10.0
1;1r;Ulrich Gregor;;10.0
1;1s;Ziegler Moritz;;10.0
1;1t;Elmiger Matthias;;10.0
1;1u;Fässler Dominic;*;10.0
1;1v;Schelbert Roman;;10.0
1;1w;Müller Michael;**;10.0
1;1x;Widmer Simon;;10.0
1;1y;Eiholzer Roy;;10.0
1;1z;Egli Matthias (2001);;10.0
1;1z1;Reichmuth Armin;*;10.0
1;1z2;Ulrich Livio (1999);;10.0
1;1z3;Suppiger Thomas;;10.0
1;1z4;Stöckli Damian;;10.0
1;1z5;Stäger Franz (2000);;10.0
1;1z6;Stadelmann Simon;*;10.0
1;1z7;Staffelbach Beat (2000);;10.0
1;1z8;Schmid Simon (2000);;10.0
1;1z9;Amrein Lukas (1999);;10.0
1;1z10;Egli Damian;**;10.0
1;1z11;Lustenberger Josef;;10.0
1;1z12;Aregger Fabian (2001);;10.0
1;1z13;Schöpfer Ronny (1999);;10.0
1;1z14;Zgraggen Fabian;*;10.0
1;1z15;Doppmann Ueli;;10.0
1;1z16;Vogel Ivo (2001);;10.0
1;1z17;Troxler Jonas (2000);;10.0
1;1z18;Egli David;*;10.0
1;1z19;Portmann Josef;*;10.0
1;2a;Lang Sven;*;9.75
1;2b;Müller Mathias;;9.75
1;2c;Muff André;*;9.75
1;2d;Marti Pirmin (2001);;9.75
1;2e;Doppmann Urs;*;9.75
1;2f;Weber Roman (1999);;9.75
1;2g;Schürpf Bruno;;9.75
1;2h;Ambühl Patrick;;9.75
1;2i;Murpf Dario (1999);;9.75
1;2j;Schmid Köbi;;9.75
1;2k;Ottiger Lukas;;9.75
1;2l;Achermann Christoph;*;9.75
1;2m;Portmann Stefan;;9.75
1;2n;Erni Mathias;;9.75
1;2o;Gerber Peter;;9.75
1;2p;Hurschler Adrian;;9.75
1;2q;Muff Reto;;9.75
1;2r;Scherer Niklaus;;9.75
1;2s;Betschart Daniel;;9.75
1;2t;Wicki Fabian (2001);;9.75
1;2u;Rüttimann Daniel;;9.75
1;2v;Arnold Sedric;;9.75
1;2w;Hasler Florian;**;9.75
1;2x;Jund Matthias (1999);;9.75
1;2y;Schnider Markus;*;9.75
1;2z;Vogel Manuel;;9.75
1;2z1;Wicki Kevin;;9.75
1;2z2;Bühler Patrice;;9.75
1;2z3;Schmidiger Marco;;9.75
1;2z4;Wigger Simon (1999);;9.75
1;2z5;Stadelmann Ron;;9.75
1;2z6;Hurschler Mauri (1999);;9.75
1;2z7;Hodel Michael (2000);;9.75
1;2z8;Thalmann Thomas;*;9.75
1;2z9;Bucher Thomas;;9.75
1;2z10;Kälin Roland;**;9.75
1;2z11;Portmann Roger;;9.75
1;2z12;Gwerder Andreas;*;9.75
1;2z13;Heiniger Luca;;9.75
1;2z14;Portmann Daniel;;9.75
1;2z15;Fallegger Joel;;9.75
1;2z16;Bühlmann Daniel (2000);;9.75
1;2z17;Burri Timo (2001);;9.75
1;2z18;Fankhauser Reto;**;9.75
1;2z19;von Büren Stephan;*;9.75
1;2z20;Fankhauser Marco;**;9.75
1;2z21;Durrer Nando (1999);;9.75
1;2z22;Marti Christoph (1999);;9.75
1;2z23;Muff Armin;**;9.75
1;3a;Schuler Daniel;;9.0
1;3b;Fischer Jonas (1999);;9.0
1;3c;Bussmann Martin;;9.0
1;3d;Vogel Remo;**;9.0
1;3e;Ettlin Stefan;*;9.0
1;3f;Wyss Sven (2001);;9.0
1;3g;Schaller Noah (2000);;9.0
1;3h;Egli Pirmin;**;9.0
1;3i;Wicki Joel;**;9.0
1;3j;Felder Seppi;*;9.0
1;3k;Blaser Theo;*;9.0
1;3l;Reichmuth Roland;;9.0
1;3m;Felder Martin;*;9.0
1;3n;Gloggner André (2001);;9.0
1;4a;Zimmermann Martin;**;8.75
1;4b;Briker Michael;*;8.75
1;4c;Ming Hannes;;8.75
1;4d;Käser Remo;***;8.75
1;4e;Bachmann Adrian;;8.75
1;4f;Bernet Christoph;*;8.75
1;4g;Gabriel Christian (2000);;8.75
1;4h;Stöckli Stefan;***;8.75
1;4i;Küttel Samuel;;8.75
1;4j;Bärtschi Basil;;8.75
1;4k;Arnold Adrian (2001);;8.75
1;4l;Forster Christian;;8.75
1;4m;Bürli Roger;**;8.75
1;4n;Lustenberger David (2000);;8.75
1;4o;Lischer Daniel (1999);;8.75
1;4p;Bühlmann Robin (1999);;8.75
1;4q;Reichmuth Marco;**;8.75
1;4r;Kessler Joel;*;8.75
1;4s;Bieri Elias;;8.75
1;4t;Gander Benjamin (2000);;8.75
1;4u;Binggeli Stefan;*;8.75
1;4v;Imboden Roger;**;8.75
1;4w;Murer Andy;*;8.75
1;4x;Egli Manuel;*;8.75
1;4y;Hodel Dominik (2000);;8.75
1;4z;Thalmann Adrian;;8.75
1;4z1;Brun Jonas;**;8.75
1;4z2;Kennel Stefan;**;8.75
1;4z3;Hodler Mathias;;8.75
1;4z4;Elsener Adrian;**;8.75
1;4z5;Wyrsch Silvio;;8.75
1;4z6;Fellmann Roman;*;8.75
1;4z7;Gwerder Dario;**;8.75
1;4z8;Achermann Daniel;;8.75
1;4z9;Suppiger Werner;**;8.75
1;4z10;Arnold Raphael;*;8.75
1;4z11;Hodel Martin;;8.75
1;4z12;Imhof Andi;***;8.75
1;4z13;Scheuber Lutz;**;8.75
1;4z14;Reber Sandro;;8.75
1;4z15;Schwyzer Samuel (2001);;8.75
1;4z16;Graber Michael;*;8.75
1;4z17;Bär Leo;;8.75
1;4z18;Gasser Stefan;**;8.75
1;4z19;Bättig Martin;*;8.75
1;4z20;Gloggner Philipp;***;8.75
1;4z21;Effinger Peter;;8.75
1;4z22;Huser Christian (2000);;8.75
1;4z23;Steinauer Adrian;**;8.75
1;4z24;Käslin Valentin (2000);;8.75
1;4z25;Wicki David;;8.75
1;4z26;Fankhauser Erich;***;8.75
1;4z27;Schurtenberger Sven;***;8.75
1;4z28;Fessler Linus;*;8.75
1;4z29;Siegenthaler Michael (2001);;8.75
1;4z30;Weber Marc (1999);;8.75
1;4z31;Krummenacher Roman;;8.75
1;4z32;Ulrich Andreas;***;8.75
1;4z33;Suter Pirmin;;8.75
1;4z34;Herger Matthias;**;8.75
1;4z35;Fellmann Simon;;8.75
1;4z36;Scheuber Stefan;;8.75
1;4z37;Barmet Sven;;8.75
1;5a;Müller Toni;*;8.5
1;5b;Grüter Marcel (1999);;8.5
1;5c;Rust Sandro (1999);;8.5
1;5d;Birrer Marcel (2001);;8.5
1;5e;Dober Adrian;**;8.5
1;5f;Fischer Markus (2000);;8.5
1;5g;Vonlaufen Lukas;*;8.5
1;5h;Odermatt Sepp;;8.5
1;5i;Huber Alex;*;8.5
1;5j;Bühler Kilian (2000);;8.5
1;5k;Zumstein Marcel;;8.5
1;5l;Schärli Lukas;**;8.5
1;5m;Blatter Remo (2000);;8.5
1;5n;Kennel Roger (1999);;8.5
1;5o;Sidler Kuno;;8.5
1;5p;Schnider Simon (2001);;8.5
1;5q;Theiler Thomas;;8.5
1;5r;Egli Jonas (2000);;8.5
1;5s;Banz Matthias (2001);;8.5
1;5t;Suter Beat;;8.5
1;5u;Felder Dominik (2001);;8.5
1;5v;Ulrich Pascal (1999);;8.5
1;5w;Fahrni Lukas;;8.5
1;5x;Peter Lukas (2001);;8.5
1;5y;Schumacher Marco (2000);;8.5
1;5z;Krummenacher Fabian;;8.5
1;5z1;Widmer Dominik;;8.5
1;5z2;Suter David;**;8.5
1;5z3;Hegner Ueli (1999);*;8.5
1;5z4;Fischer Tobias;;8.5
1;5z5;Hirsiger Alexander;;8.5
1;5z6;Müller Severin (1999);;8.5
1;5z7;Bissig Fabian;;8.5
1;5z8;Wyrsch Fabian (2001);;8.5
1;5z9;Vogel Marcel;;8.5
1;5z10;Ming Christian;*;8.5
1;5z11;Erni Michael (2000);;8.5
1;5z12;Graber Silvan (1999);;8.5
1;5z13;Betschart Patrick (1999);*;8.5
1;5z14;Elsener Peter;**;8.5
1;5z15;Hunkeler Joel (2001);;8.5
1;5z16;Kammermann Dominik;;8.5
1;5z17;Kohler Fabian;;8.5
1;5z18;Suppiger René;***;8.5
1;5z19;Scherrer Patrick;;8.5
1;5z20;Fallegger Franco (1999);;8.5
1;5z21;Zürcher Ueli (2000);;8.5
1;5z22;Odermatt Andreas;;8.5
1;5z23;Baumann Reto;;8.5
1;5z24;Burri Ueli;;8.5
1;5z25;Benz Simon (2000);;8.5
1;5z26;Ulrich Damian (1999);;8.5
1;5z27;von Deschwanden Patrick;;8.5
1;5z28;Ambühl Joel;*;8.5
1;5z29;Kunz Gian Luca (2001);;8.5
1;5z30;Steinger Nico (2001);;8.5
1;5z31;Odermatt Christian;**;8.5
1;5z32;Rust Silvio (2001);;8.5
1;5z33;Käslin Ruedi;*;8.5
1;5z34;Zimmermann Simon;**;8.5
1;5z35;Stocker Janosch (1999);;8.5
1;5z36;Wetzstein Adrian;;8.5
1;5z37;Ziegler Elias (1999);;8.5
1;5z38;Ineichen Stefan;;8.5
1;5z39;Martin Robin;*;8.5
1;5z40;Bürgler André;*;8.5
1;5z41;Fischer Maurus (2001);;8.5
1;5z42;Gmür Pirmin;*;8.5
1;5z43;Linggi Bruno;**;8.5
1;5z44;Zimmermann Reto;;8.5
1;5z45;Bucheli Dario (2001);;8.5
1;5z46;Fink Bruno;*;8.5
1;5z47;Achermann Ueli (2001);;8.5
1;5z48;Wyrsch Hansi (1999);;8.5
1;5z49;Renggli Remo (2001);;8.5
1;5z50;Fenk Daniel;;8.5
1;5z51;Müller Remo;;8.5
1;5z52;Lustenberger Christian (2001);;8.5
1;5z53;Johann Michael (2001);;8.5
1;5z54;Gassmann Fabian;**;8.5
1;5z55;Steiner Severin (2001);;8.5
1;5z56;Vogel Lars (2001);;8.5
1;5z57;Ming Christian 2;;8.5
1;5z58;Kempf Damian;;8.5
1;5z59;Ziegler Manuel;;8.5
1;5z60;Gwerder Beni;;8.5
1;5z61;Lampart Valentin (2000);;8.5
2;1a;Elmiger Andreas;;20.0
2;1b;Thierstein Marco;;20.0
2;1c;Nötzli Bruno;***;20.0
2;1d;Müller Michael;**;20.0
2;1e;Suppiger Thomas;;20.0
2;1f;Egli David;*;20.0
2;2a;Lang Sven;*;19.75
2;2b;Müller Mathias;;19.75
2;2c;Schmid Köbi;;19.75
2;2d;Ottiger Lukas;;19.75
2;2e;Vogel Manuel;;19.75
2;2f;Stadelmann Ron;;19.75
2;2g;Hurschler Mauri (1999);;19.75
2;2h;Egli Damian;**;19.75
2;2i;Lustenberger Josef;;19.75
2;2j;Schöpfer Ronny (1999);;19.75
2;2k;Fankhauser Marco;**;19.75
2;2l;Durrer Nando (1999);;19.75
2;2m;Doppmann Ueli;;19.75
2;3a;Schürpf Bruno;;19.5
2;3b;Hurschler Adrian;;19.5
2;3c;Muff Reto;;19.5
2;3d;Rüttimann Daniel;;19.5
2;3e;Schnider Markus;*;19.5
2;3f;Bühler Patrice;;19.5
2;3g;Muff Armin;**;19.5
2;4a;Bussmann Martin;;19.0
2;4b;Wicki Joel;**;19.0
2;4c;Elmiger Matthias;;19.0
2;4d;Fässler Dominic;*;19.0
2;5a;Zimmermann Martin;**;18.75
2;5b;Schuler Daniel;;18.75
2;5c;Ming Hannes;;18.75
2;5d;Käser Remo;***;18.75
2;5e;Bachmann Adrian;;18.75
2;5f;Gabriel Christian (2000);;18.75
2;5g;Stöckli Stefan;***;18.75
2;5h;Küttel Samuel;;18.75
2;5i;Bärtschi Basil;;18.75
2;5j;Wüest David (2000);;18.75
2;5k;Zurfluh Roman;*;18.75
2;5l;Ettlin Stefan;*;18.75
2;5m;Gut Koni;;18.75
2;5n;Reichmuth Marco;**;18.75
2;5o;Hurschler Thomas;**;18.75
2;5p;Gander Benjamin (2000);;18.75
2;5q;Binggeli Stefan;*;18.75
2;5r;Arnold Sedric;;18.75
2;5s;Thalmann Adrian;;18.75
2;5t;Kennel Stefan;**;18.75
2;5u;Hodler Mathias;;18.75
2;5v;Wyrsch Silvio;;18.75
2;5w;Stucki Christian;;18.75
2;5x;Ulrich Gregor;;18.75
2;5y;Ziegler Moritz;;18.75
2;5z;Egli Pirmin;**;18.75
2;5z1;Felder Seppi;*;18.75
2;5z2;Hodel Martin;;18.75
2;5z3;Imhof Andi;***;18.75
2;5z4;Ulrich Livio (1999);;18.75
2;5z5;Gasser Stefan;**;18.75
2;5z6;Bättig Martin;*;18.75
2;5z7;Stöckli Damian;;18.75
2;5z8;Blaser Theo;*;18.75
2;5z9;Gloggner Philipp;***;18.75
2;5z10;Effinger Peter;;18.75
2;5z11;Huser Christian (2000);;18.75
2;5z12;Amrein Lukas (1999);;18.75
2;5z13;Ulrich Andreas;***;18.75
2;5z14;Zgraggen Fabian;*;18.75
2;5z15;Suter Pirmin;;18.75
2;5z16;Fellmann Simon;;18.75
2;5z17;Scheuber Stefan;;18.75
2;6a;Muff André;*;18.5
2;6b;Kurmann Jvo;;18.5
2;6c;Doppmann Urs;*;18.5
2;6d;Kottmann Jonas (2000);;18.5
2;6e;Dissler Philipp;;18.5
2;6f;Thalmann Adrian (1999);;18.5
2;6g;Zumstein Marcel;;18.5
2;6h;Ambühl Patrick;;18.5
