3896: 3896-2022-06-26_Fete_Romande-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Lauber Grégoire;;10.0
1;1b;Collaud Romain;**;10.0
1;1c;Merz Sascha;;10.0
1;1d;Haenni Stéphane;**;10.0
1;1e;Balimann Fabian;;10.0
1;1f;Röthlisberger Sven;;10.0
1;1g;Chofflon Anthony;;10.0
1;1h;Wieland Timon;;10.0
1;1i;Gottofrey Marc;**;10.0
1;1j;Dändliker Shane;**;10.0
1;1k;Cottier Marco;;10.0
1;1l;Fankhauser Tom (2006);;10.0
1;1m;Dugué Maël;;10.0
1;1n;Sturny Nicolas;**;10.0
1;1o;Burri Flemming;;10.0
1;1p;Dousse Michel;**;10.0
1;1q;Fankhauser Yanik;;10.0
1;1r;Schurtenberger Sven;***;10.0
1;1s;Riedo Fredy;*;10.0
1;1t;Hayoz Quentin;*;10.0
1;1u;Blanchard Benjamin;;10.0
1;1v;Collaud Bastien (2005);;10.0
1;1w;Nicolet Bastien (2004);;10.0
1;1x;Bucher Roman;;10.0
1;1y;von Weissenfluh Kilian;***;10.0
1;1z;Matthey Mickaël;**;10.0
1;2a;Rey Arnaud;;9.75
1;2b;Roschi Ruedi;**;9.75
1;2c;Imhasly Jorin;;9.75
1;2d;Varone Luc;*;9.75
1;2e;Neyroud Geoffrey;;9.75
1;2f;Gottofrey Luc;*;9.75
1;2g;Elmiger Elias;;9.75
1;2h;Fontaine Anthony (2006);;9.75
1;2i;Borcard Johann;**;9.75
1;2j;Perret Loïc;;9.75
1;2k;Grossenbacher Simon;*;9.75
1;2l;Droxler Jonathan;**;9.75
1;2m;Zbinden Silvan (2004);;9.75
1;2n;Tornare Philippe (2004);;9.75
1;2o;Loup Grégoire;;9.75
1;2p;Martin Gaël (2004);*;9.75
1;2q;Leuenberger Gian (2005);;9.75
1;3a;Voggensperger Lars;**;9.0
1;3b;Kramer Dorian;**;9.0
1;4a;Fuchs Sylvain (2005);;8.75
1;4b;Hayoz Paul;*;8.75
1;4c;Cochrane Benjamin;;8.75
1;4d;Pürro David;*;8.75
1;4e;Jeannin Jess;;8.75
1;4f;Gapany Benjamin;***;8.75
1;4g;Elmiger Silvan (2004);;8.75
1;4h;Berger Dilan;;8.75
1;4i;Suchet Jonathan (2005);;8.75
1;4j;Tornare Paul;*;8.75
1;4k;Schwab Livio (2005);;8.75
1;4l;Portmann Fabio;*;8.75
1;4m;Sudan Jonathan;;8.75
1;4n;Dorsaz Théo;*;8.75
1;4o;Borcard Clovis;*;8.75
1;4p;Moser Steven;**;8.75
1;4q;Zbinden Dario (2004);*;8.75
1;4r;Sonnay Thomas;**;8.75
1;4s;Schläpfer Markus;**;8.75
1;4t;Germanier Joel;;8.75
1;5a;Aeschbacher Ivo;;8.5
1;5b;Wenger Marco;;8.5
1;5c;Kramer Lario;***;8.5
1;5d;Crettaz Olivier;*;8.5
1;5e;Siegenthaler Leo (2005);*;8.5
1;5f;Colò Kilian;**;8.5
1;5g;Monney Branighan;;8.5
1;5h;Fankhauser Hans;*;8.5
1;5i;Juon Martin;;8.5
1;5j;Jacquaz Fabien (2006);;8.5
1;5k;Hügli Kaj;**;8.5
1;5l;Berger Alan;;8.5
1;5m;Loup Alexandre;*;8.5
1;5n;Pasquier Loïc;*;8.5
1;5o;Roux Blaise;;8.5
1;5p;Erb Vincent;;8.5
1;5q;Pürro Tobias;;8.5
1;5r;Carron Léandre (2006);;8.5
1;5s;Hofer Sven;**;8.5
1;5t;Lengen Michael (2005);;8.5
1;5u;Rogivue Théo;*;8.5
1;5v;Dubey Gaël;*;8.5
1;5w;Cardinaux Nicolas;;8.5
1;5x;Bapst Ludovic;;8.5
1;5y;Schläfli Hugo;*;8.5
1;5z;Fallegger Riccardo;;8.5
1;5z1;Vaucher Rémy;;8.5
1;5z2;Mermillod Jérôme (2004);;8.5
1;5z3;Emonet Frédéric;**;8.5
1;5z4;Dufey Gil;*;8.5
1;5z5;Flury Maxime;;8.5
1;5z6;Vindefeldt Michael;;8.5
1;5z7;Wieland Janis;*;8.5
1;5z8;Berger Sascha;;8.5
1;5z9;Barras André;*;8.5
1;5z10;Perroud Florian;;8.5
1;5z11;Arnold Stefan;**;8.5
1;5z12;Jost Colin (2004);;8.5
1;5z13;Zbinden Samuel;;8.5
1;5z14;Schweizer Jason;;8.5
2;1a;Collaud Romain;**;20.0
2;1b;Schurtenberger Sven;***;20.0
2;2a;Perret Loïc;;19.75
2;2b;Bucher Roman;;19.75
2;2c;von Weissenfluh Kilian;***;19.75
2;3a;Roschi Ruedi;**;19.5
2;3b;Borcard Johann;**;19.5
2;4a;Dändliker Shane;**;19.0
2;5a;Fuchs Sylvain (2005);;18.75
2;5b;Voggensperger Lars;**;18.75
2;5c;Suchet Jonathan (2005);;18.75
2;5d;Haenni Stéphane;**;18.75
2;5e;Balimann Fabian;;18.75
2;5f;Portmann Fabio;*;18.75
2;5g;Dousse Michel;**;18.75
2;5h;Borcard Clovis;*;18.75
2;5i;Collaud Bastien (2005);;18.75
2;5j;Germanier Joel;;18.75
2;6a;Wenger Marco;;18.5
2;6b;Kramer Lario;***;18.5
2;6c;Siegenthaler Leo (2005);*;18.5
2;6d;Lauber Grégoire;;18.5
2;6e;Colò Kilian;**;18.5
2;6f;Cochrane Benjamin;;18.5
2;6g;Pürro David;*;18.5
2;6h;Gapany Benjamin;***;18.5
2;6i;Erb Vincent;;18.5
2;6j;Pürro Tobias;;18.5
2;6k;Hofer Sven;**;18.5
2;6l;Merz Sascha;;18.5
2;6m;Tornare Paul;*;18.5
2;6n;Schwab Livio (2005);;18.5
2;6o;Rogivue Théo;*;18.5
2;6p;Röthlisberger Sven;;18.5
2;6q;Chofflon Anthony;;18.5
2;6r;Wieland Timon;;18.5
2;6s;Gottofrey Marc;**;18.5
2;6t;Cottier Marco;;18.5
2;6u;Fankhauser Tom (2006);;18.5
2;6v;Grossenbacher Simon;*;18.5
2;6w;Dugué Maël;;18.5
2;6x;Droxler Jonathan;**;18.5
2;6y;Schläfli Hugo;*;18.5
2;6z;Sturny Nicolas;**;18.5
2;6z1;Burri Flemming;;18.5
2;6z2;Fankhauser Yanik;;18.5
