3905: 3905-2017-07-09_Rigischwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Gwerder Andreas;**;17.25
1;2a;Lang Sven;*;10.0
1;2b;Betschart Patrick (1999);*;10.0
1;2c;Reichmuth Marco;**;10.0
1;2d;Zimmermann Simon;**;10.0
1;2e;Steinauer Adrian;**;10.0
1;2f;Thürig Mario;***;10.0
1;2g;Gwerder Carlo;**;10.0
1;2h;Bucher Christian;*;10.0
1;2i;Ulrich Andreas;***;10.0
1;2j;Schneider Mario;**;10.0
1;2k;Gloggner Reto;**;10.0
1;2l;Döbeli Andreas;*;10.0
1;2m;Heinzer Stefan;*;10.0
1;2n;Bösch Daniel;***;10.0
1;2o;Döbeli Lukas (2000);*;10.0
1;2p;Studinger Stephan;**;10.0
1;2q;Kropf Marcel;**;10.0
1;2r;Mathis Marcel;***;10.0
1;3a;Egli Pirmin;**;9.75
1;3b;Kessler Joel;*;9.75
1;3c;Odermatt Christian;**;9.75
1;3d;Gerber Peter;*;9.75
1;3e;Egli Damian;**;9.75
1;3f;Schuler Philipp;**;9.75
1;3g;Arnold Raphael;*;9.75
1;3h;Oertig Dominik;**;9.75
1;3i;Kenel Franz-Toni;*;9.75
1;3j;Rohrer Ivan;**;9.75
1;3k;Nötzli Bruno;***;9.75
1;3l;Linggi Bruno;**;9.75
1;3m;Betschart Remo;**;9.75
1;3n;Arnold Stefan;**;9.75
1;3o;Kennel Stefan;**;9.75
1;3p;Muff Armin;**;9.75
1;4a;Wicki Joel;**;9.0
1;4b;Bieri Christoph;***;9.0
1;5a;Schuler Alex;***;8.75
1;5b;Suppiger René;***;8.75
1;5c;Forrer Arnold;***;8.75
1;5d;Betschart Silvan;*;8.75
1;5e;Gisler Bruno;***;8.75
1;5f;Fankhauser Reto;**;8.75
1;5g;Arnold Kornel;*;8.75
1;5h;Heiniger Marco;*;8.75
1;5i;Murer Andy;**;8.75
1;5j;Doppmann Urs;*;8.75
1;5k;Vonlaufen Lukas;*;8.75
1;5l;Burkhalter Stefan;***;8.75
1;5m;Schmid Dominik;**;8.75
1;5n;Langenstein Philip;*;8.75
1;5o;Schmid David;***;8.75
1;5p;Stoll Simon;*;8.75
1;5q;Bürli Roger;**;8.75
1;5r;Brun Samuel (1999);**;8.75
1;5s;Reichmuth Armin;*;8.75
1;5t;Vogel Remo;**;8.75
1;5u;Rohrer Ueli (1999);*;8.75
1;5v;Bühler Hannes;*;8.75
1;5w;Nötzli Reto;***;8.75
1;5x;Alpiger Nick;***;8.75
1;6a;Kuster Marcel;***;8.5
1;6b;Ulrich Marco;*;8.5
1;6c;Vestner Bruno;*;8.5
1;6d;Kuster Thomas;*;8.5
1;6e;Hersche Martin;***;8.5
1;6f;Rüegg Fabian;*;8.5
1;6g;Dumelin David;*;8.5
1;6h;Fässler Dominic;**;8.5
1;6i;Widmer Tobias;**;8.5
1;6j;Felder Martin;*;8.5
1;6k;Schurtenberger Sven;***;8.5
1;6l;Hügli Kaj;*;8.5
1;6m;Grab Martin;***;8.5
1;6n;Fankhauser Marco;**;8.5
1;6o;Klausner Yanick;**;8.5
1;6p;Hauri Urs;**;8.5
1;6q;Oertig Adrian;**;8.5
1;6r;Scheuber Lutz;**;8.5
1;6s;Notz Beni;***;8.5
1;6t;Leuthard Reto;*;8.5
1;6u;Schmid Samuel;**;8.5
1;6v;Ammann Rico;*;8.5
1;6w;Schnurrenberger Roman;**;8.5
1;6x;Steiner Michael;**;8.5
1;6y;Mangold Michael;*;8.5
1;6z;Bader Andreas;**;8.5
1;6z1;Herger Matthias;**;8.5
1;6z2;Zbinden Marc;*;8.5
2;1a;Gwerder Andreas;**;34.25
2;2a;Bösch Daniel;***;20.0
2;3a;Steinauer Adrian;**;19.75
2;3b;Nötzli Bruno;***;19.75
2;3c;Ulrich Andreas;***;19.75
2;3d;Döbeli Andreas;*;19.75
2;3e;Arnold Stefan;**;19.75
2;4a;Arnold Raphael;*;19.5
2;5a;Döbeli Lukas (2000);*;19.0
2;5b;Mathis Marcel;***;19.0
2;6a;Lang Sven;*;18.75
2;6b;Gisler Bruno;***;18.75
2;6c;Wicki Joel;**;18.75
2;6d;Thürig Mario;***;18.75
2;6e;Gwerder Carlo;**;18.75
2;6f;Doppmann Urs;*;18.75
2;6g;Oertig Dominik;**;18.75
2;6h;Burkhalter Stefan;***;18.75
2;6i;Rohrer Ueli (1999);*;18.75
2;6j;Bühler Hannes;*;18.75
2;7a;Betschart Patrick (1999);*;18.5
2;7b;Kuster Marcel;***;18.5
2;7c;Reichmuth Marco;**;18.5
2;7d;Schuler Alex;***;18.5
2;7e;Egli Pirmin;**;18.5
2;7f;Kessler Joel;*;18.5
2;7g;Zimmermann Simon;**;18.5
2;7h;Forrer Arnold;***;18.5
2;7i;Hersche Martin;***;18.5
2;7j;Rüegg Fabian;*;18.5
2;7k;Bucher Christian;*;18.5
2;7l;Felder Martin;*;18.5
2;7m;Heiniger Marco;*;18.5
2;7n;Schurtenberger Sven;***;18.5
2;7o;Rohrer Ivan;**;18.5
2;7p;Fankhauser Marco;**;18.5
2;7q;Klausner Yanick;**;18.5
2;7r;Hauri Urs;**;18.5
2;7s;Schneider Mario;**;18.5
2;7t;Gloggner Reto;**;18.5
2;7u;Betschart Remo;**;18.5
2;7v;Schmid Samuel;**;18.5
2;7w;Ammann Rico;*;18.5
2;7x;Heinzer Stefan;*;18.5
2;7y;Studinger Stephan;**;18.5
2;7z;Nötzli Reto;***;18.5
2;7z1;Herger Matthias;**;18.5
2;7z2;Kropf Marcel;**;18.5
2;7z3;Alpiger Nick;***;18.5
2;8a;Ulrich Marco;*;18.25
2;8b;Odermatt Christian;**;18.25
2;8c;Gerber Peter;*;18.25
2;8d;Widmer Tobias;**;18.25
2;8e;Egli Damian;**;18.25
2;8f;Schuler Philipp;**;18.25
2;8g;Hügli Kaj;*;18.25
2;8h;Kenel Franz-Toni;*;18.25
2;8i;Linggi Bruno;**;18.25
2;8j;Kennel Stefan;**;18.25
2;8k;Muff Armin;**;18.25
2;9a;Suppiger René;***;17.75
2;9b;Bieri Christoph;***;17.75
2;9c;Brun Samuel (1999);**;17.75
2;10a;Fankhauser Reto;**;17.5
2;10b;Fässler Dominic;**;17.5
2;10c;Arnold Kornel;*;17.5
2;10d;Vonlaufen Lukas;*;17.5
2;10e;Langenstein Philip;*;17.5
2;10f;Schmid David;***;17.5
2;10g;Stoll Simon;*;17.5
2;10h;Bürli Roger;**;17.5
2;10i;Reichmuth Armin;*;17.5
2;10j;Vogel Remo;**;17.5
2;11a;Betschart Silvan;*;17.25
2;11b;Murer Andy;**;17.25
2;11c;Schmid Dominik;**;17.25
2;11d;Oertig Adrian;**;17.25
2;11e;Notz Beni;***;17.25
2;11f;Leuthard Reto;*;17.25
2;11g;Schnurrenberger Roman;**;17.25
2;11h;Steiner Michael;**;17.25
2;12a;Vestner Bruno;*;17.0
2;12b;Kuster Thomas;*;17.0
2;12c;Dumelin David;*;17.0
2;12d;Grab Martin;***;17.0
2;12e;Mangold Michael;*;17.0
2;12f;Bader Andreas;**;17.0
2;12g;Zbinden Marc;*;17.0
2;13a;Scheuber Lutz;**;8.5
3;1a;Gwerder Andreas;**;53.25
3;2a;Nötzli Bruno;***;29.5
3;3a;Wicki Joel;**;28.75
3;3b;Bösch Daniel;***;28.75
3;3c;Döbeli Lukas (2000);*;28.75
3;4a;Reichmuth Marco;**;28.5
3;4b;Steinauer Adrian;**;28.5
3;4c;Hersche Martin;***;28.5
3;4d;Thürig Mario;***;28.5
3;4e;Schurtenberger Sven;***;28.5
3;4f;Rohrer Ivan;**;28.5
3;4g;Ulrich Andreas;***;28.5
3;4h;Schneider Mario;**;28.5
3;4i;Studinger Stephan;**;28.5
3;4j;Arnold Stefan;**;28.5
3;4k;Kropf Marcel;**;28.5
3;5a;Kuster Marcel;***;28.25
3;5b;Schuler Philipp;**;28.25
3;5c;Arnold Raphael;*;28.25
3;5d;Kenel Franz-Toni;*;28.25
3;5e;Hauri Urs;**;28.25
3;5f;Linggi Bruno;**;28.25
3;5g;Döbeli Andreas;*;28.25
3;5h;Betschart Remo;**;28.25
3;5i;Nötzli Reto;***;28.25
3;6a;Odermatt Christian;**;28.0
3;7a;Gisler Bruno;***;27.75
3;7b;Gwerder Carlo;**;27.75
3;7c;Oertig Dominik;**;27.75
3;7d;Mathis Marcel;***;27.75
3;8a;Suppiger René;***;27.5
3;8b;Bieri Christoph;***;27.5
3;8c;Reichmuth Armin;*;27.5
3;8d;Alpiger Nick;***;27.5
3;9a;Lang Sven;*;27.25
3;9b;Egli Pirmin;**;27.25
3;9c;Forrer Arnold;***;27.25
3;9d;Egli Damian;**;27.25
3;9e;Murer Andy;**;27.25
3;9f;Doppmann Urs;*;27.25
3;9g;Burkhalter Stefan;***;27.25
3;9h;Schmid Dominik;**;27.25
3;9i;Fankhauser Marco;**;27.25
3;9j;Schmid David;***;27.25
3;9k;Notz Beni;***;27.25
3;9l;Rohrer Ueli (1999);*;27.25
3;9m;Bühler Hannes;*;27.25
3;10a;Betschart Patrick (1999);*;27.0
3;10b;Schuler Alex;***;27.0
3;10c;Kessler Joel;*;27.0
3;10d;Zimmermann Simon;**;27.0
3;10e;Rüegg Fabian;*;27.0
3;10f;Bucher Christian;*;27.0
3;10g;Felder Martin;*;27.0
3;10h;Heiniger Marco;*;27.0
3;10i;Grab Martin;***;27.0
3;10j;Klausner Yanick;**;27.0
3;10k;Oertig Adrian;**;27.0
3;10l;Gloggner Reto;**;27.0
3;10m;Schmid Samuel;**;27.0
3;10n;Ammann Rico;*;27.0
3;10o;Heinzer Stefan;*;27.0
3;10p;Mangold Michael;*;27.0
3;10q;Kennel Stefan;**;27.0
3;10r;Herger Matthias;**;27.0
3;10s;Muff Armin;**;27.0
3;11a;Ulrich Marco;*;26.75
3;11b;Gerber Peter;*;26.75
3;11c;Widmer Tobias;**;26.75
3;11d;Hügli Kaj;*;26.75
3;11e;Bader Andreas;**;26.75
3;12a;Fankhauser Reto;**;26.5
3;12b;Stoll Simon;*;26.5
3;13a;Arnold Kornel;*;26.25
3;13b;Langenstein Philip;*;26.25
3;13c;Bürli Roger;**;26.25
3;13d;Brun Samuel (1999);**;26.25
3;13e;Vogel Remo;**;26.25
3;13f;Steiner Michael;**;26.25
3;14a;Dumelin David;*;26.0
3;14b;Fässler Dominic;**;26.0
3;14c;Vonlaufen Lukas;*;26.0
3;14d;Leuthard Reto;*;26.0
3;14e;Schnurrenberger Roman;**;26.0
3;15a;Kuster Thomas;*;25.75
3;15b;Betschart Silvan;*;25.75
3;16a;Vestner Bruno;*;25.5
3;16b;Zbinden Marc;*;25.5
3;17a;Scheuber Lutz;**;8.5
4;1a;Gwerder Andreas;**;70.75
4;2a;Nötzli Bruno;***;39.5
4;3a;Steinauer Adrian;**;38.5
4;3b;Wicki Joel;**;38.5
4;3c;Schurtenberger Sven;***;38.5
4;3d;Ulrich Andreas;***;38.5
4;4a;Kuster Marcel;***;38.25
4;4b;Schuler Philipp;**;38.25
4;4c;Linggi Bruno;**;38.25
4;4d;Arnold Stefan;**;38.25
4;5a;Nötzli Reto;***;38.0
4;6a;Gisler Bruno;***;37.75
4;6b;Oertig Dominik;**;37.75
4;7a;Suppiger René;***;37.5
4;7b;Gwerder Carlo;**;37.5
4;7c;Bieri Christoph;***;37.5
4;7d;Bösch Daniel;***;37.5
4;7e;Alpiger Nick;***;37.5
4;8a;Reichmuth Marco;**;37.25
4;8b;Egli Damian;**;37.25
4;8c;Burkhalter Stefan;***;37.25
4;8d;Fankhauser Marco;**;37.25
4;8e;Schneider Mario;**;37.25
4;8f;Döbeli Lukas (2000);*;37.25
4;8g;Kropf Marcel;**;37.25
4;9a;Lang Sven;*;37.0
4;9b;Hersche Martin;***;37.0
4;9c;Thürig Mario;***;37.0
4;9d;Bucher Christian;*;37.0
4;9e;Doppmann Urs;*;37.0
4;9f;Kenel Franz-Toni;*;37.0
4;9g;Rohrer Ivan;**;37.0
4;9h;Döbeli Andreas;*;37.0
4;9i;Studinger Stephan;**;37.0
4;9j;Herger Matthias;**;37.0
4;9k;Muff Armin;**;37.0
4;10a;Schuler Alex;***;36.75
4;10b;Arnold Raphael;*;36.75
4;10c;Klausner Yanick;**;36.75
4;10d;Hauri Urs;**;36.75
4;10e;Oertig Adrian;**;36.75
4;10f;Betschart Remo;**;36.75
4;11a;Odermatt Christian;**;36.5
4;11b;Fankhauser Reto;**;36.5
4;11c;Widmer Tobias;**;36.5
4;11d;Mathis Marcel;***;36.5
4;12a;Langenstein Philip;*;36.25
4;12b;Steiner Michael;**;36.25
4;13a;Egli Pirmin;**;36.0
4;13b;Kessler Joel;*;36.0
4;13c;Forrer Arnold;***;36.0
4;13d;Schmid David;***;36.0
4;13e;Reichmuth Armin;*;36.0
4;13f;Schmid Samuel;**;36.0
4;13g;Schnurrenberger Roman;**;36.0
4;14a;Betschart Patrick (1999);*;35.75
4;14b;Zimmermann Simon;**;35.75
4;14c;Murer Andy;**;35.75
4;14d;Grab Martin;***;35.75
4;14e;Schmid Dominik;**;35.75
4;14f;Gloggner Reto;**;35.75
4;14g;Notz Beni;***;35.75
4;14h;Rohrer Ueli (1999);*;35.75
4;14i;Bühler Hannes;*;35.75
4;14j;Mangold Michael;*;35.75
4;15a;Ulrich Marco;*;35.5
4;15b;Gerber Peter;*;35.5
4;15c;Rüegg Fabian;*;35.5
4;15d;Felder Martin;*;35.5
4;15e;Heiniger Marco;*;35.5
4;15f;Ammann Rico;*;35.5
4;15g;Bader Andreas;**;35.5
4;15h;Kennel Stefan;**;35.5
