3975: 3975-2017-07-30_124_Bruenigschwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Hersche Martin;***;10.0
1;1b;Bieri Marcel;**;10.0
1;1c;Steffen Valentin;*;10.0
1;1d;Gloggner Reto;**;10.0
1;1e;Sempach Thomas;***;10.0
1;1f;Anderegg Simon;***;10.0
1;1g;Kid Simon;**;10.0
1;1h;Schlüchter Colin;*;10.0
1;1i;Iseli Marco;**;10.0
1;1j;Käslin Benno;*;10.0
1;1k;Kennel Beat;*;10.0
1;1l;Binggeli Stefan;*;10.0
1;1m;Gwerder Michael (2000);*;10.0
1;1n;Murer Andy;**;10.0
1;1o;Hasler Florian;**;10.0
1;1p;Nötzli Reto;***;10.0
1;2a;Wenger Kilian;***;9.75
1;2b;Wenger Marcel (1999);*;9.75
1;2c;Egli Pirmin;**;9.75
1;2d;Weyermann Florian;*;9.75
1;2e;Sommer Roman;*;9.75
1;2f;Orlik Armon;***;9.75
1;2g;Giger Samuel;***;9.75
1;2h;Gwerder Guido;**;9.75
1;2i;Bürli Roger;**;9.75
1;2j;Steffen Gustav;*;9.75
1;2k;Ettlin Stefan;*;9.75
1;2l;Blaser Theo;*;9.75
1;2m;Ramseier Fritz;**;9.75
1;2n;Aeschbacher Matthias;**;9.75
1;2o;Wickli Beat;**;9.75
1;2p;Rychen Roger;***;9.75
1;2q;Kämpf Bernhard;***;9.75
1;2r;Wyrsch Marco;**;9.75
1;3a;Fankhauser Marco;**;9.0
1;4a;Zimmermann Martin;**;8.75
1;4b;Lussi Marco;*;8.75
1;4c;Schuler Alex;***;8.75
1;4d;Kämpf Alexander;**;8.75
1;4e;Omlin Toni;*;8.75
1;4f;Odermatt Andreas;*;8.75
1;4g;Rolli Martin;**;8.75
1;4h;Geisser Lars;**;8.75
1;4i;Roschi Ruedi;**;8.75
1;4j;Gnägi Christian;*;8.75
1;4k;Inderbitzin Daniel;*;8.75
1;4l;Aellen Florian;*;8.75
1;4m;Roth Martin;*;8.75
1;4n;Imhof Andi;***;8.75
1;4o;Pulfer Thomas;*;8.75
1;4p;Reusser Philipp;***;8.75
1;4q;Gäggeler Adrian;*;8.75
1;4r;Blaser Roman;*;8.75
1;4s;Notz Beni;***;8.75
1;4t;Reichmuth Armin;*;8.75
1;4u;Vogel Remo;**;8.75
1;4v;Eugster Ruedi;**;8.75
1;4w;Steiner Michael;**;8.75
1;4x;Ambühl Joel;*;8.75
1;4y;Kälin Roland;**;8.75
1;4z;Staudenmann Fabian (2000);*;8.75
1;4z1;Amgarten Roman;*;8.75
1;4z2;Hurschler Thomas;**;8.75
1;4z3;Steinauer Adrian;**;8.75
1;4z4;Schneider Domenic;***;8.75
1;4z5;Klossner Adrian;*;8.75
1;4z6;Fankhauser Reto;*;8.75
1;4z7;Roth Dominik;**;8.75
1;4z8;Wittwer Jan;*;8.75
1;4z9;Bürgi Reto;*;8.75
1;4z10;Schuler Philipp;**;8.75
1;4z11;Fankhauser Erich;***;8.75
1;4z12;Luginbühl Hanspeter;**;8.75
1;4z13;Rohrer Ivan;**;8.75
1;4z14;Berger René;**;8.75
1;4z15;Ulrich Andreas;***;8.75
1;4z16;Linggi Bruno;**;8.75
1;4z17;Vonlaufen Alexander;**;8.75
1;4z18;Waser Dominik;**;8.75
1;4z19;Schütz Urs;**;8.75
1;4z20;Brun Jonas;**;8.75
1;4z21;Arnold Stefan;**;8.75
1;4z22;Orlik Curdin;**;8.75
1;4z23;Ramseier Thomas;*;8.75
1;4z24;Koch Thomas;*;8.75
1;4z25;Krähenbühl Tobias;***;8.75
1;4z26;Schenk Patrick;***;8.75
1;4z27;Habegger Heinz;**;8.75
1;4z28;von Weissenfluh Kilian;**;8.75
1;5a;Bernhard Lukas;*;8.5
1;5b;Käser Remo;***;8.5
1;5c;Suppiger René;***;8.5
1;5d;Schletti Andreas;*;8.5
1;5e;Gobeli Patrick;*;8.5
1;5f;Zbinden Adrian;*;8.5
1;5g;Müller Michael;**;8.5
1;5h;Dober Adrian;**;8.5
1;5i;Höfliger Andreas;**;8.5
1;5j;Camenzind Ivan;*;8.5
1;5k;Schenkel Remo;*;8.5
1;5l;Walther Marcel;*;8.5
1;5m;Wüthrich Niklaus;**;8.5
1;5n;Waber Lorenz;*;8.5
1;5o;Bösch Daniel;***;8.5
1;5p;Bättig Martin;*;8.5
1;5q;Bieri Christian;**;8.5
1;5r;Kuster Marcel;***;8.5
1;5s;Odermatt Christian;**;8.5
1;5t;Zenger Niklaus;***;8.5
1;5u;Schurtenberger Sven;***;8.5
1;5v;Gehrig Damian;***;8.5
1;5w;Burkhalter Stefan;***;8.5
1;5x;Leuenberger Michael;*;8.5
1;5y;Scheuner Michael;*;8.5
1;5z;Kammermann Thomas;*;8.5
1;5z1;Bühler Hannes;*;8.5
1;5z2;Steffen Konrad;*;8.5
1;5z3;Leuppi Samir;**;8.5
1;5z4;von Ah Benji;***;8.5
1;5z5;Stucki Christian;***;8.5
2;1a;Hersche Martin;***;20.0
2;1b;Anderegg Simon;***;20.0
2;2a;Weyermann Florian;*;19.75
2;2b;Kid Simon;**;19.75
2;2c;Kämpf Bernhard;***;19.75
2;3a;Wenger Kilian;***;19.5
2;3b;Egli Pirmin;**;19.5
2;3c;Orlik Armon;***;19.5
2;3d;Aeschbacher Matthias;**;19.5
2;4a;Omlin Toni;*;18.75
2;4b;Roschi Ruedi;**;18.75
2;4c;Steffen Valentin;*;18.75
2;4d;Inderbitzin Daniel;*;18.75
2;4e;Reusser Philipp;***;18.75
2;4f;Sempach Thomas;***;18.75
2;4g;Giger Samuel;***;18.75
2;4h;Ettlin Stefan;*;18.75
2;4i;Kälin Roland;**;18.75
2;4j;Staudenmann Fabian (2000);*;18.75
2;4k;Hurschler Thomas;**;18.75
2;4l;Steinauer Adrian;**;18.75
2;4m;Schneider Domenic;***;18.75
2;4n;Schuler Philipp;**;18.75
2;4o;Berger René;**;18.75
2;4p;Waser Dominik;**;18.75
2;4q;Arnold Stefan;**;18.75
2;5a;Zimmermann Martin;**;18.5
2;5b;Bernhard Lukas;*;18.5
2;5c;Bieri Marcel;**;18.5
2;5d;Zbinden Adrian;*;18.5
2;5e;Sommer Roman;*;18.5
2;5f;Aellen Florian;*;18.5
2;5g;Imhof Andi;***;18.5
2;5h;Gloggner Reto;**;18.5
2;5i;Steffen Gustav;*;18.5
2;5j;Bösch Daniel;***;18.5
2;5k;Schlüchter Colin;*;18.5
2;5l;Iseli Marco;**;18.5
2;5m;Ramseier Fritz;**;18.5
2;5n;Käslin Benno;*;18.5
2;5o;Kennel Beat;*;18.5
2;5p;Klossner Adrian;*;18.5
2;5q;Binggeli Stefan;*;18.5
2;5r;Gwerder Michael (2000);*;18.5
