4034: 4034-2018-05-27_Fete_Cantonale_Vaudoise-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Fankhauser Yanik (2002);;10.0
1;1b;Esseiva Olivier;;10.0
1;1c;Fankhauser Hans (2001);;10.0
1;1d;Varone Luc;;10.0
1;1e;Perret Loïc (2002);;10.0
1;1f;Lerch Jimmy;*;10.0
1;1g;Cottier Marco (2000);;10.0
1;1h;Rapin Florent;;10.0
1;1i;Chofflon Anthony;;10.0
1;1j;Beaud Eric;;10.0
1;1k;Borcard Guillaume;;10.0
1;1l;Golliard Steve;;10.0
1;1m;Aeschbacher Ivo (2001);;10.0
1;1n;Wieland Micha;;10.0
1;1o;Dousse Michel;**;10.0
1;1p;Vonlanthen Alexandre;;10.0
1;1q;Pellet Adrian;;10.0
1;1r;Lötscher Adrian;*;10.0
1;1s;Moser Steven;**;10.0
1;1t;Cardinaux Victor;**;10.0
1;1u;Grossenbacher Simon (2002);;10.0
1;1v;Tschachtli Sven (2002);;10.0
1;1w;Balimann Sandro (2001);;10.0
1;2a;Beliakov Alexandre;;9.75
1;2b;Germanier Joel (2000);;9.75
1;2c;Colò Kilian;;9.75
1;2d;Monney Branighan;;9.75
1;2e;Mollet Adrian;;9.75
1;2f;Mollet Ivan;*;9.75
1;2g;Roth Simon (2000);;9.75
1;2h;Ambresin Cyril;**;9.75
1;2i;Piemontesi Pascal;**;9.75
1;2j;Loup Grégoire (2000);;9.75
1;2k;Blanchette Nicolas;;9.75
1;2l;Steiner Pirmin;;9.75
1;2m;Bersier Jean-Jacques;*;9.75
1;2n;Dind Samuel;**;9.75
1;2o;Pürro Tobias;;9.75
1;2p;Maridor Loïc;;9.75
1;2q;Mauron Olivier;*;9.75
1;2r;Gottofrey Luc;*;9.75
1;2s;Balimann Fabian;;9.75
1;2t;Z'Rotz Roman;;9.75
1;2u;Brodard Augustin;**;9.75
1;2v;Borcard Clovis;;9.75
1;2w;Fercher Alain;;9.75
1;2x;Bovay Bruno;;9.75
1;2y;Hayoz Quentin;*;9.75
1;2z;Dind Clément;;9.75
1;2z1;Barras André;*;9.75
1;2z2;Cotting Alexandre;;9.75
1;2z3;Ledermann Michael (2000);;9.75
1;2z4;Derron Cédric;*;9.75
1;2z5;Kolly Elmar (2002);;9.75
1;3a;Gapany Benjamin;**;9.0
1;3b;Loup Alexandre;*;9.0
1;3c;Dorsaz Théo;;9.0
1;3d;Schläfli Hugo (2002);;9.0
1;4a;Niederberger Nicola (2000);;8.75
1;4b;Dorsaz Alexandre;*;8.75
1;4c;Haenni Stéphane;**;8.75
1;4d;Wieland Timon;;8.75
1;4e;Ganière William;;8.75
1;4f;Gottofrey Marc;**;8.75
1;4g;Borcard Johann;**;8.75
1;4h;Roch Vincent;**;8.75
1;4i;Matthey Mickaël;**;8.75
1;5a;Jeannin Jess (2000);;8.5
1;5b;Kramer Lario;**;8.5
1;5c;Lachavanne Noé;;8.5
1;5d;Lopes Semedo Mauro (2001);;8.5
1;5e;Crettaz Olivier;*;8.5
1;5f;Guisolan Marc;**;8.5
1;5g;Kyburz Silas;;8.5
1;5h;Emonet Fabien;**;8.5
1;5i;Cochrane Benjamin;;8.5
1;5j;Longchamp Samuel;;8.5
1;5k;Kohler Matthias;;8.5
1;5l;Valvini Maxime;;8.5
1;5m;Philipona Nicolas;;8.5
1;5n;Derron Julien;*;8.5
1;5o;Turin Antoine (2001);;8.5
1;5p;Mosimann Quentin;;8.5
1;5q;Hofer Sven;*;8.5
1;5r;Denis Frédéric;;8.5
1;5s;Zimmermann Mario;*;8.5
1;5t;Dubey Gaël;;8.5
1;5u;Vionnet Julien (2000);;8.5
1;5v;Dormond Noa;;8.5
1;5w;Quartenoud Samuel;;8.5
1;5x;Sahli Kaïk;;8.5
1;5y;Schöpfer Dio;**;8.5
1;5z;Kilchoer Alain;*;8.5
1;5z1;Giuliani Johann (2002);;8.5
