4045: 4045-2018-06-03_97_Urner_Kant_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Heinzer Stefan;**;19.0
1;2a;Burch Jonas;*;10.0
1;2b;Ming Hannes;;10.0
1;2c;Hürlimann Marco (2002);;10.0
1;2d;Gander Adrian;*;10.0
1;2e;Gasser Dominik 1;;10.0
1;2f;Ottiger Lukas;;10.0
1;2g;Spichtig Aldo;;10.0
1;2h;Hurschler Thomas;**;10.0
1;2i;Streiff Dominik;*;10.0
1;2j;Scherrer Fabian (2002);;10.0
1;2k;Suter Samuel;;10.0
1;2l;Elsener Manuel;;10.0
1;2m;Arnold Kilian (2002);;10.0
1;2n;Vogel Laurin (2002);;10.0
1;2o;Wicki Joel;**;10.0
1;2p;Zürcher Ueli (2000);;10.0
1;2q;Zanini David (2000);;10.0
1;2r;Arnold Severin;*;10.0
1;2s;Betschart Michael;;10.0
1;2t;Wyrsch Gabriel (2001);;10.0
1;2u;Baumann Roger;*;10.0
1;2v;Ambühl Joel;*;10.0
1;2w;von Euw Lukas (2002);;10.0
1;2x;Herger Simon 1 (2002);;10.0
1;2y;Fankhauser Reto;**;10.0
1;2z;Reichmuth Roland;;10.0
1;2z1;Arnold Lukas;;10.0
1;2z2;Meier Daniel (2000);;10.0
1;2z3;Durrer Fabian;*;10.0
1;2z4;Doppmann Ueli;;10.0
1;2z5;Steiner Severin (2001);;10.0
1;2z6;Ming Christian 2;;10.0
1;2z7;Barmet Sven;;10.0
1;2z8;Bürgi Tobias;;10.0
1;2z9;Lustenberger Florian (2002);;10.0
1;2z10;Albert Thomas;;10.0
1;3a;Müller Ivo (2002);;9.75
1;3b;Gisler Jonas (2001);;9.75
1;3c;Huber Alex;*;9.75
1;3d;Lagler Christian;;9.75
1;3e;Wyss Sven (2001);;9.75
1;3f;Durrer Robin;;9.75
1;3g;Hegner Ueli;*;9.75
1;3h;Suter Beat;;9.75
1;3i;Zurﬂuh Michael;*;9.75
1;3j;Ettlin Martin;;9.75
1;3k;Gander Michael;;9.75
1;3l;Thalmann Adrian;;9.75
1;3m;Waser Reto;*;9.75
1;3n;Vogel Marcel;;9.75
1;3o;Kurmann Toni;*;9.75
1;3p;Fellmann Roman;*;9.75
1;3q;Kempf David;;9.75
1;3r;Baumann Lukas;;9.75
1;3s;Käslin Ruedi;*;9.75
1;3t;Gassmann Michael;*;9.75
1;3u;Odermatt Fabian (2002);;9.75
1;3v;Hürlimann Ueli (2001);;9.75
1;3w;Gander Martin;;9.75
1;3x;Klauser Nico;;9.75
1;3y;Durrer Ueli;;9.75
1;3z;Hürlimann Mathias (2000);;9.75
1;3z1;Zgraggen Fabian;*;9.75
1;3z2;Suter Bruno (2002);;9.75
1;4a;Schuler Daniel;*;9.0
1;4b;Schuler Alex;***;9.0
1;4c;Gisler Lukas (2001);;9.0
1;4d;Gwerder Guido;**;9.0
1;4e;Kessler Joel;*;9.0
1;4f;Hirsiger Alexander;*;9.0
1;4g;Arnold Stefan;**;9.0
1;4h;Ming Christian;*;9.0
1;4i;Scheuber Lutz;**;9.0
