4068: 4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Heinzer Stefan;**;17.25
1;2a;Ulrich Marco;*;10.0
1;2b;Briker Michael;*;10.0
1;2c;Della Torre Simon;;10.0
1;2d;Barmettler Peter;*;10.0
1;2e;Wyss Sven (2001);*;10.0
1;2f;Bieri Elias;;10.0
1;2g;Gander Michael;;10.0
1;2h;Schöpfer Ronny;*;10.0
1;2i;Wyrsch Silvio;*;10.0
1;2j;Villiger Cyrill;*;10.0
1;2k;Odermatt Andreas;*;10.0
1;2l;Suppiger Werner;**;10.0
1;2m;Arnold Raphael;**;10.0
1;2n;Bucher Thomas;*;10.0
1;2o;Ambühl Joel;**;10.0
1;2p;Zürcher Ueli;*;10.0
1;2q;Bättig Martin;*;10.0
1;2r;Stöckli Damian;*;10.0
1;2s;Blaser Theo;*;10.0
1;2t;Gloggner Philipp;***;10.0
1;2u;Wicki David;;10.0
1;2v;Egli Damian;**;10.0
1;2w;Felder Martin;*;10.0
1;2x;Schurtenberger Sven;***;10.0
1;2y;Schuler Christian;***;10.0
1;2z;Rohrer Ivan;**;10.0
1;2z1;Waser Christoph (2002);;10.0
1;2z2;Rohrer Ueli;*;10.0
1;2z3;Durrer Fabian;*;10.0
1;2z4;Müllestein Mike;***;10.0
1;2z5;Steiner Severin (2001);;10.0
1;2z6;von Ah Benji;***;10.0
1;2z7;Lustenberger Florian (2002);;10.0
1;2z8;Alpiger Nick;***;10.0
1;2z9;Mehr Lars (2002);;10.0
1;3a;Langensand Stefan;*;9.75
1;3b;Lustenberger Marc (2003);;9.75
1;3c;Vonlaufen Lukas;*;9.75
1;3d;Huber Alex;*;9.75
1;3e;Schürpf Bruno;*;9.75
1;3f;Riebli Urs (2002);;9.75
1;3g;Lagler Christian;;9.75
1;3h;Bürli Roger;**;9.75
1;3i;Gasser Dominik 2;;9.75
1;3j;Ettlin Stefan;**;9.75
1;3k;Reichmuth Marco;**;9.75
1;3l;Gerber Peter;*;9.75
1;3m;Hurschler Adrian;;9.75
1;3n;Gwerder Michael;**;9.75
1;3o;Streiff Dominik;*;9.75
1;3p;Nötzli Reto;***;9.75
1;3q;Durrer Markus;;9.75
1;3r;Hess Michael;*;9.75
1;3s;Bucher Roland;*;9.75
1;3t;Bieri Marcel;**;9.75
1;3u;Würsch Lars;*;9.75
1;3v;Kempf Elias;**;9.75
1;3w;Betschart Patrick;*;9.75
1;3x;von Euw Lukas (2002);;9.75
1;3y;Wandeler Roman (2002);;9.75
1;3z;Steinauer Adrian;**;9.75
1;3z1;Nietlispach Pascal;**;9.75
1;3z2;Fankhauser Marco;**;9.75
1;3z3;Bürgi Tobias;;9.75
1;4a;Burch Jonas;*;9.0
1;4b;Lussi Marco;**;9.0
1;4c;Kessler Joel;*;9.0
1;4d;Kennel Beat;*;9.0
1;4e;Binggeli Stefan;**;9.0
1;4f;Reichmuth Armin;*;9.0
1;4g;Suppiger Thomas;*;9.0
1;4h;Kälin Roland;**;9.0
1;4i;Fankhauser Reto;**;9.0
1;4j;Schuler Philipp;**;9.0
1;4k;Linggi Bruno;**;9.0
1;5a;Lang Sven;*;8.75
1;5b;Zimmermann Martin;**;8.75
1;5c;Bienz Romeo;*;8.75
1;5d;Bernhard Lukas;*;8.75
1;5e;Schuler Alex;***;8.75
1;5f;Reichmuth Lukas;*;8.75
1;5g;Bernet Christoph;*;8.75
1;5h;Di Pietro Loris;;8.75
1;5i;Bucher Christian;*;8.75
1;5j;Muff André;*;8.75
1;5k;Moos Christoph;*;8.75
1;5l;Doppmann Urs;**;8.75
1;5m;Lemmenmeier Lukas;*;8.75
1;5n;Inderbitzin Daniel;*;8.75
1;5o;Dissler Philipp;*;8.75
1;5p;Orlik Armon;***;8.75
1;5q;Gloggner Reto;**;8.75
1;5r;Herger Andreas;;8.75
1;5s;Vogel Remo;**;8.75
1;5t;Wicki Patrick;;8.75
1;5u;Arnold Andreas;*;8.75
1;5v;Hurschler Thomas;**;8.75
1;5w;Höﬂiger Andreas;**;8.75
1;5x;Hess Dominik;*;8.75
1;5y;Bürgi Reto;*;8.75
1;5z;Scherer Niklaus;*;8.75
1;5z1;Murer Andy;**;8.75
1;5z2;Suter Beat;*;8.75
1;5z3;Müller Roger;*;8.75
1;5z4;Betschart Rainer;**;8.75
1;5z5;Betschart Daniel;;8.75
1;5z6;Bürgler Lukas;*;8.75
1;5z7;von Weissenﬂuh Kilian;**;8.75
1;5z8;Betschart Remo;**;8.75
1;5z9;Brun Jonas;**;8.75
1;5z10;Arnold Stefan;**;8.75
1;5z11;Waser Reto;*;8.75
1;5z12;Kurmann Toni;*;8.75
1;5z13;Elsener Adrian;**;8.75
1;5z14;Mathis Marcel;***;8.75
1;5z15;Durrer Jonas (2003);*;8.75
1;5z16;Hürlimann Mathias;*;8.75
1;5z17;Jund Matthias;;8.75
1;5z18;Durrer Nando;*;8.75
1;5z19;Wicki Joel;**;8.75
1;5z20;Fässler Dominic;**;8.75
1;5z21;Gapany Benjamin;**;8.75
1;5z22;Arnold Fabian;*;8.75
1;5z23;Gwerder Christian;**;8.75
1;5z24;Reichmuth Pirmin;***;8.75
1;5z25;Briker Hannes;;8.75
1;5z26;Vogler Jonas;;8.75
1;5z27;Arnold Marcel;*;8.75
1;5z28;Zimmermann Simon;**;8.75
1;5z29;Käslin Ruedi;*;8.75
1;5z30;Ulrich Pascal;;8.75
1;5z31;Käslin Benno;*;8.75
1;5z32;Reichmuth Roland;*;8.75
1;5z33;Gasser Peter;*;8.75
1;5z34;Heiniger Marco;*;8.75
1;5z35;Zurﬂuh Roman;**;8.75
1;5z36;Fankhauser Erich;***;8.75
1;5z37;Amgarten Martin;*;8.75
1;5z38;Waser Dominik;**;8.75
1;5z39;Gwerder Beni;;8.75
1;5z40;Muff Armin;**;8.75
1;5z41;Wyrsch Marco;**;8.75
1;5z42;Schürpf Guido;;8.75
1;6a;Müller Mathias;;8.5
1;6b;Schuler Daniel;*;8.5
1;6c;Ming Hannes;;8.5
1;6d;Imfeld Beat;*;8.5
1;6e;Eﬃnger Peter;;8.5
1;6f;Widmer Adrian;*;8.5
1;6g;Gisler Jonas (2001);*;8.5
1;6h;Föhn Christian (2002);;8.5
1;6i;Piemontesi Pascal;**;8.5
1;6j;Schärli Reto;*;8.5
1;6k;Achermann Christoph;*;8.5
1;6l;Troxler Jonas;*;8.5
1;6m;Kaufmann Reto (2002);*;8.5
1;6n;Bieri Christian;**;8.5
1;6o;Brunner Timon;;8.5
1;6p;Thierstein Marco;*;8.5
1;6q;Zumstein Patrick;;8.5
1;6r;Van Messel Noe (2002);**;8.5
1;6s;Hegner Ueli;*;8.5
1;6t;Bachmann Roger;*;8.5
1;6u;Schmid Simon;*;8.5
1;6v;Betschart Marcel;*;8.5
1;6w;Matter Marco;*;8.5
1;6x;Weber Ivo;;8.5
1;6y;Auf der Maur Michael;;8.5
1;6z;Leuppi Samir;**;8.5
1;6z1;Erb Roger;**;8.5
1;6z2;Suter Samuel;;8.5
1;6z3;Ziegler Moritz;;8.5
1;6z4;Fellmann Roman;**;8.5
1;6z5;Suppiger René;***;8.5
1;6z6;Crotta Robin (2001);;8.5
1;6z7;Gwerder Dario;**;8.5
1;6z8;Schmidiger Marco;*;8.5
1;6z9;Ulrich Damian;;8.5
1;6z10;Rolli Martin;**;8.5
1;6z11;Wallimann Remo;*;8.5
1;6z12;Wyrsch Gabriel (2001);;8.5
1;6z13;Eﬃnger Markus;*;8.5
1;6z14;Imhof Andi;***;8.5
1;6z15;Scheuber Lutz;**;8.5
1;6z16;Thalmann Thomas;*;8.5
1;6z17;Graber Michael;*;8.5
1;6z18;Arnold Sebastian;;8.5
1;6z19;Gasser Stefan;**;8.5
1;6z20;Grab Daniel;**;8.5
1;6z21;Gwerder Andreas;*;8.5
1;6z22;Odermatt Christian;**;8.5
1;6z23;Beffa Mario;;8.5
1;6z24;Betschart Silvan;*;8.5
1;6z25;Suter Raphael;;8.5
1;6z26;Kenel Franz-Toni;*;8.5
1;6z27;Fink Bruno;*;8.5
1;6z28;Rohrer Marco;**;8.5
1;6z29;Lüthy Ralph;;8.5
1;6z30;Herger Matthias;**;8.5
1;6z31;Kempf Damian;;8.5
2;1a;Heinzer Stefan;**;35.5
2;2a;Schurtenberger Sven;***;20.0
2;2b;von Ah Benji;***;20.0
2;2c;Lustenberger Florian (2002);;20.0
2;3a;Nötzli Reto;***;19.75
2;3b;Suppiger Werner;**;19.75
2;3c;Bucher Thomas;*;19.75
2;3d;Betschart Patrick;*;19.75
2;3e;Wandeler Roman (2002);;19.75
2;3f;Gloggner Philipp;***;19.75
2;3g;Schuler Christian;***;19.75
2;3h;Bürgi Tobias;;19.75
2;3i;Alpiger Nick;***;19.75
2;4a;Huber Alex;*;19.5
2;4b;Hurschler Adrian;;19.5
2;4c;Gwerder Michael;**;19.5
