4114: 4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Fankhauser Reto;**;18.75
1;2a;Thalmann Adrian;;18.5
1;3a;Schuler Koni;;10.0
1;3b;Muff André;*;10.0
1;3c;Widmer Adrian;*;10.0
1;3d;Gisler Jonas (2001);;10.0
1;3e;Inderbitzin Daniel;*;10.0
1;3f;Wyss Christian;;10.0
1;3g;Achermann Simon;;10.0
1;3h;Bühler Kilian (2000);;10.0
1;3i;Schürpf Bruno;*;10.0
1;3j;Wüest David (2000);;10.0
1;3k;Ottiger Lukas;;10.0
1;3l;Vogel Remo;**;10.0
1;3m;Kaufmann Reto (2002);;10.0
1;3n;Wyss Sven (2001);;10.0
1;3o;Bieri Elias;;10.0
1;3p;Banz Matthias (2001);;10.0
1;3q;Durrer Robin;;10.0
1;3r;Schelbert Ralf;**;10.0
1;3s;Wicki Fabian (2001);;10.0
1;3t;Broch Marcel (2002);;10.0
1;3u;Ulrich Livio;;10.0
1;3v;Widmer Dominik;;10.0
1;3w;Bissig Fabian;;10.0
1;3x;Vogel Marcel;;10.0
1;3y;Suter Samuel;;10.0
1;3z;Kammermann Dominik;;10.0
1;3z1;Wigger Simon;;10.0
1;3z2;Wicki Kevin;;10.0
1;3z3;Zürcher Ueli (2000);;10.0
1;3z4;Michel Jonas;*;10.0
1;3z5;Baumann Roger;*;10.0
1;3z6;Reichmuth Armin;*;10.0
1;3z7;Bättig Martin;*;10.0
1;3z8;Stöckli Damian;;10.0
1;3z9;Heiniger Luca;;10.0
1;3z10;Reichmuth Roland;;10.0
1;3z11;Achermann Christian (2002);;10.0
1;3z12;Wicki David;;10.0
1;3z13;Portmann Fabian;;10.0
1;3z14;Birchler Fabian (2000);;10.0
1;3z15;Schurtenberger Sven;***;10.0
1;3z16;Renggli Remo (2001);;10.0
1;3z17;Doppmann Ueli;;10.0
1;3z18;Fellmann Simon;;10.0
1;3z19;Troxler Jonas (2000);;10.0
1;3z20;Wyrsch Marco;**;10.0
1;4a;Bienz Romeo;;9.75
1;4b;Bernet Christoph;*;9.75
1;4c;Imfeld Beat;;9.75
1;4d;Kurmann Jvo;;9.75
1;4e;Gloggner Reto;**;9.75
1;4f;Blaser Roman;*;9.75
1;4g;Wicki David (2002);;9.75
1;4h;Gut Koni;;9.75
1;4i;Thierstein Marco;*;9.75
1;4j;Zumstein Patrick;;9.75
1;4k;Gemsch Stefan;;9.75
1;4l;Peter Lukas (2001);;9.75
1;4m;Zurﬂuh Michael;*;9.75
1;4n;Zwyer Simon;;9.75
1;4o;Scherrer Fabian (2002);;9.75
1;4p;Rüttimann Daniel;;9.75
1;4q;Gwerder Marco;;9.75
1;4r;Lang Julian;;9.75
1;4s;Hurschler Michael;;9.75
1;4t;Wicki Joel;**;9.75
1;4u;Bieri Marcel;**;9.75
1;4v;Achermann Daniel;;9.75
1;4w;Amrein Lukas;;9.75
1;4x;Schmidiger Marco;*;9.75
1;4y;Ulrich Damian;;9.75
1;4z;Burri Ueli;;9.75
1;4z1;Arnold Fabian;*;9.75
1;4z2;Hofmann Florian;**;9.75
1;4z3;Fassbind René;*;9.75
1;4z4;Egli Matthias (2001);;9.75
1;4z5;Steinger Nico (2001);;9.75
1;4z6;Wandeler Roman (2002);;9.75
1;4z7;Kälin Roland;**;9.75
1;4z8;Portmann Roger;;9.75
1;4z9;Ettlin Kevin (2001);;9.75
1;4z10;Wüthrich Philip;*;9.75
1;4z11;Beffa Mario;;9.75
1;4z12;Egli Damian;**;9.75
1;4z13;Gander Martin;;9.75
1;4z14;Zurﬂuh Roman;**;9.75
1;4z15;Bucher Sandro (2000);;9.75
1;4z16;Murpf Dario;;9.75
1;4z17;Rohrer Ueli;*;9.75
1;4z18;Amgarten Martin;*;9.75
1;4z19;Waser Dominik;**;9.75
1;4z20;Egli Christian (2000);;9.75
1;4z21;Ziegler Elias;;9.75
1;4z22;Johann Michael (2001);;9.75
1;4z23;Barmet Sven;;9.75
1;4z24;Lampart Valentin (2000);;9.75
1;5a;Meier Andreas;;9.0
1;5b;Gisler Stefan;;9.0
1;5c;Schöpfer Ronny;*;9.0
1;5d;Keller Janik;*;9.0
1;5e;Bühler Patrice;;9.0
1;5f;Hodel Martin;;9.0
1;5g;Thalmann Thomas;*;9.0
