4347: 4347-2021-08-22_116_Ob-_und_Nidw_Kant_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Schuler Alex;***;18.5
1;2a;Wigger Simon;;10.0
1;2b;Wicki Kevin;;10.0
1;2c;Wallimann Remo;*;10.0
1;2d;Waser Raphael;;10.0
1;2e;Küng Jonas (2004);;10.0
1;2f;Achermann Simon;;10.0
1;2g;Durrer Lukas;;10.0
1;2h;Kempf Fabian;;10.0
1;2i;Gasser Dominik 1;;10.0
1;2j;Wittwer Roy;;10.0
1;2k;Felder Ivan (2004);;10.0
1;2l;Niederberger Markus;*;10.0
1;2m;Bättig Martin;*;10.0
1;2n;Wyrsch Gabriel;;10.0
1;2o;Gut Koni;;10.0
1;2p;Kaufmann Jens;;10.0
1;2q;Ettlin Jan;;10.0
1;2r;Thierstein Marco;*;10.0
1;2s;Zumstein Patrick;;10.0
1;2t;Kessler Joel;*;10.0
1;2u;Kennel Beat;**;10.0
1;2v;Felder Martin;*;10.0
1;2w;Schuler Philipp;**;10.0
1;2x;Theiler Nils (2004);;10.0
1;2y;Müller Roger;*;10.0
1;2z;Schurtenberger Sven;***;10.0
1;2z1;von Ah Markus;;10.0
1;2z2;von Wyl Kevin (2004);;10.0
1;2z3;Fuster Sepp;*;10.0
1;2z4;Ziegler Elias;;10.0
1;2z5;Bühler Ramon;;10.0
1;2z6;Grüter Marcel;;10.0
1;2z7;Doppmann Ueli;;10.0
1;2z8;Vogel Marcel;*;10.0
1;2z9;Ming Christian 2;;10.0
1;2z10;Zemp Christian (2004);;10.0
1;2z11;Kurmann Toni;*;10.0
1;2z12;von Ah Benji;***;10.0
1;2z13;Rohrer Timo;;10.0
1;2z14;Odermatt Remo;*;10.0
1;2z15;Albert Thomas;;10.0
1;3a;Durrer Jonas (2003);*;9.75
1;3b;Durrer Markus;;9.75
1;3c;Bernhard Lukas;**;9.75
1;3d;Ming Hannes;;9.75
1;3e;Ettlin Michael;;9.75
1;3f;Durrer Nando;*;9.75
1;3g;Kaiser Sandro;;9.75
1;3h;Ulrich Sandro (2005);;9.75
1;3i;Ettlin Mario (2003);;9.75
1;3j;Rohrer Philipp (2004);;9.75
1;3k;Mehr Lars;;9.75
1;3l;Ambühl Joel;**;9.75
1;3m;Imfeld Laurin (2004);;9.75
1;3n;Barmettler Renato (2003);;9.75
1;3o;Stöckli Damian;*;9.75
1;3p;Hürlimann Ueli;;9.75
1;3q;Bieri Elias;;9.75
1;3r;Ulrich Michael (2003);;9.75
1;3s;Suter Raphael;;9.75
1;3t;Zurﬂuh Michael;*;9.75
1;3u;Durrer Ueli;;9.75
1;3v;Zimmermann Raffael;;9.75
1;3w;Graber Sandro;;9.75
1;3x;Schmid Dominik;**;9.75
1;3y;Reichmuth Marco (2005);;9.75
1;3z;Hürlimann Marco;;9.75
1;3z1;Solenthaler David (2004);;9.75
1;3z2;Kathriner Severin;;9.75
1;3z3;Duss Yvan (2003);;9.75
1;3z4;Arnold Stefan;**;9.75
1;3z5;Waser Reto;*;9.75
1;3z6;Ming Christian;*;9.75
1;4a;Lang Sven;**;9.0
1;4b;Poltera Andrin;*;9.0
1;4c;Omlin Toni;*;9.0
1;4d;Christen Silvan;;9.0
1;4e;Imfeld Beat;*;9.0
1;4f;Schmidiger Lukas (2004);;9.0
1;4g;Thalmann Thomas;*;9.0
1;4h;von Matt Lars;;9.0
1;4i;Weibel Michael (2005);;9.0
1;4j;Reichmuth Roland;*;9.0
1;4k;Betschart Marcel;*;9.0
1;4l;Amgarten Martin;*;9.0
1;4m;Riebli Urs;;9.0
1;4n;Heinzer Lukas (2004);;9.0
1;4o;Huwyler Sven;;9.0
1;5a;Burch Jonas;**;8.75
1;5b;Zimmermann Martin;***;8.75
1;5c;Suppiger René;***;8.75
1;5d;Odermatt Andreas;**;8.75
1;5e;Huser Christian;;8.75
1;5f;Bucher Christian;**;8.75
1;5g;Würsch Lars;*;8.75
1;5h;Arnold Raphael;**;8.75
1;5i;Eberli Sandro (2004);;8.75
1;5j;Rohrer Michael;;8.75
1;5k;Reichmuth Marco;**;8.75
1;5l;Odermatt Christian;**;8.75
1;5m;Hess Dominik;*;8.75
1;5n;Fankhauser Reto;**;8.75
1;5o;Durrer Jan (2003);;8.75
1;5p;Heiniger Marco;**;8.75
1;5q;Murer Andy;**;8.75
1;5r;Fankhauser Erich;***;8.75
1;5s;Kenel Franz-Toni;*;8.75
1;5t;Furrer Fabian;;8.75
1;5u;Rohrer Ueli;**;8.75
1;5v;Roner Remo;;8.75
1;5w;Kaufmann Reto;*;8.75
1;5x;Waser Dominik;**;8.75
1;5y;Herger Flavio (2003);;8.75
1;5z;Herger Matthias;**;8.75
1;5z1;Wyrsch Marco;**;8.75
1;6a;Ulrich Marco;**;8.5
1;6b;Hürlimann Mathias;*;8.5
1;6c;Lussi Marco;**;8.5
1;6d;Waser Sandro (2004);;8.5
1;6e;Kälin Michael;;8.5
1;6f;Kiser Markus (2005);;8.5
1;6g;von Euw Lukas;*;8.5
1;6h;Britschgi Markus;;8.5
1;6i;Riedweg Matteo (2005);;8.5
1;6j;Ackermann Rico (2003);*;8.5
1;6k;Waser Adrian;*;8.5
1;6l;Felder Seppi;*;8.5
1;6m;Suppiger Werner;**;8.5
1;6n;Niederberger Mario (2005);;8.5
1;6o;Epp Elias (2003);;8.5
1;6p;Gloggner André;;8.5
1;6q;von Flüe Michael;;8.5
1;6r;Wyss Christian;;8.5
1;6s;Gander Adrian;*;8.5
1;6t;Barmettler Peter;*;8.5
1;6u;Imgrüth Fabian (2005);;8.5
1;6v;Käslin Valentin;;8.5
1;6w;Gander Sebastian (2003);;8.5
1;6x;von Büren Thomas;;8.5
1;6y;von Wyl Simon;;8.5
1;6z;Achermann Christoph;*;8.5
1;6z1;Vogler Adrian (2004);;8.5
1;6z2;Betschart Patrick;*;8.5
1;6z3;Gisler Jonas;*;8.5
1;6z4;Waser Christoph;*;8.5
