4404: 4404-2019-05-12_Zuercher_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Buchmann Michael;;10.0
1;1b;Bürgler Patrick;;10.0
1;1c;Lehmann Philipp;*;10.0
1;1d;Alder Armin;*;10.0
1;1e;Laager Michael (2001);;10.0
1;1f;Forster Christian;;10.0
1;1g;Vollenweider Jeremy;*;10.0
1;1h;Dändliker Shane;**;10.0
1;1i;Landolt Cla;;10.0
1;1j;Funk Nicola;*;10.0
1;1k;Wey Nicola;*;10.0
1;1l;Pianta Christian;;10.0
1;1m;Schmidlin Tobias (2001);;10.0
1;1n;Rhyner Michael;**;10.0
1;1o;Inauen Andreas;*;10.0
1;1p;Lanter Christian;;10.0
1;1q;Straub Robin;*;10.0
1;1r;Kiser Michael;;10.0
1;1s;Bollhalder Manuel (2001);;10.0
1;1t;Tobler Pius (2001);;10.0
1;1u;Leuppi Samir;**;10.0
1;2a;Schmid Gian (2003);;9.75
1;2b;Kirchmeier Christof;;9.75
1;2c;Zehnder Mario;;9.75
1;2d;Ackermann Rico (2003);;9.75
1;2e;Odermatt Michi;;9.75
1;2f;Grimm Michael;;9.75
1;2g;Arztmann Beda;*;9.75
1;2h;Burkhard Tobias;;9.75
1;2i;Sieber Marc;;9.75
1;2j;Schneider Mario;**;9.75
1;2k;Stähli Jan;;9.75
1;2l;Räbsamen Marcel;;9.75
1;2m;Arnold Christian;;9.75
1;2n;Rotach Lars;;9.75
1;2o;Horner Sämi;;9.75
1;2p;Oettli Marco;*;9.75
1;2q;Burkhard Patrick;*;9.75
1;2r;Schiesser Patrik;;9.75
1;2s;Brunner Timon;;9.75
1;2t;Baumgartner Ramon (2002);;9.75
1;2u;Martin Tobias (2001);;9.75
1;2v;Nock Benjamin (2001);;9.75
1;2w;Giger Lorenz;;9.75
1;2x;Büchler Livio (2001);;9.75
1;2y;Furrer Matthias;;9.75
1;2z;Krähenbühl Lukas;*;9.75
1;2z1;Kobler Janosch;;9.75
1;2z2;Hauser Simon;;9.75
1;2z3;Buff Alwin;;9.75
1;2z4;Bickel Roman;*;9.75
1;2z5;Wickli Beat;**;9.75
1;2z6;Plüer Fabian (2003);;9.75
1;2z7;Kunz Daniel;*;9.75
1;2z8;Bärtsch Fabian;;9.75
1;2z9;Scherrer Pascal;;9.75
1;2z10;Schwyn Patrick;;9.75
1;3a;Schlegel Werner (2002);*;9.0
1;3b;Bernold Michael;*;9.0
1;3c;Schmid Patrick;*;9.0
1;3d;Arnold Marcel;*;9.0
1;3e;Schneider Domenic;***;9.0
1;4a;Hari Michi;;8.75
1;4b;Bucher Roland;;8.75
1;4c;Forrer Arnold;***;8.75
1;4d;Anliker Andri (2003);;8.75
1;4e;Notz Armin;*;8.75
1;4f;Schönenberger Björn;;8.75
1;4g;Kiener Raphael;;8.75
1;4h;Baumann Rico;*;8.75
1;4i;Marty Jaime;*;8.75
1;4j;Schäppi Urs;*;8.75
1;4k;Landolt Reto;*;8.75
1;4l;Stadelmann Valentin;;8.75
1;4m;Aerne Christian;*;8.75
1;4n;Fuster Arjuna (2003);;8.75
1;4o;Straub Paul;;8.75
1;4p;Egli Martin;;8.75
1;4q;Roth Martin;**;8.75
1;4r;Ackermann Remo;*;8.75
1;4s;Kindlimann Fabian;***;8.75
1;4t;Notz Beni;***;8.75
1;4u;Bucher Roman (2003);;8.75
1;4v;Steiner Joel;;8.75
1;4w;Zumbach Michael;;8.75
1;4x;Schnyder Christian;;8.75
1;4y;Zbinden Marc;*;8.75
1;4z;Wetter Silvan;;8.75
1;4z1;Gwerder Andreas;**;8.75
1;4z2;Schuler Martin;;8.75
1;4z3;Zimmermann Daniel;*;8.75
1;4z4;Good Marco;*;8.75
1;4z5;Pallaoro Luca;;8.75
1;4z6;Elmer Daniel;*;8.75
1;4z7;Wingeier Janik;;8.75
1;4z8;Schlegel Reto;*;8.75
1;4z9;Keller Lukas;;8.75
1;4z10;Burkhalter Stefan;***;8.75
1;4z11;Rüegg Patrick;;8.75
1;4z12;Gmür Pirmin;**;8.75
1;4z13;Riget Ivan;*;8.75
1;4z14;Ammann Rico;*;8.75
1;4z15;Schnurrenberger Roman;**;8.75
1;4z16;Tschudi Mario (2001);;8.75
