4655: 4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Scherrer Johann;**;10.0
1;1b;Herrmann Adrian;;10.0
1;1c;Huber Fabian;;10.0
1;1d;Loosli Adrian;;10.0
1;1e;Graber Colin;;10.0
1;1f;Körkel Yannik;;10.0
1;1g;Strebel Joel;**;10.0
1;1h;Döbeli Lukas;**;10.0
1;1i;Mangold Michael;**;10.0
1;1j;Bieli Andreas;;10.0
1;1k;Probst Gabriel;**;10.0
1;1l;Studinger Stephan;**;10.0
1;1m;Räbmatter Patrick;***;10.0
1;1n;Stoll Thomas;;10.0
1;1o;Reimann Marco;;10.0
1;1p;Allemann Robin (2002);;10.0
1;1q;Burkhardt Roy;;10.0
1;1r;Döbeli Andreas;*;10.0
1;1s;Bächli Michael;**;10.0
1;1t;Steger Robert;;10.0
1;2a;Furrer Mathias;;9.75
1;2b;Hermann Oliver;*;9.75
1;2c;Kehr Damian (2001);;9.75
1;2d;Lisser Beat;*;9.75
1;2e;Büttler Gian;;9.75
1;2f;Bieri Christoph;***;9.75
1;2g;Büttler Adrian;;9.75
1;2h;Reinhard Pirmin (2001);;9.75
1;2i;von Arx Christian;*;9.75
1;2j;Kohler Adrian;*;9.75
1;2k;Schwob Marco;;9.75
1;2l;Lisser Daniel;*;9.75
1;2m;Ris Jörn;*;9.75
1;2n;Von Wyl Simon;;9.75
1;2o;Bieri Florian (2001);;9.75
1;2p;Brugger Jonas;;9.75
1;2q;Stegmüller Klemens;*;9.75
1;2r;Christ Dario (2003);;9.75
1;2s;Schmid Samuel;**;9.75
1;2t;Moser Matthias;*;9.75
1;2u;Alpiger Nick;***;9.75
1;3a;Späti Jan (2002);;8.75
1;3b;Waldner Patrick;**;8.75
1;3c;Studer Remo;*;8.75
1;3d;Schaffner Samuel;**;8.75
1;3e;Gerber Manuel;*;8.75
1;3f;Arnold Kornel;*;8.75
1;3g;Huber Joshua;;8.75
1;3h;Meyer Markus;;8.75
1;3i;Hügli Kaj;**;8.75
1;3j;Hasler Luis (2002);;8.75
1;3k;Vogt Marco (2003);;8.75
1;3l;Schär Jonas;;8.75
1;3m;Bucher Yanik (2003);;8.75
1;3n;Küng Marco;*;8.75
