4718: 4718-2021-08-08_Zuercher_Kantonalschwingfest2-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Schmid Dominik;**;17.25
1;2a;Götti Samuel;;10.0
1;2b;Kammermann Dominik;;10.0
1;2c;Flück Bruno;;10.0
1;2d;Lengacher Gian (2003);;10.0
1;2e;Anliker Andri (2003);;10.0
1;2f;Niederer Andreas;;10.0
1;2g;Kolb This (2003);*;10.0
1;2h;Grimm Michael;;10.0
1;2i;Arztmann Beda;**;10.0
1;2j;Kiener Raphael;;10.0
1;2k;Affentranger Martin;;10.0
1;2l;Burkhard Tobias;;10.0
1;2m;Stadelmann Valentin;;10.0
1;2n;Fuster Arjuna (2003);;10.0
1;2o;Straub Paul;;10.0
1;2p;Kindlimann Fabian;***;10.0
1;2q;Vollenweider Loïc (2004);;10.0
1;2r;Vollenweider Jeremy;**;10.0
1;2s;Kurmann Patrick (2003);;10.0
1;2t;Feldmann Patrik (2005);;10.0
1;2u;Oettli Silvio;*;10.0
1;2v;Biäsch Christian;*;10.0
1;2w;Funk Nicola;*;10.0
1;2x;Kessler Joel;*;10.0
1;2y;Wey Nicola;*;10.0
1;2z;Elmer Daniel;*;10.0
1;2z1;Hug Jan;;10.0
1;2z2;Hegner Ueli;*;10.0
1;2z3;Wild Thomas;;10.0
1;2z4;Odermatt Gian Maria (2004);*;10.0
1;2z5;Graf Nicola (2003);;10.0
1;2z6;Rüegg Patrick;;10.0
1;2z7;Reichmuth Beat;;10.0
1;2z8;Sprecher Martin;;10.0
1;2z9;Mettler Valentin;*;10.0
1;2z10;Plüer Fabian (2003);;10.0
1;2z11;Rychen Roger;***;10.0
1;2z12;Schwyn Patrick;;10.0
1;2z13;Tschudi Mario;;10.0
1;2z14;Vetterli Sven (2003);;10.0
1;3a;Kuster Thomas;*;9.75
1;3b;Winzeler Simon;;9.75
1;3c;Schiess Christian;;9.75
1;3d;Zollinger Silvan (2004);;9.75
1;3e;Lehmann Philipp;*;9.75
1;3f;Odermatt Michi;;9.75
1;3g;Ulrich Damian;;9.75
1;3h;Landolt Reto;*;9.75
1;3i;Kühne Cyrill (2004);;9.75
1;3j;Baumann Elia;;9.75
1;3k;Nüesch Sandro (2005);;9.75
1;3l;Ziegler Andreas;;9.75
1;3m;Müller Christian;;9.75
1;3n;Stähli Jan;;9.75
1;3o;Bucher Roman (2003);;9.75
1;3p;Zumbach Michael;;9.75
1;3q;Riget Florian;*;9.75
1;3r;Schuler Martin;*;9.75
1;3s;Good Marco;*;9.75
1;3t;Bleiker Ueli (2004);;9.75
1;3u;Frei Felix (2003);;9.75
1;3v;Gemsch Stefan;;9.75
1;3w;Leuppi Karim;*;9.75
1;3x;Hauser Simon;;9.75
1;3y;Galli Cedric;;9.75
1;3z;Lüthi Manuel (2003);*;9.75
1;3z1;Keller Dominic;;9.75
1;3z2;Wüthrich Hans;;9.75
1;3z3;Fausch Kjetil;*;9.75
1;3z4;Wittenwiler Mathias (2003);;9.75
1;3z5;Siegenthaler Joël (2003);;9.75
1;4a;Schnurrenberger Roman;**;9.0
1;5a;Joos Enrico (2003);*;8.75
1;5b;Elmer Adrian;*;8.75
1;5c;Schweizer Christof;*;8.75
1;5d;Burkhalter Thomas (2003);*;8.75
1;5e;Orlik Armon;***;8.75
1;5f;Lenherr Cédric (2003);*;8.75
1;5g;Zimmermann Amir;;8.75
1;5h;Nock Benjamin;*;8.75
1;5i;Signer Andy (2003);*;8.75
1;5j;Heierli Pascal;*;8.75
1;5k;Dändliker Shane;**;8.75
1;5l;Schwyn Adrian;*;8.75
1;5m;Schneider Domenic;***;8.75
1;5n;Lanter Christian;*;8.75
1;5o;Egli Joel;;8.75
1;5p;Koller Fabian;*;8.75
1;5q;Studerus Jan;;8.75
1;5r;Koller Andreas;;8.75
1;5s;Nötzli Reto;***;8.75
1;5t;Leuppi Samir;***;8.75
1;5u;Krähenbühl Tobias;***;8.75
1;5v;Hobi Ignaz;*;8.75
1;5w;Wettstein Daniel;*;8.75
1;5x;Schläpfer Matthias;*;8.75
1;6a;Faraj Daniel;;8.5
1;6b;Blaser Christian;**;8.5
1;6c;Binggeli Yannick (2005);;8.5
1;6d;Keller Manuel;*;8.5
1;6e;Bürgler Patrick;*;8.5
1;6f;Notz Armin;*;8.5
1;6g;Bernhardsgrütter Stefan (2005);;8.5
1;6h;Inauen Ivo;;8.5
1;6i;Bütler Roman (2004);;8.5
1;6j;Magani Flurin;;8.5
1;6k;Bader Sandro;;8.5
1;6l;Sieber Marc;;8.5
1;6m;Castelli Fabio;*;8.5
1;6n;Stadelmann Lukas (2004);;8.5
1;6o;Anliker Nino (2005);;8.5
1;6p;Zumstein Silvan;;8.5
1;6q;Forrer Marco (2003);;8.5
1;6r;Aebli Nino;*;8.5
1;6s;Fejzaj Naim;**;8.5
1;6t;Bachmann Janos (2004);;8.5
1;6u;Lacher Tobias (2005);;8.5
1;6v;Schnyder Christian;;8.5
1;6w;Nef Tobias (2005);;8.5
1;6x;Heierli Dorian;;8.5
1;6y;Ueltschi Patric;*;8.5
1;6z;Düring Dominik (2003);;8.5
1;6z1;Tremp Ruedi (2003);;8.5
1;6z2;Mathys Stefan (2005);;8.5
1;6z3;Lusti Remo;;8.5
1;6z4;Peter Philipp;;8.5
1;6z5;Landolt Cla;;8.5
1;6z6;Walser Simon (2004);;8.5
1;6z7;Ulrich Pascal;;8.5
1;6z8;Pianta Christian;*;8.5
1;6z9;Hochholdinger Roman;**;8.5
1;6z10;Dändliker Hansheinrich;;8.5
1;6z11;Baumann Nico;;8.5
1;6z12;Widmer Patrick (2005);;8.5
1;6z13;Plüer Dario (2005);;8.5
1;6z14;Arnold Lukas;;8.5
1;6z15;Krähenbühl Lukas;*;8.5
1;6z16;Schlegel Reto;*;8.5
1;6z17;Brand Roman (2003);;8.5
1;6z18;Burkhalter Stefan;***;8.5
1;6z19;Büchler Livio;;8.5
1;6z20;Zemp Fabian (2004);;8.5
1;6z21;Zemp Stefan;;8.5
1;6z22;Hänni Marc;;8.5
1;6z23;Gosswiler Livio;*;8.5
1;6z24;Graf Dominik (2005);;8.5
1;6z25;Fuster Sepp;*;8.5
1;6z26;Diem Hansruedi;;8.5
1;6z27;Eichhorn Alexander;;8.5
1;6z28;Rhyner Beni;;8.5
1;6z29;Battaglia Ursin;**;8.5
1;6z30;Inauen Maurus (2003);;8.5
1;6z31;Schmidlin Tobias;*;8.5
1;6z32;Gartmann Mauro;**;8.5
1;6z33;Brülisauer Thomas (2003);;8.5
1;6z34;Heiniger Reto (2005);;8.5
1;6z35;Spörndli Cyril (2003);;8.5
1;6z36;Kunz Daniel;*;8.5
1;6z37;Küchler Severin;;8.5
1;6z38;Freund Samuel (2004);;8.5
1;6z39;Waldmeier Marco (2005);;8.5
1;6z40;Dörig Erich;*;8.5
2;1a;Schmid Dominik;**;37.0
2;2a;Arztmann Beda;**;20.0
2;2b;Kindlimann Fabian;***;20.0
2;2c;Vollenweider Loïc (2004);;20.0
2;2d;Vollenweider Jeremy;**;20.0
2;2e;Biäsch Christian;*;20.0
2;2f;Wey Nicola;*;20.0
2;2g;Rychen Roger;***;20.0
2;3a;Kammermann Dominik;;19.75
2;3b;Lehmann Philipp;*;19.75
2;3c;Odermatt Michi;;19.75
2;3d;Riget Florian;*;19.75
2;3e;Leuppi Karim;*;19.75
2;3f;Graf Nicola (2003);;19.75
2;3g;Rüegg Patrick;;19.75
2;3h;Reichmuth Beat;;19.75
2;3i;Schwyn Patrick;;19.75
2;4a;Hauser Simon;;19.5
2;4b;Galli Cedric;;19.5
2;5a;Anliker Andri (2003);;19.0
2;5b;Niederer Andreas;;19.0
2;5c;Funk Nicola;*;19.0
2;5d;Schnurrenberger Roman;**;19.0
2;6a;Lengacher Gian (2003);;18.75
2;6b;Zollinger Silvan (2004);;18.75
2;6c;Baumann Elia;;18.75
2;6d;Orlik Armon;***;18.75
2;6e;Nock Benjamin;*;18.75
2;6f;Signer Andy (2003);*;18.75
2;6g;Dändliker Shane;**;18.75
2;6h;Schuler Martin;*;18.75
2;6i;Kessler Joel;*;18.75
2;6j;Schwyn Adrian;*;18.75
2;6k;Elmer Daniel;*;18.75
2;6l;Lanter Christian;*;18.75
2;6m;Koller Fabian;*;18.75
2;6n;Plüer Fabian (2003);;18.75
2;6o;Leuppi Samir;***;18.75
2;6p;Hobi Ignaz;*;18.75
