5106: 5106-2021-07-17_70_Weissenstein-Schwinget2-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Ulrich Marco;**;10.0
1;1b;Lussi Marco;**;10.0
1;1c;Hurschler Thomas;**;10.0
1;1d;Hermann Oliver;**;10.0
1;1e;Poltera Andrin;*;10.0
1;1f;Ott Damian;**;10.0
1;1g;Dumelin David;**;10.0
1;1h;Arztmann Beda;**;10.0
1;1i;Hügli Kaj;**;10.0
1;1j;Rohrer Ueli;**;10.0
1;1k;Döbeli Andreas;***;10.0
1;1l;Räbsamen Marcel;*;10.0
1;1m;Schnurrenberger Roman;**;10.0
1;1n;Rotach Lars;*;10.0
1;1o;Kropf Marcel;**;10.0
1;1p;Oettli Marco;**;10.0
1;2a;Erb Roger;**;9.75
1;2b;Burch Jonas;**;9.75
1;2c;Kuster Thomas;*;9.75
1;2d;Bürgler Patrick;*;9.75
1;2e;Fankhauser Marco;**;9.75
1;2f;Huber Alex;*;9.75
1;2g;Bollhalder Manuel;*;9.75
1;2h;Strebel Joel;***;9.75
1;2i;Leuthard Reto;**;9.75
1;2j;Schmid Samuel;**;9.75
1;2k;Ambühl Joel;**;9.75
1;2l;Nötzli Reto;***;9.75
1;2m;Betschart Patrick;*;9.75
1;2n;Hugelshofer Lars;*;9.75
1;3a;Reichmuth Marco;**;9.0
1;3b;Steinauer Adrian;**;9.0
1;3c;Gmür Pirmin;**;9.0
1;3d;Giger Urs;*;9.0
1;4a;Fellmann Roman;**;8.75
1;4b;Odermatt Christian;**;8.75
1;4c;Henzer Andreas;**;8.75
1;4d;Gerber Andrj;*;8.75
1;4e;Schneider Domenic;***;8.75
1;4f;Brand Christian;**;8.75
1;4g;Bieri Marcel;***;8.75
1;4h;Reinhard Pirmin;;8.75
1;4i;Schwegler Dominik;;8.75
1;4j;Bucher Christian;**;8.75
1;4k;Suppiger Werner;**;8.75
1;4l;Kolb Pirmin;*;8.75
1;4m;Schurtenberger Sven;***;8.75
1;4n;Arnold Fabian;*;8.75
1;4o;Lemmenmeier Lukas;*;8.75
1;4p;Imhof Andi;***;8.75
1;4q;Orlik Armon;***;8.75
1;4r;Kindlimann Fabian;***;8.75
1;4s;Bruder Adrian;*;8.75
1;4t;Müllestein Mike;***;8.75
1;4u;Moser Matthias;*;8.75
1;4v;Suter Pirmin;**;8.75
1;4w;Schlegel Sandro;**;8.75
1;4x;Leuppi Samir;***;8.75
1;4y;Stüdeli Thomas;**;8.75
1;4z;Grieder Nonda;;8.75
1;4z1;Koch Reto;*;8.75
1;5a;Scherrer Johann;**;8.5
1;5b;Schuler Alex;***;8.5
1;5c;Blaser Christian;**;8.5
1;5d;Schmutz Simon;*;8.5
1;5e;Egli Damian;**;8.5
1;5f;Schmid Patrick;*;8.5
1;5g;Scherer Niklaus;**;8.5
1;5h;Büttler Gian;;8.5
1;5i;Fankhauser Erich;***;8.5
1;5j;Nussbaumer Gabriel;;8.5
1;5k;Nägeli Marco;**;8.5
1;5l;Kenel Franz-Toni;*;8.5
1;5m;Bader Fabian;*;8.5
1;5n;Burkhalter Stefan;***;8.5
1;5o;Schlegel Werner;**;8.5
1;5p;Stadler Kevin;*;8.5
1;5q;Waser Dominik;**;8.5
1;5r;Imobersteg Matthias;**;8.5
1;5s;Stoll Simon;**;8.5
1;5t;Vollenweider Jeremy;**;8.5
1;5u;Gartmann Mauro;**;8.5
1;5v;Probst Gabriel;**;8.5
1;5w;Krähenbühl Tobias;***;8.5
1;5x;von Ah Benji;***;8.5
1;5y;Ris Jörn;*;8.5
1;5z;Widmer David;**;8.5
1;5z1;Mangold Martin;*;8.5
1;5z2;Dörig Erich;*;8.5
1;5z3;Räbmatter Patrick;***;8.5
2;1a;Hügli Kaj;**;20.0
2;1b;Kropf Marcel;**;20.0
2;2a;Döbeli Andreas;***;19.75
2;2b;Ambühl Joel;**;19.75
2;2c;Nötzli Reto;***;19.75
2;2d;Betschart Patrick;*;19.75
2;3a;Strebel Joel;***;19.5
2;4a;Reichmuth Marco;**;19.0
2;4b;Gmür Pirmin;**;19.0
2;4c;Räbsamen Marcel;*;19.0
2;5a;Lussi Marco;**;18.75
2;5b;Ott Damian;**;18.75
2;5c;Schurtenberger Sven;***;18.75
2;5d;Lemmenmeier Lukas;*;18.75
2;5e;Orlik Armon;***;18.75
2;5f;Rohrer Ueli;**;18.75
2;5g;Schlegel Sandro;**;18.75
2;5h;Rotach Lars;*;18.75
2;6a;Ulrich Marco;**;18.5
2;6b;Schuler Alex;***;18.5
2;6c;Hurschler Thomas;**;18.5
2;6d;Odermatt Christian;**;18.5
2;6e;Hermann Oliver;**;18.5
2;6f;Schneider Domenic;***;18.5
2;6g;Poltera Andrin;*;18.5
2;6h;Brand Christian;**;18.5
2;6i;Dumelin David;**;18.5
2;6j;Arztmann Beda;**;18.5
2;6k;Bucher Christian;**;18.5
2;6l;Egli Damian;**;18.5
2;6m;Suppiger Werner;**;18.5
2;6n;Scherer Niklaus;**;18.5
2;6o;Kolb Pirmin;*;18.5
2;6p;Kenel Franz-Toni;*;18.5
2;6q;Fankhauser Marco;**;18.5
2;6r;Waser Dominik;**;18.5
2;6s;Leuthard Reto;**;18.5
2;6t;Schnurrenberger Roman;**;18.5
2;6u;Vollenweider Jeremy;**;18.5
2;6v;Gartmann Mauro;**;18.5
2;6w;Leuppi Samir;***;18.5
2;6x;Oettli Marco;**;18.5
2;6y;Räbmatter Patrick;***;18.5
2;7a;Erb Roger;**;18.25
2;7b;Burch Jonas;**;18.25
2;7c;Kuster Thomas;*;18.25
2;7d;Blaser Christian;**;18.25
2;7e;Bürgler Patrick;*;18.25
2;7f;Schmutz Simon;*;18.25
2;7g;Fankhauser Erich;***;18.25
2;7h;Huber Alex;*;18.25
2;7i;Bollhalder Manuel;*;18.25
2;7j;Schmid Samuel;**;18.25
2;7k;Krähenbühl Tobias;***;18.25
2;7l;Hugelshofer Lars;*;18.25
2;7m;von Ah Benji;***;18.25
2;8a;Imhof Andi;***;17.75
2;8b;Giger Urs;*;17.75
2;9a;Fellmann Roman;**;17.5
2;9b;Steinauer Adrian;**;17.5
2;9c;Henzer Andreas;**;17.5
2;9d;Bieri Marcel;***;17.5
2;9e;Reinhard Pirmin;;17.5
2;9f;Schwegler Dominik;;17.5
2;9g;Arnold Fabian;*;17.5
2;9h;Schlegel Werner;**;17.5
2;9i;Kindlimann Fabian;***;17.5
2;9j;Müllestein Mike;***;17.5
2;9k;Suter Pirmin;**;17.5
2;9l;Dörig Erich;*;17.5
2;9m;Koch Reto;*;17.5
2;10a;Schmid Patrick;*;17.25
2;10b;Büttler Gian;;17.25
2;10c;Nägeli Marco;**;17.25
2;10d;Bader Fabian;*;17.25
2;10e;Burkhalter Stefan;***;17.25
2;10f;Bruder Adrian;*;17.25
2;10g;Moser Matthias;*;17.25
2;10h;Stüdeli Thomas;**;17.25
2;10i;Grieder Nonda;;17.25
2;10j;Widmer David;**;17.25
2;11a;Scherrer Johann;**;17.0
2;11b;Nussbaumer Gabriel;;17.0
2;11c;Stadler Kevin;*;17.0
2;11d;Imobersteg Matthias;**;17.0
2;11e;Stoll Simon;**;17.0
2;11f;Probst Gabriel;**;17.0
2;11g;Ris Jörn;*;17.0
2;11h;Mangold Martin;*;17.0
2;12a;Gerber Andrj;*;8.75
3;1a;Döbeli Andreas;***;29.75
3;2a;Nötzli Reto;***;29.5
3;3a;Reichmuth Marco;**;29.0
3;4a;Ott Damian;**;28.75
3;4b;Schurtenberger Sven;***;28.75
3;4c;Orlik Armon;***;28.75
3;5a;Hügli Kaj;**;28.5
3;5b;Schnurrenberger Roman;**;28.5
3;5c;Ambühl Joel;**;28.5
3;5d;Betschart Patrick;*;28.5
3;5e;Kropf Marcel;**;28.5
3;5f;Oettli Marco;**;28.5
3;5g;Räbmatter Patrick;***;28.5
3;6a;Hurschler Thomas;**;28.25
3;6b;Hermann Oliver;**;28.25
3;6c;Schneider Domenic;***;28.25
3;6d;Suppiger Werner;**;28.25
3;6e;Fankhauser Erich;***;28.25
3;6f;Kenel Franz-Toni;*;28.25
3;6g;Huber Alex;*;28.25
3;6h;Strebel Joel;***;28.25
3;6i;Schmid Samuel;**;28.25
3;6j;Krähenbühl Tobias;***;28.25
3;7a;Räbsamen Marcel;*;28.0
3;7b;von Ah Benji;***;28.0
3;8a;Giger Urs;*;27.75
3;9a;Lussi Marco;**;27.5
3;9b;Fellmann Roman;**;27.5
3;9c;Bieri Marcel;***;27.5
3;9d;Egli Damian;**;27.5
3;9e;Fankhauser Marco;**;27.5
3;9f;Gmür Pirmin;**;27.5
3;9g;Imhof Andi;***;27.5
3;9h;Kindlimann Fabian;***;27.5
3;9i;Müllestein Mike;***;27.5
3;9j;Rotach Lars;*;27.5
3;10a;Schuler Alex;***;27.25
3;10b;Steinauer Adrian;**;27.25
3;10c;Brand Christian;**;27.25
3;10d;Arztmann Beda;**;27.25
3;10e;Kolb Pirmin;*;27.25
3;10f;Arnold Fabian;*;27.25
3;10g;Nägeli Marco;**;27.25
3;10h;Lemmenmeier Lukas;*;27.25
3;10i;Schlegel Werner;**;27.25
3;10j;Rohrer Ueli;**;27.25
3;10k;Waser Dominik;**;27.25
3;10l;Leuthard Reto;**;27.25
3;10m;Vollenweider Jeremy;**;27.25
3;10n;Suter Pirmin;**;27.25
3;10o;Schlegel Sandro;**;27.25
3;10p;Grieder Nonda;;27.25
3;11a;Erb Roger;**;27.0
3;11b;Burch Jonas;**;27.0
3;11c;Ulrich Marco;**;27.0
3;11d;Kuster Thomas;*;27.0
3;11e;Odermatt Christian;**;27.0
3;11f;Poltera Andrin;*;27.0
3;11g;Bürgler Patrick;*;27.0
3;11h;Dumelin David;**;27.0
3;11i;Bucher Christian;**;27.0
3;11j;Scherer Niklaus;**;27.0
3;11k;Gartmann Mauro;**;27.0
3;11l;Leuppi Samir;***;27.0
3;11m;Stüdeli Thomas;**;27.0
3;12a;Blaser Christian;**;26.75
3;12b;Schmutz Simon;*;26.75
3;12c;Nussbaumer Gabriel;;26.75
3;12d;Bollhalder Manuel;*;26.75
3;12e;Hugelshofer Lars;*;26.75
3;13a;Henzer Andreas;**;26.25
3;13b;Reinhard Pirmin;;26.25
3;13c;Dörig Erich;*;26.25
3;14a;Schwegler Dominik;;26.0
3;14b;Schmid Patrick;*;26.0
3;14c;Burkhalter Stefan;***;26.0
3;14d;Koch Reto;*;26.0
3;15a;Scherrer Johann;**;25.75
3;15b;Büttler Gian;;25.75
3;15c;Bader Fabian;*;25.75
3;15d;Stadler Kevin;*;25.75
3;15e;Stoll Simon;**;25.75
3;15f;Bruder Adrian;*;25.75
3;15g;Moser Matthias;*;25.75
3;15h;Widmer David;**;25.75
3;16a;Imobersteg Matthias;**;25.5
3;16b;Probst Gabriel;**;25.5
3;16c;Ris Jörn;*;25.5
3;16d;Mangold Martin;*;25.5
3;17a;Gerber Andrj;*;8.75
4;1a;Döbeli Andreas;***;39.5
4;2a;Reichmuth Marco;**;39.0
4;3a;Orlik Armon;***;38.75
4;4a;Ott Damian;**;38.5
4;4b;Schurtenberger Sven;***;38.5
4;5a;Fankhauser Erich;***;38.25
4;5b;Hügli Kaj;**;38.25
4;5c;Nötzli Reto;***;38.25
4;6a;Kenel Franz-Toni;*;38.0
4;7a;von Ah Benji;***;37.75
4;8a;Bieri Marcel;***;37.5
4;8b;Fankhauser Marco;**;37.5
4;8c;Imhof Andi;***;37.5
4;8d;Ambühl Joel;**;37.5
4;9a;Steinauer Adrian;**;37.25
4;9b;Gmür Pirmin;**;37.25
4;9c;Schlegel Werner;**;37.25
4;9d;Müllestein Mike;***;37.25
4;9e;Betschart Patrick;*;37.25
4;9f;Kropf Marcel;**;37.25
4;10a;Burch Jonas;**;37.0
4;10b;Schneider Domenic;***;37.0
4;10c;Poltera Andrin;*;37.0
4;10d;Dumelin David;**;37.0
4;10e;Suppiger Werner;**;37.0
4;10f;Leuthard Reto;**;37.0
4;10g;Räbsamen Marcel;*;37.0
4;10h;Schnurrenberger Roman;**;37.0
4;10i;Vollenweider Jeremy;**;37.0
4;10j;Leuppi Samir;***;37.0
4;10k;Oettli Marco;**;37.0
4;10l;Räbmatter Patrick;***;37.0
4;11a;Erb Roger;**;36.75
4;11b;Kuster Thomas;*;36.75
4;11c;Hurschler Thomas;**;36.75
4;11d;Hermann Oliver;**;36.75
4;11e;Schmutz Simon;*;36.75
4;11f;Huber Alex;*;36.75
4;11g;Strebel Joel;***;36.75
4;11h;Schmid Samuel;**;36.75
4;11i;Krähenbühl Tobias;***;36.75
4;11j;Hugelshofer Lars;*;36.75
4;12a;Bollhalder Manuel;*;36.5
4;13a;Lussi Marco;**;36.25
4;13b;Schuler Alex;***;36.25
4;13c;Kindlimann Fabian;***;36.25
4;13d;Giger Urs;*;36.25
4;13e;Rotach Lars;*;36.25
4;14a;Fellmann Roman;**;36.0
4;14b;Henzer Andreas;**;36.0
4;14c;Reinhard Pirmin;;36.0
4;14d;Arztmann Beda;**;36.0
4;14e;Egli Damian;**;36.0
