5192: 5192-2021-06-27_Glarner-Buendner_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Flütsch Marco;;10.0
1;1b;Poltera Andrin;*;10.0
1;1c;Niederer Andreas;;10.0
1;1d;Knellwolf Sebastian;;10.0
1;1e;Bless Michael;***;10.0
1;1f;Jörger Corsin;*;10.0
1;1g;Laager Michael;;10.0
1;1h;Lenherr Cédric (2003);;10.0
1;1i;Notz Beni;***;10.0
1;1j;Räbsamen Marcel;*;10.0
1;1k;Baumgartner Ramon;;10.0
1;1l;Riget Florian;*;10.0
1;1m;Kurmann Patrick (2003);;10.0
1;1n;Pianta Christian;*;10.0
1;1o;Gasenzer Christian (2004);;10.0
1;1p;Fallegger Marc (2003);;10.0
1;1q;Büchler Livio;;10.0
1;1r;Gmür Pirmin;**;10.0
1;1s;Galli Cedric;;10.0
1;1t;Rhyner Beni;;10.0
1;1u;Stadelmann Patrick;;10.0
1;1v;Brand Andreas (2003);;10.0
1;1w;Wettstein Daniel;;10.0
1;1x;Koch Reto;*;10.0
1;2a;Kammermann Dominik;;9.75
1;2b;Joos Enrico (2003);;9.75
1;2c;Rüegg Fabian;*;9.75
1;2d;Keller Manuel;*;9.75
1;2e;Inauen Ivo;;9.75
1;2f;Mayer Elia (2004);;9.75
1;2g;Imhof Andi;***;9.75
1;2h;Tremp Ruedi (2003);;9.75
1;2i;Lusti Remo;;9.75
1;2j;Horner Sämi;;9.75
1;2k;Koller Silvan;;9.75
1;2l;Dändliker Shane;**;9.75
1;2m;Laager Kaspar (2004);;9.75
1;2n;Schiesser Patrik;;9.75
1;2o;Schuler Martin;;9.75
1;2p;Bleiker Ueli (2004);;9.75
1;2q;Schegg Daniel;;9.75
1;2r;Riget Tobias;**;9.75
1;2s;Hobi Ignaz;;9.75
1;2t;Fässler Tobias;;9.75
1;2u;Schläpfer Matthias;*;9.75
1;3a;Kolb Kilian (2005);;9.0
1;3b;Ziegler Andreas;;9.0
1;3c;Burkhalter Thomas (2003);*;9.0
1;3d;Bollhalder Manuel;*;9.0
1;3e;Aebli Nino;;9.0
1;3f;Wehrli Jan;;9.0
1;3g;Steiner Michael;**;9.0
1;3h;Biäsch Christian;*;9.0
1;3i;Bernold Edi;**;9.0
1;3j;Nägeli Marco;**;9.0
1;3k;Mathis Patrick;;9.0
1;3l;Rüegger Remo;;9.0
1;3m;Schlegel Sandro;**;9.0
1;4a;Brülisauer Dominik;;8.75
1;4b;Ackermann Rico (2003);;8.75
1;4c;Baumann Rico;*;8.75
1;4d;Landolt Reto;*;8.75
1;4e;Kolb Pirmin;*;8.75
1;4f;Jörger Marc;*;8.75
1;4g;Büsser André;*;8.75
1;4h;Geisser Lars;**;8.75
1;4i;Huber Alex;*;8.75
1;4j;Jud Pirmin;*;8.75
1;4k;Zumbach Michael;;8.75
1;4l;Mösli Marcel;;8.75
1;4m;Mannhart Jan (2003);;8.75
1;4n;Schönenberger Tobias (2004);;8.75
1;4o;Oettli Marco;**;8.75
1;4p;Oettli Silvio;*;8.75
1;4q;Funk Nicola;*;8.75
1;4r;Hochholdinger Roman;**;8.75
1;4s;Steiner Lukas;;8.75
1;4t;Schneider Domenic;***;8.75
1;4u;Krähenbühl Lukas;*;8.75
1;4v;Schlegel Reto;*;8.75
1;4w;Keller Lukas;;8.75
1;4x;Tanner Markus;;8.75
1;4y;Burkhalter Stefan;***;8.75
1;4z;Zwyssig Raphael;***;8.75
1;4z1;Plüer Fabian (2003);;8.75
1;4z2;Rychen Roger;***;8.75
1;4z3;Koch Thomas;*;8.75
1;4z4;Leuppi Samir;***;8.75
1;4z5;Keller Janik;*;8.75
1;4z6;Dörig Erich;*;8.75
1;5a;Tanner Adrian;;8.5
1;5b;Langenegger Beat;;8.5
1;5c;Schäppi Urs;*;8.5
1;5d;Arnold Fabian;*;8.5
1;5e;Castelli Fabio;;8.5
1;5f;Nüesch Sandro (2005);;8.5
1;5g;Giger Florian;;8.5
1;5h;Schiegg Raphael (2005);;8.5
1;5i;Müller Christian;;8.5
1;5j;Meier Adrian (2005);;8.5
1;5k;Fejzaj Naim;**;8.5
1;5l;Hollenstein Mathias;;8.5
1;5m;Rotach Lars;*;8.5
1;5n;Imhof Gregor;;8.5
1;5o;Rust Emanuel;;8.5
1;5p;Korrodi Janik (2004);;8.5
1;5q;Oettli Reto (2005);;8.5
1;5r;Arnold Lukas;;8.5
1;5s;Fontana Michael;*;8.5
1;5t;Gantenbein Linard (2004);;8.5
1;5u;Oberhänsli Kilian;;8.5
1;5v;Odermatt Gian Maria (2004);*;8.5
1;5w;Streiff Dominik;*;8.5
1;5x;Neff Florian;*;8.5
1;5y;Bärtsch Tobias (2003);;8.5
1;5z;Gosswiler Livio;*;8.5
1;5z1;Lusti Adrian;;8.5
1;5z2;Wenger Dominic;;8.5
1;5z3;Sprecher Martin;;8.5
1;5z4;Krucker Silvan;;8.5
1;5z5;Wüthrich Hans;;8.5
1;5z6;Meier Adrian;;8.5
1;5z7;Gartmann Mauro;**;8.5
1;5z8;Brülisauer Thomas (2003);;8.5
1;5z9;Schlegel Jamie (2004);;8.5
1;5z10;Herger Matthias;**;8.5
1;5z11;Krähenbühl Tobias;***;8.5
1;5z12;Schläpfer Markus;**;8.5
2;1a;Dändliker Shane;**;19.75
2;1b;Schuler Martin;;19.75
2;2a;Kammermann Dominik;;19.5
2;2b;Schiesser Patrik;;19.5
2;2c;Schegg Daniel;;19.5
2;2d;Riget Tobias;**;19.5
2;3a;Poltera Andrin;*;19.0
2;3b;Kolb Kilian (2005);;19.0
2;3c;Burkhalter Thomas (2003);*;19.0
2;3d;Aebli Nino;;19.0
2;3e;Steiner Michael;**;19.0
2;3f;Biäsch Christian;*;19.0
2;3g;Nägeli Marco;**;19.0
2;4a;Brülisauer Dominik;;18.75
2;4b;Baumann Rico;*;18.75
2;4c;Bless Michael;***;18.75
2;4d;Jörger Marc;*;18.75
2;4e;Huber Alex;*;18.75
2;4f;Bollhalder Manuel;*;18.75
2;4g;Lenherr Cédric (2003);;18.75
2;4h;Räbsamen Marcel;*;18.75
2;4i;Kurmann Patrick (2003);;18.75
2;4j;Funk Nicola;*;18.75
2;4k;Hochholdinger Roman;**;18.75
2;4l;Fallegger Marc (2003);;18.75
2;4m;Rychen Roger;***;18.75
2;4n;Leuppi Samir;***;18.75
2;4o;Dörig Erich;*;18.75
2;5a;Tanner Adrian;;18.5
2;5b;Flütsch Marco;;18.5
2;5c;Rüegg Fabian;*;18.5
2;5d;Niederer Andreas;;18.5
2;5e;Keller Manuel;*;18.5
2;5f;Langenegger Beat;;18.5
2;5g;Ackermann Rico (2003);;18.5
2;5h;Knellwolf Sebastian;;18.5
2;5i;Jörger Corsin;*;18.5
2;5j;Landolt Reto;*;18.5
2;5k;Kolb Pirmin;*;18.5
2;5l;Arnold Fabian;*;18.5
2;5m;Laager Michael;;18.5
2;5n;Castelli Fabio;;18.5
2;5o;Giger Florian;;18.5
2;5p;Imhof Andi;***;18.5
2;5q;Fejzaj Naim;**;18.5
2;5r;Notz Beni;***;18.5
2;5s;Baumgartner Ramon;;18.5
2;5t;Zumbach Michael;;18.5
2;5u;Riget Florian;*;18.5
2;5v;Imhof Gregor;;18.5
2;5w;Schönenberger Tobias (2004);;18.5
2;5x;Horner Sämi;;18.5
2;5y;Koller Silvan;;18.5
2;5z;Oettli Silvio;*;18.5
2;5z1;Korrodi Janik (2004);;18.5
2;5z2;Pianta Christian;*;18.5
2;5z3;Oettli Reto (2005);;18.5
2;5z4;Schneider Domenic;***;18.5
2;5z5;Gasenzer Christian (2004);;18.5
2;5z6;Fontana Michael;*;18.5
2;5z7;Krähenbühl Lukas;*;18.5
2;5z8;Schlegel Reto;*;18.5
2;5z9;Keller Lukas;;18.5
2;5z10;Odermatt Gian Maria (2004);*;18.5
2;5z11;Streiff Dominik;*;18.5
2;5z12;Büchler Livio;;18.5
2;5z13;Gmür Pirmin;**;18.5
2;5z14;Galli Cedric;;18.5
2;5z15;Rhyner Beni;;18.5
2;5z16;Sprecher Martin;;18.5
2;5z17;Stadelmann Patrick;;18.5
2;5z18;Herger Matthias;**;18.5
2;5z19;Koch Thomas;*;18.5
2;5z20;Brand Andreas (2003);;18.5
2;5z21;Wettstein Daniel;;18.5
2;5z22;Keller Janik;*;18.5
2;5z23;Koch Reto;*;18.5
2;6a;Joos Enrico (2003);;18.25
2;6b;Inauen Ivo;;18.25
2;6c;Schäppi Urs;*;18.25
2;6d;Mayer Elia (2004);;18.25
2;6e;Tremp Ruedi (2003);;18.25
2;6f;Rotach Lars;*;18.25
2;6g;Lusti Remo;;18.25
2;6h;Laager Kaspar (2004);;18.25
2;6i;Bleiker Ueli (2004);;18.25
2;6j;Gantenbein Linard (2004);;18.25
2;6k;Wüthrich Hans;;18.25
2;6l;Brülisauer Thomas (2003);;18.25
2;6m;Krähenbühl Tobias;***;18.25
2;6n;Hobi Ignaz;;18.25
2;6o;Fässler Tobias;;18.25
2;6p;Schläpfer Matthias;*;18.25
2;7a;Ziegler Andreas;;17.75
2;7b;Mathis Patrick;;17.75
2;7c;Schlegel Sandro;**;17.75
2;8a;Geisser Lars;**;17.5
