5212: 5212-2022-05-22_112_Zuercher_Kantonales_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Kammermann Dominik;;10.0
1;1b;Buchmann Michael;;10.0
1;1c;Winzeler Simon;;10.0
1;1d;Zollinger Silvan (2004);;10.0
1;1e;Ott Damian;**;10.0
1;1f;Lehmann Philipp;*;10.0
1;1g;Odermatt Michi;;10.0
1;1h;Kolb Kilian (2005);;10.0
1;1i;Giger Florian;;10.0
1;1j;Straub Paul;;10.0
1;1k;Ackermann Remo;*;10.0
1;1l;Vollenweider Loïc (2004);;10.0
1;1m;Giger Samuel;***;10.0
1;1n;Müller Jano (2005);;10.0
1;1o;Zumbach Michael;;10.0
1;1p;Riget Florian;**;10.0
1;1q;Feldmann Patrik (2005);;10.0
1;1r;Wey Nicola;*;10.0
1;1s;Wingeier Janik;;10.0
1;1t;Lanter Christian;*;10.0
1;1u;Schlegel Reto;*;10.0
1;1v;Koller Fabian;*;10.0
1;1w;Büchler Livio;;10.0
1;1x;Rüegg Patrick;;10.0
1;1y;Schild Cornel (2004);;10.0
1;1z;Hänni Marc;;10.0
1;1z1;Schnurrenberger Roman;**;10.0
1;1z2;Keller Dominic;;10.0
1;1z3;Bühler Hannes;*;10.0
1;1z4;Rychen Roger;***;10.0
1;1z5;Küchler Severin;;10.0
1;1z6;Schwyn Patrick;;10.0
1;1z7;Bucher Roman;;10.0
1;2a;Kundert Elias (2005);;9.75
1;2b;Hari Michi;;9.75
1;2c;Schiess Christian;;9.75
1;2d;Bernold Michael;*;9.75
1;2e;Dumelin David;**;9.75
1;2f;Bless Michael;***;9.75
1;2g;Fuster Arjuna;;9.75
1;2h;Geisser Lars;**;9.75
1;2i;Sieber Marc;;9.75
1;2j;Nüesch Sandro (2005);;9.75
1;2k;Ziegler Andreas;;9.75
1;2l;Wolfer David;;9.75
1;2m;Keller Werner;*;9.75
1;2n;Spörndli Cyril;;9.75
1;2o;Bachmann Janos (2004);;9.75
1;2p;Bösch Mario (2006);;9.75
1;2q;Imhof Gregor;;9.75
1;2r;Hugelshofer Lars;*;9.75
1;2s;Signer Andy;*;9.75
1;2t;Gaccioli Benjamin;;9.75
1;2u;Wetter Silvan;*;9.75
1;2v;Danner Daniel;;9.75
1;2w;Bernold Edi;**;9.75
1;2x;Odermatt Gian Maria (2004);*;9.75
1;2y;Ochsner Reto;;9.75
1;2z;Reichmuth Beat;;9.75
1;2z1;Loup Grégoire;;9.75
1;2z2;Plüer Fabian;;9.75
1;2z3;Kiser Aron;;9.75
1;2z4;Bickel Roman;*;9.75
1;2z5;Ammann Rico;*;9.75
1;2z6;Lüönd Remo;;9.75
1;2z7;Stadelmann Patrick;;9.75
1;2z8;Koch Thomas;*;9.75
1;2z9;Voggensperger Janic;**;9.75
1;3a;Biser Niklaus;;9.0
1;3b;Anliker Andri;;9.0
1;3c;Rogenmoser Ryan;;9.0
1;3d;Brunner Dominik (2004);;9.0
1;3e;Wittenwiler Roman;*;9.0
1;4a;Kuster Thomas;**;8.75
1;4b;Zollinger Philipp (2004);;8.75
1;4c;Arztmann Beda;**;8.75
1;4d;Kiener Raphael;;8.75
1;4e;Affentranger Martin;;8.75
1;4f;Burkhard Tobias;*;8.75
1;4g;Magani Flurin;;8.75
1;4h;Anliker Nino (2005);;8.75
1;4i;Schneider Mario;**;8.75
1;4j;Collaud Romain;**;8.75
1;4k;Räbsamen Marcel;**;8.75
1;4l;Nock Benjamin;*;8.75
1;4m;Mösli Marcel;;8.75
1;4n;Rotach Lars;*;8.75
1;4o;Dändliker Shane;**;8.75
1;4p;Giger Lorenz;;8.75
1;4q;Nägeli Marco;**;8.75
1;4r;Fallegger Marc;;8.75
1;4s;Burkhalter Stefan;***;8.75
1;4t;Neff Florian;*;8.75
1;4u;Riget Tobias;**;8.75
1;4v;Schlegel Werner;**;8.75
