5325: 5325-2022-05-08_117_Ob-_und_Nidwaldner_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Suter Bruno;;10.0
1;1b;Kathriner Andreas;;10.0
1;1c;Marty Remo (2005);;10.0
1;1d;Egli Severin (2004);;10.0
1;1e;Doppmann Urs;**;10.0
1;1f;Durrer Jonas;*;10.0
1;1g;Gander Adrian;*;10.0
1;1h;Imfeld Laurin (2004);;10.0
1;1i;Gwerder Fabian;;10.0
1;1j;von Matt Lars;;10.0
1;1k;Hürlimann Ueli;;10.0
1;1l;Gander Michael;;10.0
1;1m;Wyrsch Silvio;*;10.0
1;1n;Bucher Roman;;10.0
1;1o;Laimbacher Cyrill (2004);;10.0
1;1p;Bieri Manuel (2006);;10.0
1;1q;Elmiger Matthias;;10.0
1;1r;Omlin Toni;*;10.0
1;1s;Gasser Dominik;**;10.0
1;1t;Würsch Lars;*;10.0
1;1u;Barmettler Renato;*;10.0
1;1v;Bättig Martin;*;10.0
1;1w;Odermatt Fabian (2005);;10.0
1;1x;Waser Christoph;*;10.0
1;1y;Duss Yvan;;10.0
1;1z;Zimmermann Raffael;;10.0
1;1z1;von Wyl Kevin (2004);;10.0
1;1z2;Steudler Kevin;*;10.0
1;1z3;Albert Thomas;;10.0
1;2a;Reichmuth Lukas;*;9.75
1;2b;Staffelbach Noah;;9.75
1;2c;Wiss Ivan (2004);;9.75
1;2d;Huber Alex;*;9.75
1;2e;Hurschler Tobias;;9.75
1;2f;Kiser Andrin (2006);;9.75
1;2g;Imgrüth Fabian (2005);;9.75
1;2h;Kiser Dominik (2006);;9.75
1;2i;Gasser Dominik 1;;9.75
1;2j;von Wyl Simon;;9.75
1;2k;Gisler Silvan;;9.75
1;2l;Staub Ivan;;9.75
1;2m;Hess Dominik;*;9.75
1;2n;Wolf Stefan (2006);;9.75
1;2o;Gasser Severin (2006);;9.75
1;2p;Arnold Stefan;**;9.75
1;2q;Vogel Marcel;*;9.75
1;2r;Zemp Christian (2004);;9.75
1;2s;Burch Jonas 2 (2005);;9.75
1;2t;Steiner Severin;;9.75
1;2u;Durrer Markus;;9.75
1;2v;Schöpfer Marco;;9.75
1;2w;Christen Silvan;;9.75
1;2x;Gander Sebastian;;9.75
1;2y;Würsch Andrin (2006);;9.75
1;2z;Rohrer Michael;;9.75
1;2z1;Odermatt Christian;**;9.75
1;2z2;Gisler Lukas (2005);;9.75
1;2z3;Fankhauser Reto;**;9.75
1;2z4;Egli Damian;**;9.75
1;2z5;Rohrer Ueli;**;9.75
1;2z6;Hürlimann Marco;;9.75
1;2z7;Waser Mattia (2005);;9.75
1;2z8;Lustenberger Marc;*;9.75
1;2z9;Ettlin Kevin;;9.75
1;3a;Bernhard Lukas;**;9.0
1;3b;Ettlin Michael;;9.0
1;3c;von Flüe Silvan (2004);;9.0
1;3d;Fischer Markus;;9.0
1;3e;Durrer Lukas;;9.0
1;3f;Ettlin Stefan;**;9.0
1;3g;Scherer Niklaus;**;9.0
1;3h;Gisler Noah;;9.0
1;3i;Christen Thomas;;9.0
1;3j;Ettlin Martin;*;9.0
1;3k;Epp Elias;;9.0
1;3l;Scherrer Patrick;;9.0
1;3m;Elsener Marcel;*;9.0
1;3n;Hurschler Stefan (2006);;9.0
1;3o;Egli Kilian (2004);;9.0
1;3p;Doppmann Ueli;;9.0
1;3q;Suter Pirmin;**;9.0
1;3r;Spichtig Clemens;;9.0
1;4a;Lussi Marco;**;8.75
1;4b;Ming Hannes;;8.75
1;4c;Niederberger Sven (2006);;8.75
1;4d;von Moos Nico (2006);;8.75
1;4e;Omlin David (2006);;8.75
1;4f;Aregger Silvan (2006);;8.75
1;4g;Langensand Stefan;*;8.75
1;4h;Gut Koni;;8.75
1;4i;Auf der Maur Alex;;8.75
1;4j;Schaller Noah;;8.75
1;4k;Blättler Michi (2006);;8.75
1;4l;Lagler Reto;;8.75
1;4m;Graber Sandro;;8.75
1;4n;Arnold Elias (2006);;8.75
1;4o;von Ah Markus;;8.75
1;4p;Bamert Mathis (2005);;8.75
1;4q;Bucher André;;8.75
1;4r;Zberg Peter (2004);;8.75
1;4s;Hess Ramon (2006);;8.75
1;4t;Bucher Sandro;;8.75
1;4u;Vogler Noah (2006);;8.75
1;4v;Nötzli Reto;***;8.75
1;4w;Kennel Stefan;**;8.75
1;4x;Waser Reto;*;8.75
1;4y;Ming Christian;*;8.75
1;4z;Wiget Ueli;;8.75
1;4z1;Gerber Christian;***;8.75
1;4z2;von Weissenfluh Kilian;***;8.75
