5376: 5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Schmid Patrick;*;10.0
1;1b;Bütler Roman (2004);;10.0
1;1c;Landolt Reto;*;10.0
1;1d;Ruppanner Philipp;;10.0
1;1e;Castelli Fabio;;10.0
1;1f;Aebli Nino;;10.0
1;1g;Wehrli Jan;;10.0
1;1h;Nock Benjamin;*;10.0
1;1i;Zumbach Michael;;10.0
1;1j;Mannhart Jan (2003);;10.0
1;1k;Korrodi Janik (2004);;10.0
1;1l;Steiner Lukas;;10.0
1;1m;Gasenzer Christian (2004);;10.0
1;1n;Gantenbein Linard (2004);;10.0
1;1o;Aeschlimann Martin;;10.0
1;1p;Hänni Marc;;10.0
1;1q;Wüthrich Hans;;10.0
1;1r;Inauen Maurus (2003);;10.0
1;1s;Arnold Stefan;**;10.0
1;1t;Schwyn Patrick;;10.0
1;1u;Siegenthaler Joël (2003);;10.0
1;2a;Schmid Gian (2003);;9.75
1;2b;Flück Bruno;;9.75
1;2c;Flütsch Marco;;9.75
1;2d;Lazzarotto Salomon (2005);;9.75
1;2e;Riatsch Albin;;9.75
1;2f;Abderhalden Lukas (2003);;9.75
1;2g;Vollenweider Jeremy;**;9.75
1;2h;Biäsch Christian;*;9.75
1;2i;Wey Nicola;*;9.75
1;2j;Hochholdinger Roman;**;9.75
1;2k;Elmer Daniel;*;9.75
1;2l;Mathis Patrick;;9.75
1;2m;Gosswiler Livio;*;9.75
1;2n;Lüthi Manuel (2003);*;9.75
1;2o;Sprecher Martin;;9.75
1;2p;Krucker Silvan;;9.75
1;2q;Stadelmann Patrick;;9.75
1;2r;Gartmann Mauro;**;9.75
1;2s;Leuppi Samir;***;9.75
1;2t;Brand Andreas (2003);;9.75
1;2u;Hobi Ignaz;;9.75
1;2v;Fässler Tobias;;9.75
1;2w;Tschudi Mario;;9.75
1;2x;Wittenwiler Mathias (2003);;9.75
1;3a;Joos Enrico (2003);;9.0
1;3b;Laager Michael;;9.0
1;3c;Bollhalder Manuel;*;9.0
1;3d;Forrer Marco (2003);;9.0
1;3e;Feldmann Patrik (2005);;9.0
1;3f;Pianta Christian;*;9.0
1;3g;Kobler Janosch;;9.0
1;3h;Rhyner Beni;;9.0
1;3i;Wüthrich Severin;;9.0
1;4a;Jörger Corsin;*;8.75
1;4b;Geisser Lars;**;8.75
1;4c;Orlik Armon;***;8.75
1;4d;Kindlimann Fabian;***;8.75
1;4e;Schuler Martin;*;8.75
1;4f;Good Marco;*;8.75
1;4g;Schwyn Adrian;*;8.75
1;4h;Giger Lorenz;;8.75
1;4i;Wild Thomas;;8.75
1;4j;Fontana Michael;*;8.75
1;4k;Schlegel Reto;*;8.75
1;4l;Aebli Andrin;;8.75
1;4m;Riget Tobias;**;8.75
1;4n;Diem Hansruedi;;8.75
1;4o;Battaglia Ursin;**;8.75
1;4p;Schlegel Jamie (2004);;8.75
1;4q;Schlegel Sandro;**;8.75
1;4r;Habegger Heinz;**;8.75
1;5a;Blaser Christian;**;8.5
1;5b;Schiess Christian;;8.5
1;5c;Poltera Andrin;*;8.5
1;5d;Langenegger Beat;;8.5
1;5e;Ackermann Rico (2003);*;8.5
1;5f;Lehmann Philipp;*;8.5
1;5g;Baumann Reto;;8.5
1;5h;Schoch René;;8.5
1;5i;Mayer Elia (2004);;8.5
1;5j;Sieber Marc;;8.5
1;5k;Stadelmann Lukas (2004);;8.5
1;5l;Ziegler Andreas;;8.5
1;5m;Bleiker Daniel;;8.5
1;5n;Nogler David;;8.5
1;5o;Zumstein Silvan;;8.5
1;5p;Herger Fabian;*;8.5
1;5q;Bernhard Thomas;;8.5
1;5r;Hangartner Maurice (2003);;8.5
1;5s;Gmür Pascal (2003);;8.5
1;5t;Keller Cedric;;8.5
1;5u;Lacher Tobias (2005);;8.5
1;5v;Schnyder Christian;;8.5
1;5w;Nef Tobias (2005);;8.5
1;5x;Rotach Lars;*;8.5
1;5y;Denoth Michel;;8.5
1;5z;Horner Sämi;;8.5
1;5z1;Laager Kaspar (2004);;8.5
1;5z2;Schiesser Patrik;*;8.5
1;5z3;Baumgartner Joël;;8.5
1;5z4;Bernold Edi;**;8.5
1;5z5;Buchli Michael (2004);;8.5
1;5z6;Bebi Nic (2003);;8.5
1;5z7;Frei Felix (2003);;8.5
1;5z8;Leuppi Karim;*;8.5
1;5z9;Schmid Dominik;**;8.5
1;5z10;Büchler Livio;;8.5
1;5z11;Nogler Livio;;8.5
1;5z12;Graf Dominik (2005);;8.5
1;5z13;Schmidlin Tobias;*;8.5
1;5z14;Rychen Roger;***;8.5
1;5z15;Inauen Aurel;;8.5
2;1a;Castelli Fabio;;20.0
2;1b;Aebli Nino;;20.0
2;2a;Landolt Reto;*;19.75
2;2b;Vollenweider Jeremy;**;19.75
2;2c;Biäsch Christian;*;19.75
2;2d;Hochholdinger Roman;**;19.75
2;2e;Elmer Daniel;*;19.75
2;2f;Leuppi Samir;***;19.75
2;3a;Bollhalder Manuel;*;19.0
2;3b;Forrer Marco (2003);;19.0
2;3c;Mannhart Jan (2003);;19.0
2;3d;Feldmann Patrik (2005);;19.0
2;3e;Pianta Christian;*;19.0
2;3f;Kobler Janosch;;19.0
2;3g;Wüthrich Severin;;19.0
2;4a;Joos Enrico (2003);;18.75
2;4b;Jörger Corsin;*;18.75
2;4c;Lazzarotto Salomon (2005);;18.75
2;4d;Geisser Lars;**;18.75
2;4e;Kindlimann Fabian;***;18.75
2;4f;Wehrli Jan;;18.75
2;4g;Schuler Martin;*;18.75
2;4h;Wild Thomas;;18.75
2;4i;Fontana Michael;*;18.75
2;4j;Rhyner Beni;;18.75
2;4k;Wüthrich Hans;;18.75
2;4l;Schlegel Jamie (2004);;18.75
2;4m;Schlegel Sandro;**;18.75
2;5a;Schmid Gian (2003);;18.5
2;5b;Flück Bruno;;18.5
2;5c;Poltera Andrin;*;18.5
2;5d;Langenegger Beat;;18.5
2;5e;Ackermann Rico (2003);*;18.5
2;5f;Schmid Patrick;*;18.5
2;5g;Bütler Roman (2004);;18.5
2;5h;Ruppanner Philipp;;18.5
2;5i;Bleiker Daniel;;18.5
2;5j;Orlik Armon;***;18.5
2;5k;Nock Benjamin;*;18.5
2;5l;Zumbach Michael;;18.5
2;5m;Korrodi Janik (2004);;18.5
2;5n;Good Marco;*;18.5
2;5o;Bernold Edi;**;18.5
2;5p;Steiner Lukas;;18.5
2;5q;Gasenzer Christian (2004);;18.5
2;5r;Schlegel Reto;*;18.5
2;5s;Gantenbein Linard (2004);;18.5
2;5t;Aeschlimann Martin;;18.5
