5494: 5494-2021-07-25_Thurgauer_Kant_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Kammermann Dominik;;10.0
1;1b;Schmid Michael;;10.0
1;1c;Flück Bruno;;10.0
1;1d;Buchmann Michael;;10.0
1;1e;Rüegg Fabian;*;10.0
1;1f;Bürgler Patrick;*;10.0
1;1g;Arztmann Beda;**;10.0
1;1h;Kolb Pirmin;*;10.0
1;1i;Anliker Nino (2005);;10.0
1;1j;Ackermann Remo;*;10.0
1;1k;Schneider Mario;**;10.0
1;1l;Vollenweider Loïc (2004);;10.0
1;1m;Blaser Niklas;*;10.0
1;1n;Koller Silvan;;10.0
1;1o;Dändliker Shane;**;10.0
1;1p;Peter Philipp;;10.0
1;1q;Meier Christian (2003);;10.0
1;1r;Schneider Domenic;***;10.0
1;1s;Burkhalter Stefan;***;10.0
1;1t;Fallegger Marc (2003);;10.0
1;1u;Schegg Daniel;;10.0
1;1v;Reichmuth Beat;;10.0
1;1w;Tritten Robin;;10.0
1;1x;Inauen Maurus (2003);;10.0
1;2a;Götti Samuel;;9.75
1;2b;Kuster Thomas;*;9.75
1;2c;Ackermann Roman;;9.75
1;2d;Lengacher Gian (2003);;9.75
1;2e;Anliker Andri (2003);;9.75
1;2f;Raschle Urban (2003);;9.75
1;2g;Odermatt Michi;;9.75
1;2h;Bernhardsgrütter Stefan (2005);;9.75
1;2i;Kiener Raphael;;9.75
1;2j;Baumann Rico;*;9.75
1;2k;Schäppi Urs;*;9.75
1;2l;Magani Flurin;;9.75
1;2m;Mock Marco;;9.75
1;2n;Gerig Marcel;;9.75
1;2o;Signer Tobias (2004);;9.75
1;2p;Imhof Gregor;;9.75
1;2q;Bachmann Oliver (2004);;9.75
1;2r;Hugelshofer Lars;*;9.75
1;2s;Oettli Silvio;*;9.75
1;2t;Funk Nicola;*;9.75
1;2u;Kern Sven (2003);;9.75
1;2v;Keller Lukas;;9.75
1;2w;Kobler Janosch;;9.75
1;2x;Schild Cornel (2004);;9.75
1;2y;Zemp Stefan;;9.75
1;2z;Schlegel Werner;**;9.75
1;2z1;Galli Cedric;;9.75
1;2z2;Lenherr Jonas (2005);;9.75
1;2z3;Stadelmann Patrick;;9.75
1;2z4;Lüönd Remo (2003);;9.75
1;2z5;Giger Urs;*;9.75
1;3a;Thiemann Fabrice;;9.0
1;3b;Oettli Marco;**;9.0
1;3c;Schnurrenberger Roman;**;9.0
1;3d;Fausch Kjetil;*;9.0
1;4a;Oertig Simon;*;8.75
1;4b;Keller Manuel;*;8.75
1;4c;Notz Armin;*;8.75
1;4d;Burkhalter Thomas (2003);*;8.75
1;4e;Schiegg Raphael (2005);;8.75
1;4f;Giger Samuel;***;8.75
