5509: 5509-2022-05-01_Zuger_Kantonal_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Bühlmann Daniel;;10.0
1;1b;Schuler Alex;;10.0
1;1c;Ettlin Michael;;10.0
1;1d;Moos Christoph;*;10.0
1;1e;Hurschler Tobias;;10.0
1;1f;Bissig Lukas;*;10.0
1;1g;Gisler Silvan;;10.0
1;1h;Langenegger Ruedi;;10.0
1;1i;Von Euw Adi;;10.0
1;1j;Häfliger Patrick;;10.0
1;1k;Heinzer Lukas (2004);;10.0
1;1l;Hodler Mathias;;10.0
1;1m;Wiget Ueli;;10.0
1;1n;Elsener Manuel;;10.0
1;1o;Bucher Roland;*;10.0
1;1p;Epp Elias;;10.0
1;1q;Wicki Joel;***;10.0
1;1r;Baumann Lukas;;10.0
1;1s;Kauflin Andrin (2004);;10.0
1;1t;Koch Emanuel (2006);;10.0
1;1u;Wyrsch Gabriel;;10.0
1;1v;Beffa Mario;;10.0
1;1w;Nietlispach Pascal;**;10.0
1;1x;Reichmuth Roland;*;10.0
1;1y;Gander Martin;;10.0
1;1z;Klauser Nico;;10.0
1;1z1;Lüscher Elias (2006);;10.0
1;1z2;Schwyzer Samuel;*;10.0
1;1z3;Furrer Jens;;10.0
1;1z4;Riebli Urs;*;10.0
1;1z5;Röthlin Pascal;;10.0
1;1z6;Lüthy Ralph;;10.0
1;1z7;Bürgi Simon;;10.0
1;2a;Lang Sven;**;9.75
1;2b;Langensand Stefan;*;9.75
1;2c;Wyss Christian;*;9.75
1;2d;Durrer Lukas;;9.75
1;2e;Troxler Jonas;*;9.75
1;2f;Schnellmann Adrian (2004);;9.75
1;2g;Zumstein Patrick;;9.75
1;2h;Hürlimann Ueli;;9.75
1;2i;Riebli Leon;;9.75
1;2j;Schilter Daniel;*;9.75
1;2k;Gisler Noah;;9.75
1;2l;Hüsler Matthias;;9.75
1;2m;von Ah Markus;;9.75
1;2n;Müller Philipp (2005);;9.75
1;2o;Zimmermann Gian (2004);;9.75
1;2p;Kurmann Toni;*;9.75
1;2q;Hürlimann Mathias;*;9.75
1;2r;Durrer Nando;*;9.75
1;2s;Christen Silvan;;9.75
1;2t;Suppiger Werner;**;9.75
1;2u;Elsener Marcel;*;9.75
1;2v;Bucher Thomas;*;9.75
1;2w;Baumann Roger;*;9.75
1;2x;Amrhyn Jonas;;9.75
1;2y;Köpfli Mario (2005);;9.75
1;2z;Rogenmoser Ryan;;9.75
1;2z1;Hürlimann Marco;;9.75
1;2z2;Durrer Fabian;*;9.75
1;2z3;Lustenberger Marc;*;9.75
1;2z4;von Rickenbach Carlo (2005);;9.75
1;2z5;Birchler Fabian;;9.75
1;3a;Marti Simon;;9.0
1;3b;Felder Ivan (2004);;9.0
1;3c;Appert Silvan;;9.0
1;3d;von Rickenbach Pirmin;;9.0
1;3e;Scherrer Patrick;;9.0
1;3f;Züger Benjamin (2004);;9.0
1;4a;Arnold Matthias (2006);;8.75
1;4b;Ulrich Marco;**;8.75
1;4c;Lussi Marco;**;8.75
1;4d;Zurfluh Michael;*;8.75
1;4e;Egli Matthias;;8.75
1;4f;Niederberger Sven (2006);;8.75
1;4g;Bucher Christian;**;8.75
1;4h;Vogel Laurin;;8.75
1;4i;Wiss Ivan (2004);;8.75
1;4j;Durrer Jonas;*;8.75
1;4k;Gabriel Christian;;8.75
1;4l;Lagler Christian;*;8.75
1;4m;Elmiger Andreas;*;8.75
1;4n;Gasser Dominik 1;;8.75
1;4o;Forster Christian;;8.75
1;4p;Schärli Reto;*;8.75
1;4q;Wicki Patrick;;8.75
1;4r;Meier Daniel;;8.75
1;4s;Niederberger Markus;*;8.75
1;4t;Zurfluh Roman;**;8.75
1;4u;Schnellmann Alexander (2004);;8.75
1;4v;Ettlin Stefan;**;8.75
1;4w;Gut Koni;;8.75
1;4x;Bieri Christian;**;8.75
1;4y;Schwyzer Sebastian (2004);;8.75
1;4z;Suter Lukas;;8.75
1;4z1;Kessler Joel;*;8.75
1;4z2;Staub Ivan;;8.75
1;4z3;Hurschler Adrian;;8.75
1;4z4;Kennel Beat;**;8.75
1;4z5;Binggeli Stefan;**;8.75
1;4z6;Bürgi Reto;*;8.75
1;4z7;Lienhard Ramon (2004);;8.75
1;4z8;Suter Beat;*;8.75
1;4z9;Betschart Marcel;*;8.75
1;4z10;Riget Tobias;**;8.75
1;4z11;Thalmann Adrian;;8.75
1;4z12;Bucher Sandro;;8.75
1;4z13;Elsener Adrian;**;8.75
1;4z14;Keller Janik;*;8.75
1;4z15;Suter Samuel;;8.75
1;4z16;Durrer Markus;;8.75
1;4z17;Hess Michael;*;8.75
1;4z18;Pfyl Reto (2006);;8.75
1;4z19;Bühler Patrice;;8.75
1;4z20;Odermatt Andreas;**;8.75
1;4z21;Kaiser Sandro;;8.75
1;4z22;Imhof Andi;***;8.75
1;4z23;Wüest David;;8.75
1;4z24;Riget Florian;**;8.75
1;4z25;Arnold Marcel;*;8.75
1;4z26;Kälin Roland;**;8.75
1;4z27;Büeler Ivo (2004);;8.75
1;4z28;Odermatt Christian;**;8.75
1;4z29;Müller Luca (2004);*;8.75
1;4z30;Schuler Philipp;**;8.75
1;4z31;Kenel Franz-Toni;*;8.75
1;4z32;Rohrer Ivan;**;8.75
1;4z33;Durrer Ueli;;8.75
1;4z34;Fankhauser Marco;**;8.75
1;4z35;Gmür Pirmin;**;8.75
1;4z36;Waser Dominik;**;8.75
1;4z37;Arnold Robin;;8.75
1;4z38;Barmettler Severin (2005);;8.75
1;4z39;Müllestein Mike;***;8.75
1;4z40;Kempf Damian;;8.75
1;4z41;von Ah Benji;***;8.75
1;4z42;Wyrsch Marco;**;8.75
1;5a;Schuler Daniel;*;8.5
1;5b;Bienz Romeo;*;8.5
1;5c;Wyttenbach Silvan (2005);;8.5
1;5d;Rogenmoser Franco (2004);;8.5
1;5e;Kathriner Andreas;;8.5
1;5f;Meier Andreas;;8.5
1;5g;Bissig Joris;;8.5
1;5h;Blättler Ronnie (2004);;8.5
1;5i;Gander Adrian;*;8.5
1;5j;Langenegger Gerhard;;8.5
1;5k;Schürpf Bruno;*;8.5
1;5l;Kiser Dominik (2006);;8.5
1;5m;Heinzer Ronny;*;8.5
1;5n;Hotz Basil;;8.5
1;5o;Achermann Christoph;*;8.5
1;5p;Zumbach Michael;;8.5
1;5q;Müller Dominik;;8.5
1;5r;Reichlin Reto;;8.5
1;5s;Elmer Daniel;*;8.5
1;5t;Lüthi Manuel;*;8.5
1;5u;Briker Raphael (2006);;8.5
1;5v;Hegner Ueli;*;8.5
1;5w;Gabriel Simon;;8.5
1;5x;Suter Michael;;8.5
1;5y;Eberli Jonas (2005);;8.5
1;5z;Birrer Jonas (2006);;8.5
1;5z1;Bucher André;;8.5
1;5z2;Rogenmoser Luca;;8.5
1;5z3;Andermatt Reto;;8.5
1;5z4;Arnold Stefan;**;8.5
1;5z5;Horat Dominic;;8.5
1;5z6;Betschart Roger;;8.5
1;5z7;Arnold Kilian;;8.5
1;5z8;Suter Nicola (2005);;8.5
1;5z9;Britschgi Marcel;;8.5
1;5z10;Würsch Lars;*;8.5
1;5z11;Arnold Severin;*;8.5
1;5z12;Wallimann Remo;*;8.5
1;5z13;Meier Marcel;;8.5
1;5z14;Barmettler Renato;*;8.5
1;5z15;Ulrich Ronny (2006);;8.5
1;5z16;Baumann Marco;;8.5
1;5z17;Wesemann Micha;;8.5
1;5z18;Wittwer Roy;;8.5
1;5z19;Arnold Sebastian;;8.5
1;5z20;Schnüriger Kevin (2004);;8.5
1;5z21;Stübi Nevio (2006);;8.5
1;5z22;Schmid Pius;;8.5
1;5z23;Gwerder Andreas;*;8.5
1;5z24;Zimmermann Daniel;*;8.5
1;5z25;Rogenmoser Linus;;8.5
1;5z26;Wicki David;*;8.5
1;5z27;Lustenberger Josef;*;8.5
1;5z28;Schuler Christian;***;8.5
1;5z29;Reichmuth Marco (2005);;8.5
1;5z30;Waser David;;8.5
1;5z31;Ulrich Michael;;8.5
1;5z32;Süssmeier Kay (2006);;8.5
1;5z33;Scherrer Fabian;*;8.5
1;5z34;Bühler Ramon;;8.5
