5575: 5575-2021-08-08_Urner_Kant_Schwingfest_2021_Buerglen-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Gisler Silvan;;18.5
1;2a;Bühlmann Daniel;;10.0
1;2b;Fellmann Roman;**;10.0
1;2c;Scherrer Patrick;;10.0
1;2d;Vogel Manuel;;10.0
1;2e;Elmiger Matthias;;10.0
1;2f;Vogel Laurin;;10.0
1;2g;Epp Elias (2003);;10.0
1;2h;Lemmenmeier Lukas;*;10.0
1;2i;Bucher Thomas;*;10.0
1;2j;Steinauer Kevin (2004);;10.0
1;2k;Durrer Lukas;;10.0
1;2l;Forster Christian;;10.0
1;2m;Vogel Remo;**;10.0
1;2n;Schärli Reto;*;10.0
1;2o;Wicki Patrick;;10.0
1;2p;Troxler Jonas;*;10.0
1;2q;Arnold Sebastian;;10.0
1;2r;Barmettler Renato (2003);;10.0
1;2s;Gut Koni;;10.0
1;2t;Reichmuth Marco;**;10.0
1;2u;Rogenmoser Linus;;10.0
1;2v;Zemp Simon;;10.0
1;2w;Zurﬂuh Michael;*;10.0
1;2x;Rohrer Ueli;**;10.0
1;2y;Herger Marco;;10.0
1;2z;Gerber Jakob;;10.0
1;2z1;Scherrer Fabian;;10.0
1;2z2;Bucher Sandro;;10.0
1;2z3;Wyrsch Silvio;*;10.0
1;2z4;Ulrich Gregor;;10.0
1;2z5;Wyrsch Marco;**;10.0
1;3a;Burch Jonas;**;9.75
1;3b;Durrer Jonas (2003);*;9.75
1;3c;Hürlimann Mathias;*;9.75
1;3d;Jund Matthias;;9.75
1;3e;Ming Hannes;;9.75
1;3f;Fässler Werner (2005);;9.75
1;3g;Odermatt Andreas;**;9.75
1;3h;Züger Benjamin (2004);;9.75
1;3i;Bühler Patrice;;9.75
1;3j;Huser Christian;;9.75
1;3k;Kempf David;;9.75
1;3l;Ettlin Mario (2003);;9.75
1;3m;Imhof Andi;***;9.75
1;3n;Kempf Fabian;;9.75
1;3o;Bissig Lukas (2003);*;9.75
1;3p;Schnellmann Alexander (2004);;9.75
1;3q;Kaufmann Jens;;9.75
1;3r;Suter Lukas;;9.75
1;3s;Zumstein Patrick;;9.75
1;3t;Büeler Ivo (2004);;9.75
1;3u;Achermann Ivan (2005);;9.75
