5605: 5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Bienz Romeo;*;10.0
1;1b;Bühlmann Daniel;;10.0
1;1c;Ming Hannes;;10.0
1;1d;Egli Adrian;;10.0
1;1e;Wyss Christian;;10.0
1;1f;Schärli Reto;*;10.0
1;1g;Brunner Timon;;10.0
1;1h;Staub Ivan;;10.0
1;1i;Schallberger Jakob;;10.0
1;1j;Suter Beat;*;10.0
1;1k;Von Euw Adi;;10.0
1;1l;Gabriel Simon;;10.0
1;1m;Bamert Mathis (2005);;10.0
1;1n;Schöpfer Marco (2003);;10.0
1;1o;Lustenberger Tim (2005);;10.0
1;1p;Bürgi Simon (2003);;10.0
1;1q;Schöpfer Ronny;**;10.0
1;1r;Arnold Stefan;**;10.0
1;1s;Waser Reto;*;10.0
1;1t;Vogel Marcel;;10.0
1;1u;Müller Philipp (2005);;10.0
1;1v;Laimbacher Cyrill (2004);;10.0
1;1w;Jund Matthias;;10.0
1;1x;Bieri Marcel;***;10.0
1;1y;Kaiser Sandro;;10.0
1;1z;Elsener Marcel;*;10.0
1;1z1;Bühler Kilian;;10.0
1;1z2;Waser Christoph;*;10.0
1;1z3;Müller Luca (2004);;10.0
1;1z4;Wicki David;;10.0
1;1z5;Schuler Christian;***;10.0
1;1z6;Durrer Ueli;;10.0
1;1z7;Barmettler Severin (2005);;10.0
1;1z8;Duss Yvan (2003);;10.0
1;1z9;Suter Pirmin;**;10.0
1;2a;von Euw Lukas;*;9.75
1;2b;Moos Christoph;*;9.75
1;2c;Schürpf Bruno;*;9.75
1;2d;Gasser Dominik 1;;9.75
1;2e;Bissig Lukas (2003);*;9.75
1;2f;Meier Daniel;;9.75
1;2g;Reichmuth Marco;**;9.75
1;2h;Styger Alex (2003);;9.75
1;2i;Hegner Ueli;*;9.75
1;2j;Lienhard Ramon (2004);;9.75
1;2k;Müller Roger;*;9.75
1;2l;Chiodo Gian Paolo (2005);;9.75
1;2m;Staffelbach Noah (2003);;9.75
1;2n;Huwyler Sven;;9.75
1;2o;Andermatt Reto;;9.75
1;2p;Föhn Christian;;9.75
1;2q;Rust Sandro;;9.75
1;2r;Durrer Ive;;9.75
1;2s;Gloggner Matthias (2005);;9.75
1;2t;Niederberger Mario (2005);;9.75
1;2u;Duss Livio (2005);;9.75
1;2v;Graber Michael;*;9.75
1;2w;Schmid Pius;;9.75
1;2x;Ettlin Jan;;9.75
1;2y;Odermatt Christian;**;9.75
1;2z;Rogenmoser Linus;;9.75
1;2z1;Egli Damian;**;9.75
1;2z2;Arnold Lukas;;9.75
1;2z3;Rogenmoser Ryan;;9.75
1;2z4;Lustenberger Josef;*;9.75
1;2z5;Waser Dominik;**;9.75
1;2z6;Hürlimann Marco;;9.75
1;2z7;Ziegler Elias;;9.75
1;2z8;Kathriner Severin;;9.75
1;2z9;Lüthy Ralph;;9.75
1;2z10;Schwegler Flavio (2004);;9.75
1;2z11;von Rickenbach Carlo (2005);;9.75
1;3a;Fässler Werner (2005);;9.0
1;3b;Lustenberger Marc (2003);*;9.0
1;3c;Schwyzer Sebastian (2004);;9.0
1;3d;Suter Lukas;;9.0
1;3e;Betschart Fabian;;9.0
1;3f;Bucher André;;9.0
1;3g;Suter Nicola (2005);;9.0
1;3h;Durrer Nando;*;9.0
1;3i;Elmiger Matthias;;9.0
1;3j;Betschart Patrick;*;9.0
1;3k;Stöckli Damian;*;9.0
1;4a;Burch Jonas;**;8.75
1;4b;Wiss Ivan (2004);;8.75
1;4c;Lemmenmeier Lukas;*;8.75
1;4d;Huber Alex;*;8.75
1;4e;Gander Adrian;*;8.75
1;4f;Herger Andreas;;8.75
1;4g;Elmiger Andreas;*;8.75
1;4h;von Wyl Simon;;8.75
1;4i;Bättig Patrick (2003);;8.75
1;4j;Gwerder Fabian;;8.75
1;4k;von Matt Lars;;8.75
1;4l;Hurschler Thomas;**;8.75
1;4m;Hürlimann Ueli;;8.75
1;4n;Auf der Maur Alex;;8.75
1;4o;Bürgi Reto;*;8.75
1;4p;Scherer Niklaus;**;8.75
1;4q;Bachmann Roger;*;8.75
1;4r;Schmid Simon;*;8.75
1;4s;Gemsch Stefan;;8.75
1;4t;Suter Michael;;8.75
1;4u;Gander Benjamin;;8.75
1;4v;Rüttimann Daniel;;8.75
1;4w;Bissig Fabian;*;8.75
1;4x;Nötzli Reto;***;8.75
1;4y;Arnold Kilian;;8.75
1;4z;Ming Christian;*;8.75
1;4z1;Steiner Severin;;8.75
1;4z2;Wiget Ueli;;8.75
1;4z3;Suter Samuel;;8.75
1;4z4;Fellmann Roman;**;8.75
1;4z5;Bucher Roland;*;8.75
1;4z6;Omlin Toni;*;8.75
1;4z7;Christen Silvan;;8.75
1;4z8;Schelbert Silvan;;8.75
1;4z9;Waser Raphael;;8.75
1;4z10;von Flüe Michael;;8.75
1;4z11;Imhof Andi;***;8.75
1;4z12;Bucher Thomas;*;8.75
1;4z13;Ambühl Joel;**;8.75
1;4z14;Rohrer Michael;;8.75
1;4z15;Beffa Mario;;8.75
1;4z16;Fankhauser Marco;**;8.75
1;4z17;Kälin Remo;*;8.75
1;4z18;Scherrer Fabian;*;8.75
1;4z19;Ming Christian 2;;8.75
1;4z20;Albert Thomas;;8.75
1;5a;Lang Sven;**;8.5
1;5b;Zimmermann Martin;***;8.5
1;5c;Bernhard Lukas;**;8.5
1;5d;von Flüe Silvan (2004);;8.5
1;5e;Reichmuth Lukas;*;8.5
1;5f;Bucher Christian;**;8.5
1;5g;Egli Severin (2004);;8.5
1;5h;Epp Elias (2003);;8.5
1;5i;Erni Remo (2005);;8.5
1;5j;Roth Marco (2004);;8.5
1;5k;Forster Christian;;8.5
1;5l;Vogel Remo;**;8.5
1;5m;Eberli Sandro (2004);;8.5
1;5n;Schnellmann Adrian (2004);;8.5
1;5o;Appert Silvan (2003);;8.5
1;5p;Gisler Silvan;;8.5
1;5q;Hess Dominik;*;8.5
1;5r;Herger Lars (2005);;8.5
1;5s;Durrer Jan (2003);;8.5
1;5t;Effinger Markus;*;8.5
1;5u;Lagler Reto;;8.5
1;5v;Rogenmoser Luca (2003);;8.5
1;5w;Rust Silvio;;8.5
1;5x;Betschart Marcel;*;8.5
1;5y;Arnold Sandro (2004);;8.5
1;5z;Müller Marco;;8.5
1;5z1;Burch Jonas (2005);;8.5
