5672: 5672-2022-05-01_Thurgauer_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Kammermann Dominik;;10.0
1;1b;Winzeler Simon;;10.0
1;1c;Burkhalter Thomas;*;10.0
1;1d;Bernold Michael;*;10.0
1;1e;Brülisauer Dominik;;10.0
1;1f;Kiener Raphael;;10.0
1;1g;Müllhaupt Yves;;10.0
1;1h;Inauen Ivo;;10.0
1;1i;Schwager Mike;;10.0
1;1j;Magani Flurin;;10.0
1;1k;Ruppanner Philipp;;10.0
1;1l;Anliker Nino (2005);;10.0
1;1m;Nüesch Sandro (2005);;10.0
1;1n;Von Bergen Yanick (2006);;10.0
1;1o;Schneider Mario;**;10.0
1;1p;Schmid Robin (2006);;10.0
1;1q;Meier Adrian (2005);;10.0
1;1r;Giger Samuel;***;10.0
1;1s;Bachmann Janos (2004);;10.0
1;1t;Biser Niklaus;;10.0
1;1u;Nef Tobias (2005);;10.0
1;1v;Horner Sämi;;10.0
1;1w;Bachmann Oliver (2004);;10.0
1;1x;Hinrichs Silvio (2004);;10.0
1;1y;Feldmann Patrik (2005);;10.0
1;1z;Oettli Silvio;**;10.0
1;1z1;Stöckli Damian;*;10.0
1;1z2;Inauen Maurus;;10.0
1;1z3;Wey Nicola;*;10.0
1;1z4;Anliker Andri;;10.0
1;1z5;Bleiker Ueli (2004);;10.0
1;1z6;Schmid Dominik;**;10.0
1;1z7;Rüegg Patrick;;10.0
1;1z8;Schild Cornel (2004);;10.0
1;1z9;Ammann Rico;*;10.0
1;1z10;Rüegger Remo;;10.0
1;1z11;Stauffacher Martin;;10.0
1;1z12;Voggensperger Janic;**;10.0
1;1z13;Wolfer Lukas;*;10.0
1;1z14;Inauen Aurel;;10.0
1;2a;Kundert Elias (2005);;9.75
1;2b;Ackermann Roman;;9.75
1;2c;Niederer Andreas;;9.75
1;2d;Schmid Patrick;*;9.75
1;2e;Mock Marco;;9.75
1;2f;Signer Walter;;9.75
1;2g;Gerig Marcel;;9.75
1;2h;Bordos Ion;;9.75
1;2i;Notz Beni;***;9.75
1;2j;Räbsamen Marcel;**;9.75
1;2k;Steiner Michael;**;9.75
