5697: 5697-2022-07-10_Rigi_Schwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Schuler Alex;*;10.0
1;1b;Kessler Joel;*;10.0
1;1c;Wey Nicola;**;10.0
1;1d;Kramer Lario;***;10.0
1;1e;Lehmann Philipp;**;10.0
1;1f;Balimann Sandro;*;10.0
1;1g;Hegner Ueli;*;10.0
1;1h;Felder Martin;**;10.0
1;1i;Arnold Raphael;**;10.0
1;1j;Gapany Benjamin;***;10.0
1;1k;Riedo Fredy;*;10.0
1;1l;Geisser Lars;**;10.0
1;1m;Burkhalter Stefan;***;10.0
1;1n;Heinzer Lukas (2004);*;10.0
1;1o;Räbsamen Marcel;**;10.0
1;1p;Scherrer Fabian;*;10.0
1;1q;Suter Pirmin;**;10.0
1;1r;Dändliker Shane;**;10.0
1;2a;Thierstein Marco;*;9.75
1;2b;Jund Matthias;*;9.75
1;2c;Odermatt Christian;**;9.75
1;2d;Elsener Marcel;*;9.75
1;2e;Kenel Franz-Toni;*;9.75
1;2f;Wyss Christian;*;9.75
1;2g;Ackermann Remo;*;9.75
1;2h;Moser Steven;**;9.75
1;2i;Schneider Mario;**;9.75
1;2j;Rychen Roger;***;9.75
1;2k;Baeriswyl Christoph;**;9.75
1;2l;Rotach Lars;*;9.75
1;2m;Kurmann Toni;**;9.75
1;2n;Ettlin Stefan;**;9.75
1;3a;Borcard Johann;**;8.75
1;3b;Schuler Daniel;*;8.75
1;3c;Hürlimann Mathias;*;8.75
1;3d;Wicki Joel;***;8.75
1;3e;Bieri Marcel;***;8.75
1;3f;Gwerder Dario;**;8.75
1;3g;Colò Kilian;**;8.75
1;3h;Odermatt Andreas;**;8.75
1;3i;Dousse Michel;**;8.75
1;3j;Suppiger Werner;**;8.75
1;3k;Scherer Niklaus;**;8.75
1;3l;Murer Andy;**;8.75
1;3m;Lustenberger Josef;*;8.75
1;3n;Schurtenberger Sven;***;8.75
1;3o;Emonet Frédéric;**;8.75
1;3p;Duplan Steve;***;8.75
1;3q;Schlegel Werner;**;8.75
1;3r;Orlik Armon;***;8.75
1;3s;Wandeler Roman;**;8.75
1;3t;Collaud Romain;**;8.75
1;3u;Kolb This;**;8.75
1;3v;Gottofrey Luc;*;8.75
1;3w;Betschart Patrick;*;8.75
1;3x;Gottofrey Marc;**;8.75
1;3y;Zurfluh Roman;**;8.75
1;3z;Oettli Marco;**;8.75
1;4a;Burch Jonas;**;8.5
1;4b;Ulrich Marco;**;8.5
1;4c;Bernhard Lukas;**;8.5
1;4d;Müller Luca (2004);*;8.5
1;4e;Blaser Christian;**;8.5
1;4f;Grossenbacher Simon;*;8.5
1;4g;Durrer Nando;**;8.5
1;4h;Droxler Jonathan;**;8.5
1;4i;Reichmuth Roland;*;8.5
1;4j;Fankhauser Hans;*;8.5
1;4k;Würsch Lars;*;8.5
1;4l;Lemmenmeier Lukas;*;8.5
1;4m;Herger Fabian;*;8.5
1;4n;Bucher Thomas;**;8.5
1;4o;Kaufmann Reto;**;8.5
1;4p;Röthlin Pascal;*;8.5
1;4q;Hofer Sven;**;8.5
1;4r;Heinzer Ronny;*;8.5
1;4s;Ammann Rico;*;8.5
1;4t;Schnurrenberger Roman;**;8.5
1;4u;Kramer Dorian;**;8.5
1;4v;Lustenberger Marc;**;8.5
1;4w;Schöpfer Ronny;**;8.5
1;4x;Müllestein Mike;***;8.5
1;4y;Riget Florian;**;8.5
1;4z;Arnold Stefan;**;8.5
1;4z1;Nötzli Reto;***;8.5
1;4z2;Waser Reto;*;8.5
1;4z3;Wiget Ueli;*;8.5
1;4z4;Schiesser Patrik;*;8.5
1;4z5;Wetter Silvan;*;8.5
1;4z6;Matthey Mickaël;**;8.5
2;1a;Kramer Lario;***;20.0
2;1b;Balimann Sandro;*;20.0
2;1c;Gapany Benjamin;***;20.0
2;2a;Arnold Raphael;**;19.75
2;2b;Scherrer Fabian;*;19.75
2;3a;Thierstein Marco;*;19.5
2;3b;Odermatt Christian;**;19.5
2;3c;Moser Steven;**;19.5
2;3d;Schneider Mario;**;19.5
2;3e;Rychen Roger;***;19.5
2;4a;Kessler Joel;*;18.75
2;4b;Wey Nicola;**;18.75
2;4c;Wicki Joel;***;18.75
2;4d;Riedo Fredy;*;18.75
2;4e;Duplan Steve;***;18.75
2;4f;Geisser Lars;**;18.75
2;4g;Burkhalter Stefan;***;18.75
2;4h;Wandeler Roman;**;18.75
2;4i;Collaud Romain;**;18.75
2;4j;Heinzer Lukas (2004);*;18.75
2;5a;Burch Jonas;**;18.5
2;5b;Borcard Johann;**;18.5
2;5c;Schuler Alex;*;18.5
2;5d;Grossenbacher Simon;*;18.5
2;5e;Gwerder Dario;**;18.5
2;5f;Lehmann Philipp;**;18.5
2;5g;Hegner Ueli;*;18.5
2;5h;Felder Martin;**;18.5
2;5i;Murer Andy;**;18.5
2;5j;Schlegel Werner;**;18.5
2;5k;Orlik Armon;***;18.5
2;5l;Kaufmann Reto;**;18.5
2;5m;Kolb This;**;18.5
2;5n;Hofer Sven;**;18.5
2;5o;Räbsamen Marcel;**;18.5
2;5p;Heinzer Ronny;*;18.5
2;5q;Schöpfer Ronny;**;18.5
2;5r;Baeriswyl Christoph;**;18.5
2;5s;Nötzli Reto;***;18.5
2;5t;Suter Pirmin;**;18.5
2;5u;Betschart Patrick;*;18.5
2;5v;Dändliker Shane;**;18.5
2;6a;Bernhard Lukas;**;18.25
2;6b;Jund Matthias;*;18.25
2;6c;Müller Luca (2004);*;18.25
2;6d;Reichmuth Roland;*;18.25
2;6e;Elsener Marcel;*;18.25
2;6f;Kenel Franz-Toni;*;18.25
2;6g;Wyss Christian;*;18.25
2;6h;Ackermann Remo;*;18.25
2;6i;Kramer Dorian;**;18.25
2;6j;Lustenberger Marc;**;18.25
2;6k;Riget Florian;**;18.25
2;6l;Arnold Stefan;**;18.25
2;6m;Rotach Lars;*;18.25
2;6n;Kurmann Toni;**;18.25
2;6o;Ettlin Stefan;**;18.25
2;6p;Wiget Ueli;*;18.25
2;6q;Wetter Silvan;*;18.25
2;6r;Matthey Mickaël;**;18.25
2;7a;Schuler Daniel;*;17.5
2;7b;Suppiger Werner;**;17.5
2;7c;Schurtenberger Sven;***;17.5
2;7d;Gottofrey Marc;**;17.5
2;7e;Zurfluh Roman;**;17.5
2;8a;Hürlimann Mathias;*;17.25
2;8b;Bieri Marcel;***;17.25
2;8c;Colò Kilian;**;17.25
2;8d;Odermatt Andreas;**;17.25
2;8e;Dousse Michel;**;17.25
2;8f;Scherer Niklaus;**;17.25
2;8g;Lustenberger Josef;*;17.25
2;8h;Emonet Frédéric;**;17.25
2;8i;Lemmenmeier Lukas;*;17.25
2;8j;Schnurrenberger Roman;**;17.25
2;8k;Gottofrey Luc;*;17.25
2;8l;Müllestein Mike;***;17.25
2;8m;Oettli Marco;**;17.25
2;9a;Blaser Christian;**;17.0
2;9b;Durrer Nando;**;17.0
2;9c;Droxler Jonathan;**;17.0
2;9d;Fankhauser Hans;*;17.0
2;9e;Würsch Lars;*;17.0
2;9f;Herger Fabian;*;17.0
2;9g;Bucher Thomas;**;17.0
2;9h;Röthlin Pascal;*;17.0
2;9i;Ammann Rico;*;17.0
2;9j;Waser Reto;*;17.0
2;9k;Schiesser Patrik;*;17.0
2;10a;Ulrich Marco;**;8.5
3;1a;Kramer Lario;***;29.75
3;2a;Schneider Mario;**;29.25
3;2b;Rychen Roger;***;29.25
3;3a;Kessler Joel;*;28.75
3;3b;Wey Nicola;**;28.75
3;3c;Wicki Joel;***;28.75
3;3d;Balimann Sandro;*;28.75
3;3e;Duplan Steve;***;28.75
3;3f;Geisser Lars;**;28.75
3;3g;Collaud Romain;**;28.75
3;4a;Borcard Johann;**;28.5
3;4b;Felder Martin;**;28.5
3;4c;Gapany Benjamin;***;28.5
3;4d;Orlik Armon;***;28.5
3;4e;Kolb This;**;28.5
3;4f;Dändliker Shane;**;28.5
3;5a;Bernhard Lukas;**;28.25
3;5b;Schuler Alex;*;28.25
3;5c;Hegner Ueli;*;28.25
3;5d;Arnold Raphael;**;28.25
3;5e;Kenel Franz-Toni;*;28.25
3;5f;Schlegel Werner;**;28.25
3;5g;Ackermann Remo;*;28.25
3;5h;Moser Steven;**;28.25
3;5i;Räbsamen Marcel;**;28.25
3;5j;Scherrer Fabian;*;28.25
3;5k;Lustenberger Marc;**;28.25
3;5l;Riget Florian;**;28.25
3;6a;Thierstein Marco;*;28.0
3;6b;Odermatt Christian;**;28.0
3;6c;Arnold Stefan;**;28.0
3;6d;Ettlin Stefan;**;28.0
3;6e;Matthey Mickaël;**;28.0
3;7a;Suppiger Werner;**;27.5
3;7b;Burkhalter Stefan;***;27.5
3;8a;Burch Jonas;**;27.25
3;8b;Bieri Marcel;***;27.25
3;8c;Gwerder Dario;**;27.25
3;8d;Schurtenberger Sven;***;27.25
3;8e;Riedo Fredy;*;27.25
3;8f;Wandeler Roman;**;27.25
3;8g;Heinzer Lukas (2004);*;27.25
3;9a;Jund Matthias;*;27.0
3;9b;Grossenbacher Simon;*;27.0
3;9c;Droxler Jonathan;**;27.0
3;9d;Lehmann Philipp;**;27.0
3;9e;Colò Kilian;**;27.0
3;9f;Odermatt Andreas;**;27.0
3;9g;Murer Andy;**;27.0
3;9h;Lemmenmeier Lukas;*;27.0
3;9i;Bucher Thomas;**;27.0
3;9j;Kaufmann Reto;**;27.0
3;9k;Röthlin Pascal;*;27.0
3;9l;Hofer Sven;**;27.0
3;9m;Heinzer Ronny;*;27.0
3;9n;Schöpfer Ronny;**;27.0
3;9o;Baeriswyl Christoph;**;27.0
3;9p;Suter Pirmin;**;27.0
3;9q;Betschart Patrick;*;27.0
3;9r;Rotach Lars;*;27.0
3;9s;Oettli Marco;**;27.0
3;9t;Wetter Silvan;*;27.0
3;10a;Müller Luca (2004);*;26.75
3;10b;Durrer Nando;**;26.75
3;10c;Reichmuth Roland;*;26.75
3;10d;Elsener Marcel;*;26.75
3;10e;Wyss Christian;*;26.75
3;10f;Kramer Dorian;**;26.75
3;10g;Kurmann Toni;**;26.75
3;10h;Wiget Ueli;*;26.75
3;11a;Schuler Daniel;*;26.25
3;11b;Gottofrey Marc;**;26.25
3;12a;Hürlimann Mathias;*;26.0
3;12b;Dousse Michel;**;26.0
3;12c;Lustenberger Josef;*;26.0
3;12d;Schnurrenberger Roman;**;26.0
3;12e;Zurfluh Roman;**;26.0
3;13a;Blaser Christian;**;25.75
3;13b;Fankhauser Hans;*;25.75
3;13c;Scherer Niklaus;**;25.75
3;13d;Emonet Frédéric;**;25.75
3;13e;Herger Fabian;*;25.75
3;13f;Gottofrey Luc;*;25.75
3;14a;Würsch Lars;*;25.5
3;14b;Ammann Rico;*;25.5
3;14c;Waser Reto;*;25.5
3;14d;Schiesser Patrik;*;25.5
3;15a;Nötzli Reto;***;18.5
3;16a;Müllestein Mike;***;17.25
3;17a;Ulrich Marco;**;8.5
4;1a;Rychen Roger;***;39.0
4;2a;Wicki Joel;***;38.75
4;3a;Geisser Lars;**;38.5
4;3b;Dändliker Shane;**;38.5
4;4a;Kramer Lario;***;38.25
4;4b;Orlik Armon;***;38.25
4;4c;Moser Steven;**;38.25
4;4d;Räbsamen Marcel;**;38.25
4;4e;Scherrer Fabian;*;38.25
4;5a;Schlegel Werner;**;38.0
4;6a;Schneider Mario;**;37.75
4;6b;Matthey Mickaël;**;37.75
4;7a;Kessler Joel;*;37.25
4;7b;Wey Nicola;**;37.25
4;7c;Bieri Marcel;***;37.25
4;7d;Balimann Sandro;*;37.25
4;7e;Schurtenberger Sven;***;37.25
4;7f;Arnold Raphael;**;37.25
4;7g;Gapany Benjamin;***;37.25
4;7h;Duplan Steve;***;37.25
4;7i;Wandeler Roman;**;37.25
4;7j;Collaud Romain;**;37.25
4;7k;Kolb This;**;37.25
4;8a;Burch Jonas;**;37.0
4;8b;Borcard Johann;**;37.0
4;8c;Thierstein Marco;*;37.0
4;8d;Bernhard Lukas;**;37.0
4;8e;Gwerder Dario;**;37.0
4;8f;Odermatt Andreas;**;37.0
4;8g;Felder Martin;**;37.0
4;8h;Kenel Franz-Toni;*;37.0
4;8i;Lemmenmeier Lukas;*;37.0
4;8j;Ackermann Remo;*;37.0
4;8k;Kaufmann Reto;**;37.0
4;8l;Hofer Sven;**;37.0
4;8m;Lustenberger Marc;**;37.0
4;8n;Schöpfer Ronny;**;37.0
4;8o;Riget Florian;**;37.0
4;9a;Schuler Alex;*;36.75
4;9b;Odermatt Christian;**;36.75
4;9c;Müller Luca (2004);*;36.75
4;9d;Reichmuth Roland;*;36.75
4;9e;Hegner Ueli;*;36.75
4;9f;Murer Andy;**;36.75
4;9g;Oettli Marco;**;36.75
4;9h;Ettlin Stefan;**;36.75
4;10a;Suppiger Werner;**;36.25
4;10b;Burkhalter Stefan;***;36.25
4;11a;Schuler Daniel;*;36.0
4;11b;Hürlimann Mathias;*;36.0
4;11c;Lehmann Philipp;**;36.0
4;11d;Heinzer Ronny;*;36.0
4;12a;Grossenbacher Simon;*;35.75
4;12b;Droxler Jonathan;**;35.75
4;12c;Scherer Niklaus;**;35.75
4;12d;Riedo Fredy;*;35.75
4;12e;Heinzer Lukas (2004);*;35.75
4;12f;Gottofrey Luc;*;35.75
4;12g;Betschart Patrick;*;35.75
4;12h;Rotach Lars;*;35.75
4;12i;Wetter Silvan;*;35.75
4;13a;Jund Matthias;*;35.5
4;13b;Durrer Nando;**;35.5
4;13c;Colò Kilian;**;35.5
4;13d;Herger Fabian;*;35.5
4;13e;Bucher Thomas;**;35.5
4;13f;Röthlin Pascal;*;35.5
4;13g;Kramer Dorian;**;35.5
4;13h;Baeriswyl Christoph;**;35.5
4;13i;Waser Reto;*;35.5
4;13j;Wiget Ueli;*;35.5
4;14a;Elsener Marcel;*;35.25
4;14b;Wyss Christian;*;35.25
4;15a;Schnurrenberger Roman;**;34.75
4;15b;Gottofrey Marc;**;34.75
4;15c;Zurfluh Roman;**;34.75
4;16a;Dousse Michel;**;34.5
4;16b;Lustenberger Josef;*;34.5
4;17a;Blaser Christian;**;34.25
4;17b;Fankhauser Hans;*;34.25
4;17c;Emonet Frédéric;**;34.25
4;18a;Würsch Lars;*;34.0
4;18b;Ammann Rico;*;34.0
4;18c;Schiesser Patrik;*;34.0
4;19a;Arnold Stefan;**;28.0
4;20a;Suter Pirmin;**;27.0
4;21a;Kurmann Toni;**;26.75
4;22a;Nötzli Reto;***;18.5
4;23a;Müllestein Mike;***;17.25
4;24a;Ulrich Marco;**;8.5
5;1a;Wicki Joel;***;48.5
5;2a;Kramer Lario;***;48.25
5;2b;Orlik Armon;***;48.25
5;3a;Moser Steven;**;48.0
5;4a;Schlegel Werner;**;47.75
5;4b;Schneider Mario;**;47.75
5;5a;Rychen Roger;***;47.5
5;6a;Bieri Marcel;***;47.25
5;6b;Wandeler Roman;**;47.25
5;6c;Collaud Romain;**;47.25
5;7a;Burch Jonas;**;47.0
5;7b;Gwerder Dario;**;47.0
5;7c;Schurtenberger Sven;***;47.0
