1500-2015-08-16_16_Schwaegalp-Schwinget-ST

1a;Glarner Matthias;***;;;;;;;;;58.25
-;;;Büsser Andy;***;;;;;;;8.75
+;4;8.75;Schneider Domenic;**;10;55.5;2;9.75;-2;1.0;9.75
+;4;18.5;Steiner Michael;**;11;55.25;3;18.75;-1;0.25;9.75
+;4;28.25;Hersche Martin;**;17;53.75;4;28.25;0;0.0;10.0
+;3;38.25;Fässler Andreas;**;6;56.5;4;38.0;1;-0.25;10.0
+;1;48.25;Notz Beni;***;10;55.5;4;47.0;3;-1.25;10.0

1b;Bösch Daniel;***;;;;;;;;;58.25
+;;;Kämpf Bernhard;***;;;;;;;10.0
-;1;10.0;Stucki Christian;***;3;57.25;2;9.75;1;-0.25;8.75
+;3;18.75;Gerber Christian;**;9;55.75;1;19.75;-2;1.0;10.0
+;2;28.75;Aeschbacher Matthias;**;9;55.75;3;28.5;1;-0.25;9.75
+;2;38.5;Zaugg Thomas;***;4;57.0;2;38.5;0;0.0;9.75
+;1;48.25;Gnägi Florian;***;4;57.0;1;48.25;0;0.0;10.0

2a;Siegenthaler Matthias;***;;;;;;;;;57.5
o;;;Giger Samuel (1998);**;;;;;;;8.5
+;5;8.5;Riget Tobias;**;10;55.5;2;9.75;-3;1.25;9.75
+;5;18.25;Geisser Lars;*;21;52.75;3;18.75;-2;0.5;9.75
+;5;28.0;Horner Peter;**;12;55.0;5;28.0;0;0.0;10.0
+;4;38.0;Peng Mike;***;16;54.0;8;36.75;4;-1.25;9.75
+;2;47.75;Lengacher Jonas;**;7;56.25;2;47.75;0;0.0;9.75

3a;Stucki Christian;***;;;;;;;;;57.25
+;;;Forrer Arnold;***;;;;;;;9.75
-;2;9.75;Bösch Daniel;***;1;58.25;1;10.0;-1;0.25;8.75
-;4;18.5;Leuppi Samir;**;16;54.0;3;18.75;-1;0.25;8.75
+;8;27.25;Peng Mike;***;16;54.0;4;28.25;-4;1.0;10.0
+;6;37.25;Bühler Ernst;**;10;55.5;7;37.0;1;-0.25;10.0
+;3;47.25;Krähenbühl Tobias;**;10;55.5;4;47.0;1;-0.25;10.0

4a;Gnägi Florian;***;;;;;;;;;57.0
+;;;Kindlimann Fabian;***;;;;;;;9.75
+;2;9.75;Rhyner Michael;**;11;55.25;1;10.0;-1;0.25;9.75
+;2;19.5;Schneider Mario;**;15;54.25;2;19.5;0;0.0;10.0
+;1;29.5;Zwyssig Raphael;***;9;55.75;3;28.5;2;-1.0;9.75
-;1;39.25;Notz Beni;***;10;55.5;3;38.25;2;-1.0;9.0
o;1;48.25;Bösch Daniel;***;1;58.25;1;48.25;0;0.0;8.75

4b;Giger Samuel (1998);**;;;;;;;;;57.0
+;;;Siegenthaler Matthias;***;;;;;;;9.75
-;2;9.75;Zaugg Thomas;***;4;57.0;2;9.75;0;0.0;9.0
+;3;18.75;Borcard Johann;**;23;35.5;4;18.5;1;-0.25;9.75
+;3;28.5;Moser Steven;**;9;55.75;3;28.5;0;0.0;9.75
-;3;38.25;Kämpf Bernhard;***;5;56.75;4;38.0;1;-0.25;8.75
+;4;47.0;Schenk Patrick;**;9;55.75;3;47.25;-1;0.25;10.0

4c;Zaugg Thomas;***;;;;;;;;;57.0
