1865-2015-06-14_Stoos-Schwinget-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
-;;;Bösch Daniel;***;;;;;;;8.75
+;4;8.75;Leuppi Samir;**;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Schneider Mario;**;13;55.0;7;18.25;1;-0.25;10.0
+;4;28.5;Krähenbühl Tobias;**;11;55.5;4;28.5;0;0.0;10.0
+;4;38.5;Fankhauser Erich;***;6;56.75;4;38.5;0;0.0;10.0
+;2;48.5;Wicki Joel (1997);**;3;57.5;1;48.75;-1;0.25;10.0

2a;Grab Martin;***;;;;;;;;;58.25
+;;;Notz Beni;***;;;;;;;9.75
+;2;9.75;Kindlimann Fabian;***;9;56.0;1;10.0;-1;0.25;9.75
+;3;19.5;Egli Pirmin;*;12;55.25;2;19.75;-1;0.25;10.0
+;1;29.5;Gloggner Philipp;***;10;55.75;3;28.75;2;-0.75;10.0
o;1;39.5;Wicki Joel (1997);**;3;57.5;2;39.0;1;-0.5;8.75
+;3;48.25;Rhyner Michael;**;10;55.75;6;47.25;3;-1.0;10.0

3a;Wicki Joel (1997);**;;;;;;;;;57.5
-;;;Orlik Armon;**;;;;;;;9.0
+;3;9.0;Rüegg Roman;*;23;35.25;2;9.75;-1;0.75;10.0
+;4;19.0;Zwyssig Raphael;***;5;57.0;5;18.75;1;-0.25;10.0
+;2;29.0;Burkhalter Stefan;***;8;56.25;2;29.0;0;0.0;10.0
+;2;39.0;Grab Martin;***;2;58.25;1;39.5;-1;0.5;9.75
o;1;48.75;Laimbacher Philipp;***;1;58.5;2;48.5;1;-0.25;8.75

3b;von Ah Benji;***;;;;;;;;;57.5
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Fankhauser Reto;**;11;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Betschart Remo;**;14;54.75;5;18.75;0;0.0;9.75
+;4;28.5;Stalder Remo;***;16;54.25;3;28.75;-1;0.25;10.0
-;4;38.5;Ulrich Andreas;***;7;56.5;3;38.75;-1;0.25;9.0
+;5;47.5;Schneider Domenic;**;12;55.25;8;46.75;3;-0.75;10.0

4a;Schurtenberger Sven;**;;;;;;;;;57.25
+;;;Schneider Mario;**;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;7;56.5;4;8.75;3;-1.25;8.5
+;6;18.5;Alpiger Nick;**;24;35.0;8;17.75;2;-0.75;10.0
o;4;28.5;Ulrich Andreas;***;7;56.5;3;28.75;-1;0.25;8.75
+;8;37.25;Leuppi Samir;**;16;54.25;8;37.25;0;0.0;10.0
+;6;47.25;Bösch Daniel;***;9;56.0;5;47.5;-1;0.25;10.0

4b;Müllestein Mike;**;;;;;;;;;57.25
+;;;Rychen Roger;**;;;;;;;9.75
+;2;9.75;Odermatt Sepp;**;12;55.25;1;10.0;-1;0.25;9.75
-;3;19.5;Burkhalter Stefan;***;8;56.25;1;20.0;-2;0.5;9.0
-;4;28.5;Forrer Arnold;***;7;56.5;5;28.25;1;-0.25;8.75
+;8;37.25;Erb Roger;**;13;55.0;10;36.75;2;-0.5;10.0
+;6;47.25;Krähenbühl Tobias;**;11;55.5;7;47.0;1;-0.25;10.0

5a;Zwyssig Raphael;***;;;;;;;;;57.0
-;;;Laimbacher Adrian;***;;;;;;;8.75
+;4;8.75;Murer Andy;*;11;55.5;1;10.0;-3;1.25;10.0
o;5;18.75;Wicki Joel (1997);**;3;57.5;4;19.0;-1;0.25;8.5
+;9;27.25;Zimmermann Daniel;*;21;52.75;9;27.25;0;0.0;10.0
+;8;37.25;Scheuber Lutz;**;14;54.75;6;37.75;-2;0.5;9.75
+;7;47.0;Egli Pirmin;*;12;55.25;8;46.75;1;-0.25;10.0

6a;Fankhauser Erich;***;;;;;;;;;56.75
+;;;Schneider Domenic;**;;;;;;;10.0
-;1;10.0;Bieri Christoph;***;7;56.5;4;8.75;3;-1.25;8.75
+;5;18.75;Orlik Armon;**;8;56.25;5;18.75;0;0.0;10.0
+;3;28.75;Rychen Roger;**;11;55.5;4;28.5;1;-0.25;9.75
o;4;38.5;Laimbacher Philipp;***;1;58.5;4;38.5;0;0.0;8.5
+;7;47.0;Schneider Mario;**;13;55.0;9;46.5;2;-0.5;9.75

6b;Räbmatter Patrick;**;;;;;;;;;56.75
o;;;Kempf Elias;**;;;;;;;8.5
+;5;8.5;Schuler Alex;**;10;55.75;4;8.75;-1;0.25;9.75
o;7;18.25;Gloggner Philipp;***;10;55.75;5;18.75;-2;0.5;8.5
+;11;26.75;Gloggner Reto;**;22;35.5;10;27.0;-1;0.25;10.0
+;10;36.75;Nötzli Bruno;***;12;55.25;10;36.75;0;0.0;10.0
+;8;46.75;Murer Andy;*;11;55.5;7;47.0;-1;0.25;10.0

