2253-2015-07-18_64_Weissenstein-Schwinget-ST

1a;Stucki Christian;***;;;;;;;;;59.75
+;;;Räbmatter Patrick;**;;;;;;;10.0
+;1;10.0;Henzer Andreas;**;3;57.25;4;8.75;3;-1.25;10.0
+;1;20.0;Kämpf Bernhard;***;3;57.25;1;20.0;0;0.0;10.0
+;1;30.0;Vieira Tiago;**;14;54.25;3;28.75;2;-1.25;9.75
+;1;39.75;Gerber Christian;**;7;56.0;2;38.75;1;-1.0;10.0
+;1;49.75;Kämpf Bernhard;***;3;57.25;2;48.5;1;-1.25;10.0

2a;Sempach Thomas;***;;;;;;;;;58.25
-;;;Gisler Bruno;***;;;;;;;8.75
+;4;8.75;Alpiger Nick;**;6;56.25;1;10.0;-3;1.25;10.0
+;5;18.75;Rolli Martin;**;14;54.25;4;19.0;-1;0.25;10.0
+;3;28.75;Klausner Yanick;**;15;53.75;5;28.25;2;-0.5;9.75
+;3;38.5;Röthlisberger Simon;*;7;56.0;2;38.75;-1;0.25;9.75
+;3;48.25;Hauri Urs;**;8;55.75;7;47.25;4;-1.0;10.0

3a;Henzer Andreas;**;;;;;;;;;57.25
-;;;Gapany Benjamin;**;;;;;;;8.75
o;4;8.75;Stucki Christian;***;1;59.75;1;10.0;-3;1.25;8.5
+;10;17.25;Steinmann Yves;*;19;35.25;7;18.25;-3;1.0;10.0
+;9;27.25;Glauser Thomas;**;10;55.25;6;28.0;-3;0.75;10.0
+;7;37.25;Rolli Martin;**;14;54.25;7;37.25;0;0.0;10.0
+;7;47.25;Schütz Urs;**;9;55.5;9;46.75;2;-0.5;10.0

3b;Kämpf Bernhard;***;;;;;;;;;57.25
+;;;Erb Roger;**;;;;;;;10.0
+;1;10.0;Steinmann Yves;*;19;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Stucki Christian;***;1;59.75;1;20.0;0;0.0;8.5
+;4;28.5;Blatter Lorenz;*;7;56.0;4;28.5;0;0.0;10.0
+;3;38.5;Gehrig Damian;**;5;56.75;3;38.5;0;0.0;10.0
o;2;48.5;Stucki Christian;***;1;59.75;1;49.75;-1;1.25;8.75

4a;Bloch Dominic;**;;;;;;;;;57.0
+;;;Giroud Jonathan;**;;;;;;;9.75
+;2;9.75;Erb Roger;**;5;56.75;5;8.5;3;-1.25;10.0
-;2;19.75;Bieri Christoph;***;6;56.25;5;18.75;3;-1.0;8.75
+;4;28.5;Gerber Manuel;;15;53.75;5;28.25;1;-0.25;9.75
+;4;38.25;Vieira Tiago;**;14;54.25;7;37.25;3;-1.0;9.75
-;4;48.0;Stalder Remo;***;8;55.75;9;46.75;5;-1.25;9.0

4b;Luginbühl Hanspeter;**;;;;;;;;;57.0
+;;;Studinger Mathias;**;;;;;;;9.75
+;2;9.75;Krebs Clemens;;19;35.25;2;9.75;0;0.0;10.0
-;2;19.75;Gehrig Damian;**;5;56.75;1;20.0;-1;0.25;8.75
+;4;28.5;Kropf Rolf;**;11;55.0;5;28.25;1;-0.25;9.75
-;4;38.25;Schmid David;**;8;55.75;7;37.25;3;-1.0;8.75
+;8;47.0;Glauser Thomas;**;10;55.25;9;46.75;1;-0.25;10.0

4c;Gapany Benjamin;**;;;;;;;;;57.0
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Huber Jan (1997);*;18;35.5;5;8.5;1;-0.25;9.75
+;6;18.5;Nyffeler Christoph;;18;35.5;6;18.5;0;0.0;9.75
-;5;28.25;Schmid Reto;**;12;54.75;3;28.75;-2;0.5;9.0
+;7;37.25;Zenger Niklaus;***;8;55.75;8;37.0;1;-0.25;10.0
+;7;47.25;Weyermann Florian;*;11;55.0;10;46.5;3;-0.75;9.75

5a;Erb Roger;**;;;;;;;;;56.75
o;;;Kämpf Bernhard;***;;;;;;;8.5
o;5;8.5;Bloch Dominic;**;4;57.0;2;9.75;-3;1.25;8.5
+;11;17.0;Weyermann Florian;*;11;55.0;7;18.25;-4;1.25;10.0
+;10;27.0;Gäggeler Adrian;*;6;56.25;7;27.75;-3;0.75;10.0
+;8;37.0;Hermann Oliver;;15;53.75;9;36.75;1;-0.25;10.0
+;8;47.0;Röthlisberger Simon;*;7;56.0;7;47.25;-1;0.25;9.75

5b;Gisler Bruno;***;;;;;;;;;56.75
-;;;Sempach Thomas;***;;;;;;;8.75
