2258-2015-07-12_Rigischwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;59.25
+;;;Bösch Daniel;***;;;;;;;9.75
+;2;9.75;Baumann Roger;*;18;53.5;1;10.0;-1;0.25;10.0
+;2;19.75;Rychen Roger;**;4;57.0;1;20.0;-1;0.25;9.75
+;2;29.5;Bieri Christian;*;14;54.5;5;28.5;3;-1.0;10.0
+;2;39.5;Zwyssig Raphael;***;7;56.25;5;38.0;3;-1.5;9.75
+;2;49.25;Laimbacher Philipp;***;2;58.5;1;49.75;-1;0.5;10.0

2a;Laimbacher Philipp;***;;;;;;;;;58.5
+;;;Burkhalter Stefan;***;;;;;;;10.0
+;1;10.0;Murer Andy;*;24;35.75;1;10.0;0;0.0;9.75
+;2;19.75;Rohrer Ivan;*;8;56.0;3;19.0;1;-0.75;10.0
+;1;29.75;Notz Beni;***;14;54.5;5;28.5;4;-1.25;10.0
+;1;39.75;Schuler Christian;***;3;57.25;3;38.75;2;-1.0;10.0
o;1;49.75;Ulrich Andreas;***;1;59.25;2;49.25;1;-0.5;8.75

3a;Schuler Christian;***;;;;;;;;;57.25
o;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Rohrer Marco;**;10;55.5;1;10.0;-3;1.25;10.0
+;4;18.75;Eugster Ruedi;**;20;53.0;4;18.75;0;0.0;10.0
+;4;28.75;Krähenbühl Tobias;**;11;55.25;5;28.5;1;-0.25;10.0
o;3;38.75;Laimbacher Philipp;***;2;58.5;1;39.75;-2;1.0;8.75
+;4;47.5;Scheuber Lutz;**;9;55.75;5;47.25;1;-0.25;9.75

4a;Bösch Daniel;***;;;;;;;;;57.0
o;;;Ulrich Andreas;***;;;;;;;8.5
+;5;8.5;Linggi Bruno;**;15;54.25;2;9.75;-3;1.25;9.75
+;6;18.25;Bieri Marcel;**;13;54.75;6;18.25;0;0.0;10.0
-;6;28.25;Müllestein Mike;**;6;56.5;4;28.75;-2;0.5;9.0
+;8;37.25;Höfliger Andreas;**;11;55.25;6;37.75;-2;0.5;10.0
+;5;47.25;Gasser Stefan;**;9;55.75;5;47.25;0;0.0;9.75

4b;Rychen Roger;**;;;;;;;;;57.0
+;;;Brun Jonas;**;;;;;;;10.0
+;1;10.0;Fankhauser Marco;**;10;55.5;1;10.0;0;0.0;10.0
o;1;20.0;Ulrich Andreas;***;1;59.25;2;19.75;1;-0.25;8.5
+;5;28.5;Schuler Alex;**;13;54.75;6;28.25;1;-0.25;9.75
o;4;38.25;Laimbacher Adrian;***;5;56.75;5;38.0;1;-0.25;8.75
+;6;47.0;Kennel Stefan;*;12;55.0;8;46.5;2;-0.5;10.0

5a;Laimbacher Adrian;***;;;;;;;;;56.75
+;;;Rhyner Michael;**;;;;;;;10.0
-;1;10.0;Forrer Arnold;***;6;56.5;2;9.75;1;-0.25;9.0
+;3;19.0;Bernet Christoph;*;21;52.75;4;18.75;1;-0.25;10.0
-;3;29.0;Gmür Pirmin;*;14;54.5;6;28.25;3;-0.75;9.0
+;5;38.0;Rychen Roger;**;4;57.0;4;38.25;-1;0.25;9.75
-;3;47.75;Schurtenberger Sven;**;6;56.5;4;47.5;1;-0.25;9.0

6a;Forrer Arnold;***;;;;;;;;;56.5
+;;;Gasser Stefan;**;;;;;;;9.75
-;2;9.75;Laimbacher Adrian;***;5;56.75;1;10.0;-1;0.25;9.0
+;4;18.75;Villiger Cyrill;*;16;54.0;4;18.75;0;0.0;9.75
-;5;28.5;Suppiger Werner;**;7;56.25;4;28.75;-1;0.25;9.0
-;7;37.5;Rohrer Marco;**;10;55.5;5;38.0;-2;0.5;9.0
+;8;46.5;Schuler Alex;**;13;54.75;10;46.0;2;-0.5;10.0

6b;Schurtenberger Sven;**;;;;;;;;;56.5
+;;;Schneider Domenic;**;;;;;;;9.75
-;2;9.75;Kennel Stefan;*;12;55.0;1;10.0;-1;0.25;9.0
-;4;18.75;Höfliger Andreas;**;11;55.25;4;18.75;0;0.0;9.0
+;8;27.75;Oertig Dominik;*;15;54.25;9;27.5;1;-0.25;10.0
+;6;37.75;Suter David;**;14;54.5;7;37.5;1;-0.25;9.75
-;4;47.5;Laimbacher Adrian;***;5;56.75;3;47.75;-1;0.25;9.0

6c;Gloggner Hansjörg;***;;;;;;;;;56.5
o;;;Krähenbühl Tobias;**;;;;;;;8.5
+;5;8.5;Gwerder Christian;**;13;54.75;2;9.75;-3;1.25;9.75
+;6;18.25;Inderbitzin Daniel;*;14;54.5;4;18.75;-2;0.5;10.0
o;6;28.25;Rhyner Michael;**;7;56.25;6;28.25;0;0.0;8.5
+;10;36.75;Waser Dominik;*;13;54.75;12;36.25;2;-0.5;9.75
+;8;46.5;Suter David;**;14;54.5;10;46.0;2;-0.5;10.0

6d;Müllestein Mike;**;;;;;;;;;56.5
-;;;Orlik Armon;**;;;;;;;8.75
+;4;8.75;Muff André;*;25;35.5;1;10.0;-3;1.25;10.0
+;4;18.75;Zimmermann Martin;**;7;56.25;4;18.75;0;0.0;10.0
-;4;28.75;Bösch Daniel;***;4;57.0;6;28.25;2;-0.5;9.0
+;6;37.75;Rhyner Michael;**;7;56.25;5;38.0;-1;0.25;10.0
-;3;47.75;Suppiger Werner;**;7;56.25;4;47.5;1;-0.25;8.75

7a;Zimmermann Martin;**;;;;;;;;;56.25
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Waser Reto;*;16;54.0;1;10.0;-3;1.25;10.0
o;4;18.75;Müllestein Mike;**;6;56.5;4;18.75;0;0.0;8.5
+;10;27.25;Gwerder Guido;**;25;35.5;11;27.0;1;-0.25;10.0
+;8;37.25;Bieri Marcel;**;13;54.75;11;36.5;3;-0.75;10.0
-;5;47.25;Orlik Armon;**;8;56.0;6;47.0;1;-0.25;9.0

7b;Rhyner Michael;**;;;;;;;;;56.25
o;;;Laimbacher Adrian;***;;;;;;;8.5
+;5;8.5;Fankhauser Reto;**;19;53.25;2;9.75;-3;1.25;10.0
+;5;18.5;Gasser Stefan;**;9;55.75;5;18.5;0;0.0;9.75
+;6;28.25;Gloggner Hansjörg;***;6;56.5;6;28.25;0;0.0;9.75
o;5;38.0;Müllestein Mike;**;6;56.5;6;37.75;1;-0.25;8.5
+;8;46.5;Schelbert Ralf;**;10;55.5;7;46.75;-1;0.25;9.75

7c;Suppiger Werner;**;;;;;;;;;56.25
-;;;Kohler Fredi;**;;;;;;;8.75
+;4;8.75;Schmid Dominik;**;28;34.5;5;8.5;1;-0.25;10.0
+;4;18.75;Wyrsch Marco;*;21;52.75;5;18.5;1;-0.25;10.0
-;4;28.75;Forrer Arnold;***;6;56.5;5;28.5;1;-0.25;8.75
+;7;37.5;Steinauer Adrian;**;14;54.5;8;37.25;1;-0.25;10.0
-;4;47.5;Müllestein Mike;**;6;56.5;3;47.75;-1;0.25;8.75

7d;Zwyssig Raphael;***;;;;;;;;;56.25
+;;;Schuler Christian;***;;;;;;;9.75
-;2;9.75;Waser Dominik;*;13;54.75;1;10.0;-1;0.25;8.75
+;5;18.5;Suppiger René;**;9;55.75;4;18.75;-1;0.25;9.75
+;6;28.25;Schelbert Ralf;**;10;55.5;5;28.5;-1;0.25;9.75
o;5;38.0;Ulrich Andreas;***;1;59.25;2;39.5;-3;1.5;8.5
+;8;46.5;Föhn Pirmin;*;14;54.5;10;46.0;2;-0.5;9.75

8a;Rohrer Ivan;*;;;;;;;;;56.0
-;;;Bernold Christian;*;;;;;;;9.0
+;3;9.0;Reichmuth Armin;*;15;54.25;4;8.75;1;-0.25;10.0
o;3;19.0;Laimbacher Philipp;***;2;58.5;2;19.75;-1;0.75;8.5
