2694-2015-08-09_108_Nordwestschweizerisches_Schwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;;;Stalder Remo;***;;;;;;;9.75
+;2;9.75;Henzer Andreas;**;8;56.0;1;10.0;-1;0.25;9.75
+;2;19.5;Räbmatter Patrick;**;5;57.0;4;18.75;2;-0.75;10.0
-;1;29.5;Bieri Christoph;***;3;57.75;3;28.75;2;-0.75;9.0
+;3;38.5;Schmid David;**;3;57.75;2;39.0;-1;0.5;10.0
+;2;48.5;Mahrer Jürg;**;9;55.75;6;47.25;4;-1.25;10.0

1b;Gisler Bruno;***;;;;;;;;;58.5
+;;;von Ah Benji;***;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;2;58.0;3;9.0;2;-1.0;8.5
+;5;18.5;Widmer Tobias;*;4;57.25;4;18.75;-1;0.25;10.0
+;4;28.5;Voggensperger Janic (1998);*;23;36.75;5;28.25;1;-0.25;10.0
+;3;38.5;Strebel Joel (1997);*;6;56.5;4;38.25;1;-0.25;10.0
+;2;48.5;Alpiger Nick;**;2;58.0;1;49.25;-1;0.75;10.0

2a;Bösch Daniel;***;;;;;;;;;58.0
-;;;Bieri Christoph;***;;;;;;;9.0
+;3;9.0;Gisler Bruno;***;1;58.5;1;10.0;-2;1.0;10.0
+;3;19.0;Erb Roger;**;10;55.5;5;18.5;2;-0.5;10.0
+;2;29.0;von Ah Benji;***;6;56.5;3;28.75;1;-0.25;10.0
-;2;39.0;Bächli Michael (1998);**;5;57.0;3;38.5;1;-0.5;9.0
+;3;48.0;Winiger Fabian;**;10;55.5;7;47.0;4;-1.0;10.0

2b;Alpiger Nick;**;;;;;;;;;58.0
+;;;Häni William;**;;;;;;;9.75
+;2;9.75;Kämpf Bernhard;***;5;57.0;3;9.0;1;-0.75;9.75
+;2;19.5;Studer Remo;;13;54.75;2;19.5;0;0.0;10.0
+;1;29.5;Schneider Mario;**;9;55.75;4;28.5;3;-1.0;9.75
+;1;39.25;Blatter Lorenz;*;5;57.0;3;38.5;2;-0.75;10.0
o;1;49.25;Gisler Bruno;***;1;58.5;2;48.5;1;-0.75;8.75

3a;Bieri Christoph;***;;;;;;;;;57.75
-;;;Bösch Daniel;***;;;;;;;8.75
+;4;8.75;Moser Steven;**;12;55.0;1;10.0;-3;1.25;10.0
+;4;18.75;Waldner Patrick;**;6;56.5;5;18.5;1;-0.25;10.0
-;3;28.75;Laimbacher Philipp;***;1;58.5;1;29.5;-2;0.75;9.0
+;6;37.75;Hauri Urs;**;6;56.5;5;38.0;-1;0.25;10.0
+;4;47.75;Kocher Remo;**;9;55.75;6;47.25;2;-0.5;10.0

3b;Schmid David;**;;;;;;;;;57.75
-;;;Kämpf Bernhard;***;;;;;;;9.0
+;3;9.0;Moser Matthias;*;25;34.75;4;8.75;1;-0.25;10.0
+;3;19.0;Wehrli Christian;;11;55.25;5;18.5;2;-0.5;10.0
+;2;29.0;Probst Gabriel;**;10;55.5;4;28.5;2;-0.5;10.0
o;2;39.0;Laimbacher Philipp;***;1;58.5;3;38.5;1;-0.5;8.75
+;4;47.75;Räber Lukas;;9;55.75;6;47.25;2;-0.5;10.0

4a;Stalder Remo;***;;;;;;;;;57.25
o;;;Laimbacher Philipp;***;;;;;;;8.5
-;5;8.5;Strebel Joel (1997);*;6;56.5;2;9.75;-3;1.25;9.0
+;7;17.5;Hasler Jimmy;*;14;54.5;5;18.5;-2;1.0;10.0
+;8;27.5;Lang Martin;**;11;55.25;5;28.25;-3;0.75;10.0
+;7;37.5;Räber Lukas;;9;55.75;3;38.5;-4;1.0;9.75
+;6;47.25;Klausner Yanick;**;10;55.5;7;47.0;1;-0.25;10.0

4b;Widmer Tobias;*;;;;;;;;;57.25
-;;;Klausner Yanick;**;;;;;;;8.75
+;4;8.75;Schneider Markus;*;13;54.75;2;9.75;-2;1.0;10.0
o;4;18.75;Gisler Bruno;***;1;58.5;5;18.5;1;-0.25;8.5
+;9;27.25;Widmer Cyrill (1998);;12;55.0;6;28.0;-3;0.75;10.0
+;8;37.25;Erb Roger;**;10;55.5;9;37.0;1;-0.25;10.0
+;6;47.25;Stoll Simon;;11;55.25;8;46.75;2;-0.5;10.0

5a;Räbmatter Patrick;**;;;;;;;;;57.0
-;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Waldner Patrick;**;6;56.5;1;10.0;-3;1.25;10.0
o;4;18.75;Laimbacher Philipp;***;1;58.5;2;19.5;-2;0.75;8.5
+;9;27.25;Dobler Florian;;15;54.25;9;27.25;0;0.0;10.0
+;8;37.25;Häni William;**;9;55.75;9;37.0;1;-0.25;10.0
+;6;47.25;Hasler Manuel;;10;55.5;7;47.0;1;-0.25;9.75

5b;Blatter Lorenz;*;;;;;;;;;57.0
+;;;Odermatt Christian;**;;;;;;;10.0
+;1;10.0;Kramer Franz;*;12;55.0;2;9.75;1;-0.25;9.75
-;1;19.75;Gnägi Florian;***;6;56.5;5;18.5;4;-1.25;8.75
+;4;28.5;Lehmann Robin (1999);;17;53.75;6;28.0;2;-0.5;10.0
o;3;38.5;Alpiger Nick;**;2;58.0;1;39.25;-2;0.75;8.5
+;7;47.0;Steinmann Yves;*;11;55.25;9;46.5;2;-0.5;10.0

5c;Bächli Michael (1998);**;;;;;;;;;57.0
o;;;Hauri Urs;**;;;;;;;8.5
+;5;8.5;Schär Simon;*;10;55.5;5;8.5;0;0.0;10.0
+;5;18.5;Brügger Cyrill (1998);;12;55.0;2;19.5;-3;1.0;10.0
+;4;28.5;Steinmann Yves;*;11;55.25;6;28.0;2;-0.5;10.0
-;3;38.5;Bösch Daniel;***;2;58.0;2;39.0;-1;0.5;8.75
+;6;47.25;Döbeli Andreas (1998);*;10;55.5;7;47.0;1;-0.25;9.75

5d;Kämpf Bernhard;***;;;;;;;;;57.0
-;;;Schmid David;**;;;;;;;9.0
o;3;9.0;Alpiger Nick;**;2;58.0;2;9.75;-1;0.75;8.5
+;7;17.5;Brand Christian;**;11;55.25;5;18.5;-2;1.0;9.75
+;9;27.25;Stoffel Marc;**;6;56.5;4;28.5;-5;1.25;10.0
+;8;37.25;Vieira Tiago;**;8;56.0;7;37.5;-1;0.25;9.75
+;7;47.0;Studinger Mathias;**;10;55.5;7;47.0;0;0.0;10.0

6a;Gnägi Florian;***;;;;;;;;;56.5
+;;;Mahrer Jürg;**;;;;;;;9.75
-;2;9.75;Studinger Stephan;**;7;56.25;1;10.0;-1;0.25;8.75
-;5;18.5;Blatter Lorenz;*;5;57.0;1;19.75;-4;1.25;9.0
+;8;27.5;Klausner Yanick;**;10;55.5;4;28.5;-4;1.0;10.0
+;7;37.5;Stüdeli Thomas;**;6;56.5;5;38.0;-2;0.5;10.0
-;5;47.5;Leuthard Reto;*;9;55.75;8;46.75;3;-0.75;9.0

6b;Waldner Patrick;**;;;;;;;;;56.5
+;;;Schumacher Michael;*;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;**;5;57.0;4;8.75;3;-1.25;8.5
o;5;18.5;Bieri Christoph;***;3;57.75;4;18.75;-1;0.25;8.5
+;10;27.0;Riesen Ruedi;;13;54.75;6;28.0;-4;1.0;9.75
+;10;36.75;Leuthard Mario;;16;54.0;10;36.75;0;0.0;10.0
+;8;46.75;Kramer Franz;*;12;55.0;9;46.5;1;-0.25;9.75

6c;Strebel Joel (1997);*;;;;;;;;;56.5
+;;;Schär Simon;*;;;;;;;9.75
-;2;9.75;Stalder Remo;***;4;57.25;5;8.5;3;-1.25;9.0
+;4;18.75;Kramer Franz;*;12;55.0;6;18.25;2;-0.5;9.75
+;4;28.5;Bearda Samuel;;15;54.25;4;28.5;0;0.0;9.75
o;4;38.25;Gisler Bruno;***;1;58.5;3;38.5;-1;0.25;8.5
