2777-2017-06-25_122_Nordostschweizer_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
-;;;Sempach Thomas;***;;;;;;;8.75
+;4;8.75;Odermatt Christoph;*;14;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Gmür Pirmin;*;11;55.75;4;19.0;-1;0.25;9.75
+;4;28.5;Rychen Roger;***;6;57.0;4;28.5;0;0.0;10.0
+;3;38.5;Bösch Daniel;***;2;58.25;1;40.0;-2;1.5;10.0
+;2;48.5;Orlik Armon;***;3;57.75;1;49.0;-1;0.5;10.0

2a;Bösch Daniel;***;;;;;;;;;58.25
+;;;Suppiger René;***;;;;;;;10.0
+;1;10.0;Fejzaj Naim;**;12;55.5;1;10.0;0;0.0;10.0
+;1;20.0;Burkhalter Stefan;***;6;57.0;2;19.75;1;-0.25;10.0
+;1;30.0;Hersche Martin;***;5;57.25;3;28.75;2;-1.25;10.0
o;1;40.0;Giger Samuel;***;1;58.5;3;38.5;2;-1.5;8.5
+;2;48.5;Bless Michael;***;7;56.75;3;48.25;1;-0.25;9.75

3a;Orlik Armon;***;;;;;;;;;57.75
+;;;Studinger Stephan;**;;;;;;;10.0
+;1;10.0;Zwyssig Raphael;***;7;56.75;1;10.0;0;0.0;10.0
-;1;20.0;Hersche Martin;***;5;57.25;2;19.75;1;-0.25;9.0
+;2;29.0;Krähenbühl Tobias;***;7;56.75;5;28.25;3;-0.75;10.0
+;2;39.0;Leuppi Samir;**;6;57.0;3;38.5;1;-0.5;10.0
o;1;49.0;Giger Samuel;***;1;58.5;2;48.5;1;-0.5;8.75

4a;Forrer Arnold;***;;;;;;;;;57.5
o;;;Mathis Marcel;***;;;;;;;8.75
+;4;8.75;Vestner Bruno;*;18;54.0;2;9.75;-2;1.0;10.0
-;5;18.75;Steiner Michael;**;6;57.0;3;19.5;-2;0.75;9.0
+;7;27.75;Schäppi Urs;*;13;55.25;5;28.25;-2;0.5;10.0
+;6;37.75;Suppiger René;***;12;55.5;5;38.0;-1;0.25;9.75
+;6;47.5;Ammann Rico;*;11;55.75;7;47.25;1;-0.25;10.0

4b;Nägeli Marco;*;;;;;;;;;57.5
+;;;Schmid Dominik;**;;;;;;;10.0
-;1;10.0;Notz Beni;***;7;56.75;2;9.75;1;-0.25;8.75
+;5;18.75;Lozza Roman;;13;55.25;2;19.75;-3;1.0;10.0
+;3;28.75;Klausner Yanick;**;8;56.5;5;28.25;2;-0.5;9.75
-;3;38.5;Sempach Thomas;***;8;56.5;7;37.5;4;-1.0;9.0
+;6;47.5;Pfister Florian;*;14;55.0;10;46.5;4;-1.0;10.0

5a;Hersche Martin;***;;;;;;;;;57.25
+;;;Orlik Curdin;**;;;;;;;9.75
+;2;9.75;Pfister Florian;*;14;55.0;2;9.75;0;0.0;10.0
-;2;19.75;Orlik Armon;***;3;57.75;1;20.0;-1;0.25;9.0
o;3;28.75;Bösch Daniel;***;2;58.25;1;30.0;-2;1.25;8.5
+;8;37.25;Jöhl Christian;*;13;55.25;10;36.75;2;-0.5;10.0
+;7;47.25;Gottofrey Marc;**;8;56.5;5;47.75;-2;0.5;10.0

5b;Cardinaux Victor;**;;;;;;;;;57.25
o;;;Burkhalter Stefan;***;;;;;;;8.5
-;5;8.5;Ammann Rico;*;11;55.75;2;9.75;-3;1.25;9.0
+;8;17.5;Schudel Simon;*;13;55.25;7;18.25;-1;0.75;10.0
+;8;27.5;Bickel Roman;*;16;54.5;9;27.25;1;-0.25;10.0
+;7;37.5;Schlegel Reto;*;16;54.5;7;37.5;0;0.0;9.75
+;7;47.25;Gmür Pirmin;*;11;55.75;7;47.25;0;0.0;10.0

6a;Anderegg Simon;***;;;;;;;;;57.0
-;;;Bless Michael;***;;;;;;;8.75
+;4;8.75;Schnurrenberger Roman;**;11;55.75;1;10.0;-3;1.25;9.75
+;6;18.5;Dörig Erich;*;15;54.75;5;18.75;-1;0.25;10.0
+;4;28.5;Schneider Domenic;***;7;56.75;5;28.25;1;-0.25;9.75
-;4;38.25;Burkhalter Stefan;***;6;57.0;4;38.25;0;0.0;8.75
+;8;47.0;Schäppi Urs;*;13;55.25;9;46.75;1;-0.25;10.0

6b;Steiner Michael;**;;;;;;;;;57.0
+;;;Kammermann Thomas;*;;;;;;;9.75
+;2;9.75;Rütsche Stefan;*;18;54.0;2;9.75;0;0.0;9.75
-;3;19.5;Forrer Arnold;***;4;57.5;5;18.75;2;-0.75;8.75
+;5;28.25;Lozza Roman;;13;55.25;5;28.25;0;0.0;10.0
o;4;38.25;Gottofrey Marc;**;8;56.5;5;38.0;1;-0.25;8.75
+;8;47.0;Elmer Daniel;*;14;55.0;11;46.25;3;-0.75;10.0

6c;Oertig Dominik;**;;;;;;;;;57.0
+;;;Korrodi Paul;*;;;;;;;10.0
+;1;10.0;Näf Pius;*;16;54.5;1;10.0;0;0.0;9.75
o;2;19.75;Bless Michael;***;7;56.75;5;18.75;3;-1.0;8.5
+;5;28.25;Schmid Patrick;*;11;55.75;3;28.75;-2;0.5;10.0
+;4;38.25;Schnurrenberger Roman;**;11;55.75;4;38.25;0;0.0;10.0
-;3;48.25;Zwyssig Raphael;***;7;56.75;4;48.0;1;-0.25;8.75

6d;Burkhalter Stefan;***;;;;;;;;;57.0
+;;;Cardinaux Victor;**;;;;;;;9.75
+;2;9.75;Koch Thomas;*;14;55.0;2;9.75;0;0.0;10.0
o;2;19.75;Bösch Daniel;***;2;58.25;1;20.0;-1;0.25;8.5
+;5;28.25;Fejzaj Naim;**;12;55.5;4;28.5;-1;0.25;10.0
-;4;38.25;Anderegg Simon;***;6;57.0;4;38.25;0;0.0;8.75
+;8;47.0;Breitenmoser Manuel;;15;54.75;11;46.25;3;-0.75;10.0

6e;Rychen Roger;***;;;;;;;;;57.0
o;;;Klausner Yanick;**;;;;;;;8.5
+;5;8.5;Wey Nicola;*;14;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Ott Dominik;*;11;55.75;5;18.75;-1;0.25;10.0
o;4;28.5;Giger Samuel;***;1;58.5;4;28.5;0;0.0;8.5
+;9;37.0;Straub Robin;*;14;55.0;10;36.75;1;-0.25;10.0
+;8;47.0;Wolfer Lukas;*;15;54.75;11;46.25;3;-0.75;10.0

6f;Leuppi Samir;**;;;;;;;;;57.0
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Schäppi Urs;*;13;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Ott Damian (2000);*;13;55.25;6;18.5;1;-0.25;9.75
+;4;28.5;Studinger Stephan;**;11;55.75;4;28.5;0;0.0;10.0
o;3;38.5;Orlik Armon;***;3;57.75;2;39.0;-1;0.5;8.5
+;8;47.0;Koch Thomas;*;14;55.0;10;46.5;2;-0.5;10.0

7a;Coray Beda;*;;;;;;;;;56.75
o;;;Schnurrenberger Roman;**;;;;;;;8.5
+;5;8.5;Notz Armin;*;21;53.25;4;8.75;-1;0.25;10.0
+;6;18.5;Hochholdinger Roman;**;12;55.5;6;18.5;0;0.0;9.75
+;5;28.25;Fuster Sepp;;11;55.75;4;28.5;-1;0.25;10.0
o;4;38.25;Mathis Marcel;***;10;56.0;9;37.0;5;-1.25;8.5
+;9;46.75;Ott Dominik;*;11;55.75;8;47.0;-1;0.25;10.0

7b;Bless Michael;***;;;;;;;;;56.75
-;;;Anderegg Simon;***;;;;;;;8.75
+;4;8.75;Vestner Roman;*;11;55.75;2;9.75;-2;1.0;10.0
+;5;18.75;Oertig Dominik;**;6;57.0;2;19.75;-3;1.0;9.75
+;4;28.5;Mathis Marcel;***;10;56.0;4;28.5;0;0.0;9.75
+;4;38.25;Wey Nicola;*;14;55.0;5;38.0;1;-0.25;10.0
o;3;48.25;Bösch Daniel;***;2;58.25;2;48.5;-1;0.25;8.5

7c;Geisser Lars;*;;;;;;;;;56.75
-;;;Battaglia Ursin;**;;;;;;;9.0
+;3;9.0;Giger Urs;*;17;54.25;4;8.75;1;-0.25;9.75
o;5;18.75;Gottofrey Marc;**;8;56.5;6;18.5;1;-0.25;8.5
+;9;27.25;Oertle Daniel;*;13;55.25;6;28.0;-3;0.75;9.75
+;9;37.0;Kammermann Thomas;*;17;54.25;8;37.25;-1;0.25;9.75
+;9;46.75;Fejzaj Naim;**;12;55.5;9;46.75;0;0.0;10.0

7d;Schneider Mario;**;;;;;;;;;56.75
+;;;Ackermann Remo;*;;;;;;;9.75
-;2;9.75;Sempach Thomas;***;8;56.5;4;8.75;2;-1.0;8.75
+;6;18.5;Breitenmoser Manuel;;15;54.75;4;19.0;-2;0.5;10.0
+;4;28.5;Kid Simon;**;11;55.75;4;28.5;0;0.0;9.75
o;4;38.25;Zwyssig Raphael;***;7;56.75;4;38.25;0;0.0;8.5
+;9;46.75;Wey Nicola;*;14;55.0;10;46.5;1;-0.25;10.0

7e;Notz Beni;***;;;;;;;;;56.75
+;;;Hochholdinger Roman;**;;;;;;;9.75
-;2;9.75;Nägeli Marco;*;4;57.5;1;10.0;-1;0.25;8.75
+;6;18.5;Schläpfer Matthias;*;17;54.25;5;18.75;-1;0.25;10.0
-;4;28.5;Kindlimann Fabian;***;9;56.25;3;28.75;-1;0.25;8.75
+;8;37.25;Schudel Simon;*;13;55.25;10;36.75;2;-0.5;9.75
+;8;47.0;Ott Damian (2000);*;13;55.25;9;46.75;1;-0.25;9.75

7f;Schneider Domenic;***;;;;;;;;;56.75
o;;;Zwyssig Raphael;***;;;;;;;8.5
+;5;8.5;Bäbler Dominik;*;24;36.0;2;9.75;-3;1.25;9.75
+;7;18.25;Vogel Beat;*;14;55.0;7;18.25;0;0.0;10.0
o;5;28.25;Anderegg Simon;***;6;57.0;4;28.5;-1;0.25;8.5
+;10;36.75;Kunz Daniel;;19;53.75;10;36.75;0;0.0;10.0
+;9;46.75;Lozza Roman;;13;55.25;9;46.75;0;0.0;10.0

7g;Zwyssig Raphael;***;;;;;;;;;56.75
+;;;Schneider Domenic;***;;;;;;;10.0
o;1;10.0;Orlik Armon;***;3;57.75;1;10.0;0;0.0;8.5
+;6;18.5;Ackermann Remo;*;14;55.0;6;18.5;0;0.0;9.75
+;5;28.25;Ammann Rico;*;11;55.75;3;28.75;-2;0.5;10.0
+;4;38.25;Schneider Mario;**;7;56.75;4;38.25;0;0.0;9.75
-;4;48.0;Oertig Dominik;**;6;57.0;3;48.25;-1;0.25;8.75

7h;Krähenbühl Tobias;***;;;;;;;;;56.75
o;;;Kid Simon;**;;;;;;;8.5
+;5;8.5;Jöhl Christian;*;13;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Kuster Thomas;*;22;53.0;5;18.75;-1;0.25;9.75
o;5;28.25;Orlik Armon;***;3;57.75;2;29.0;-3;0.75;8.5
+;10;36.75;Raymann David;*;19;53.75;10;36.75;0;0.0;10.0
+;9;46.75;Gwerder Andreas;**;12;55.5;8;47.0;-1;0.25;10.0

8a;Sempach Thomas;***;;;;;;;;;56.5
-;;;Giger Samuel;***;;;;;;;8.75
-;4;8.75;Schneider Mario;**;7;56.75;2;9.75;-2;1.0;8.75
+;8;17.5;Rüegg Fabian;*;18;54.0;6;18.5;-2;1.0;10.0
+;8;27.5;Arztmann Beda;*;19;53.75;5;28.25;-3;0.75;10.0
-;7;37.5;Nägeli Marco;*;4;57.5;3;38.5;-4;1.0;9.0
+;10;46.5;Bühler Ernst;**;11;55.75;7;47.25;-3;0.75;10.0

8b;Bernold Christian;**;;;;;;;;;56.5
-;;;Giger Urs;*;;;;;;;8.75
+;4;8.75;Landolt Reto;*;17;54.25;4;8.75;0;0.0;9.75
-;6;18.5;Näf Pius;*;16;54.5;6;18.5;0;0.0;9.0
+;8;27.5;Inauen Andreas;*;17;54.25;10;27.0;2;-0.5;10.0
+;7;37.5;Battaglia Ursin;**;11;55.75;8;37.25;1;-0.25;10.0
-;6;47.5;Mathis Marcel;***;10;56.0;8;47.0;2;-0.5;9.0

8c;Gottofrey Marc;**;;;;;;;;;56.5
o;;;Kindlimann Fabian;***;;;;;;;8.5
+;5;8.5;Oertle Daniel;*;13;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Geisser Lars;*;7;56.75;5;18.75;-1;0.25;9.75
+;5;28.25;Schlegel Sandro;**;9;56.25;4;28.5;-1;0.25;9.75
+;5;38.0;Steiner Michael;**;6;57.0;4;38.25;-1;0.25;9.75
o;5;47.75;Hersche Martin;***;5;57.25;7;47.25;2;-0.5;8.75

8d;Klausner Yanick;**;;;;;;;;;56.5
+;;;Rychen Roger;***;;;;;;;9.75
+;2;9.75;Good Marco;*;12;55.5;2;9.75;0;0.0;9.75
-;3;19.5;Kindlimann Fabian;***;9;56.25;1;20.0;-2;0.5;8.75
o;5;28.25;Nägeli Marco;*;4;57.5;3;28.75;-2;0.5;8.5
+;10;36.75;Koch Reto;;18;54.0;10;36.75;0;0.0;10.0
+;9;46.75;Dumelin David;*;12;55.5;8;47.0;-1;0.25;9.75

8e;Wickli Beat;**;;;;;;;;;56.5
o;;;Odermatt Christoph;*;;;;;;;8.5
+;5;8.5;Lehmann Philipp (1999);;17;54.25;1;10.0;-4;1.5;10.0
o;6;18.5;Schlegel Sandro;**;9;56.25;5;18.75;-1;0.25;8.5
+;10;27.0;Blaser Niklas;*;16;54.5;9;27.25;-1;0.25;10.0
+;9;37.0;Bühler Hannes;*;11;55.75;8;37.25;-1;0.25;9.75
+;9;46.75;Orlik Curdin;**;11;55.75;7;47.25;-2;0.5;9.75

9a;Kindlimann Fabian;***;;;;;;;;;56.25
+;;;Gottofrey Marc;**;;;;;;;10.0
+;1;10.0;Mathis Marcel;***;10;56.0;1;10.0;0;0.0;10.0
-;1;20.0;Klausner Yanick;**;8;56.5;3;19.5;2;-0.5;8.75
-;3;28.75;Notz Beni;***;7;56.75;4;28.5;1;-0.25;8.75
+;7;37.5;Koch Thomas;*;14;55.0;5;38.0;-2;0.5;10.0
-;6;47.5;Studinger Stephan;**;11;55.75;8;47.0;2;-0.5;8.75

9b;Schlegel Sandro;**;;;;;;;;;56.25
-;;;Gmür Pirmin;*;;;;;;;9.0
+;3;9.0;Bernold Michael (1999);*;17;54.25;2;9.75;-1;0.75;9.75
+;5;18.75;Wickli Beat;**;8;56.5;6;18.5;1;-0.25;9.75
o;4;28.5;Gottofrey Marc;**;8;56.5;5;28.25;1;-0.25;8.75
+;8;37.25;Baumann Rico;*;12;55.5;8;37.25;0;0.0;10.0
-;7;47.25;Schnurrenberger Roman;**;11;55.75;9;46.75;2;-0.5;9.0

10a;Oertig Adrian;**;;;;;;;;;56.0
-;;;Schläpfer Matthias;*;;;;;;;8.75
-;4;8.75;Schmid Dominik;**;17;54.25;5;8.5;1;-0.25;8.75
-;8;17.5;Fontana Michael;;21;53.25;6;18.5;-2;1.0;8.75
+;12;26.25;Fäh Tobias;;17;54.25;9;27.25;-3;1.0;10.0
+;12;36.25;Buchmann Michael;;18;54.0;10;36.75;-2;0.5;9.75
+;12;46.0;Zbinden Marc;*;17;54.25;13;45.75;1;-0.25;10.0

10b;Mathis Marcel;***;;;;;;;;;56.0
+;;;Forrer Arnold;***;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;9;56.25;1;10.0;0;0.0;8.5
+;6;18.5;Koller Martin;*;16;54.5;5;18.75;-1;0.25;10.0
o;4;28.5;Bless Michael;***;7;56.75;4;28.5;0;0.0;8.5
+;9;37.0;Coray Beda;*;7;56.75;4;38.25;-5;1.25;10.0
-;8;47.0;Bernold Christian;**;8;56.5;6;47.5;-2;0.5;9.0

11a;Schmid Patrick;*;;;;;;;;;55.75
