2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
+;;;Gapany Benjamin;**;;;;;;;10.0
+;1;10.0;Cropt Harald;**;10;55.75;1;10.0;0;0.0;10.0
+;1;20.0;Guisolan Marc;**;5;57.0;2;19.75;1;-0.25;9.75
+;1;29.75;Brodard Simon;**;4;57.25;3;28.75;2;-1.0;10.0
+;1;39.75;Häni William;**;6;56.75;5;38.25;4;-1.5;9.75
+;1;49.5;Guisolan Marc;**;5;57.0;2;48.25;1;-1.25;10.0

2a;Käser Remo;**;;;;;;;;;57.75
+;;;Matthey Mickaël;**;;;;;;;9.75
+;2;9.75;Dind Samuel;**;7;56.5;2;9.75;0;0.0;9.75
-;3;19.5;Piemontesi Pascal;**;11;55.5;5;18.75;2;-0.75;9.0
+;4;28.5;Pellet Michael;**;7;56.5;4;28.5;0;0.0;9.75
+;5;38.25;Gapany Benjamin;**;6;56.75;5;38.25;0;0.0;9.75
+;3;48.0;Brodard Augustin;**;9;56.0;5;47.5;2;-0.5;9.75

3a;Casarico Fabio;;;;;;;;;;57.5
+;;;Mosimann Vincent;*;;;;;;;10.0
+;1;10.0;Parvex François;**;12;55.25;4;8.75;3;-1.25;10.0
-;1;20.0;Duplan Steve (1997);;4;57.25;1;20.0;0;0.0;9.0
+;2;29.0;Riedo Fredy;;14;54.75;4;28.5;2;-0.5;10.0
o;2;39.0;von Büren Stephan;*;6;56.75;9;37.25;7;-1.75;8.5
+;5;47.5;Delabays Alexandre;;26;45.5;13;45.5;8;-2.0;10.0

4a;Brodard Simon;**;;;;;;;;;57.25
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;4;8.75;Boschung Michaël;;27;45.25;2;9.75;-2;1.0;10.0
+;5;18.75;Sonnay Thomas;**;36;28.0;3;19.5;-2;0.75;10.0
o;3;28.75;Sempach Matthias;***;1;59.5;1;29.75;-2;1.0;8.5
+;9;37.25;Chèvre Bernard;;16;54.25;9;37.25;0;0.0;10.0
+;6;47.25;Oppliger Adrian;;12;55.25;8;46.75;2;-0.5;10.0

4b;Duplan Steve (1997);;;;;;;;;;57.25
+;;;Hayoz Quentin;;;;;;;;10.0
+;1;10.0;Roch Vincent;*;13;55.0;5;8.5;4;-1.5;10.0
-;1;20.0;Casarico Fabio;;3;57.5;1;20.0;0;0.0;9.0
+;2;29.0;Brand Andreas;*;16;54.25;9;27.25;7;-1.75;9.75
o;3;38.75;Guisolan Marc;**;5;57.0;5;38.25;2;-0.5;8.5
+;6;47.25;Boschung Michaël;;27;45.25;14;45.25;8;-2.0;10.0

5a;Guisolan Marc;**;;;;;;;;;57.0
+;;;Kropf Thomas;*;;;;;;;10.0
+;1;10.0;Droxler Jonathan;*;12;55.25;4;8.75;3;-1.25;9.75
o;2;19.75;Sempach Matthias;***;1;59.5;1;20.0;-1;0.25;8.5
+;5;28.25;Boschung Markus;;15;54.5;4;28.5;-1;0.25;10.0
+;5;38.25;Duplan Steve (1997);;4;57.25;3;38.75;-2;0.5;10.0
o;2;48.25;Sempach Matthias;***;1;59.5;1;49.5;-1;1.25;8.75

5b;Gottofrey Marc;*;;;;;;;;;57.0
-;;;Borcard Johann;*;;;;;;;8.75
+;4;8.75;Loup Alexandre (1997);;26;45.5;2;9.75;-2;1.0;10.0
-;5;18.75;Liaudat Rudy;*;12;55.25;5;18.75;0;0.0;8.75
+;8;27.5;Ducry Antoine;;11;55.5;4;28.5;-4;1.0;9.75
+;9;37.25;Emonet Frédéric;*;23;46.75;11;36.75;2;-0.5;10.0
+;6;47.25;Hayoz Paul (1998);;12;55.25;8;46.75;2;-0.5;9.75

5c;Moser Steven;**;;;;;;;;;57.0
o;;;von Büren Stephan;*;;;;;;;8.5
+;5;8.5;Cressier Gaetan;;30;35.5;2;9.75;-3;1.25;9.75
-;7;18.25;Kramer Lario (1998);;8;56.25;6;18.5;-1;0.25;9.0
+;9;27.25;Pasche Bernard;**;13;55.0;6;28.0;-3;0.75;9.75
+;10;37.0;Parvex François;**;12;55.25;10;37.0;0;0.0;10.0
+;7;47.0;Heiniger Vincent;*;11;55.5;7;47.0;0;0.0;10.0

6a;Gapany Benjamin;**;;;;;;;;;56.75
o;;;Sempach Matthias;***;;;;;;;8.5
+;5;8.5;Wicky Jonathan;;27;45.25;2;9.75;-3;1.25;9.75
+;7;18.25;Aladenise Jonathan;;30;35.5;7;18.25;0;0.0;10.0
+;5;28.25;Kropf Thomas;*;6;56.75;4;28.5;-1;0.25;10.0
o;5;38.25;Käser Remo;**;2;57.75;5;38.25;0;0.0;8.5
+;8;46.75;Schwander Severin;;12;55.25;8;46.75;0;0.0;10.0

6b;Overney Olivier;*;;;;;;;;;56.75
+;;;Heiniger Vincent;*;;;;;;;9.75
-;2;9.75;Studer Stefan;**;7;56.5;4;8.75;2;-1.0;8.75
