2818-2015-07-12_Fete_romande-ST

1a;Fankhauser Erich;***;;;;;;;;;58.75
+;;;Guisolan Marc;**;;;;;;;10.0
+;1;10.0;Kropf Rolf;**;6;56.75;2;9.75;1;-0.25;10.0
+;1;20.0;Alpiger Nick;**;6;56.75;1;20.0;0;0.0;10.0
-;1;30.0;Glarner Matthias;***;5;57.0;4;28.75;3;-1.25;8.75
+;2;38.75;Glauser Thomas;**;6;56.75;4;38.25;2;-0.5;10.0
+;2;48.75;Mathis Marcel;***;2;58.0;1;49.25;-1;0.5;10.0

2a;Piemontesi Pascal;**;;;;;;;;;58.0
o;;;Mathis Marcel;***;;;;;;;8.5
+;5;8.5;Loup Alexandre (1997);;15;54.5;1;10.0;-4;1.5;10.0
+;5;18.5;Emonet Frédéric;*;12;55.25;6;18.25;1;-0.25;10.0
+;5;28.5;Süess Gerry;***;11;55.5;9;27.5;4;-1.0;9.75
+;4;38.25;Hayoz Quentin;;12;55.25;4;38.25;0;0.0;9.75
+;4;48.0;Gassmann Simon;;11;55.5;8;47.0;4;-1.0;10.0

2b;Mathis Marcel;***;;;;;;;;;58.0
+;;;Piemontesi Pascal;**;;;;;;;10.0
+;1;10.0;Süess Gerry;***;11;55.5;1;10.0;0;0.0;10.0
+;1;20.0;Borcard Johann;*;5;57.0;2;19.75;1;-0.25;9.75
+;2;29.75;Erb Roger;**;3;57.5;3;29.5;1;-0.25;9.75
+;1;39.5;Kropf Rolf;**;6;56.75;4;38.25;3;-1.25;9.75
o;1;49.25;Fankhauser Erich;***;1;58.75;2;48.75;1;-0.5;8.75

3a;Erb Roger;**;;;;;;;;;57.5
+;;;Dind Samuel;**;;;;;;;9.75
+;2;9.75;Brodard Augustin;**;14;54.75;1;10.0;-1;0.25;10.0
+;2;19.75;Siegenthaler Matthias;***;6;56.75;2;19.75;0;0.0;9.75
o;3;29.5;Mathis Marcel;***;2;58.0;2;29.75;-1;0.25;8.5
+;5;38.0;Guisolan Marc;**;6;56.75;4;38.25;-1;0.25;9.75
+;5;47.75;Duplan Steve (1997);*;6;56.75;4;48.0;-1;0.25;9.75

4a;Kindlimann Fabian;***;;;;;;;;;57.25
+;;;Brodard Simon;**;;;;;;;10.0
-;1;10.0;Glarner Matthias;***;5;57.0;1;10.0;0;0.0;8.75
+;4;18.75;Remy Guillaume;**;9;56.0;3;19.0;-1;0.25;10.0
+;4;28.75;Liaudat Rudy;*;6;56.75;2;29.75;-2;1.0;9.75
-;3;38.5;Siegenthaler Matthias;***;6;56.75;4;38.25;1;-0.25;8.75
+;7;47.25;Pouye Diey;;7;56.5;4;48.0;-3;0.75;10.0

4b;Gottofrey Marc;*;;;;;;;;;57.25
+;;;Glauser Thomas;**;;;;;;;10.0
o;1;10.0;Alpiger Nick;**;6;56.75;1;10.0;0;0.0;8.5
+;5;18.5;Buchs Carlo;;11;55.5;1;20.0;-4;1.5;10.0
-;5;28.5;Gapany Benjamin;**;5;57.0;5;28.5;0;0.0;9.0
+;6;37.5;Minder Florian;;7;56.5;5;38.0;-1;0.5;9.75
+;7;47.25;Kramer Dorian (1999);;12;55.25;9;46.75;2;-0.5;10.0

5a;Gapany Benjamin;**;;;;;;;;;57.0
o;;;Glarner Matthias;***;;;;;;;8.5
+;5;8.5;Gassmann Simon;;11;55.5;2;9.75;-3;1.25;10.0
+;5;18.5;Giroud Jonathan;**;11;55.5;5;18.5;0;0.0;10.0
-;5;28.5;Gottofrey Marc;*;4;57.25;5;28.5;0;0.0;9.0
+;6;37.5;Cardinaux Victor;*;11;55.5;8;37.0;2;-0.5;9.75
+;7;47.25;Gottofrey Luc (1997);;10;55.75;7;47.25;0;0.0;9.75

5b;Borcard Johann;*;;;;;;;;;57.0
+;;;Cardinaux Victor;*;;;;;;;9.75
+;2;9.75;Schöpfer Dio (1997);;12;55.25;1;10.0;-1;0.25;10.0
o;2;19.75;Mathis Marcel;***;2;58.0;1;20.0;-1;0.25;8.5
+;6;28.25;Derron Julien (1997);;13;55.0;6;28.25;0;0.0;9.75
-;5;38.0;Berset Julien;*;7;56.5;6;37.5;1;-0.5;9.0
+;8;47.0;Vonlanthen Alexandre;;12;55.25;9;46.75;1;-0.25;10.0

5c;Glarner Matthias;***;;;;;;;;;57.0
+;;;Gapany Benjamin;**;;;;;;;10.0
-;1;10.0;Kindlimann Fabian;***;4;57.25;1;10.0;0;0.0;8.75
+;4;18.75;Haenni Stéphane;**;7;56.5;3;19.0;-1;0.25;10.0
-;4;28.75;Fankhauser Erich;***;1;58.75;1;30.0;-3;1.25;8.75
+;6;37.5;Dind Samuel;**;13;55.0;5;38.0;-1;0.5;9.75
+;7;47.25;Liaudat Rudy;*;6;56.75;3;48.25;-4;1.0;9.75

5d;Matthey Mickaël;**;;;;;;;;;57.0
o;;;Süess Gerry;***;;;;;;;8.5
o;5;8.5;Liaudat Rudy;*;6;56.75;2;9.75;-3;1.25;8.5
+;9;17.0;Riedo Fredy;;10;55.75;3;19.0;-6;2.0;10.0
+;11;27.0;Aladenise Jonathan;;19;53.5;7;28.0;-4;1.0;10.0
+;8;37.0;Brodard Simon;**;11;55.5;8;37.0;0;0.0;10.0
+;8;47.0;Hayoz Paul (1998);;11;55.5;8;47.0;0;0.0;10.0

6a;Liaudat Rudy;*;;;;;;;;;56.75
+;;;Casarico Fabio;*;;;;;;;9.75
+;2;9.75;Matthey Mickaël;**;5;57.0;5;8.5;3;-1.25;10.0
+;2;19.75;Colò Kilian (1999);;16;54.25;4;18.75;2;-1.0;10.0
o;2;29.75;Kindlimann Fabian;***;4;57.25;4;28.75;2;-1.0;8.5
+;4;38.25;Hayoz Paul (1998);;11;55.5;4;38.25;0;0.0;10.0
o;3;48.25;Glarner Matthias;***;5;57.0;7;47.25;4;-1.0;8.5

6b;Guisolan Marc;**;;;;;;;;;56.75
o;;;Fankhauser Erich;***;;;;;;;8.5
+;5;8.5;Pellet Adrian (1997);;17;54.0;1;10.0;-4;1.5;10.0
+;5;18.5;Cardinaux Victor;*;11;55.5;5;18.5;0;0.0;9.75
+;6;28.25;Schöpfer Dio (1997);;12;55.25;6;28.25;0;0.0;10.0
o;4;38.25;Erb Roger;**;3;57.5;5;38.0;1;-0.25;8.5
+;9;46.75;Ducry Antoine;;12;55.25;9;46.75;0;0.0;10.0

6c;Casarico Fabio;*;;;;;;;;;56.75
o;;;Liaudat Rudy;*;;;;;;;8.5
+;5;8.5;Skryapnik Oleg;*;12;55.25;5;8.5;0;0.0;9.75
+;6;18.25;Burgy Matt (1999);;18;53.75;2;19.75;-4;1.5;10.0
o;6;28.25;Siegenthaler Matthias;***;6;56.75;6;28.25;0;0.0;8.5
+;9;36.75;Colò Kilian (1999);;16;54.25;7;37.25;-2;0.5;10.0
+;9;46.75;Rappo Yann (1998);;12;55.25;9;46.75;0;0.0;10.0

6d;Siegenthaler Matthias;***;;;;;;;;;56.75
+;;;Pellet Michael;**;;;;;;;9.75
+;2;9.75;Roch Vincent;*;7;56.5;1;10.0;-1;0.25;10.0
o;2;19.75;Erb Roger;**;3;57.5;2;19.75;0;0.0;8.5
+;6;28.25;Casarico Fabio;*;6;56.75;6;28.25;0;0.0;10.0
-;4;38.25;Kindlimann Fabian;***;4;57.25;3;38.5;-1;0.25;8.75
+;8;47.0;Remy Guillaume;**;9;56.0;6;47.5;-2;0.5;9.75

6e;Glauser Thomas;**;;;;;;;;;56.75
o;;;Gottofrey Marc;*;;;;;;;8.5
+;5;8.5;Vonlanthen Alexandre;;12;55.25;1;10.0;-4;1.5;10.0
+;5;18.5;Schafer Claudio;*;16;54.25;5;18.5;0;0.0;9.75
+;6;28.25;Alpiger Nick;**;6;56.75;5;28.5;-1;0.25;10.0
o;4;38.25;Fankhauser Erich;***;1;58.75;2;38.75;-2;0.5;8.5
+;9;46.75;Buchs Carlo;;11;55.5;8;47.0;-1;0.25;10.0

6f;Duplan Steve (1997);*;;;;;;;;;56.75
o;;;Alpiger Nick;**;;;;;;;8.5
+;5;8.5;Ducry Antoine;;12;55.25;1;10.0;-4;1.5;9.75
+;6;18.25;Emonet Fabien;;11;55.5;5;18.5;-1;0.25;10.0
+;6;28.25;Roch Vincent;*;7;56.5;6;28.25;0;0.0;9.75
+;5;38.0;Pellet Michael;**;7;56.5;5;38.0;0;0.0;10.0
o;4;48.0;Erb Roger;**;3;57.5;5;47.75;1;-0.25;8.75

6g;Kropf Rolf;**;;;;;;;;;56.75
+;;;Giroud Jonathan;**;;;;;;;9.75
o;2;9.75;Fankhauser Erich;***;1;58.75;1;10.0;-1;0.25;8.5
+;6;18.25;Portmann Fabio (1998);;20;53.25;4;18.75;-2;0.5;10.0
+;6;28.25;Buchs Carlo;;11;55.5;5;28.5;-1;0.25;10.0
o;4;38.25;Mathis Marcel;***;2;58.0;1;39.5;-3;1.25;8.5
+;9;46.75;Schafer Damien;;12;55.25;9;46.75;0;0.0;10.0

6h;Alpiger Nick;**;;;;;;;;;56.75
+;;;Duplan Steve (1997);*;;;;;;;10.0
+;1;10.0;Gottofrey Marc;*;4;57.25;1;10.0;0;0.0;10.0
o;1;20.0;Fankhauser Erich;***;1;58.75;1;20.0;0;0.0;8.5
o;5;28.5;Glauser Thomas;**;6;56.75;6;28.25;1;-0.25;8.5
+;8;37.0;Skryapnik Oleg;*;12;55.25;9;36.75;1;-0.25;9.75
+;9;46.75;Droxler Jonathan;*;13;55.0;10;46.5;1;-0.25;10.0

7a;Pouye Diey;;;;;;;;;;56.5
o;;;Dufey Gil (1997);;;;;;;;8.5
+;5;8.5;Jacquier Pascal;;16;54.25;4;8.75;-1;0.25;9.75
+;6;18.25;Lerch Jimmy;*;17;54.0;7;17.5;1;-0.75;10.0
+;6;28.25;Schafer Claudio;*;16;54.25;11;27.0;5;-1.25;9.75
+;5;38.0;Barras André;;13;55.0;5;38.0;0;0.0;10.0
o;4;48.0;Kindlimann Fabian;***;4;57.25;7;47.25;3;-0.75;8.5

7b;Pellet Michael;**;;;;;;;;;56.5
o;;;Siegenthaler Matthias;***;;;;;;;8.5
+;5;8.5;Heiniger Vincent;*;12;55.25;2;9.75;-3;1.25;9.75
+;6;18.25;Von Niederhäusern Martin;;9;56.0;1;20.0;-5;1.75;9.75
+;7;28.0;Egger Pierre (1999);;14;54.75;7;28.0;0;0.0;10.0
o;5;38.0;Duplan Steve (1997);*;6;56.75;5;38.0;0;0.0;8.5
+;10;46.5;Hayoz Quentin;;12;55.25;9;46.75;-1;0.25;10.0

7c;Haenni Stéphane;**;;;;;;;;;56.5
-;;;Remy Guillaume;**;;;;;;;9.0
+;3;9.0;Egger Pierre (1999);;14;54.75;2;9.75;-1;0.75;10.0
o;3;19.0;Glarner Matthias;***;5;57.0;4;18.75;1;-0.25;8.5
+;9;27.5;Parvex Yannick;;12;55.25;6;28.25;-3;0.75;10.0
-;6;37.5;Brodard Augustin;**;14;54.75;6;37.5;0;0.0;9.0
+;10;46.5;Barras André;;13;55.0;10;46.5;0;0.0;10.0

7d;Berset Julien;*;;;;;;;;;56.5
-;;;Mosimann Vincent;*;;;;;;;8.75
+;4;8.75;Pürro Tobias (1997);;14;54.75;2;9.75;-2;1.0;10.0
-;4;18.75;Süess Gerry;***;11;55.5;5;18.5;1;-0.25;9.0
+;8;27.75;Burgy Matt (1999);;18;53.75;6;28.25;-2;0.5;9.75
