2907-2018-06-10_Stoos-Schwinget-ST

1a;Kramer Lario;**;;;;;;;;;58.0
+;;;Odermatt Christian;**;;;;;;;9.75
+;2;9.75;Schuler Alex;***;21;35.5;5;8.5;3;-1.25;9.75
+;3;19.5;Müllestein Mike;***;6;56.25;5;18.75;2;-0.75;9.75
o;1;29.25;Nötzli Reto;***;6;56.25;4;28.5;3;-0.75;8.75
+;4;38.0;Reichmuth Marco;**;11;55.0;6;37.5;2;-0.5;10.0
+;2;48.0;Bieri Marcel;**;2;57.25;1;48.5;-1;0.5;10.0

2a;Bieri Marcel;**;;;;;;;;;57.25
-;;;Anderegg Simon;***;;;;;;;8.75
+;4;8.75;Fässler Dominic;**;15;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Doppmann Urs;*;11;55.0;1;20.0;-4;1.25;9.75
+;4;28.5;Heinzer Ronny;*;14;54.25;4;28.5;0;0.0;10.0
+;2;38.5;Schurtenberger Sven;***;5;56.5;4;38.0;2;-0.5;10.0
o;1;48.5;Kramer Lario;**;1;58.0;2;48.0;1;-0.5;8.75

2b;Sempach Thomas;***;;;;;;;;;57.25
-;;;Schuler Christian;***;;;;;;;8.75
+;4;8.75;Langenstein Philip;**;17;53.0;2;9.75;-2;1.0;10.0
-;5;18.75;Ulrich Andreas;***;5;56.5;2;19.75;-3;1.0;9.0
+;7;27.75;Reichmuth Marco;**;11;55.0;3;28.75;-4;1.0;9.75
+;6;37.5;Waser Dominik;**;12;54.75;5;37.75;-1;0.25;10.0
+;4;47.5;Müllestein Mike;***;6;56.25;4;47.5;0;0.0;9.75

3a;Gapany Benjamin;**;;;;;;;;;57.0
o;;;Ulrich Andreas;***;;;;;;;8.5
+;5;8.5;Rohrer Beat;*;17;53.0;4;8.75;-1;0.25;10.0
+;6;18.5;Waser Dominik;**;12;54.75;3;19.5;-3;1.0;10.0
+;4;28.5;Höfliger Andreas;**;15;54.0;5;28.25;1;-0.25;10.0
o;2;38.5;Müllestein Mike;***;6;56.25;6;37.5;4;-1.0;8.5
+;6;47.0;Gwerder Christian;**;9;55.5;6;47.0;0;0.0;10.0

3b;Anderegg Simon;***;;;;;;;;;57.0
-;;;Bieri Marcel;**;;;;;;;8.75
+;4;8.75;Egli Damian;**;15;54.0;2;9.75;-2;1.0;10.0
+;5;18.75;Nötzli Reto;***;6;56.25;1;20.0;-4;1.25;9.75
-;4;28.5;Schuler Christian;***;6;56.25;3;28.75;-1;0.25;8.75
+;7;37.25;Steinauer Adrian;**;15;54.0;8;37.0;1;-0.25;10.0
+;5;47.25;Suppiger Werner;**;10;55.25;7;46.75;2;-0.5;9.75

4a;Fankhauser Erich;***;;;;;;;;;56.75
-;;;Käser Remo;***;;;;;;;8.75
+;4;8.75;Siegenthaler Tobias;*;18;52.75;1;10.0;-3;1.25;10.0
-;5;18.75;Staudenmann Fabian (2000);**;8;55.75;1;20.0;-4;1.25;9.0
-;7;27.75;Wittwer Jan;*;14;54.25;7;27.75;0;0.0;9.0
+;9;36.75;Roch Vincent;**;13;54.5;7;37.25;-2;0.5;10.0
+;7;46.75;Roschi Ruedi;**;10;55.25;7;46.75;0;0.0;10.0

4b;Arnold Stefan;**;;;;;;;;;56.75
+;;;Gottofrey Marc;**;;;;;;;9.75
+;2;9.75;Gwerder Michael (2000);*;10;55.25;2;9.75;0;0.0;10.0
-;2;19.75;Käser Remo;***;19;36.75;5;18.75;3;-1.0;9.0
+;3;28.75;Gobeli Patrick;*;9;55.5;5;28.25;2;-0.5;10.0
-;1;38.75;Nötzli Reto;***;6;56.25;2;38.5;1;-0.25;9.0
-;3;47.75;Ulrich Andreas;***;5;56.5;4;47.5;1;-0.25;9.0

4c;Orlik Curdin;**;;;;;;;;;56.75
o;;;Müllestein Mike;***;;;;;;;8.5
-;5;8.5;Arnold Raphael;*;10;55.25;1;10.0;-4;1.5;8.75
