2950-2016-08-14_17_Schwaegalp-Schwinget-ST

1a;Giger Samuel (1998);**;;;;;;;;;58.0
o;;;Stalder Remo;***;;;;;;;8.75
+;4;8.75;Odermatt Christian;**;22;35.25;5;8.5;1;-0.25;9.75
+;6;18.5;Baumann Rico;*;18;53.0;6;18.5;0;0.0;9.75
+;7;28.25;Bernold Edi;**;17;53.75;8;28.0;1;-0.25;10.0
+;3;38.25;Fankhauser Erich;***;7;56.25;5;37.75;2;-0.5;10.0
+;3;48.25;Schurtenberger Sven;**;9;55.75;6;47.25;3;-1.0;9.75

1b;Orlik Armon;**;;;;;;;;;58.0
+;;;Laimbacher Philipp;***;;;;;;;10.0
+;1;10.0;Müllestein Mike;**;6;56.5;1;10.0;0;0.0;9.75
o;2;19.75;Mathis Marcel;***;2;57.5;1;20.0;-1;0.25;8.5
+;7;28.25;Fässler Andreas;**;9;55.75;5;28.75;-2;0.5;10.0
+;3;38.25;Stalder Remo;***;10;55.5;3;38.25;0;0.0;10.0
+;3;48.25;Steinauer Adrian;**;7;56.25;5;47.5;2;-0.75;9.75

2a;Bless Michael;***;;;;;;;;;57.5
-;;;Fankhauser Erich;***;;;;;;;9.0
+;3;9.0;Knechtle Martin;**;16;54.0;1;10.0;-2;1.0;10.0
+;4;19.0;Gasser Stefan;**;10;55.5;2;19.75;-2;0.75;10.0
-;4;29.0;Mathis Marcel;***;2;57.5;1;30.0;-3;1.0;9.0
+;4;38.0;Bieri Marcel;**;10;55.5;4;38.0;0;0.0;9.75
+;4;47.75;Schmid David;**;10;55.5;7;47.0;3;-0.75;9.75

2b;Mathis Marcel;***;;;;;;;;;57.5
+;;;Forrer Arnold;***;;;;;;;10.0
+;1;10.0;Schnurrenberger Roman;**;17;53.75;1;10.0;0;0.0;10.0
+;1;20.0;Orlik Armon;**;1;58.0;2;19.75;1;-0.25;10.0
-;1;30.0;Bless Michael;***;2;57.5;4;29.0;3;-1.0;9.0
+;2;39.0;Kuster Marcel;**;6;56.5;4;38.0;2;-1.0;9.75
-;1;48.75;Bösch Daniel;***;3;57.25;2;48.5;1;-0.25;8.75

3a;Reichmuth Pirmin;**;;;;;;;;;57.25
+;;;Glaus Martin;***;;;;;;;10.0
+;1;10.0;Rychen Roger;**;5;56.75;2;9.75;1;-0.25;10.0
+;1;20.0;Hochholdinger Roman;**;11;55.25;2;19.75;1;-0.25;9.75
o;2;29.75;Bösch Daniel;***;3;57.25;1;30.0;-1;0.25;8.5
-;3;38.25;Schmid David;**;10;55.5;3;38.25;0;0.0;9.0
+;6;47.25;Fejzaj Naim;**;13;54.75;10;46.25;4;-1.0;10.0

3b;Bösch Daniel;***;;;;;;;;;57.25
+;;;Gisler Bruno;***;;;;;;;10.0
+;1;10.0;Stalder Remo;***;10;55.5;1;10.0;0;0.0;10.0
+;1;20.0;Wicki Joel;**;28;28.25;2;19.75;1;-0.25;10.0
+;1;30.0;Reichmuth Pirmin;**;3;57.25;2;29.75;1;-0.25;9.75
-;1;39.75;Laimbacher Philipp;***;4;57.0;3;38.25;2;-1.5;8.75
-;2;48.5;Mathis Marcel;***;2;57.5;1;48.75;-1;0.25;8.75

4a;Laimbacher Philipp;***;;;;;;;;;57.0
o;;;Orlik Armon;**;;;;;;;8.5
+;5;8.5;Gwerder Andreas;**;16;54.0;2;9.75;-3;1.25;10.0
+;6;18.5;Schneider Mario;**;11;55.25;7;18.25;1;-0.25;10.0
+;6;28.5;Krähenbühl Tobias;**;10;55.5;7;28.25;1;-0.25;9.75
-;3;38.25;Bösch Daniel;***;3;57.25;1;39.75;-2;1.5;8.75
+;7;47.0;Klausner Yanick;**;11;55.25;9;46.5;2;-0.5;10.0

5a;Gisler Bruno;***;;;;;;;;;56.75
o;;;Bösch Daniel;***;;;;;;;8.5
o;5;8.5;Hochholdinger Roman;**;11;55.25;2;9.75;-3;1.25;8.5
+;10;17.0;Näf Pius;*;21;35.5;6;18.5;-4;1.5;10.0
+;12;27.0;Good Marco;*;13;54.75;10;27.5;-2;0.5;9.75
+;9;36.75;Knechtle Martin;**;16;54.0;9;36.75;0;0.0;10.0
+;8;46.75;Burkhalter Stefan;***;13;54.75;10;46.25;2;-0.5;10.0

5b;Schneider Domenic;**;;;;;;;;;56.75
+;;;Hasler Florian;**;;;;;;;10.0
o;1;10.0;Bieri Marcel;**;10;55.5;2;9.75;1;-0.25;8.75
+;5;18.75;Müllestein Mike;**;6;56.5;5;18.75;0;0.0;9.75
o;6;28.5;Steinauer Adrian;**;7;56.25;10;27.5;4;-1.0;8.75
+;7;37.25;Schnurrenberger Roman;**;17;53.75;9;36.75;2;-0.5;9.75
+;7;47.0;Gasser Stefan;**;10;55.5;8;46.75;1;-0.25;9.75

5c;Rychen Roger;**;;;;;;;;;56.75
+;;;Blatter Lorenz;**;;;;;;;9.75
o;2;9.75;Reichmuth Pirmin;**;3;57.25;1;10.0;-1;0.25;8.75
+;6;18.5;Bader Andreas;**;18;53.0;6;18.5;0;0.0;10.0
o;6;28.5;Stalder Remo;***;10;55.5;6;28.5;0;0.0;8.5
+;8;37.0;Vestner Roman;*;16;54.0;8;37.0;0;0.0;10.0
+;7;47.0;Murer Andy;*;10;55.5;7;47.0;0;0.0;9.75

5d;Alpiger Nick;**;;;;;;;;;56.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Gmür Pirmin;*;16;54.0;2;9.75;-2;1.0;10.0
-;5;18.75;Fässler Andreas;**;9;55.75;1;20.0;-4;1.25;8.75
+;10;27.5;Oertig Dominik;**;16;54.0;11;27.25;1;-0.25;9.75
+;7;37.25;Clopath Beat;***;10;55.5;8;37.0;1;-0.25;9.75
+;7;47.0;Good Marco;*;13;54.75;11;46.0;4;-1.0;9.75

6a;Kuster Marcel;**;;;;;;;;;56.5
+;;;Klausner Yanick;**;;;;;;;9.75
o;2;9.75;Wicki Joel;**;28;28.25;2;9.75;0;0.0;8.5
+;7;18.25;Schnurrenberger Roman;**;17;53.75;6;18.5;-1;0.25;9.75
+;8;28.0;Güntensperger Marcel;*;15;54.25;11;27.25;3;-0.75;10.0
o;4;38.0;Mathis Marcel;***;2;57.5;2;39.0;-2;1.0;8.5
+;9;46.5;Studinger Stephan;**;12;55.0;9;46.5;0;0.0;10.0

6b;Müllestein Mike;**;;;;;;;;;56.5
+;;;Notz Beni;***;;;;;;;10.0
o;1;10.0;Orlik Armon;**;1;58.0;1;10.0;0;0.0;8.75
o;5;18.75;Schneider Domenic;**;5;56.75;5;18.75;0;0.0;8.75
+;10;27.5;Koch Thomas;*;20;36.0;10;27.5;0;0.0;10.0
+;6;37.5;Schläpfer Markus;**;10;55.5;7;37.25;1;-0.25;10.0
-;5;47.5;Forrer Arnold;***;7;56.25;6;47.25;1;-0.25;9.0

7a;Steinauer Adrian;**;;;;;;;;;56.25
o;;;Hochholdinger Roman;**;;;;;;;8.75
+;4;8.75;Schläpfer Matthias;*;19;52.75;1;10.0;-3;1.25;10.0
-;5;18.75;Notz Beni;***;10;55.5;6;18.5;1;-0.25;8.75
+;10;27.5;Schneider Domenic;**;5;56.75;6;28.5;-4;1.0;10.0
