2964-2015-05-10_111_Ob-_und_Nidwaldener_Kantonalschwingfest-ST

1a;Bernhard Lukas;*;;;;;;;;;57.5
+;;;Habegger Jürg;*;;;;;;;10.0
o;1;10.0;Müller Bruno;***;3;57.0;4;8.75;3;-1.25;8.75
+;5;18.75;Wallimann Remo (1997);;11;55.0;3;19.5;-2;0.75;9.75
+;3;28.5;von Deschwanden Patrick;;14;54.25;3;28.5;0;0.0;10.0
-;2;38.5;Bieri Christoph;***;5;56.5;6;37.5;4;-1.0;9.0
+;6;47.5;Herger Matthias;*;2;57.25;2;48.5;-4;1.0;10.0

1b;Imhof Andi;***;;;;;;;;;57.5
-;;;Mathis Marcel;***;;;;;;;8.75
+;4;8.75;Brun Jonas;**;7;56.0;1;10.0;-3;1.25;10.0
+;5;18.75;Spichtig Markus;*;10;55.25;2;19.75;-3;1.0;10.0
+;2;28.75;Töngi Thomas;*;3;57.0;1;30.0;-1;1.25;10.0
+;1;38.75;Hess Dominik;;3;57.0;1;38.75;0;0.0;10.0
-;1;48.75;Britschgi Melk;**;1;57.5;1;48.75;0;0.0;8.75

1c;Gasser Stefan;**;;;;;;;;;57.5
-;;;Müller Bruno;***;;;;;;;8.75
+;4;8.75;Arnold Andreas;*;11;55.0;3;9.0;-1;0.25;10.0
+;5;18.75;Müller Mathias;;10;55.25;1;20.0;-4;1.25;10.0
+;2;28.75;Odermatt Beat;;15;54.0;4;28.25;2;-0.5;10.0
-;1;38.75;Kempf Elias;**;3;57.0;3;38.25;2;-0.5;8.75
+;6;47.5;Lussi Marco;*;4;56.75;3;48.25;-3;0.75;10.0

1d;Britschgi Melk;**;;;;;;;;;57.5
+;;;Müller Alain;***;;;;;;;10.0
+;1;10.0;Portmann Josef;*;9;55.5;2;9.75;1;-0.25;10.0
-;1;20.0;Höfliger Andreas;*;8;55.75;2;19.75;1;-0.25;8.75
+;2;28.75;Gander Michael (1998);;14;54.25;3;28.5;1;-0.25;10.0
+;1;38.75;Briker Michael;*;3;57.0;2;38.5;1;-0.25;10.0
-;1;48.75;Imhof Andi;***;1;57.5;1;48.75;0;0.0;8.75

2a;Herger Matthias;*;;;;;;;;;57.25
+;;;Vogler Daniel;*;;;;;;;10.0
-;1;10.0;Rohrer Beat;*;8;55.75;2;9.75;1;-0.25;8.75
+;5;18.75;Ettlin Martin (1998);;18;53.25;4;19.0;-1;0.25;10.0
+;2;28.75;Wallimann Remo (1997);;11;55.0;4;28.25;2;-0.5;10.0
+;1;38.75;Imfeld Peter;***;8;55.75;2;38.5;1;-0.25;9.75
o;2;48.5;Bernhard Lukas;*;1;57.5;6;47.5;4;-1.0;8.75

2b;von Ah Benji;***;;;;;;;;;57.25
-;;;Bieri Christoph;***;;;;;;;8.75
o;4;8.75;Höfliger Andreas;*;8;55.75;2;9.75;-2;1.0;8.5
+;10;17.25;Schuler Thomas;;10;55.25;6;18.5;-4;1.25;10.0
+;8;27.25;Rohrer André;;13;54.5;7;27.5;-1;0.25;10.0
+;7;37.25;Habegger Jürg;*;11;55.0;9;36.75;2;-0.5;10.0
+;7;47.25;Schärli Peter;*;8;55.75;8;47.0;1;-0.25;10.0

3a;Briker Michael;*;;;;;;;;;57.0
-;;;Niederberger Jakob;**;;;;;;;8.75
+;4;8.75;Halter Markus;*;13;54.5;4;8.75;0;0.0;10.0
+;5;18.75;Zumstein Patrick;;13;54.5;5;18.75;0;0.0;10.0
+;2;28.75;Niederberger Markus;;5;56.5;3;28.5;1;-0.25;9.75
o;2;38.5;Britschgi Melk;**;1;57.5;1;38.75;-1;0.25;8.5
+;8;47.0;Ettlin Stefan (1997);;8;55.75;8;47.0;0;0.0;10.0

3b;Zurfluh Markus;**;;;;;;;;;57.0
-;;;Schärli Pius;*;;;;;;;8.75
+;4;8.75;Amgarten Roman;*;15;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Gander Michael (1998);;14;54.25;1;20.0;-4;1.25;10.0
o;2;28.75;Gassmann Fabian;**;3;57.0;3;28.5;1;-0.25;8.5
+;7;37.25;Rohrer Bärti;;14;54.25;7;37.25;0;0.0;9.75
+;8;47.0;Albert Thomas;;9;55.5;8;47.0;0;0.0;10.0

3c;Müller Bruno;***;;;;;;;;;57.0
-;;;Gasser Stefan;**;;;;;;;8.75
+;4;8.75;Bernhard Lukas;*;1;57.5;1;10.0;-3;1.25;9.75
+;6;18.5;Odermatt Andreas;*;5;56.5;3;19.5;-3;1.0;9.75
-;4;28.25;Zimmermann Martin;**;6;56.25;2;28.75;-2;0.5;8.75
+;8;37.0;Odermatt Remo;*;11;55.0;5;37.75;-3;0.75;10.0
+;8;47.0;Barmettler Peter;*;8;55.75;8;47.0;0;0.0;10.0

3d;Hess Dominik;;;;;;;;;;57.0
-;;;Martin Robin;;;;;;;;8.75
+;4;8.75;Rohrer Marco (1999);;19;53.0;3;9.0;-1;0.25;10.0
+;5;18.75;Gisler Patrick (1997);;23;35.5;6;18.5;1;-0.25;10.0
+;2;28.75;Spichtig Markus;*;10;55.25;4;28.25;2;-0.5;10.0
o;1;38.75;Imhof Andi;***;1;57.5;1;38.75;0;0.0;8.5
+;7;47.25;Herger Lukas;;8;55.75;7;47.25;0;0.0;9.75

3e;Töngi Thomas;*;;;;;;;;;57.0
+;;;Schärli Peter;*;;;;;;;10.0
+;1;10.0;Bättig Martin;*;12;54.75;4;8.75;3;-1.25;10.0
+;1;20.0;von Flüe Michael (1997);;15;54.0;1;20.0;0;0.0;10.0
o;1;30.0;Imhof Andi;***;1;57.5;2;28.75;1;-1.25;8.5
-;2;38.5;Arnold Andreas;*;11;55.0;5;37.75;3;-0.75;8.75
+;7;47.25;Müller Mathias;;10;55.25;9;46.75;2;-0.5;9.75

3f;Murer Andy;*;;;;;;;;;57.0
-;;;Barmettler Peter;*;;;;;;;8.75
+;4;8.75;Imfeld Christian;*;10;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;von Deschwanden Patrick;;14;54.25;1;20.0;-4;1.25;10.0
o;2;28.75;Imfeld Peter;***;8;55.75;3;28.5;1;-0.25;8.5
+;7;37.25;Käslin Ruedi;;12;54.75;6;37.5;-1;0.25;9.75
+;8;47.0;Spichtig Markus;*;10;55.25;9;46.75;1;-0.25;10.0

3g;Kempf Elias;**;;;;;;;;;57.0
-;;;Odermatt Sepp;**;;;;;;;8.75
+;4;8.75;Aeschlimann Martin;;9;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Rohrer Bärti;;14;54.25;5;18.75;-1;0.25;10.0
+;3;28.5;Odermatt Christian;**;5;56.5;5;28.0;2;-0.5;9.75
-;3;38.25;Gasser Stefan;**;1;57.5;1;38.75;-2;0.5;8.75
+;8;47.0;Imfeld Beat;;9;55.5;8;47.0;0;0.0;10.0

3h;Rohrer Marco;**;;;;;;;;;57.0
+;;;Schaffner Samuel;**;;;;;;;9.75
-;2;9.75;Schuler Philipp;**;8;55.75;4;8.75;2;-1.0;8.75
+;6;18.5;Indergand Michael;;14;54.25;5;18.75;-1;0.25;10.0
+;3;28.5;Herger Lukas;;8;55.75;3;28.5;0;0.0;10.0
-;2;38.5;Höfliger Andreas;*;8;55.75;3;38.25;1;-0.25;8.75
+;7;47.25;Waser Raphael (1998);;11;55.0;10;46.5;3;-0.75;9.75

3i;Gassmann Fabian;**;;;;;;;;;57.0
o;;;Höfliger Andreas;*;;;;;;;8.5
+;5;8.5;Graber Michael;*;14;54.25;5;8.5;0;0.0;10.0
+;6;18.5;Zurfluh Michael (1999);;10;55.25;2;19.75;-4;1.25;10.0
+;3;28.5;Zurfluh Markus;**;3;57.0;2;28.75;-1;0.25;10.0
o;2;38.5;Lussi Marco;*;4;56.75;2;38.5;0;0.0;8.5
+;8;47.0;Arnold Andreas;*;11;55.0;10;46.5;2;-0.5;10.0

4a;Lussi Marco;*;;;;;;;;;56.75
-;;;Baumann Roger;*;;;;;;;8.75
+;4;8.75;Habegger Jürg;*;11;55.0;5;8.5;1;-0.25;10.0
+;5;18.75;Fink Bruno;;16;53.75;2;19.75;-3;1.0;9.75
+;3;28.5;Gassmann Severin;;21;45.0;5;28.0;2;-0.5;10.0
+;2;38.5;Gassmann Fabian;**;3;57.0;2;38.5;0;0.0;9.75
o;3;48.25;Gasser Stefan;**;1;57.5;6;47.5;3;-0.75;8.5

4b;Odermatt Sepp;**;;;;;;;;;56.75
-;;;Kempf Elias;**;;;;;;;8.75
+;4;8.75;Gassmann Michael;*;4;56.75;5;8.5;1;-0.25;9.75
+;6;18.5;Lemmenmeier Lukas (1997);;8;55.75;5;18.75;-1;0.25;9.75
+;4;28.25;Gasser Dominik 1;;16;53.75;7;27.5;3;-0.75;10.0
-;3;38.25;Rohrer Ivan;*;4;56.75;4;38.0;1;-0.25;8.75
+;8;47.0;Zurfluh Michael (1999);;10;55.25;9;46.75;1;-0.25;9.75

4c;Nötzli Bruno;***;;;;;;;;;56.75
+;;;Imfeld Peter;***;;;;;;;9.75
+;2;9.75;Zimmermann Simon;*;11;55.0;2;9.75;0;0.0;9.75
-;3;19.5;Bieri Christoph;***;5;56.5;5;18.75;2;-0.75;8.75
+;4;28.25;Barmettler Peter;*;8;55.75;3;28.5;-1;0.25;9.75
+;4;38.0;Omlin Toni;*;7;56.0;2;38.5;-2;0.5;10.0
-;4;48.0;Zimmermann Martin;**;6;56.25;6;47.5;2;-0.5;8.75

4d;Gassmann Michael;*;;;;;;;;;56.75
o;;;Portmann Josef;*;;;;;;;8.5
o;5;8.5;Odermatt Sepp;**;4;56.75;4;8.75;-1;0.25;8.5
+;11;17.0;Kempf David (1998);;24;35.25;7;18.25;-4;1.25;10.0
+;9;27.0;Bissig Fabian;;23;35.5;9;27.0;0;0.0;10.0
+;8;37.0;Schaffner Samuel;**;9;55.5;8;37.0;0;0.0;10.0
+;8;47.0;Herger Fabian;;10;55.25;9;46.75;1;-0.25;9.75

4e;Rohrer Ivan;*;;;;;;;;;56.75
+;;;Fankhauser Hans-Jakob;*;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;5;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Widmer David;;9;55.5;6;18.5;-1;0.25;10.0
+;4;28.25;Zurfluh Michael (1999);;10;55.25;4;28.25;0;0.0;9.75
-;4;38.0;Odermatt Sepp;**;4;56.75;3;38.25;-1;0.25;8.75
+;9;46.75;Wagner Severin (1998);;12;54.75;11;46.25;2;-0.5;10.0

4f;Wyrsch Marco;*;;;;;;;;;56.75
+;;;Odermatt Silvan;*;;;;;;;9.75
+;2;9.75;Fankhauser Hans-Jakob;*;9;55.5;5;8.5;3;-1.25;9.75
-;3;19.5;Brun Jonas;**;7;56.0;6;18.5;3;-1.0;8.75
+;4;28.25;Albert Thomas;;9;55.5;3;28.5;-1;0.25;10.0
-;3;38.25;Rohrer Beat;*;8;55.75;3;38.25;0;0.0;8.75
+;8;47.0;Scherer Adrian;*;10;55.25;9;46.75;1;-0.25;9.75

5a;Bieri Christoph;***;;;;;;;;;56.5
-;;;von Ah Benji;***;;;;;;;8.75
+;4;8.75;Rohrer Ivan;*;4;56.75;2;9.75;-2;1.0;10.0
-;5;18.75;Nötzli Bruno;***;4;56.75;3;19.5;-2;0.75;8.75
+;7;27.5;Imfeld Beat;;9;55.5;3;28.5;-4;1.0;10.0
-;6;37.5;Bernhard Lukas;*;1;57.5;2;38.5;-4;1.0;9.0
+;10;46.5;Zimmermann Simon;*;11;55.0;10;46.5;0;0.0;10.0

5b;Niederberger Jakob;**;;;;;;;;;56.5
-;;;Briker Michael;*;;;;;;;9.0
-;3;9.0;Müller Alain;***;8;55.75;5;8.5;2;-0.5;8.75
+;8;17.75;Baumann Reto;;14;54.25;5;18.75;-3;1.0;10.0
+;6;27.75;Amgarten Martin;;13;54.5;7;27.5;1;-0.25;10.0
-;5;37.75;Stöckli Stefan;*;11;55.0;6;37.5;1;-0.25;8.75
+;10;46.5;Della Torre Simon (1997);;10;55.25;9;46.75;-1;0.25;10.0

5c;Niederberger Markus;;;;;;;;;;56.5
o;;;Fink Bruno;;;;;;;;8.5
+;5;8.5;Waser Andrin (1999);;25;34.5;4;8.75;-1;0.25;10.0
+;6;18.5;Amstutz Niklaus;*;13;54.5;10;17.25;4;-1.25;10.0
o;3;28.5;Briker Michael;*;3;57.0;2;28.75;-1;0.25;8.5
+;8;37.0;Würsch Lars;;10;55.25;8;37.0;0;0.0;9.75
+;9;46.75;Imfeld Christian;*;10;55.25;9;46.75;0;0.0;9.75

5d;Mathis Marcel;***;;;;;;;;;56.5
-;;;Imhof Andi;***;;;;;;;8.75
-;4;8.75;Stöckli Stefan;*;11;55.0;4;8.75;0;0.0;8.75
+;9;17.5;Suter Beat;;11;55.0;6;18.5;-3;1.0;9.75
+;8;27.25;Ettlin Martin (1998);;18;53.25;7;27.5;-1;0.25;9.75
+;8;37.0;Amgarten Roman;*;15;54.0;8;37.0;0;0.0;9.75
+;9;46.75;Baumann Roger;*;11;55.0;11;46.25;2;-0.5;9.75

5e;Odermatt Andreas;*;;;;;;;;;56.5
+;;;Scherer Adrian;*;;;;;;;9.75
+;2;9.75;Schärli Peter;*;8;55.75;5;8.5;3;-1.25;9.75
o;3;19.5;Müller Bruno;***;3;57.0;6;18.5;3;-1.0;8.5
+;5;28.0;Fink Bruno;;16;53.75;4;28.25;-1;0.25;10.0
+;4;38.0;Ettlin Stefan (1997);;8;55.75;2;38.5;-2;0.5;9.75
-;5;47.75;Höfliger Andreas;*;8;55.75;8;47.0;3;-0.75;8.75

5f;Odermatt Christian;**;;;;;;;;;56.5
o;;;Brun Jonas;**;;;;;;;8.5
+;5;8.5;Schuler Daniel;;8;55.75;1;10.0;-4;1.5;9.75
+;7;18.25;Styger Mike (1999);;9;55.5;5;18.75;-2;0.5;9.75
o;5;28.0;Kempf Elias;**;3;57.0;3;28.5;-2;0.5;8.75
+;9;36.75;Portmann Josef;*;9;55.5;8;37.0;-1;0.25;9.75
+;10;46.5;Wallimann Remo (1997);;11;55.0;10;46.5;0;0.0;10.0

6a;Zimmermann Martin;**;;;;;;;;;56.25
-;;;Schuler Philipp;**;;;;;;;8.75
+;4;8.75;Vogler Daniel;*;14;54.25;5;8.5;1;-0.25;10.0
+;5;18.75;Gassmann Severin;;21;45.0;3;19.5;-2;0.75;10.0
-;2;28.75;Müller Bruno;***;3;57.0;4;28.25;2;-0.5;8.75
+;6;37.5;Indergand Michael;;14;54.25;7;37.25;1;-0.25;10.0
-;6;47.5;Nötzli Bruno;***;4;56.75;4;48.0;-2;0.5;8.75

6b;Langenstein Philip;;;;;;;;;;56.25
o;;;Schuler Daniel;;;;;;;;8.75
+;4;8.75;Käppeli Adriano (1997);;24;35.25;2;9.75;-2;1.0;9.75
-;6;18.5;Schärli Pius;*;12;54.75;10;17.25;4;-1.25;8.75
+;8;27.25;Gisler Patrick (1997);;23;35.5;9;27.0;1;-0.25;10.0
-;7;37.25;Baumann Roger;*;11;55.0;7;37.25;0;0.0;9.0
+;11;46.25;Scheidegger Adrian;;12;54.75;11;46.25;0;0.0;10.0

7a;Hurschler Thomas;**;;;;;;;;;56.0
-;;;Schärli Lukas;**;;;;;;;8.75
-;4;8.75;Baumann Roger;*;11;55.0;4;8.75;0;0.0;8.75
+;9;17.5;Küchler Severin;;22;35.75;5;18.75;-4;1.25;10.0
+;7;27.5;Della Torre Simon (1997);;10;55.25;3;28.5;-4;1.0;9.75
-;7;37.25;Brun Jonas;**;7;56.0;7;37.25;0;0.0;8.75
+;12;46.0;Scheuber Stefan;;13;54.5;12;46.0;0;0.0;10.0

7b;Brun Jonas;**;;;;;;;;;56.0
+;;;Odermatt Christian;**;;;;;;;10.0
o;1;10.0;Imhof Andi;***;1;57.5;4;8.75;3;-1.25;8.5
-;6;18.5;Wyrsch Marco;*;4;56.75;3;19.5;-3;1.0;8.75
+;8;27.25;Britschgi Nils (1998);;17;53.5;5;28.0;-3;0.75;10.0
-;7;37.25;Hurschler Thomas;**;7;56.0;7;37.25;0;0.0;8.75
+;12;46.0;Niederberger Martin;*;13;54.5;12;46.0;0;0.0;10.0

7c;Omlin Toni;*;;;;;;;;;56.0
+;;;Graber Michael;*;;;;;;;9.75
-;2;9.75;Schärli Lukas;**;12;54.75;4;8.75;2;-1.0;8.75
+;6;18.5;Bissig Fabian;;23;35.5;6;18.5;0;0.0;10.0
+;3;28.5;Scheidegger Adrian;;12;54.75;6;27.75;3;-0.75;10.0
o;2;38.5;Nötzli Bruno;***;4;56.75;4;38.0;2;-0.5;8.5
-;8;47.0;Stöckli Stefan;*;11;55.0;11;46.25;3;-0.75;9.0

8a;Schuler Daniel;;;;;;;;;;55.75
+;;;Langenstein Philip;;;;;;;;10.0
o;1;10.0;Odermatt Christian;**;5;56.5;5;8.5;4;-1.5;8.5
+;6;18.5;Michel Silvan;;14;54.25;6;18.5;0;0.0;9.75
-;4;28.25;Zimmermann Simon;*;11;55.0;5;28.0;1;-0.25;8.75
-;8;37.0;Murer Remo;;13;54.5;8;37.0;0;0.0;9.0
+;12;46.0;Zumstein Patrick;;13;54.5;12;46.0;0;0.0;9.75

8b;Schärli Peter;*;;;;;;;;;55.75
o;;;Töngi Thomas;*;;;;;;;8.5
o;5;8.5;Odermatt Andreas;*;5;56.5;2;9.75;-3;1.25;8.5
+;11;17.0;Bissig Thomas;;24;35.25;7;18.25;-4;1.25;10.0
+;9;27.0;Arnold Pius (1997);;23;35.5;9;27.0;0;0.0;10.0
+;8;37.0;Gander Adrian;*;12;54.75;11;36.25;3;-0.75;10.0
o;8;47.0;von Ah Benji;***;2;57.25;7;47.25;-1;0.25;8.75

8c;Imfeld Peter;***;;;;;;;;;55.75
o;;;Nötzli Bruno;***;;;;;;;8.5
+;5;8.5;Schaffner Samuel;**;9;55.5;5;8.5;0;0.0;10.0
+;6;18.5;Andermatt Adrian;;15;54.0;6;18.5;0;0.0;10.0
+;3;28.5;Murer Andy;*;3;57.0;2;28.75;-1;0.25;10.0
o;2;38.5;Herger Matthias;*;2;57.25;1;38.75;-1;0.25;8.5
-;8;47.0;Schuler Philipp;**;8;55.75;8;47.0;0;0.0;8.75

8d;Barmettler Peter;*;;;;;;;;;55.75
-;;;Murer Andy;*;;;;;;;8.75
+;4;8.75;Michel Silvan;;14;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Herger Fabian;;10;55.25;5;18.75;0;0.0;9.75
o;3;28.5;Nötzli Bruno;***;4;56.75;4;28.25;1;-0.25;8.5
+;8;37.0;Aeschlimann Martin;;9;55.5;8;37.0;0;0.0;10.0
o;8;47.0;Müller Bruno;***;3;57.0;8;47.0;0;0.0;8.75

8e;Durrer Robin;;;;;;;;;;55.75
o;;;Andermatt Adrian;;;;;;;;8.75
+;4;8.75;Odermatt Leon (1999);;26;34.25;4;8.75;0;0.0;10.0
o;5;18.75;Schuler Philipp;**;8;55.75;9;17.5;4;-1.25;8.5
-;8;27.25;Arnold Fabian;;13;54.5;8;27.25;0;0.0;8.75
+;12;36.0;Vogler Jonas (1999);;14;54.25;12;36.0;0;0.0;9.75
+;13;45.75;Gander Michael (1998);;14;54.25;13;45.75;0;0.0;10.0

8f;Lemmenmeier Lukas (1997);;;;;;;;;;55.75
-;;;Fleischmann Fabian;;;;;;;;8.75
+;4;8.75;Wagner Severin (1998);;12;54.75;2;9.75;-2;1.0;10.0
o;5;18.75;Odermatt Sepp;**;4;56.75;6;18.5;1;-0.25;8.5
+;8;27.25;Bacher Andreas;;15;54.0;8;27.25;0;0.0;10.0
o;7;37.25;Spichtig Markus;*;10;55.25;9;36.75;2;-0.5;8.5
+;13;45.75;Indergand Michael;;14;54.25;13;45.75;0;0.0;10.0

8g;Müller Alain;***;;;;;;;;;55.75
o;;;Britschgi Melk;**;;;;;;;8.5
-;5;8.5;Niederberger Jakob;**;5;56.5;3;9.0;-2;0.5;8.75
-;10;17.25;Indergand Armin;*;12;54.75;6;18.5;-4;1.25;8.75
+;13;26.0;Walker Sebastian;;20;52.75;8;27.25;-5;1.25;10.0
+;12;36.0;Ming Hannes (1998);;15;54.0;9;36.75;-3;0.75;10.0
+;12;46.0;Arnold Severin;*;13;54.5;12;46.0;0;0.0;9.75

8h;Rohrer Beat;*;;;;;;;;;55.75
+;;;Scherer Adrian;*;;;;;;;9.75
-;2;9.75;Herger Matthias;*;2;57.25;1;10.0;-1;0.25;8.75
+;6;18.5;Fessler Linus;;28;27.25;5;18.75;-1;0.25;9.75
+;4;28.25;Müller Mathias;;10;55.25;3;28.5;-1;0.25;10.0
-;3;38.25;Wyrsch Marco;*;4;56.75;3;38.25;0;0.0;8.75
-;8;47.0;Odermatt Remo;*;11;55.0;11;46.25;3;-0.75;8.75

8i;Höfliger Andreas;*;;;;;;;;;55.75
+;;;Gassmann Fabian;**;;;;;;;9.75
+;2;9.75;von Ah Benji;***;2;57.25;4;8.75;2;-1.0;10.0
-;2;19.75;Britschgi Melk;**;1;57.5;1;20.0;-1;0.25;8.75
+;3;28.5;von Flüe Marco;;13;54.5;3;28.5;0;0.0;9.75
-;3;38.25;Rohrer Marco;**;3;57.0;2;38.5;-1;0.25;8.75
-;8;47.0;Odermatt Andreas;*;5;56.5;5;47.75;-3;0.75;8.75

8j;Ettlin Stefan (1997);;;;;;;;;;55.75
-;;;Schuler Thomas;;;;;;;;8.75
+;4;8.75;Bissig Markus (1999);;23;35.5;4;8.75;0;0.0;9.75
+;6;18.5;Bättig Martin;*;12;54.75;10;17.25;4;-1.25;10.0
+;3;28.5;von Flüe Michael (1997);;15;54.0;3;28.5;0;0.0;10.0
o;2;38.5;Odermatt Andreas;*;5;56.5;4;38.0;2;-0.5;8.5
o;8;47.0;Briker Michael;*;3;57.0;8;47.0;0;0.0;8.75

8k;Schuler Philipp;**;;;;;;;;;55.75
-;;;Zimmermann Martin;**;;;;;;;8.75
