2975-2015-05-10_105_Zuercher_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;59.0
+;;;Kohler Fredi;**;;;;;;;10.0
-;1;10.0;Schuler Christian;***;2;58.75;1;10.0;0;0.0;9.0
+;4;19.0;Furrer Damian (1998);;11;55.5;5;18.75;1;-0.25;10.0
+;3;29.0;Braun Mathias;;14;54.75;4;28.75;1;-0.25;10.0
+;1;39.0;Bühler Ernst;**;5;57.0;3;38.5;2;-0.5;10.0
+;1;49.0;Leuppi Samir;**;3;57.5;2;48.75;1;-0.25;10.0

2a;Schuler Christian;***;;;;;;;;;58.75
+;;;Büsser Andy;***;;;;;;;10.0
-;1;10.0;Orlik Armon;**;1;59.0;1;10.0;0;0.0;9.0
+;4;19.0;Odermatt Martin;*;9;56.0;5;18.75;1;-0.25;10.0
+;3;29.0;Schnurrenberger Roman;**;4;57.25;3;29.0;0;0.0;10.0
+;1;39.0;Nägeli Marco;*;4;57.25;2;38.75;1;-0.25;9.75
+;2;48.75;Odermatt Christoph;*;6;56.75;3;48.25;1;-0.5;10.0

3a;Kindlimann Fabian;***;;;;;;;;;57.5
-;;;Bühler Ernst;**;;;;;;;8.75
+;4;8.75;Gysel Hansruedi;;13;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Harder Benj;;11;55.5;6;18.5;1;-0.25;10.0
-;4;28.75;Krähenbühl Tobias;**;6;56.75;2;29.5;-2;0.75;8.75
+;7;37.5;Oertig Dominik;*;13;55.0;5;38.0;-2;0.5;10.0
+;6;47.5;Bleiker Reto;*;11;55.5;8;47.0;2;-0.5;10.0

3b;Schneider Domenic;**;;;;;;;;;57.5
-;;;Kälin Roland;**;;;;;;;9.0
+;3;9.0;Castelberg Marius;;11;55.5;4;8.75;1;-0.25;10.0
+;4;19.0;Grimm Michael;;14;54.75;5;18.75;1;-0.25;10.0
-;3;29.0;Nägeli Marco;*;4;57.25;1;29.75;-2;0.75;9.0
+;5;38.0;Föhn Pirmin;*;11;55.5;8;37.25;3;-0.75;9.75
+;5;47.75;Rychen Roger;**;5;57.0;3;48.25;-2;0.5;9.75

3c;Leuppi Samir;**;;;;;;;;;57.5
+;;;Glaus Martin;***;;;;;;;9.75
+;2;9.75;Oettli Marco (1997);;10;55.75;2;9.75;0;0.0;10.0
+;2;19.75;Schneider Mario;**;6;56.75;2;19.75;0;0.0;10.0
-;1;29.75;Gmür Pirmin;*;13;55.0;4;28.75;3;-1.0;9.0
+;2;38.75;Jöhl Christian;;11;55.5;4;38.25;2;-0.5;10.0
o;2;48.75;Orlik Armon;**;1;59.0;1;49.0;-1;0.25;8.75

4a;Wey Nicola;*;;;;;;;;;57.25
-;;;Krähenbühl Lukas;*;;;;;;;8.75
+;4;8.75;Deflorin Rico (1999);;29;25.75;4;8.75;0;0.0;9.75
+;6;18.5;Bosshard Dario (1999);;16;54.25;5;18.75;-1;0.25;10.0
-;5;28.5;Gwerder Andreas;**;8;56.25;5;28.5;0;0.0;8.75
+;8;37.25;Bircher Luca (1999);;13;55.0;10;36.75;2;-0.5;10.0
+;7;47.25;Schlatter Philipp;*;12;55.25;9;46.75;2;-0.5;10.0

4b;Rhyner Michael;**;;;;;;;;;57.25
+;;;Nigg Lukas;**;;;;;;;9.75
-;2;9.75;Schweizer Christof;*;11;55.5;2;9.75;0;0.0;9.0
+;5;18.75;Junker Nik;;12;55.25;6;18.5;1;-0.25;9.75
+;5;28.5;Keller Janik;;13;55.0;6;28.25;1;-0.25;10.0
-;3;38.5;Burkhalter Stefan;***;8;56.25;7;37.5;4;-1.0;8.75
+;7;47.25;Gartmann Mauro;;10;55.75;7;47.25;0;0.0;10.0

4c;Nägeli Marco;*;;;;;;;;;57.25
+;;;Ammann Rico;*;;;;;;;10.0
+;1;10.0;Ruof Christof;;16;54.25;1;10.0;0;0.0;9.75
+;2;19.75;Glaus Martin;***;10;55.75;6;18.5;4;-1.25;10.0
-;1;29.75;Schneider Domenic;**;3;57.5;3;29.0;2;-0.75;9.0
o;2;38.75;Schuler Christian;***;2;58.75;1;39.0;-1;0.25;8.5
+;7;47.25;Jörger Marc;;11;55.5;8;47.0;1;-0.25;10.0

4d;Peng Mike;***;;;;;;;;;57.25
-;;;Gwerder Andreas;**;;;;;;;8.75
+;4;8.75;Inderbitzin Daniel;*;10;55.75;4;8.75;0;0.0;10.0
+;5;18.75;Dändliker Shane;;8;56.25;5;18.75;0;0.0;9.75
-;5;28.5;Korrodi Paul;*;7;56.5;2;29.5;-3;1.0;8.75
+;8;37.25;Eugster Ruedi;**;10;55.75;8;37.25;0;0.0;10.0
+;7;47.25;Keller Lukas;;13;55.0;10;46.5;3;-0.75;10.0

4e;Schnurrenberger Roman;**;;;;;;;;;57.25
-;;;Kid Simon;**;;;;;;;9.0
+;3;9.0;Lanter Christian (1998);;17;54.0;2;9.75;-1;0.75;10.0
+;4;19.0;Odermatt Michi (1997);;20;53.25;4;19.0;0;0.0;10.0
o;3;29.0;Schuler Christian;***;2;58.75;3;29.0;0;0.0;8.5
+;7;37.5;Buchmann Michael;;10;55.75;7;37.5;0;0.0;9.75
+;7;47.25;Jöhl Christian;;11;55.5;9;46.75;2;-0.5;10.0

5a;Nägeli Roman;*;;;;;;;;;57.0
-;;;Baumann Rico;*;;;;;;;8.75
+;4;8.75;Wild Thomas;;16;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Burkhard Tobias;;11;55.5;1;20.0;-4;1.25;10.0
o;4;28.75;Burkhalter Stefan;***;8;56.25;8;27.5;4;-1.25;8.5
+;8;37.25;Bosshard Dario (1999);;16;54.25;8;37.25;0;0.0;10.0
+;7;47.25;Rüegg Patrick (1999);;12;55.25;9;46.75;2;-0.5;9.75

5b;Bühler Ernst;**;;;;;;;;;57.0
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Flück Bruno;;23;45.0;2;9.75;-2;1.0;10.0
+;5;18.75;Fontana Michael;;10;55.75;1;20.0;-4;1.25;9.75
+;5;28.5;Nigg Lukas;**;6;56.75;5;28.5;0;0.0;10.0
