2986-2017-08-13_110_Nordwestschweizer_Schwingfest-ST

1a;Hersche Martin;***;;;;;;;;;59.0
+;;;Bieri Christoph;***;;;;;;;9.75
+;2;9.75;Klausner Yanick;**;8;56.5;2;9.75;0;0.0;9.75
+;3;19.5;Strebel Joel;**;8;56.5;3;19.5;0;0.0;10.0
+;2;29.5;Gisler Bruno;***;4;57.5;3;29.0;1;-0.5;9.75
+;2;39.25;Thürig Mario;***;6;57.0;3;38.5;1;-0.75;9.75
+;2;49.0;Aeschbacher Matthias;**;3;58.0;1;49.25;-1;0.25;10.0

2a;Wicki Joel;**;;;;;;;;;58.25
-;;;Gisler Bruno;***;;;;;;;9.0
+;3;9.0;Döbeli Lukas (2000);*;6;57.0;2;9.75;-1;0.75;9.75
+;5;18.75;Studer Remo;;11;55.5;2;19.75;-3;1.0;10.0
+;4;28.75;Bieri Christoph;***;7;56.75;5;28.5;1;-0.25;9.75
+;3;38.5;Alpiger Nick;***;5;57.25;3;38.5;0;0.0;9.75
+;3;48.25;Döbeli Andreas;*;9;56.0;4;47.5;1;-0.75;10.0

3a;Aeschbacher Matthias;**;;;;;;;;;58.0
+;;;Alpiger Nick;***;;;;;;;9.75
+;2;9.75;Henzer Andreas;**;9;56.0;1;10.0;-1;0.25;10.0
+;2;19.75;Mangold Michael;*;6;57.0;1;20.0;-1;0.25;10.0
+;1;29.75;Schmid David;***;10;55.75;4;28.75;3;-1.0;9.75
+;1;39.5;Thoenen Henryc;**;6;57.0;3;38.5;2;-1.0;9.75
o;1;49.25;Hersche Martin;***;1;59.0;2;49.0;1;-0.25;8.75

4a;Erb Roger;**;;;;;;;;;57.5
-;;;Schaffner Samuel;**;;;;;;;9.0
+;3;9.0;Kramer Lario;**;9;56.0;5;8.5;2;-0.5;9.75
o;5;18.75;Hügli Kaj;*;6;57.0;5;18.75;0;0.0;8.75
+;9;27.5;Jusufi Azret;;12;55.25;6;28.25;-3;0.75;10.0
+;6;37.5;Strebel Joel;**;8;56.5;5;38.0;-1;0.5;10.0
+;4;47.5;Schär Simon;*;12;55.25;7;46.75;3;-0.75;10.0

4b;Gisler Bruno;***;;;;;;;;;57.5
-;;;Wicki Joel;**;;;;;;;9.0
+;3;9.0;Steinmann Yves;*;10;55.75;1;10.0;-2;1.0;10.0
+;4;19.0;Nussbaumer Gabriel;;12;55.25;3;19.5;-1;0.5;10.0
o;3;29.0;Hersche Martin;***;1;59.0;2;29.5;-1;0.5;8.5
+;6;37.5;Mangold Michael;*;6;57.0;3;38.5;-3;1.0;10.0
+;4;47.5;Henzer Andreas;**;9;56.0;4;47.5;0;0.0;10.0

5a;Räbmatter Patrick;***;;;;;;;;;57.25
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;4;8.75;Stoll Simon;*;10;55.75;2;9.75;-2;1.0;10.0
+;5;18.75;Brügger Joël (2000);;12;55.25;2;19.75;-3;1.0;10.0
o;4;28.75;Brand Christian;**;8;56.5;6;28.25;2;-0.5;8.75
+;6;37.5;Bader Andreas;**;11;55.5;4;38.25;-2;0.75;10.0
+;4;47.5;Roschi Ruedi;**;10;55.75;5;47.25;1;-0.25;9.75

5b;Alpiger Nick;***;;;;;;;;;57.25
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Odermatt Adrian (2001);*;15;54.5;2;9.75;-3;1.25;10.0
+;6;18.5;Schmutz Simon (2000);;9;56.0;1;20.0;-5;1.5;10.0
+;5;28.5;Schurtenberger Sven;***;6;57.0;4;28.75;-1;0.25;10.0
o;3;38.5;Wicki Joel;**;2;58.25;3;38.5;0;0.0;8.75
+;5;47.25;Schmutz Adrian;*;11;55.5;6;47.0;1;-0.25;10.0

6a;Thoenen Henryc;**;;;;;;;;;57.0
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Schär Simon;*;12;55.25;4;8.75;0;0.0;10.0
+;5;18.75;Reimann Marco;;12;55.25;2;19.75;-3;1.0;9.75
+;5;28.5;Steinmann Yves;*;10;55.75;5;28.5;0;0.0;10.0
o;3;38.5;Aeschbacher Matthias;**;3;58.0;1;39.5;-2;1.0;8.75
+;5;47.25;Winiger Fabian;**;13;55.0;8;46.5;3;-0.75;9.75

6b;Thürig Mario;***;;;;;;;;;57.0
o;;;Kuster Marcel;***;;;;;;;8.5
+;5;8.5;Lang Martin;**;22;45.5;5;8.5;0;0.0;10.0
+;6;18.5;Bieli Andreas;;12;55.25;2;19.75;-4;1.25;10.0
+;5;28.5;Schmutz Adrian;*;11;55.5;5;28.5;0;0.0;10.0
o;3;38.5;Hersche Martin;***;1;59.0;2;39.25;-1;0.75;8.5
+;6;47.0;Schaffner Samuel;**;12;55.25;7;46.75;1;-0.25;10.0

6c;Hügli Kaj;*;;;;;;;;;57.0
+;;;Stegmüller Klemens;*;;;;;;;10.0
-;1;10.0;Hauri Urs;**;13;55.0;3;9.0;2;-1.0;8.75
+;5;18.75;Erb Roger;**;4;57.5;5;18.75;0;0.0;10.0
+;4;28.75;Grossmann Andreas;;16;54.25;5;28.5;1;-0.25;9.75
o;3;38.5;Roschi Ruedi;**;10;55.75;6;37.5;3;-1.0;8.5
+;6;47.0;Bieli Andreas;;12;55.25;7;46.75;1;-0.25;10.0

6d;Mangold Michael;*;;;;;;;;;57.0
+;;;Lisser Daniel;*;;;;;;;10.0
+;1;10.0;Stegmüller Klemens;*;12;55.25;5;8.5;4;-1.5;10.0
o;1;20.0;Aeschbacher Matthias;**;3;58.0;2;19.75;1;-0.25;8.5
+;5;28.5;Kropf Marcel;**;6;57.0;5;28.5;0;0.0;10.0
o;3;38.5;Gisler Bruno;***;4;57.5;6;37.5;3;-1.0;8.5
+;6;47.0;Büttler Gian (2000);;12;55.25;8;46.5;2;-0.5;10.0

6e;Schurtenberger Sven;***;;;;;;;;;57.0
-;;;Räbmatter Patrick;***;;;;;;;8.75
+;4;8.75;Brand Christian;**;8;56.5;2;9.75;-2;1.0;10.0
+;5;18.75;Läuchli Janik (2000);;16;54.25;2;19.75;-3;1.0;10.0
o;4;28.75;Alpiger Nick;***;5;57.25;5;28.5;1;-0.25;8.5
+;7;37.25;Widmer Tobias;**;7;56.75;4;38.25;-3;1.0;9.75
+;6;47.0;Hauri Urs;**;13;55.0;8;46.5;2;-0.5;10.0

6f;Döbeli Lukas (2000);*;;;;;;;;;57.0
+;;;Brun Samuel (1999);**;;;;;;;9.75
o;2;9.75;Wicki Joel;**;2;58.25;3;9.0;1;-0.75;8.5
+;7;18.25;Bruder Adrian;;16;54.25;5;18.75;-2;0.5;9.75
+;7;28.0;Schaffner Samuel;**;12;55.25;5;28.5;-2;0.5;10.0
-;5;38.0;Borcard Johann;**;9;56.0;7;37.25;2;-0.75;9.0
+;6;47.0;Stegmüller Klemens;*;12;55.25;7;46.75;1;-0.25;10.0

6g;Kropf Marcel;**;;;;;;;;;57.0
+;;;Anderegg David;*;;;;;;;10.0
o;1;10.0;Roschi Ruedi;**;10;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Huber Pascal;;27;35.5;6;18.5;0;0.0;10.0
o;5;28.5;Mangold Michael;*;6;57.0;5;28.5;0;0.0;8.5
+;8;37.0;Schwenkfelder Lukas;;25;44.25;13;35.75;5;-1.25;10.0
+;6;47.0;Schmid Samuel;**;11;55.5;6;47.0;0;0.0;10.0

7a;Bieri Christoph;***;;;;;;;;;56.75
o;;;Hersche Martin;***;;;;;;;8.5
+;5;8.5;Gerber Andrj (2000);*;16;54.25;4;8.75;-1;0.25;10.0
+;6;18.5;Büttler Gian (2000);;12;55.25;2;19.75;-4;1.25;10.0
o;5;28.5;Wicki Joel;**;2;58.25;4;28.75;-1;0.25;8.5
+;8;37.0;Brun Samuel (1999);**;9;56.0;6;37.5;-2;0.5;9.75
+;7;46.75;Lang Martin;**;22;45.5;12;45.5;5;-1.25;10.0

7b;Kuster Marcel;***;;;;;;;;;56.75
+;;;Thürig Mario;***;;;;;;;9.75
-;2;9.75;Schmid David;***;10;55.75;1;10.0;-1;0.25;8.75
+;6;18.5;Jusufi Azret;;12;55.25;2;19.75;-4;1.25;9.75
o;6;28.25;Widmer Tobias;**;7;56.75;5;28.5;-1;0.25;8.5
+;9;36.75;Klausner Yanick;**;8;56.5;5;38.0;-4;1.25;10.0
+;7;46.75;Bieri Florian (2001);;13;55.0;8;46.5;1;-0.25;10.0

7c;Widmer Tobias;**;;;;;;;;;56.75
-;;;Roschi Ruedi;**;;;;;;;8.75
+;4;8.75;Nyffeler Christoph;*;14;54.75;4;8.75;0;0.0;10.0
+;5;18.75;Krebs Clemens;;12;55.25;7;18.25;2;-0.5;9.75
+;5;28.5;Kuster Marcel;***;7;56.75;6;28.25;1;-0.25;9.75
o;4;38.25;Schurtenberger Sven;***;6;57.0;7;37.25;3;-1.0;8.5
+;7;46.75;Schmutz Simon (2000);;9;56.0;4;47.5;-3;0.75;10.0

8a;Strebel Joel;**;;;;;;;;;56.5
+;;;Schillig Willi;**;;;;;;;9.75
+;2;9.75;Brügger Cyrill;;13;55.0;1;10.0;-1;0.25;9.75
o;3;19.5;Hersche Martin;***;1;59.0;3;19.5;0;0.0;8.5
+;7;28.0;Nussbaumer Gabriel;;12;55.25;7;28.0;0;0.0;10.0
o;5;38.0;Erb Roger;**;4;57.5;6;37.5;1;-0.5;8.5
+;8;46.5;Ris Jörn;;13;55.0;8;46.5;0;0.0;10.0

8b;Bearda Samuel;;;;;;;;;;56.5
-;;;Büttler Adrian (1999);;;;;;;;8.75
o;4;8.75;Grossmann Andreas;;16;54.25;2;9.75;-2;1.0;8.5
+;10;17.25;Vogt Patrick (1999);;20;53.0;9;17.5;-1;0.25;10.0
+;10;27.25;Widmer Cyrill;*;17;54.0;10;27.25;0;0.0;9.75
+;8;37.0;Gerber Andrj (2000);*;16;54.25;13;35.75;5;-1.25;9.75
+;7;46.75;Dobler Florian;;11;55.5;6;47.0;-1;0.25;9.75

8c;Brand Christian;**;;;;;;;;;56.5
+;;;Leuthard Reto;*;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;***;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Eggen Markus;;11;55.5;6;18.5;-1;0.25;10.0
