3002-2018-08-12_Bernisch-Kantonales_Schwingfest-ST

1a;Röthlisberger Simon;**;;;;;;;;;110.75
-;;;Roschi Ruedi;**;;;;;;;9.0
+;;;Willimann Stefan;;;;;;;;10.0
+;1;19.0;Burger Matthieu (2001);*;19;53.75;5;8.75;4;-10.25;10.0
-;1;19.0;Gnägi Christian;*;16;54.5;5;8.75;4;-10.25;8.75
+;1;37.75;Graber Alfred;*;18;54.0;7;18.5;6;-19.25;9.75
o;1;37.75;Schenkel Remo;*;14;55.0;7;18.5;6;-19.25;8.5
o;1;56.0;Wenger Kilian;***;2;58.75;2;29.75;1;-26.25;8.5
+;1;56.0;Blatter Remo (2000);;18;54.0;9;27.25;8;-28.75;9.75
+;1;74.25;Thomet Adrian;**;13;55.25;11;36.75;10;-37.5;10.0
o;1;74.25;Kramer Lario;**;5;57.25;9;37.25;8;-37.0;8.75
-;1;93.0;Klossner Adrian;*;11;55.75;10;46.75;9;-46.25;9.0
-;1;93.0;Gottofrey Marc;**;16;54.5;15;45.5;14;-47.5;8.75

2a;Wenger Kilian;***;;;;;;;;;58.75
+;;;Nötzli Reto;***;;;;;;;10.0
+;2;10.0;Wiget Michael;*;25;47.0;2;10.0;0;0.0;10.0
+;2;20.0;Gerber Christian;**;6;57.0;3;19.75;1;-0.25;9.75
+;2;29.75;Röthlisberger Simon;**;1;110.75;1;56.0;-1;26.25;10.0
-;2;39.75;Staudenmann Fabian (2000);**;9;56.25;3;38.75;1;-1.0;9.0
+;2;48.75;Käser Remo;***;5;57.25;3;48.5;1;-0.25;10.0

3a;Stucki Christian;***;;;;;;;;;58.5
+;;;Leuppi Samir;**;;;;;;;10.0
+;2;10.0;Steffen Valentin;*;16;54.5;2;10.0;0;0.0;10.0
-;2;20.0;Alpiger Nick;***;5;57.25;3;19.75;1;-0.25;8.75
+;3;28.75;Schwander Severin;*;10;56.0;4;28.5;1;-0.25;10.0
+;3;38.75;Orlik Curdin;**;6;57.0;3;38.75;0;0.0;9.75
+;3;48.5;Steffen Gustav;*;8;56.5;5;48.0;2;-0.5;10.0

4a;Sempach Thomas;***;;;;;;;;;58.0
-;;;Fankhauser Marco;**;;;;;;;8.75
+;5;8.75;Binggeli Dominik;*;16;54.5;3;9.75;-2;1.0;9.75
+;7;18.5;Thomet Adrian;**;13;55.25;7;18.5;0;0.0;10.0
+;4;28.5;Kramer Lario;**;5;57.25;3;28.75;-1;0.25;10.0
+;4;38.5;Renfer Lukas;**;5;57.25;4;38.5;0;0.0;9.75
+;4;48.25;Roschi Ruedi;**;10;56.0;7;47.5;3;-0.75;9.75

4b;Aeschbacher Matthias;**;;;;;;;;;58.0
+;;;Roth Philipp;***;;;;;;;9.75
-;3;9.75;Bösch Daniel;***;9;56.25;5;8.75;2;-1.0;8.75
+;7;18.5;Mösching Andy;*;21;53.25;6;18.75;-1;0.25;10.0
+;4;28.5;Schenkel Remo;*;14;55.0;5;28.25;1;-0.25;10.0
+;4;38.5;Gobeli Patrick;**;6;57.0;3;38.75;-1;0.25;9.75
+;4;48.25;Anderegg Simon;***;10;56.0;7;47.5;3;-0.75;9.75

5a;Gnägi Florian;***;;;;;;;;;57.25
o;;;Alpiger Nick;***;;;;;;;8.5
+;6;8.5;Aellen Philipp;*;14;55.0;3;9.75;-3;1.25;10.0
+;7;18.5;Wyss Kilian;**;11;55.75;6;18.75;-1;0.25;10.0
-;4;28.5;von Weissenﬂuh Kilian;**;11;55.75;5;28.25;1;-0.25;8.75
+;9;37.25;Gäggeler Adrian;*;12;55.5;9;37.25;0;0.0;10.0
+;8;47.25;Wüthrich Niklaus;**;13;55.25;10;46.75;2;-0.5;10.0

5b;Käser Remo;***;;;;;;;;;57.25
-;;;Bösch Daniel;***;;;;;;;8.75
+;5;8.75;Habegger Heinz;**;18;54.0;3;9.75;-2;1.0;10.0
+;6;18.75;Leuenberger Michael;*;12;55.5;5;19.0;-1;0.25;10.0
+;3;28.75;Klossner Adrian;*;11;55.75;5;28.25;2;-0.5;10.0
+;3;38.75;Graber Willy;***;7;56.75;5;38.25;2;-0.5;9.75
o;3;48.5;Wenger Kilian;***;2;58.75;2;48.75;-1;0.25;8.75

5c;Kramer Lario;**;;;;;;;;;57.25
+;;;Anderegg Simon;***;;;;;;;10.0
-;2;10.0;Luginbühl Hanspeter;**;9;56.25;2;10.0;0;0.0;8.75
+;6;18.75;Rüegsegger Ueli;;16;54.5;6;18.75;0;0.0;10.0
o;3;28.75;Sempach Thomas;***;4;58.0;4;28.5;1;-0.25;8.5
