3005-2021-08-08_Bernisch-Kantonales_Schwingfest-ST

1a;Wenger Kilian;***;;;;;;;;;57.75
-;;;Bieri Marcel;***;;;;;;;8.75
+;4;8.75;Zangger Dominik;*;10;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Zürcher Remo;*;12;55.0;6;18.5;1;-0.25;10.0
+;4;28.75;Gapany Benjamin;***;4;57.0;4;28.75;0;0.0;10.0
+;2;38.75;Renfer Lukas;**;4;57.0;3;38.5;1;-0.25;10.0
-;1;48.75;Stucki Christian;***;3;57.25;2;48.25;1;-0.5;9.0

2a;Berger Lorenz;**;;;;;;;;;57.5
-;;;Gasser Dominik;*;;;;;;;9.0
+;3;9.0;Zaugg Lars;*;11;55.25;3;9.0;0;0.0;10.0
+;4;19.0;Inniger Thomas;***;5;56.75;6;18.5;2;-0.5;10.0
o;3;29.0;Stucki Christian;***;3;57.25;1;29.75;-2;0.75;8.5
+;7;37.5;Oberli Pascal;;17;53.75;10;36.75;3;-0.75;10.0
+;4;47.5;Steffen Konrad;*;11;55.25;7;46.75;3;-0.75;10.0

2b;Walther Adrian;**;;;;;;;;;57.5
-;;;Orlik Curdin;***;;;;;;;8.75
+;4;8.75;Graf Simon;;12;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Aeschbacher Matthias;***;5;56.75;5;18.75;0;0.0;8.75
+;9;27.5;Aebersold Fabian (2003);;15;54.25;5;28.5;-4;1.0;10.0
+;7;37.5;Roschi Ruedi;**;8;56.0;7;37.5;0;0.0;10.0
+;4;47.5;Zangger Dominik;*;10;55.5;6;47.0;2;-0.5;10.0

2c;Roth Dominik;**;;;;;;;;;57.5
-;;;Roschi Ruedi;**;;;;;;;8.75
+;4;8.75;Rüegsegger Christian;;11;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Camenzind Ivan;*;12;55.0;7;18.25;2;-0.5;10.0
-;4;28.75;Staudenmann Fabian;***;3;57.25;2;29.5;-2;0.75;9.0
+;6;37.75;Röthlisberger Simon;*;13;54.75;7;37.5;1;-0.25;9.75
+;4;47.5;Ramseier Thomas;*;11;55.25;8;46.5;4;-1.0;10.0

3a;Staudenmann Fabian;***;;;;;;;;;57.25
