3027-2015-06-28_Solothurner_Kantonalschwingfest-ST

1a;Bieri Christoph;***;;;;;;;;;58.75
+;;;Betschart Rainer;**;;;;;;;10.0
+;1;10.0;Brand Christian;**;11;55.5;2;9.75;1;-0.25;10.0
-;1;20.0;Gisler Bruno;***;4;57.25;1;20.0;0;0.0;8.75
+;4;28.75;Stoffel Marc;**;6;56.75;1;29.75;-3;1.0;10.0
+;1;38.75;Kropf Marcel;**;10;55.75;1;38.75;0;0.0;10.0
+;1;48.75;Gisler Bruno;***;4;57.25;2;48.5;1;-0.25;10.0

2a;Studinger Stephan;**;;;;;;;;;58.0
o;;;Stoffel Marc;**;;;;;;;8.5
+;5;8.5;Elsener Marcel;;14;54.75;2;9.75;-3;1.25;10.0
+;6;18.5;Schläpfer Matthias;*;10;55.75;7;18.25;1;-0.25;9.75
+;6;28.25;Sigg David;*;9;56.0;5;28.5;-1;0.25;10.0
+;3;38.25;Hauri Urs;**;8;56.25;4;38.0;1;-0.25;10.0
+;3;48.25;Stalder Remo;***;6;56.75;3;48.25;0;0.0;9.75

3a;Blatter Lorenz;*;;;;;;;;;57.75
o;;;Erb Roger;**;;;;;;;8.5
+;5;8.5;Leuthard Reto;*;5;57.0;1;10.0;-4;1.5;9.75
+;7;18.25;Hügli Kaj (1997);*;11;55.5;6;18.5;-1;0.25;10.0
+;6;28.25;Kramer Franz;*;16;54.25;6;28.25;0;0.0;9.75
+;4;38.0;Steinmann Yves;*;14;54.75;6;37.25;2;-0.75;9.75
+;5;47.75;Döbeli Andreas (1998);*;12;55.25;8;46.75;3;-1.0;10.0

4a;Gisler Bruno;***;;;;;;;;;57.25
+;;;Betschart Remo;**;;;;;;;10.0
+;1;10.0;Voggensperger Janic (1998);*;6;56.75;1;10.0;0;0.0;10.0
-;1;20.0;Bieri Christoph;***;1;58.75;1;20.0;0;0.0;8.75
+;4;28.75;Odermatt Christian;;7;56.5;3;29.25;-1;0.5;9.75
+;2;38.5;Kocher Remo;**;8;56.25;1;38.75;-1;0.25;10.0
o;2;48.5;Bieri Christoph;***;1;58.75;1;48.75;-1;0.25;8.75

4b;Bächli Michael (1998);*;;;;;;;;;57.25
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Bucher Roland;*;7;56.5;5;8.5;1;-0.25;10.0
+;5;18.75;Wittmer Lukas;;15;54.5;6;18.5;1;-0.25;10.0
o;4;28.75;Stalder Remo;***;6;56.75;5;28.5;1;-0.25;8.5
+;6;37.25;Bucher Thomas;;14;54.75;6;37.25;0;0.0;10.0
+;6;47.25;Betschart Rainer;**;11;55.5;7;47.0;1;-0.25;10.0

5a;Henzer Andreas;**;;;;;;;;;57.0
-;;;Bächli Michael (1998);*;;;;;;;8.75
+;4;8.75;Klausner Yanick;**;11;55.5;4;8.75;0;0.0;9.75
+;6;18.5;Mangold Martin;;21;52.75;5;18.75;-1;0.25;10.0
-;5;28.5;Vieira Tiago;**;10;55.75;2;29.5;-3;1.0;8.75
+;6;37.25;Mangold Michael (1997);;11;55.5;7;37.0;1;-0.25;10.0
+;6;47.25;Odermatt Christian;;7;56.5;5;47.75;-1;0.5;9.75

5b;Leuthard Reto;*;;;;;;;;;57.0
+;;;Probst Gabriel;**;;;;;;;10.0
o;1;10.0;Blatter Lorenz;*;3;57.75;5;8.5;4;-1.5;8.5
+;6;18.5;Bachmann Marco (1999);;21;52.75;7;18.25;1;-0.25;10.0
o;5;28.5;Erb Roger;**;6;56.75;6;28.25;1;-0.25;8.5
+;7;37.0;Studer Remo;;13;55.0;8;36.75;1;-0.25;10.0
+;7;47.0;Kropf Marcel;**;10;55.75;6;47.25;-1;0.25;10.0

5c;Moser Matthias;;;;;;;;;;57.0
-;;;Schär Simon;*;;;;;;;8.75
+;4;8.75;Steger Robert (1998);;18;53.75;1;10.0;-3;1.25;10.0
+;5;18.75;Fehlmann Armin;;18;53.75;6;18.5;1;-0.25;10.0
+;4;28.75;Steinmann Yves;*;14;54.75;5;28.5;1;-0.25;9.75
o;2;38.5;Erb Roger;**;6;56.75;3;38.25;1;-0.25;8.5
+;7;47.0;Widmer Dino;;16;54.25;12;45.75;5;-1.25;10.0

6a;Erb Roger;**;;;;;;;;;56.75
+;;;Blatter Lorenz;*;;;;;;;10.0
+;1;10.0;Stalder Remo;***;6;56.75;1;10.0;0;0.0;9.75
o;2;19.75;Vieira Tiago;**;10;55.75;3;19.5;1;-0.25;8.5
+;6;28.25;Leuthard Reto;*;5;57.0;5;28.5;-1;0.25;10.0
+;3;38.25;Moser Matthias;;5;57.0;2;38.5;-1;0.25;9.75
-;4;48.0;Betschart Remo;**;6;56.75;4;48.0;0;0.0;8.75

6b;Lang Martin;**;;;;;;;;;56.75
+;;;Uebersax Remo;**;;;;;;;9.75
o;2;9.75;Stoffel Marc;**;6;56.75;2;9.75;0;0.0;8.5
-;7;18.25;Hasler Manuel;;16;54.25;6;18.5;-1;0.25;8.75
+;10;27.0;Wyss Patrick;;17;54.0;10;27.0;0;0.0;9.75
+;8;36.75;Schneider Markus;*;17;54.0;7;37.0;-1;0.25;10.0
+;8;46.75;Stoll Simon;;13;55.0;9;46.5;1;-0.25;10.0

6c;Stoffel Marc;**;;;;;;;;;56.75
+;;;Studinger Stephan;**;;;;;;;9.75
+;2;9.75;Lang Martin;**;6;56.75;2;9.75;0;0.0;10.0
+;2;19.75;Widmer David;;11;55.5;2;19.75;0;0.0;10.0
o;1;29.75;Bieri Christoph;***;1;58.75;4;28.75;3;-1.0;8.5
-;3;38.25;Vieira Tiago;**;10;55.75;3;38.25;0;0.0;8.75
+;7;47.0;Huber Jan (1997);*;17;54.0;13;45.5;6;-1.5;9.75

6d;Voggensperger Janic (1998);*;;;;;;;;;56.75
+;;;Studinger Mathias;**;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;4;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Aerni Lars (1997);;15;54.5;5;18.75;-1;0.25;10.0
+;5;28.5;Hauri Urs;**;8;56.25;3;29.25;-2;0.75;10.0
o;2;38.5;Stalder Remo;***;6;56.75;2;38.5;0;0.0;8.5
+;7;47.0;von Arx Christian;*;10;55.75;7;47.0;0;0.0;9.75

6e;Betschart Remo;**;;;;;;;;;56.75
o;;;Gisler Bruno;***;;;;;;;8.5
+;5;8.5;Döbeli Andreas (1998);*;12;55.25;4;8.75;-1;0.25;10.0
+;6;18.5;Leimgruber Daniel;;16;54.25;5;18.75;-1;0.25;9.75
+;6;28.25;Bader Andreas;*;12;55.25;5;28.5;-1;0.25;10.0
+;3;38.25;von Arx Christian;*;10;55.75;3;38.25;0;0.0;9.75
-;4;48.0;Erb Roger;**;6;56.75;4;48.0;0;0.0;8.75

6f;Stalder Remo;***;;;;;;;;;56.75
+;;;Räbmatter Patrick;**;;;;;;;10.0
o;1;10.0;Erb Roger;**;6;56.75;1;10.0;0;0.0;8.5
+;6;18.5;Steinmann Kevin;**;9;56.0;4;19.0;-2;0.5;10.0
+;5;28.5;Bächli Michael (1998);*;4;57.25;4;28.75;-1;0.25;10.0
+;2;38.5;Voggensperger Janic (1998);*;6;56.75;2;38.5;0;0.0;9.75
o;3;48.25;Studinger Stephan;**;2;58.0;3;48.25;0;0.0;8.5

6g;Alpiger Nick;**;;;;;;;;;56.75
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;Moos Christoph;;12;55.25;4;8.75;-1;0.25;10.0
+;6;18.5;Uebersax Remo;**;12;55.25;7;18.25;1;-0.25;9.75
-;6;28.25;Rolli Ueli;;12;55.25;6;28.25;0;0.0;8.75
+;7;37.0;Elsener Marcel;;14;54.75;9;36.5;2;-0.5;9.75
+;8;46.75;Bader Andreas;*;12;55.25;8;46.75;0;0.0;10.0

7a;Odermatt Christian;;;;;;;;;;56.5
+;;;Stüdeli Thomas;**;;;;;;;9.75
+;2;9.75;Waldner Patrick;**;10;55.75;5;8.5;3;-1.25;9.75
+;3;19.5;Kropf Marcel;**;10;55.75;1;20.0;-2;0.5;9.75
o;3;29.25;Gisler Bruno;***;4;57.25;4;28.75;1;-0.5;8.5
+;5;37.75;Stoll Simon;;13;55.0;4;38.0;-1;0.25;10.0
o;5;47.75;Henzer Andreas;**;5;57.0;6;47.25;1;-0.5;8.75

7b;Bucher Roland;*;;;;;;;;;56.5
o;;;Hauri Urs;**;;;;;;;8.5
o;5;8.5;Bächli Michael (1998);*;4;57.25;4;8.75;-1;0.25;8.5
+;11;17.0;Büchi Christian;;17;54.0;10;17.25;-1;0.25;10.0
+;10;27.0;Vetter Mike;;22;52.5;10;27.0;0;0.0;10.0
+;7;37.0;Huber Jan (1997);*;17;54.0;7;37.0;0;0.0;9.75
+;8;46.75;Stüdeli Thomas;**;11;55.5;7;47.0;-1;0.25;9.75

7c;Räbmatter Patrick;**;;;;;;;;;56.5
o;;;Stalder Remo;***;;;;;;;8.5
+;5;8.5;Schläpfer Matthias;*;10;55.75;2;9.75;-3;1.25;9.75
o;7;18.25;Kocher Remo;**;8;56.25;5;18.75;-2;0.5;8.5
+;11;26.75;Stich Yannick (1997);;24;51.5;13;25.75;2;-1.0;10.0
+;8;36.75;Strebel Joel (1997);*;12;55.25;8;36.75;0;0.0;10.0
+;8;46.75;Uebersax Remo;**;12;55.25;8;46.75;0;0.0;9.75

8a;Kocher Remo;**;;;;;;;;;56.25
-;;;Klausner Yanick;**;;;;;;;8.75
+;4;8.75;Wittmer Lukas;;15;54.5;1;10.0;-3;1.25;10.0
+;5;18.75;Räbmatter Patrick;**;7;56.5;7;18.25;2;-0.5;10.0
+;4;28.75;Mangold Martin;;21;52.75;9;27.25;5;-1.5;10.0
o;1;38.75;Gisler Bruno;***;4;57.25;2;38.5;1;-0.25;8.5
-;6;47.25;Sigg David;*;9;56.0;7;47.0;1;-0.25;9.0

8b;Hauri Urs;**;;;;;;;;;56.25
+;;;Bucher Roland;*;;;;;;;9.75
+;2;9.75;Schär Simon;*;14;54.75;4;8.75;2;-1.0;9.75
+;3;19.5;Reinhard Adrian (1997);;15;54.5;4;19.0;1;-0.5;9.75
o;3;29.25;Voggensperger Janic (1998);*;6;56.75;5;28.5;2;-0.75;8.75
